label,line,opcode,args
label0031,24,read_switch_flag_on_floor,r1-r3
label0031,28,set_switch_flag_sync,"... r1, r2"
label002F,32,read_switch_flag_on_floor,r1-r3
label002F,36,clear_switch_flag_sync,"... r1, r2"
label0010,176,read_switch_flag_on_floor,r60-r62
start,352,set_qt_exit,label0028
start,353,set_qt_cancel,label0015
start,354,set_qt_success,label0059
start,355,set_qt_failure,label047D
start,372,set_floor_handler,"... 0x0 /* 0 */, label004F"
start,375,set_floor_handler,"... 0x11 /* 17 */, label005B"
label0068,399,pl_add_meseta2,... 0x61A8 /* 25000 */
label003B,407,pl_add_meseta2,... 0x61A8 /* 25000 */
label005E,415,pl_add_meseta2,... 0x61A8 /* 25000 */
label0048,423,pl_add_meseta2,... 0x61A8 /* 25000 */
label004F,433,jmpi_eq,"r255, 0x00000001, label0001"
label004F,434,jmpi_eq,"r254, 0x00000001, label0001"
label0030,502,sync_register2,"... r205, 0x1 /* 1 */"
label005F,589,set,r255
label0064,612,jmpi_eq,"r254, 0x00000001, label0001"
label0069,623,set,r254
label006A,628,jmpi_eq,"r254, 0x00000001, label0001"
label006A,629,jmpi_eq,"r253, 0x00000001, label0001"
label0024,654,gettime,r201
label0016,664,jmpi_eq,"r254, 0x00000001, label006C"
label0060,673,show_timer,
label0060,675,gettime,r201
label0060,678,winset_time,r203
label0060,680,hide_timer,
label0060,686,set,r253
label0066,769,read_switch_flag_on_floor,r60-r62
label0066,772,read_switch_flag,r140-r141
label0066,774,read_switch_flag,r142-r143
label0067,784,sync_register2,"... r96, 0x1 /* 1 */"
label0067,793,set_switch_flag_sync,"... 0x11 /* 17 */, 0xAA /* 170 */"
label0033,804,read_switch_flag_on_floor,r60-r62
label0033,807,read_switch_flag,r140-r141
label0033,809,read_switch_flag,r142-r143
label0017,818,sync_register2,"... r96, 0x1 /* 1 */"
label0017,827,set_switch_flag_sync,"... 0x11 /* 17 */, 0xE6 /* 230 */"
label0046,838,read_switch_flag_on_floor,r60-r62
label0046,841,read_switch_flag,r140-r141
label0046,843,read_switch_flag,r142-r143
label0039,852,sync_register2,"... r96, 0x1 /* 1 */"
label0039,861,set_switch_flag_sync,"... 0x11 /* 17 */, 0xB0 /* 176 */"
label0032,872,read_switch_flag_on_floor,r60-r62
label0032,875,read_switch_flag,r140-r141
label0032,877,read_switch_flag,r142-r143
label0012,886,sync_register2,"... r96, 0x1 /* 1 */"
label0012,895,set_switch_flag_sync,"... 0x11 /* 17 */, 0xB3 /* 179 */"
label0045,906,read_switch_flag_on_floor,r60-r62
label0045,909,read_switch_flag,r140-r141
label0045,911,read_switch_flag,r142-r143
label0035,920,sync_register2,"... r96, 0x1 /* 1 */"
label0035,929,set_switch_flag_sync,"... 0x11 /* 17 */, 0xB6 /* 182 */"
label0065,940,read_switch_flag_on_floor,r60-r62
label0065,943,read_switch_flag,r140-r141
label0065,945,read_switch_flag,r142-r143
label0049,954,sync_register2,"... r96, 0x1 /* 1 */"
label0049,963,set_switch_flag_sync,"... 0x11 /* 17 */, 0xB9 /* 185 */"
label0077,974,read_switch_flag_on_floor,r60-r62
label0077,977,read_switch_flag,r140-r141
label0077,979,read_switch_flag,r142-r143
label0078,988,sync_register2,"... r96, 0x1 /* 1 */"
label0078,997,set_switch_flag_sync,"... 0x11 /* 17 */, 0xBC /* 188 */"
label007A,1008,read_switch_flag_on_floor,r60-r62
label007A,1011,read_switch_flag,r140-r141
label007A,1013,read_switch_flag,r142-r143
label007B,1022,sync_register2,"... r96, 0x1 /* 1 */"
label007B,1031,set_switch_flag_sync,"... 0x11 /* 17 */, 0xBF /* 191 */"
label007D,1042,read_switch_flag_on_floor,r60-r62
label007D,1045,read_switch_flag,r140-r141
label007D,1047,read_switch_flag,r142-r143
label007E,1056,sync_register2,"... r96, 0x1 /* 1 */"
label007E,1065,set_switch_flag_sync,"... 0x11 /* 17 */, 0xC2 /* 194 */"
label000F,1074,jmpi_eq,"r254, 0x00000001, label0001"
label000F,1075,jmpi_eq,"r253, 0x00000001, label0001"
label000F,1078,read_switch_flag_on_floor,r60-r62
label0056,1088,sync_register2,"... r157, 0x1 /* 1 */"
label0056,1096,set,r254
label046E,1103,jmpi_eq,"r254, 0x00000001, label046F"
label0470,1123,jmpi_eq,"r254, 0x00000001, label047F"
label0471,1151,jmpi_eq,"r254, 0x00000001, label0472"
label0473,1172,jmpi_eq,"r254, 0x00000001, label0474"
label0075,1283,switch_call,"r250, [label0022, label0025, label002A, label002D]"
label0003,1309,switch_call,"r250, [label006E, label0070, label0073, label0076]"
