source,opcode,target,line
start,set_floor_handler,label0096,20
start,set_floor_handler,label009C,23
start,set_qt_success,label00FA,24
label0096,thread_stg,label02BC,34
label0096,thread_stg,label0262,35
label0096,thread_stg,label0258,36
label0096,thread_stg,label025A,37
label0096,thread_stg,label025C,38
label0096,switch_jmp,label00C8,40
label0096,switch_jmp,label00C9,40
label00C8,thread_stg,label0109,74
label00C8,thread_stg,label0136,75
label00C8,thread_stg,label017C,76
label017C,call,label01F4,80
label017C,call,label01F6,81
label017C,call,label01F8,82
label017C,call,label01FA,83
label017C,call,label01FC,84
label017C,call,label01FE,85
label017C,call,label0200,86
label017C,call,label0202,87
label017C,call,label0204,88
label017C,call,label0206,89
label017C,call,label01A5,90
label00C9,jmpi_eq,label00FB,94
label00C9,thread_stg,label00D1,95
label00C9,thread_stg,label017D,96
label017D,call,label01F4,100
label017D,call,label01F6,101
label017D,call,label01F8,102
label017D,call,label01FA,103
label017D,call,label01FC,104
label017D,call,label01FE,105
label017D,call,label0200,106
label017D,call,label0202,107
label017D,call,label0204,108
label017D,call,label0206,109
label017D,call,label01A5,110
label00FA,jmpi_eq,label00FC,114
label00FA,jmpi_eq,label00FD,115
label00FA,jmpi_eq,label00FE,116
label00FA,jmpi_eq,label0100,117
label00FB,jmpi_eq,label00FF,161
label00FF,call,label00CF,176
label009C,thread_stg,label00D1,184
label009C,thread_stg,label017E,185
label009C,thread_stg,label0267,186
label009C,thread_stg,label028A,187
label009C,thread_stg,label0262,188
label009C,thread_stg,label0258,189
label009C,thread_stg,label025A,190
label009C,thread_stg,label025C,191
label017E,call,label0122,195
label017E,call,label0123,196
label017E,call,label0124,197
label017E,call,label0125,198
label017E,call,label0126,199
label017E,call,label0127,200
label017E,call,label0128,201
label017E,call,label0129,202
label017E,call,label012A,203
label017E,call,label012B,204
label017E,call,label01A0,205
label017E,call,label01A1,206
label017E,call,label01A5,207
label0136,jmpi_eq,label0139,212
label0136,jmpi_eq,label0138,213
label0136,jmpi_eq,label0137,214
label0136,call,label00DC,215
label0136,call,label00CF,216
label0136,jmpi_eq,label0295,217
label0136,jmpi_eq,label0296,218
label0136,jmpi_eq,label0296,219
label0136,call,label00DD,241
label0295,call,label00DD,266
label0296,call,label00DD,291
label0138,jmpi_eq,label029E,302
label0138,jmpi_eq,label029F,303
label0138,jmpi_eq,label02A0,304
label0138,jmpi_eq,label02A0,305
label0140,jmpi_eq,label0141,347
label014A,jmpi_eq,label014B,367
label01F4,jmpi_eq,label0001,382
label01F4,jmpi_eq,label0001,383
label01F4,jmpi_eq,label0001,384
label01F5,jmpi_eq,label01F5,388
label01F5,thread_stg,label0226,390
label01F6,jmpi_eq,label0001,403
label01F6,jmpi_eq,label0001,404
label01F6,jmpi_eq,label0001,405
label01F7,jmpi_eq,label01F7,409
label01F7,thread_stg,label0227,415
label01FA,jmpi_eq,label0001,439
label01FA,jmpi_eq,label0001,440
label01FA,jmpi_eq,label0001,441
label01FB,jmpi_eq,label01FB,445
label01FB,thread_stg,label0229,447
label01FC,jmpi_eq,label0001,460
label01FC,jmpi_eq,label0001,461
label01FC,jmpi_eq,label0001,462
label01FD,jmpi_eq,label01FD,466
label01FD,thread_stg,label022A,472
label0200,jmpi_eq,label0001,496
label0200,jmpi_eq,label0001,497
label0200,jmpi_eq,label0001,498
label0201,jmpi_eq,label0201,502
label0201,thread_stg,label022C,504
label0202,jmpi_eq,label0001,517
label0202,jmpi_eq,label0001,518
label0202,jmpi_eq,label0001,519
label0203,jmpi_eq,label0203,523
label0203,thread_stg,label022D,525
label0204,jmpi_eq,label0001,538
label0204,jmpi_eq,label0001,539
label0204,jmpi_eq,label0001,540
label0205,jmpi_eq,label0205,544
label0205,thread_stg,label022E,546
label0206,jmpi_eq,label0001,559
label0206,jmpi_eq,label0001,560
label0206,jmpi_eq,label0001,561
label0207,jmpi_eq,label0206,565
label0207,thread_stg,label022F,567
label0122,jmpi_eq,label0001,580
label0122,jmpi_eq,label0001,581
label0122,jmpi_eq,label0001,582
label0122,jmpi_eq,label01C2,583
label0190,jmpi_gt,label0190,589
label0190,jmpi_eq,label0122,593
label0123,jmpi_eq,label0001,609
label0123,jmpi_eq,label0001,610
label0123,jmpi_eq,label0001,611
label0123,jmpi_eq,label01C3,612
label0191,jmpi_gt,label0191,618
label0191,jmpi_eq,label0123,622
label01C3,thread_stg,label0230,638
label0125,jmpi_eq,label0001,665
label0125,jmpi_eq,label0001,666
label0125,jmpi_eq,label0001,667
label0125,jmpi_eq,label01C5,668
label0193,jmpi_gt,label0193,674
label0193,jmpi_eq,label0125,678
label01C5,thread_stg,label0232,682
label0126,jmpi_eq,label0001,698
label0126,jmpi_eq,label0001,699
label0126,jmpi_eq,label0001,700
label0126,jmpi_eq,label01C6,701
label0194,jmpi_gt,label0194,707
label0194,jmpi_eq,label0126,711
label01C6,thread_stg,label0233,715
label0128,jmpi_eq,label0001,742
label0128,jmpi_eq,label0001,743
label0128,jmpi_eq,label0001,744
label0128,jmpi_eq,label01C8,745
label0196,jmpi_gt,label0196,751
label0196,jmpi_eq,label0128,755
label01C8,thread_stg,label0235,767
label0129,jmpi_eq,label0001,783
label0129,jmpi_eq,label0001,784
label0129,jmpi_eq,label0001,785
label0129,jmpi_eq,label01C9,786
label0197,jmpi_gt,label0197,792
label0197,jmpi_eq,label0129,796
label01C9,thread_stg,label0239,804
label012A,jmpi_eq,label0001,820
label012A,jmpi_eq,label0001,821
label012A,jmpi_eq,label0001,822
label012A,jmpi_eq,label01CA,823
label0198,jmpi_gt,label0198,829
label0198,jmpi_eq,label012A,833
label01CA,thread_stg,label023B,837
label012B,jmpi_eq,label0001,853
label012B,jmpi_eq,label0001,854
label012B,jmpi_eq,label0001,855
label012B,jmpi_eq,label01CB,856
label0199,jmpi_gt,label0199,862
label0199,jmpi_eq,label012B,866
label01CB,thread_stg,label023A,870
label01A0,jmpi_eq,label0001,886
label01A0,jmpi_eq,label0001,887
label019B,jmpi_gt,label019B,893
label019B,jmpi_eq,label01A0,897
label01A1,jmpi_eq,label0001,912
label01A1,jmpi_eq,label0001,913
label01A2,jmpi_gt,label01A2,919
label01A2,jmpi_eq,label01A2,920
label01A2,call,label00CF,921
label01A2,thread_stg,label01A5,922
label01A5,jmpi_eq,label0001,937
label01A5,jmpi_eq,label0001,938
label01A6,jmpi_eq,label01A6,942
label01A6,jmpi_eq,label0001,943
label01A6,thread_stg,label0237,952
label0237,jmpi_eq,label0238,960
label00D1,jmpi_eq,label0001,983
label00D1,jmpi_eq,label0001,984
label00D1,jmpi_gt,label00D2,985
label00D1,call,label0299,987
label00D1,jmp,label00D2,989
label0299,jmpi_eq,label029A,993
label0299,jmpi_eq,label029B,994
label0299,jmpi_eq,label029C,995
label0299,jmpi_eq,label029C,996
label00D7,jmpi_lt,label00D7,1017
label00D7,jmpi_eq,label019A,1018
label00D7,jmpi_eq,label00D5,1019
label00D7,jmpi_gt,label00D2,1026
label00D7,jmp,label00D5,1027
label00D5,thread_stg,label00D3,1036
label00D3,call,label00CF,1043
label0109,jmpi_eq,label0109,1052
label0109,thread_stg,label00D1,1056
label019A,jmp,label0001,1060
label00D0,jmpi_le,label00D0,1099
label02BD,jmpi_eq,label0001,1124
label0258,jmpi_eq,label0001,1129
label0258,jmpi_eq,label0001,1130
label0258,jmpi_eq,label0258,1132
label0259,jmpi_eq,label0001,1145
label025A,jmpi_eq,label0001,1152
label025A,jmpi_eq,label0001,1153
label025A,jmpi_eq,label025A,1155
label025B,jmpi_eq,label0001,1168
label025C,jmpi_eq,label0001,1175
label025C,jmpi_eq,label0001,1176
label025C,jmpi_eq,label025C,1178
label025D,jmpi_eq,label0001,1191
label0262,thread_stg,label0263,1219
label0262,thread_stg,label0264,1220
label0262,thread_stg,label0265,1221
label0263,jmpi_eq,label0001,1225
label0263,jmpi_eq,label0001,1226
label0263,call,label00CF,1233
label0263,jmp,label0263,1234
