label,line,opcode,args
start,20,set_floor_handler,"... 0x0 /* 0 */, label0096"
start,23,set_floor_handler,"... 0x8 /* 8 */, label009C"
start,24,set_qt_success,label00FA
label0096,40,switch_jmp,"r0, [label00C8, label00C9]"
label00C9,94,jmpi_eq,"r253, 0x00000001, label00FB"
label00FC,127,pl_add_meseta2,... 0xBB8 /* 3000 */
label00FD,137,pl_add_meseta2,... 0x1770 /* 6000 */
label00FE,147,pl_add_meseta2,... 0x2328 /* 9000 */
label0100,157,pl_add_meseta2,... 0x2EE0 /* 12000 */
label0136,212,jmpi_eq,"r255, 0x00000001, label0139"
label0136,213,jmpi_eq,"r254, 0x00000001, label0138"
label029E,315,set,r255
label029F,325,set,r255
label02A0,341,set,r255
label0140,353,jmpi_eq,"r254, 0x00000001, label0141"
label014A,373,jmpi_eq,"r254, 0x00000001, label014B"
label01F4,388,jmpi_eq,"r253, 0x00000001, label0001"
label01F4,389,jmpi_eq,"r254, 0x00000001, label0001"
label01F6,409,jmpi_eq,"r253, 0x00000001, label0001"
label01F6,410,jmpi_eq,"r254, 0x00000001, label0001"
label01F7,419,update_switch_flag,r150-r152
label01FA,445,jmpi_eq,"r253, 0x00000001, label0001"
label01FA,446,jmpi_eq,"r254, 0x00000001, label0001"
label01FC,466,jmpi_eq,"r253, 0x00000001, label0001"
label01FC,467,jmpi_eq,"r254, 0x00000001, label0001"
label01FD,476,update_switch_flag,r150-r152
label0200,502,jmpi_eq,"r253, 0x00000001, label0001"
label0200,503,jmpi_eq,"r254, 0x00000001, label0001"
label0202,523,jmpi_eq,"r253, 0x00000001, label0001"
label0202,524,jmpi_eq,"r254, 0x00000001, label0001"
label0204,544,jmpi_eq,"r253, 0x00000001, label0001"
label0204,545,jmpi_eq,"r254, 0x00000001, label0001"
label0206,565,jmpi_eq,"r253, 0x00000001, label0001"
label0206,566,jmpi_eq,"r254, 0x00000001, label0001"
label0122,586,jmpi_eq,"r253, 0x00000001, label0001"
label0122,587,jmpi_eq,"r254, 0x00000001, label0001"
label01C2,610,sync_register2,"... r160, 0x1 /* 1 */"
label0123,615,jmpi_eq,"r253, 0x00000001, label0001"
label0123,616,jmpi_eq,"r254, 0x00000001, label0001"
label01C3,635,update_switch_flag,r150-r152
label01C3,639,update_switch_flag,r150-r152
label01C3,643,update_switch_flag,r150-r152
label01C3,647,sync_register2,"... r161, 0x1 /* 1 */"
label0125,671,jmpi_eq,"r253, 0x00000001, label0001"
label0125,672,jmpi_eq,"r254, 0x00000001, label0001"
label01C5,691,sync_register2,"... r163, 0x1 /* 1 */"
label0126,704,jmpi_eq,"r253, 0x00000001, label0001"
label0126,705,jmpi_eq,"r254, 0x00000001, label0001"
label01C6,724,sync_register2,"... r164, 0x1 /* 1 */"
label0128,748,jmpi_eq,"r253, 0x00000001, label0001"
label0128,749,jmpi_eq,"r254, 0x00000001, label0001"
label01C8,768,update_switch_flag,r150-r152
label01C8,772,update_switch_flag,r150-r152
label01C8,776,sync_register2,"... r166, 0x1 /* 1 */"
label0129,789,jmpi_eq,"r253, 0x00000001, label0001"
label0129,790,jmpi_eq,"r254, 0x00000001, label0001"
label01C9,809,update_switch_flag,r150-r152
label01C9,813,sync_register2,"... r167, 0x1 /* 1 */"
label012A,826,jmpi_eq,"r253, 0x00000001, label0001"
label012A,827,jmpi_eq,"r254, 0x00000001, label0001"
label01CA,846,sync_register2,"... r168, 0x1 /* 1 */"
label012B,859,jmpi_eq,"r253, 0x00000001, label0001"
label012B,860,jmpi_eq,"r254, 0x00000001, label0001"
label01CB,879,sync_register2,"... r169, 0x1 /* 1 */"
label01A0,892,jmpi_eq,"r253, 0x00000001, label0001"
label01A0,893,jmpi_eq,"r254, 0x00000001, label0001"
label019B,906,sync_register2,"... r254, 0x1 /* 1 */"
label019B,910,update_switch_flag,r150-r152
label019B,914,update_switch_flag,r150-r152
label01A1,918,jmpi_eq,"r253, 0x00000001, label0001"
label01A2,926,jmpi_eq,"r254, 0x00000000, label01A2"
label01A5,943,jmpi_eq,"r253, 0x00000001, label0001"
label01A6,948,jmpi_eq,"r254, 0x00000000, label01A6"
label01A6,953,update_switch_flag,r150-r152
label01A6,957,update_switch_flag,r150-r152
label00D1,989,jmpi_eq,"r254, 0x00000001, label0001"
label00D1,992,gettime,r200
label00D7,1024,jmpi_eq,"r254, 0x00000001, label019A"
label00D7,1025,jmpi_eq,"r253, 0x00000001, label00D5"
label00D7,1026,show_timer,
label00D7,1028,gettime,r200
label00D7,1031,winset_time,r202
label00D5,1039,sync_register2,"... r253, 0x1 /* 1 */"
label00D3,1051,hide_timer,
label0109,1061,sync_register2,"... r0, 0x1 /* 1 */"
label02BD,1130,jmpi_eq,"r253, 0x00000000, label0001"
label0258,1135,jmpi_eq,"r254, 0x00000001, label0001"
label0259,1154,sync_register2,"... r111, 0x1 /* 1 */"
label025A,1158,jmpi_eq,"r254, 0x00000001, label0001"
label025B,1177,sync_register2,"... r112, 0x1 /* 1 */"
label025C,1181,jmpi_eq,"r254, 0x00000001, label0001"
label025D,1200,sync_register2,"... r113, 0x1 /* 1 */"
label0263,1231,jmpi_eq,"r254, 0x00000001, label0001"
label0264,1244,jmpi_eq,"r254, 0x00000001, label0001"
label0265,1257,jmpi_eq,"r254, 0x00000001, label0001"
label0268,1291,jmpi_eq,"r254, 0x00000001, label0001"
label0269,1298,jmpi_eq,"r254, 0x00000001, label0001"
label026A,1305,jmpi_eq,"r254, 0x00000001, label0001"
