source,opcode,target,line
start,set_floor_handler,label0096,30
start,set_floor_handler,label0098,33
start,set_floor_handler,label00A1,36
start,set_floor_handler,label009B,39
start,set_floor_handler,label00A2,42
start,set_floor_handler,label009D,45
start,set_floor_handler,label00A3,48
start,set_floor_handler,label009E,51
start,set_floor_handler,label00A0,54
start,set_floor_handler,label00A4,57
start,set_qt_success,label00FA,58
start,set_qt_failure,label000A,59
label0096,switch_jmp,label00C8,109
label0096,switch_jmp,label00C9,109
label00C8,thread_stg,label01AE,140
label00C8,thread_stg,label03E0,141
label00C8,call,label03C1,142
label00C8,jmpi_eq,label00CD,143
label00C8,call,label03CA,144
label00C8,call,label0136,145
label00CD,call,label0136,149
label00C9,thread_stg,label01AE,153
label00C9,thread_stg,label0226,154
label00C9,thread_stg,label03DE,155
label00C9,thread_stg,label03DF,156
label00C9,call,label05DB,157
label00C9,jmpi_eq,label00CB,170
label00C9,thread_stg,label03B6,171
label00CA,call,label03AD,175
label00CB,jmpi_eq,label0001,179
label00CB,jmpi_eq,label0001,180
label00CB,call,label00DC,185
label00CB,call,label03B4,191
label00CB,call,label03A3,192
label00CB,call,label00DD,193
label00FA,jmpi_eq,label00FB,197
label00FA,jmpi_eq,label00FC,198
label00FA,jmpi_eq,label00FD,199
label00FA,jmpi_eq,label00FE,200
label0097,thread_stg,label0225,248
label0097,call,label00DE,249
label0097,call,label00DF,253
label0097,jmpi_eq,label00CA,254
label0098,thread_stg,label01AE,259
label0098,thread_stg,label01F4,260
label0098,thread_stg,label01FE,261
label0098,thread_stg,label03BB,262
label0098,jmpi_eq,label0097,269
label0098,jmpi_eq,label0097,270
label0098,thread_stg,label0226,271
label0098,jmpi_eq,label00CA,272
label00A1,thread_stg,label0197,276
label00A1,thread_stg,label01AE,277
label00A1,thread_stg,label01F4,278
label00A1,thread_stg,label01FE,279
label00A1,thread_stg,label0226,280
label00A1,thread_stg,label03B6,281
label00A1,jmpi_eq,label03E8,282
label03E8,thread_stg,label0514,294
label03E8,thread_stg,label0578,295
label03E8,thread_stg,label0582,296
label03E8,thread_stg,label03F2,297
label03E8,jmp_eq,label0640,299
label03F2,jmpi_eq,label0001,316
label03F2,jmp_eq,label0001,317
label03F2,jmpi_eq,label03FC,319
label03F2,jmp,label03F2,320
label03FC,jmp_ge,label03FD,329
label03FC,jmp,label041A,330
label03FD,jmp_le,label03FE,333
label03FD,jmp,label041A,334
label03FE,jmp_ge,label03FF,337
label03FE,jmp,label041A,338
label03FF,jmp_le,label0406,341
label03FF,jmp,label041A,342
label0406,jmp,label03F2,365
label041A,jmp,label03F2,382
label04B0,jmpi_eq,label0001,385
label04B0,jmp_eq,label0001,386
label04BA,jmpi_eq,label0001,414
label04BA,jmp_eq,label0001,415
label0514,jmp_le,label0514,475
label0514,switch_jmp,label051E,478
label0514,switch_jmp,label0528,478
label0514,jmp_le,label0514,479
label0514,jmp,label0514,481
label051E,jmp,label0514,491
label0528,jmp,label0514,500
label0578,jmpi_eq,label0578,504
label0578,jmp_le,label0578,506
label0578,jmp,label0578,513
label0582,jmpi_eq,label0582,517
label0582,jmp_le,label0582,519
label0582,jmp,label0582,526
label063F,call,label0640,529
label0640,thread_stg,label067C,533
label0640,set_quest_board_handler,label064C,537
label064C,jmpi_eq,label064F,568
label064C,jmpi_eq,label064F,569
label064C,jmp_eq,label064D,570
label064D,call,label04C4,583
label0064,call,label00DE,609
label0064,call,label00DF,613
label0064,jmpi_eq,label00CA,614
label009B,thread_stg,label01AE,619
label009B,thread_stg,label01F4,620
label009B,thread_stg,label01FE,621
label009B,thread_stg,label0226,622
label009B,jmpi_eq,label0064,623
label009B,call,label05DB,624
label009B,jmpi_eq,label00CA,625
label00A2,thread_stg,label019C,629
label00A2,thread_stg,label019E,630
label00A2,thread_stg,label01AE,631
label00A2,thread_stg,label01F4,632
label00A2,thread_stg,label01FE,633
label00A2,thread_stg,label0226,634
label00A2,thread_stg,label03B6,635
label0065,call,label00DE,640
label0065,call,label00DF,644
label0065,jmpi_eq,label00CA,645
label009D,thread_stg,label01AE,650
label009D,thread_stg,label01F4,651
label009D,thread_stg,label01FE,652
label009D,thread_stg,label0226,653
label009D,jmpi_eq,label0065,654
label009D,jmpi_eq,label00CA,655
label00A3,thread_stg,label01A6,659
label00A3,thread_stg,label01AE,660
label00A3,thread_stg,label01F4,661
label00A3,thread_stg,label01FE,662
label00A3,thread_stg,label0226,663
label00A3,thread_stg,label03B6,664
label009E,thread_stg,label01AE,669
label009E,thread_stg,label01F4,670
label009E,thread_stg,label01FE,671
label009E,thread_stg,label0226,672
label009E,thread_stg,label03B6,673
label009E,thread_stg,label0366,674
label0381,call,label0352,735
label0381,jmpi_eq,label0382,736
label0381,jmpi_gt,label0380,737
label0380,jmp,label0383,741
label0382,call,label0353,744
label0382,jmpi_eq,label0001,745
label0383,jmpi_eq,label0001,749
label0385,jmpi_ge,label0386,760
label0385,jmp,label0385,761
label0386,jmpi_le,label0387,769
label0386,jmp,label038E,770
label0387,jmpi_ge,label0388,773
label0387,jmp,label038E,774
label0388,jmpi_le,label0389,777
label0388,jmp,label038E,778
label0389,jmpi_ge,label038A,781
label0389,jmp,label038E,782
label038A,jmpi_eq,label0354,786
label038A,jmpi_eq,label0356,787
label038A,jmpi_eq,label0358,788
label038A,jmpi_eq,label035A,789
label038A,jmpi_eq,label035C,790
label038A,jmpi_eq,label035E,791
label038A,jmpi_eq,label038F,792
label038A,jmp,label0384,793
label038F,jmpi_eq,label0395,804
label038F,call,label0352,808
label038F,jmpi_eq,label038D,809
label038F,call,label00DC,810
label038F,jmpi_gt,label0076,899
label038F,jmp,label0075,900
label0075,jmpi_gt,label0076,907
label0075,jmp,label037E,908
label0076,jmp,label037E,924
label037E,bb_swap_item,label0390,952
label037E,bb_swap_item,label002C,952
label037E,call,label0018,954
label037E,call,label0029,955
label037E,call,label00DD,956
label0391,call,label00DC,975
label0391,call,label00DD,985
label0395,call,label0353,992
label0395,jmpi_eq,label0394,993
label0395,call,label00DC,994
label0395,bb_swap_item,label0396,1045
label0395,bb_swap_item,label002C,1045
label0395,call,label0018,1047
label0395,call,label0029,1048
label0395,call,label00DD,1049
label0392,call,label00DC,1088
label0392,call,label00DD,1112
label0397,call,label00DC,1116
label0397,call,label00DD,1140
label037F,call,label00DD,1154
label0393,thread_stg,label0381,1158
label0394,call,label00DC,1162
label0394,call,label00DD,1170
label038D,call,label00DC,1177
label038D,call,label00DD,1202
label0354,call,label00DE,1206
label0354,jmpi_eq,label0355,1207
label0354,call,label00DF,1211
label0354,jmp,label0384,1212
label0355,call,label00DF,1218
label0355,jmp,label0384,1219
label0356,call,label00DE,1222
label0356,jmpi_eq,label0357,1223
label0356,call,label00DF,1227
label0356,jmp,label0384,1228
label0357,call,label00DF,1234
label0357,jmp,label0384,1235
label0358,call,label00DE,1238
label0358,jmpi_eq,label0359,1239
label0358,call,label00DF,1243
label0358,jmp,label0384,1244
label0359,call,label00DF,1250
label0359,jmp,label0384,1251
label035A,call,label00DE,1254
label035A,jmpi_eq,label035B,1255
label035A,call,label00DF,1259
label035A,jmp,label0384,1260
label035B,call,label00DF,1266
label035B,jmp,label0384,1267
label035C,call,label00DE,1271
label035C,jmpi_eq,label035D,1272
label035C,call,label00DF,1276
label035C,jmp,label0384,1277
label035D,call,label00DF,1283
label035D,jmp,label0384,1284
label035E,call,label00DE,1287
label035E,jmpi_eq,label035F,1288
