floor,event_id,room,wave,delay_frames,event_type,actions,enemy_records,enemy_types
3,8,0,0,0,1,set_switch(8); trigger_event(41); stop,0,{}
3,41,41,1,5,1,trigger_event(411); stop,29,"{""0x0043"": 29}"
3,411,41,2,5,1,trigger_event(412); stop,10,"{""0x00A0"": 10}"
3,412,41,3,5,1,set_switch(41); stop,17,"{""0x0080"": 16, ""0x0085"": 1}"
3,51,51,1,5,1,trigger_event(511); stop,24,"{""0x0080"": 24}"
3,511,51,2,5,1,trigger_event(512); stop,12,"{""0x0065"": 12}"
3,512,51,3,5,1,trigger_event(513); stop,5,"{""0x00A0"": 1, ""0x0081"": 4}"
3,513,51,4,5,1,trigger_event(515); stop,18,"{""0x0080"": 17, ""0x0085"": 1}"
3,515,51,5,5,1,trigger_event(516); stop,12,"{""0x0081"": 12}"
3,516,51,6,5,1,trigger_event(517); stop,9,"{""0x0081"": 9}"
3,517,51,7,5,1,trigger_event(518); stop,10,"{""0x0081"": 10}"
3,518,51,8,5,1,trigger_event(519); stop,6,"{""0x0081"": 6}"
3,519,51,9,5,1,set_switch(51); set_switch(1); stop,11,"{""0x0081"": 11}"
15,1,1,1,50,1,"construct_objects(room=1,group_or_wave=1); stop",1,"{""0x00CC"": 1}"
