label,line,instructions
start,16,0
label0001,21,4
label0002,27,10
label0003,39,16
label0004,57,4
label0005,63,2
label0006,67,2
label0007,71,2
label0008,75,2
label0009,79,3
label000B,84,1
label000C,87,6
label014A,95,1
label0154,98,1
label0168,101,8
label015E,111,9
label015F,122,4
label0160,128,4
label0161,134,4
label0162,140,4
label0163,146,10
label0096,158,1
label0097,161,33
label0136,196,23
label0098,221,8
label0137,231,5
label0138,238,8
label0139,248,8
label00FA,258,7
label0103,267,7
label00FB,276,4
label0102,282,7
label0105,291,1
label00FC,294,11
label0106,307,26
label010E,335,20
label0104,357,22
label00FD,381,7
label0438,390,20
label0455,412,4
label04B1,418,7
label05DC,427,4
