floor,event_id,room,wave,delay_frames,event_type,actions,enemy_records,enemy_types
3,1,42,1,1,1,"construct_objects(room=42,group_or_wave=1); stop",0,{}
3,2,31,1,15,1,trigger_event(3); stop,2,"{""0x0043"": 2}"
3,3,31,2,25,1,set_switch(1); stop,5,"{""0x0043"": 5}"
3,4,31,3,30,1,set_switch(2); stop,2,"{""0x0043"": 2}"
3,5,50,1,50,1,trigger_event(6); stop,5,"{""0x0043"": 5}"
3,6,50,2,30,1,trigger_event(7); stop,3,"{""0x0043"": 3}"
3,7,50,3,30,1,trigger_event(8); stop,3,"{""0x0043"": 3}"
3,8,50,4,40,1,set_switch(3); stop,5,"{""0x0043"": 3, ""0x0080"": 2}"
3,9,11,1,30,1,trigger_event(10); stop,6,"{""0x0043"": 2, ""0x0080"": 4}"
3,10,11,2,30,1,trigger_event(11); stop,2,"{""0x0043"": 2}"
3,11,11,3,30,1,trigger_event(12); stop,6,"{""0x0043"": 2, ""0x0080"": 4}"
3,12,11,4,30,1,"set_switch(4); construct_objects(room=180,group_or_wave=50); stop",1,"{""0x0065"": 1}"
3,13,180,1,45,1,set_switch(5); trigger_event(14); stop,4,"{""0x0043"": 4}"
3,14,41,1,1,1,trigger_event(15); stop,5,"{""0x0043"": 5}"
3,15,41,2,40,1,trigger_event(16); stop,5,"{""0x0043"": 4, ""0x00A0"": 1}"
3,16,41,3,40,1,trigger_event(17); stop,5,"{""0x0043"": 4, ""0x00A0"": 1}"
3,17,41,4,40,1,trigger_event(18); stop,8,"{""0x0043"": 8}"
3,18,41,5,50,1,"set_switch(6); construct_objects(room=105,group_or_wave=90); stop",1,"{""0x0081"": 1}"
3,19,52,1,50,1,trigger_event(20); stop,3,"{""0x0080"": 3}"
3,20,52,2,35,1,trigger_event(21); stop,4,"{""0x0080"": 4}"
3,21,52,3,40,1,trigger_event(22); stop,4,"{""0x0080"": 4}"
3,22,52,4,40,1,set_switch(7); stop,3,"{""0x0080"": 3}"
3,23,160,1,1,1,set_switch(8); stop,2,"{""0x0080"": 2}"
3,24,51,1,30,1,trigger_event(25); stop,4,"{""0x00A0"": 1, ""0x0080"": 3}"
3,25,51,2,30,1,trigger_event(26); stop,6,"{""0x0080"": 6}"
3,26,51,3,40,1,set_switch(9); stop,7,"{""0x0080"": 6, ""0x0085"": 1}"
3,27,51,4,75,1,trigger_event(28); stop,5,"{""0x0080"": 5}"
3,28,51,5,40,1,trigger_event(29); stop,6,"{""0x0080"": 4, ""0x0065"": 2}"
3,29,51,6,40,1,set_switch(10); stop,5,"{""0x00A0"": 1, ""0x0080"": 4}"
3,30,51,7,10,1,trigger_event(31); stop,7,"{""0x0080"": 5, ""0x0085"": 1, ""0x0081"": 1}"
3,31,51,8,30,1,trigger_event(32); stop,6,"{""0x0043"": 3, ""0x0080"": 3}"
3,32,51,9,30,1,trigger_event(33); stop,6,"{""0x0043"": 3, ""0x0080"": 3}"
3,33,51,10,30,1,trigger_event(34); stop,8,"{""0x0080"": 8}"
3,34,51,11,5,1,"set_switch(11); construct_objects(room=140,group_or_wave=91); stop",1,"{""0x0081"": 1}"
3,35,12,1,10,1,trigger_event(36); stop,3,"{""0x0065"": 1, ""0x0043"": 2}"
3,36,12,2,40,1,trigger_event(37); stop,4,"{""0x0065"": 2, ""0x0043"": 2}"
3,37,12,3,40,1,set_switch(12); stop,5,"{""0x0065"": 2, ""0x0080"": 3}"
3,38,182,1,25,1,trigger_event(39); stop,1,"{""0x00A0"": 1}"
3,39,182,2,30,1,set_switch(13); stop,1,"{""0x0065"": 1}"
3,40,181,1,20,1,set_switch(14); trigger_event(41); stop,2,"{""0x0043"": 2}"
