floor,index,type,room,group,x,y,z,p1,p2,p3,p4,p5,p6
0,0,0x0051,10,0,-231.0,0.0,-240.0,1.0,1.0,1.0,0,0,0
0,1,0x0051,10,0,-121.0,0.0,47.0,1.0,1.0,1.0,1,0,0
0,2,0x0051,10,0,-166.5,0.0,-292.0,1.0,1.0,1.0,2,0,0
0,3,0x0051,10,0,-121.0,0.0,-401.0,1.0,1.0,1.0,3,0,0
0,4,0x0051,10,0,-10126.7998046875,-15.0,-37.0,1.0,1.0,1.0,1,0,0
0,5,0x0051,10,0,-10072.7998046875,-15.09999942779541,-37.0,1.0,1.0,1.0,0,0,0
0,6,0x0051,10,0,-10140.0,1.0,-245.0,1.0,1.0,1.0,2,0,0
0,7,0x0051,10,0,-10060.0,1.0,-245.0,1.0,1.0,1.0,3,0,0
0,8,0x0044,10,0,100.0,0.0,-30.0,1.0,1.0,1.0,0,0,0
0,9,0x0040,10,0,-100.0,0.0,15.0,1.0,1.0,1.0,4,0,0
0,10,0x02BA,10,0,-70.0,0.0,40.0,35.0,1.0,1.0,5,1,0
0,11,0x0057,10,0,-67.22620391845703,0.0,-128.34556579589844,10000.0,1.0,1.0,0,0,0
0,12,0x0057,10,0,-74.79898834228516,26.38296127319336,-143.7509765625,90000.0,1.0,1.0,0,0,0
0,13,0x02BB,10,0,-10.0,0.0,-30.0,1.0,1.0,1.0,3,0,0
0,14,0x02BB,10,0,-130.0,0.0,-30.0,1.0,1.0,1.0,-1,0,0
0,15,0x02BB,20,0,-80.0,0.0,0.0,1.0,1.0,1.0,-1,0,0
0,16,0x02BD,20,0,20.0,-2.0,0.0,-9990.0,1.0,60.0,32768,0,2
0,17,0x0041,30,0,170.0,-30.0,-150.0,1.0,1.0,1.0,0,0,0
0,18,0x0041,30,0,200.0,-30.0,-150.0,1.0,1.0,1.0,1,0,0
0,19,0x0041,30,0,230.0,-30.0,-145.0,1.0,1.0,1.0,2,0,0
0,20,0x0041,30,0,260.0,-30.0,-115.0,1.0,1.0,1.0,3,0,0
0,21,0x0040,30,0,-101.0,0.0,-139.0,1.0,1.0,1.0,1,0,0
0,22,0x0040,30,0,-196.0,0.0,-130.0,1.0,1.0,1.0,2,0,0
0,23,0x0040,30,0,-246.0,0.0,-119.0,1.0,1.0,1.0,3,0,0
0,24,0x0040,30,0,-257.0,0.0,-60.0,1.0,1.0,1.0,0,0,0
0,25,0x0040,30,0,-180.0,0.0,-40.0,1.0,1.0,1.0,6,0,0
0,26,0x0040,30,0,-223.0,0.0,-5.0,1.0,1.0,1.0,5,0,0
0,27,0x02BA,30,0,200.0,-30.0,-130.0,100.0,1.0,1.0,5,1,0
0,28,0x02BA,30,0,-90.0,0.0,-120.0,40.0,1.0,1.0,5,1,0
0,29,0x02BB,40,0,80.0,0.0,0.0,1.0,1.0,1.0,2,0,0
0,30,0x02B1,40,0,-35.0,0.0,0.0,1.0,1.0,1.0,0,0,0
0,31,0x0045,42,0,0.0,10.0,140.0,135.0,0.0,50.0,49152,65536,1
0,32,0x0056,42,0,-105.0,-10.0,-10.0,1.0,1.0,1.0,-1,0,0
0,33,0x0056,42,0,105.0,-10.0,-10.0,1.0,1.0,1.0,0,1,0
0,34,0x0043,42,0,230.0,-8.5,-10.0,1.0,1.0,1.0,1,1,0
0,35,0x0001,42,0,-230.0,-7.0000104904174805,-10.0,45.0,1.0,1.0,0,0,0
0,36,0x0000,42,0,-20.0,0.0,30.0,0.0,1.0,1.0,1,0,0
0,37,0x0000,42,0,20.0,0.0,30.0,1.0,1.0,1.0,1,0,0
0,38,0x0000,42,0,-30.0,0.0,50.0,2.0,1.0,1.0,1,0,0
0,39,0x0000,42,0,30.0,0.0,50.0,3.0,1.0,1.0,1,0,0
0,40,0x02BA,42,0,0.0,-1.7601996660232544e-07,40.0,50.0,1.0,1.0,5,1,0
0,41,0x02BA,42,0,0.0,30.0,-190.0,50.0,1.0,1.0,5,1,0
0,42,0x02B1,50,0,-35.0,0.0,30.0,1.0,1.0,1.0,0,0,0
0,43,0x02B1,50,0,-35.0,0.0,-30.0,1.0,1.0,1.0,0,0,0
17,0,0x0008,1,0,271.25390625,-21.0,-74.701171875,41.0,1.0,1.0,11,0,0
17,1,0x0008,1,0,334.2568359375,-20.0,-91.8564453125,41.0,1.0,1.0,11,0,0
17,2,0x0008,1,0,385.6591796875,-21.0,-105.513671875,41.0,1.0,1.0,11,0,0
17,3,0x0008,1,0,-105.599609375,-1.0,-385.0263671875,51.0,1.0,1.0,21,0,0
17,4,0x0008,1,0,9698.041015625,-1.0,9815.4501953125,51.0,1.0,1.0,41,0,0
17,5,0x0008,1,0,19900.90234375,-1.0,-386.84765625,51.0,1.0,1.0,101,0,0
17,6,0x0008,1,0,-100.2265625,-1.0,9614.888671875,51.0,1.0,1.0,31,0,0
17,7,0x0008,1,0,9895.197265625,-1.0,-384.33984375,51.0,1.0,1.0,201,0,0
17,8,0x0008,1,0,279.9716796875,-21.0,19960.95703125,41.0,1.0,1.0,211,0,0
17,9,0x0008,1,0,10286.3681640625,-21.0,19978.88671875,41.0,1.0,1.0,51,0,0
17,10,0x0008,1,0,9900.091796875,-1.0,19615.556640625,51.0,1.0,1.0,221,0,0
17,11,0x0008,1,0,19885.689453125,-1.0,19615.2890625,51.0,1.0,1.0,301,0,0
17,12,0x0008,1,0,10235.0,-8.40092945098877,19750.0,41.0,1.0,1.0,52,0,0
17,13,0x0008,1,0,10110.0,0.0,19675.0,41.0,1.0,1.0,53,0,0
17,14,0x0008,1,0,29920.0,0.0,10000.0,41.0,1.0,1.0,302,0,0
17,15,0x0008,1,0,10357.1904296875,-21.0,19975.7265625,41.0,1.0,1.0,51,0,0
17,16,0x0008,1,0,10421.2060546875,-20.0,19976.4921875,41.0,1.0,1.0,51,0,0
17,17,0x0008,1,0,20135.0,-1.0,9665.0,21.0,1.0,1.0,42,0,0
17,18,0x0008,1,0,346.681640625,-20.335002899169922,19949.3046875,41.0,1.0,1.0,211,0,0
