floor,index,type,room,wave,wave2,children,x,y,z,p1,p2,p3,p4,p5,p6,p7
0,0,0x00FE,10,0,0,0,-113.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0,0
0,1,0x000B,10,0,0,0,-45.0,0.0,-60.0,0.0,0.0,0.0,120.0,1143.0,0,0
0,2,0x001F,30,0,0,0,-108.0,0.0,-144.0,0.0,0.0,0.0,0.0,0.0,0,0
0,3,0x001C,30,0,0,0,-175.0,0.0,-40.0,0.0,0.0,0.0,0.0,0.0,0,0
0,4,0x00FE,30,0,0,0,-230.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0
0,5,0x00F1,30,0,0,0,-268.0,0.0,-64.0,0.0,0.0,0.0,0.0,0.0,0,0
0,6,0x00D3,30,0,0,0,-254.0,0.0,-127.0,0.0,0.0,0.0,0.0,0.0,0,0
0,7,0x00D0,30,0,0,0,-196.0,0.0,-144.0,0.0,0.0,0.0,0.0,0.0,0,0
0,8,0x00FB,30,0,0,0,-76.31710052490234,0.0,-50.9056396484375,30.0,0.0,0.0,123.0,1146.0,1,0
0,9,0x00FA,30,0,0,0,95.0,-30.0,-120.0,0.0,0.0,0.0,125.0,1148.0,0,0
0,10,0x00F9,30,0,0,0,140.0,-30.0,-25.0,20.0,0.0,0.0,124.0,1147.0,1,0
0,11,0x00F0,30,0,0,0,-35.0,0.0,85.0,0.0,0.0,0.0,121.0,1142.0,0,0
0,12,0x00F8,42,1,1,0,58.0,31.0,-174.0,0.0,0.0,-1.0,102.0,1136.0,0,0
0,13,0x00D1,42,0,0,0,0.0,31.0,-215.0,0.0,0.0,0.0,100.0,1144.0,0,0
0,14,0x00D2,42,0,0,0,-49.0,31.0,-191.0,0.0,0.0,0.0,101.0,1134.0,0,0
0,15,0x00FF,42,0,0,0,80.0,-10.0,-30.0,0.0,0.0,0.0,104.0,1137.0,0,0
0,16,0x00D0,42,0,0,0,-80.0,-10.0,-30.0,0.0,0.0,0.0,105.0,1139.0,0,0
0,17,0x00D3,42,0,0,0,70.0,-5.0,155.0,0.0,0.0,0.0,106.0,1141.0,0,0
0,18,0x00FC,50,0,0,0,0.0,0.0,-15.0,0.0,0.0,0.0,122.0,1145.0,0,0
10,0,0x00DD,80,1,1,0,-45.0,-31.0,-30.0,0.0,0.0,0.0,0.0,0.0,0,0
10,1,0x00DD,80,1,1,0,15.0,-31.0,-30.0,0.0,0.0,0.0,0.0,0.0,0,0
10,2,0x00DD,80,1,1,0,15.0,-31.0,15.0,0.0,0.0,0.0,0.0,0.0,0,0
10,3,0x00DD,80,1,1,0,-45.0,-31.0,15.0,0.0,0.0,0.0,0.0,0.0,0,0
10,4,0x00DD,80,2,2,0,-135.0,-31.0,-5.0,0.0,0.0,0.0,0.0,0.0,0,0
10,5,0x00DD,80,2,2,0,-135.0,-31.0,-45.0,0.0,0.0,0.0,0.0,0.0,0,0
10,6,0x00DD,80,2,2,0,-135.0,-31.0,35.0,0.0,0.0,0.0,0.0,0.0,0,0
10,7,0x00DD,80,2,2,0,15.0,-31.0,-5.0,0.0,0.0,0.0,0.0,0.0,0,0
10,8,0x00DD,80,2,2,0,15.0,-31.0,-45.0,0.0,0.0,0.0,0.0,0.0,0,0
10,9,0x00DD,80,2,2,0,15.0,-31.0,35.0,0.0,0.0,0.0,0.0,0.0,0,0
10,10,0x00DD,80,3,3,0,90.0,-2.0,-85.0,0.0,0.0,0.0,0.0,0.0,1,0
10,11,0x00DD,80,3,3,0,0.0,-31.0,-85.0,0.0,0.0,0.0,0.0,0.0,1,0
10,12,0x00DD,80,3,3,0,60.0,-21.0,-85.0,0.0,0.0,0.0,0.0,0.0,1,0
10,13,0x00DD,80,3,3,0,-30.0,-31.0,-85.0,0.0,0.0,0.0,0.0,0.0,0,0
10,14,0x00DD,80,3,3,0,30.0,-31.0,-85.0,0.0,0.0,0.0,0.0,0.0,0,0
10,15,0x00DD,80,3,3,0,120.0,0.0,-85.0,0.0,0.0,0.0,0.0,0.0,0,0
10,16,0x00DE,80,4,4,0,170.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0,0
10,17,0x00DE,80,4,4,0,170.0,0.0,-80.0,0.0,0.0,0.0,0.0,0.0,0,0
10,18,0x00DD,80,4,4,0,160.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0,0
10,19,0x00DD,80,4,4,0,160.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0,0
10,20,0x00DD,90,1,1,0,-120.0,-3.814697265625e-06,-90.0,0.0,0.0,0.0,0.0,0.0,0,0
10,21,0x00DD,90,1,1,0,-70.0,-3.814697265625e-06,-90.0,0.0,0.0,0.0,0.0,0.0,0,0
10,22,0x00DD,90,1,1,0,-170.0,-3.814697265625e-06,-90.0,0.0,0.0,0.0,0.0,0.0,0,0
10,23,0x00DF,90,1,1,5,-70.0,0.0,45.0,0.0,0.0,0.0,1.0,0.0,0,0
10,24,0x00DF,90,1,1,5,-170.0,0.0,45.0,0.0,0.0,0.0,1.0,0.0,0,0
10,25,0x00E0,90,1,1,0,-120.0,0.0,45.0,2.0,0.0,0.0,0.0,0.0,1,0
10,26,0x00DD,90,2,2,0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,1,0
10,27,0x00DD,90,2,2,0,50.0,-3.814697265625e-06,-50.0,0.0,0.0,0.0,0.0,0.0,1,0
10,28,0x00DD,90,2,2,0,-50.0,-3.814697265625e-06,-50.0,0.0,0.0,0.0,0.0,0.0,1,0
10,29,0x00DD,90,2,2,0,100.0,-3.814697265625e-06,-50.0,0.0,0.0,0.0,0.0,0.0,1,0
10,30,0x00DD,90,2,2,0,-100.0,-3.814697265625e-06,-50.0,0.0,0.0,0.0,0.0,0.0,1,0
10,31,0x00DD,90,2,2,0,0.0,-3.814697265625e-06,-80.0,0.0,0.0,0.0,0.0,0.0,0,0
10,32,0x00DE,90,3,3,0,-50.0,-3.814697265625e-06,-100.0,0.0,0.0,0.0,0.0,0.0,0,0
10,33,0x00DE,90,3,3,0,0.0,-3.814697265625e-06,-100.0,0.0,0.0,0.0,0.0,0.0,0,0
10,34,0x00DE,90,3,3,0,50.0,-3.814697265625e-06,-100.0,0.0,0.0,0.0,0.0,0.0,0,0
10,35,0x00DD,90,4,4,0,100.0,-3.814697265625e-06,-80.0,0.0,0.0,0.0,0.0,0.0,0,0
10,36,0x00DD,90,4,4,0,100.0,-3.814697265625e-06,-30.0,0.0,0.0,0.0,0.0,0.0,0,0
10,37,0x00DD,90,4,4,0,-100.0,0.0,-30.0,0.0,0.0,0.0,0.0,0.0,0,0
10,38,0x00DD,90,4,4,0,-100.0,-3.814697265625e-06,-80.0,0.0,0.0,0.0,0.0,0.0,0,0
