quest_key,episode,floor,index,type,kind,room,wave,position,angles,params,handler_label,handler_status
Test/q37-bb-e,Episode1,0,2,12,npc,30,0,"[0.3424072265625, 2.5999996662139893, -84.7215576171875]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0010986328125, 0.0, 0, 0]",,no DAT interaction label
Test/q37-bb-j,Episode1,0,2,12,npc,30,0,"[0.3424072265625, 2.5999996662139893, -84.7215576171875]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0010986328125, 0.0, 0, 0]",,no DAT interaction label
events-ep1/q28-bb-e,Episode1,0,11,12,npc,30,0,"[0.3424224853515625, 2.5999996662139893, -84.72158813476562]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0010986328125, 0.0, 0, 0]",,no DAT interaction label
events-ep1/q28-bb-j,Episode1,0,11,12,npc,30,0,"[0.3424224853515625, 2.5999996662139893, -84.72158813476562]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0010986328125, 0.0, 0, 0]",,no DAT interaction label
events-ep1/q070-bb-e,Episode1,0,8,12,npc,30,0,"[0.3424224853515625, 2.5999996662139893, -84.72158813476562]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0010986328125, 800.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep1/q070-bb-j,Episode1,0,8,12,npc,30,0,"[0.3424224853515625, 2.5999996662139893, -84.72158813476562]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0010986328125, 800.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep1/q71-bb-e,Episode1,0,13,12,npc,30,0,"[0.3424224853515625, 2.5999996662139893, -84.72158813476562]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0010986328125, 0.0, 0, 0]",,no DAT interaction label
events-ep1/q71-bb-j,Episode1,0,13,12,npc,30,0,"[0.3424224853515625, 2.5999996662139893, -84.72158813476562]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0010986328125, 0.0, 0, 0]",,no DAT interaction label
events-ep1/q073-bb-e,Episode1,0,12,12,npc,30,0,"[0.3423309326171875, 2.5999999046325684, -84.719970703125]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0010986328125, 800.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep1/q073-bb-j,Episode1,0,12,12,npc,30,0,"[0.3423309326171875, 2.5999999046325684, -84.719970703125]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0010986328125, 800.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep1/q80-bb-e,Episode1,0,13,12,npc,30,0,"[0.3424224853515625, 2.5999996662139893, -84.72158813476562]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0010986328125, 0.0, 0, 0]",,no DAT interaction label
events-ep1/q80-bb-j,Episode1,0,13,12,npc,30,0,"[0.3424224853515625, 2.5999996662139893, -84.72158813476562]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0010986328125, 0.0, 0, 0]",,no DAT interaction label
events-ep1/q93-bb-e,Episode1,0,17,12,npc,30,0,"[0.3424072265625, 2.5999996662139893, -84.72157287597656]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0010986328125, 0.0, 0, 0]",,no DAT interaction label
events-ep1/q93-bb-j,Episode1,0,17,12,npc,30,0,"[0.3424072265625, 2.5999996662139893, -84.72157287597656]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0010986328125, 0.0, 0, 0]",,no DAT interaction label
events-ep1/q112-bb-e,Episode1,0,13,12,npc,30,0,"[0.3424224853515625, 2.5999996662139893, -84.72158813476562]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0010986328125, 0.0, 0, 0]",,no DAT interaction label
events-ep1/q112-bb-j,Episode1,0,13,12,npc,30,0,"[0.3424224853515625, 2.5999996662139893, -84.72158813476562]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0010986328125, 0.0, 0, 0]",,no DAT interaction label
events-ep1/q113-bb-e,Episode1,0,15,12,npc,30,0,"[0.3424224853515625, 2.5999996662139893, -84.72158813476562]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0010986328125, 0.0, 0, 0]",,no DAT interaction label
events-ep1/q113-bb-j,Episode1,0,15,12,npc,30,0,"[0.3424224853515625, 2.5999996662139893, -84.72158813476562]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0010986328125, 0.0, 0, 0]",,no DAT interaction label
events-ep1/q127-bb-e,Episode1,0,2,12,npc,30,0,"[0.3424072265625, 2.5999996662139893, -84.7215576171875]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0010986328125, 800.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep1/q127-bb-j,Episode1,0,2,12,npc,30,0,"[0.3424072265625, 2.5999996662139893, -84.7215576171875]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0010986328125, 800.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep1/q220-bb-e,Episode1,0,10,12,npc,30,0,"[0.3423309326171875, 2.5999999046325684, -84.71995544433594]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0, 800.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep1/q220-bb-j,Episode1,0,10,12,npc,30,0,"[0.3423309326171875, 2.5999999046325684, -84.71995544433594]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0, 800.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep1/q399-bb-e,Episode1,0,13,12,npc,30,0,"[0.3423309326171875, 2.5999999046325684, -84.71995544433594]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0, 800.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep1/q512-bb-e,Episode1,0,11,12,npc,30,0,"[0.3423309326171875, 2.5999999046325684, -84.71995544433594]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0, 800.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep1/q1001-bb-e,Episode1,0,15,12,npc,30,0,"[0.3423309326171875, 2.5999999046325684, -84.71995544433594]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0, 800.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep1/q1001-bb-j,Episode1,0,15,12,npc,30,0,"[0.3423309326171875, 2.5999999046325684, -84.71995544433594]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0, 800.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep1/q1003-bb-e,Episode1,0,12,12,npc,30,0,"[0.34234619140625, 2.5999999046325684, -84.71995544433594]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0, 800.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep4/q302-bb-e,Episode4,0,10,12,npc,30,0,"[0.3424072265625, 2.5999996662139893, -84.7215576171875]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0010986328125, 800.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep4/q302-bb-j,Episode4,0,10,12,npc,30,0,"[0.3424072265625, 2.5999996662139893, -84.7215576171875]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0010986328125, 800.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep4/q306-bb-e,Episode4,0,10,12,npc,30,0,"[0.3424072265625, 2.5999996662139893, -84.7215576171875]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0010986328125, 800.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep4/q306-bb-j,Episode4,0,10,12,npc,30,0,"[0.3424072265625, 2.5999996662139893, -84.7215576171875]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0010986328125, 800.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep4/q315-bb-e,Episode4,0,10,12,npc,30,0,"[0.3424072265625, 2.5999996662139893, -84.7215576171875]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0010986328125, 800.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep4/q315-bb-j,Episode4,0,10,12,npc,30,0,"[0.3424072265625, 2.5999996662139893, -84.7215576171875]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0010986328125, 800.0, 0, 0]",,free-play script target; quest linkage not inferred
extermination-ep1/q53-bb-e,Episode1,0,15,12,npc,30,0,"[0.3424224853515625, 2.5999996662139893, -84.72158813476562]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0010986328125, 0.0, 0, 0]",,no DAT interaction label
extermination-ep1/q53-bb-j,Episode1,0,15,12,npc,30,0,"[0.3424224853515625, 2.5999996662139893, -84.72158813476562]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0010986328125, 0.0, 0, 0]",,no DAT interaction label
extermination-ep1/q62-bb-e,Episode1,0,13,12,npc,30,0,"[0.3424224853515625, 2.5999996662139893, -84.72158813476562]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0010986328125, 0.0, 0, 0]",,no DAT interaction label
extermination-ep1/q62-bb-j,Episode1,0,13,12,npc,30,0,"[0.3424224853515625, 2.5999996662139893, -84.72158813476562]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0010986328125, 0.0, 0, 0]",,no DAT interaction label
extermination-ep1/q63-bb-e,Episode1,0,13,12,npc,30,0,"[0.3424224853515625, 2.5999996662139893, -84.72158813476562]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0010986328125, 0.0, 0, 0]",,no DAT interaction label
extermination-ep1/q63-bb-j,Episode1,0,13,12,npc,30,0,"[0.3424224853515625, 2.5999996662139893, -84.72158813476562]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0010986328125, 0.0, 0, 0]",,no DAT interaction label
extermination-ep1/q101-bb-e,Episode1,0,13,12,npc,30,0,"[0.3423614501953125, 2.5999999046325684, -84.71998596191406]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0, 800.0, 0, 0]",,free-play script target; quest linkage not inferred
extermination-ep1/q101-bb-j,Episode1,0,13,12,npc,30,0,"[0.3423614501953125, 2.5999999046325684, -84.71998596191406]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0, 800.0, 0, 0]",,free-play script target; quest linkage not inferred
extermination-ep1/q102-bb-e,Episode1,0,12,12,npc,30,0,"[0.34234619140625, 2.5999999046325684, -84.71995544433594]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0, 800.0, 0, 0]",,free-play script target; quest linkage not inferred
extermination-ep1/q102-bb-j,Episode1,0,12,12,npc,30,0,"[0.34234619140625, 2.5999999046325684, -84.71995544433594]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0, 800.0, 0, 0]",,free-play script target; quest linkage not inferred
extermination-ep1/q103-bb-e,Episode1,0,13,12,npc,30,0,"[0.3423309326171875, 2.5999999046325684, -84.71995544433594]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0, 800.0, 0, 0]",,free-play script target; quest linkage not inferred
extermination-ep1/q103-bb-j,Episode1,0,13,12,npc,30,0,"[0.3423309326171875, 2.5999999046325684, -84.71995544433594]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0, 800.0, 0, 0]",,free-play script target; quest linkage not inferred
extermination-ep1/q104-bb-e,Episode1,0,13,12,npc,30,0,"[0.3423309326171875, 2.5999999046325684, -84.71995544433594]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0, 800.0, 0, 0]",,free-play script target; quest linkage not inferred
extermination-ep1/q104-bb-j,Episode1,0,13,12,npc,30,0,"[0.3423309326171875, 2.5999999046325684, -84.71995544433594]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0, 800.0, 0, 0]",,free-play script target; quest linkage not inferred
extermination-ep1/q108-bb-e,Episode1,0,15,12,npc,30,0,"[0.3423309326171875, 2.5999999046325684, -84.71995544433594]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0, 800.0, 0, 0]",,free-play script target; quest linkage not inferred
extermination-ep1/q108-bb-j,Episode1,0,15,12,npc,30,0,"[0.3423309326171875, 2.5999999046325684, -84.71995544433594]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0, 800.0, 0, 0]",,free-play script target; quest linkage not inferred
extermination-ep1/q109-bb-e,Episode1,0,15,12,npc,30,0,"[0.3423309326171875, 2.5999999046325684, -84.71995544433594]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0, 800.0, 0, 0]",,free-play script target; quest linkage not inferred
extermination-ep1/q109-bb-j,Episode1,0,15,12,npc,30,0,"[0.3423309326171875, 2.5999999046325684, -84.71995544433594]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0, 800.0, 0, 0]",,free-play script target; quest linkage not inferred
extermination-ep1/q110-bb-e,Episode1,0,15,12,npc,30,0,"[0.3423309326171875, 2.5999999046325684, -84.71995544433594]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0, 800.0, 0, 0]",,free-play script target; quest linkage not inferred
extermination-ep1/q110-bb-j,Episode1,0,15,12,npc,30,0,"[0.3423309326171875, 2.5999999046325684, -84.71995544433594]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0, 800.0, 0, 0]",,free-play script target; quest linkage not inferred
extermination-ep1/q111-bb-e,Episode1,0,15,12,npc,30,0,"[0.3423309326171875, 2.5999999046325684, -84.71995544433594]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0, 800.0, 0, 0]",,free-play script target; quest linkage not inferred
extermination-ep1/q111-bb-j,Episode1,0,15,12,npc,30,0,"[0.3423309326171875, 2.5999999046325684, -84.71995544433594]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0, 800.0, 0, 0]",,free-play script target; quest linkage not inferred
extermination-ep1/q117-bb-e,Episode1,0,14,12,npc,30,0,"[0.34234619140625, 2.5999999046325684, -84.71995544433594]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0, 800.0, 0, 0]",,free-play script target; quest linkage not inferred
extermination-ep1/q117-bb-j,Episode1,0,14,12,npc,30,0,"[0.34234619140625, 2.5999999046325684, -84.71995544433594]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0, 800.0, 0, 0]",,free-play script target; quest linkage not inferred
extermination-ep1/q120-bb-e,Episode1,0,14,12,npc,30,0,"[0.3423309326171875, 2.5999999046325684, -84.719970703125]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0, 800.0, 0, 0]",,free-play script target; quest linkage not inferred
extermination-ep1/q121-bb-e,Episode1,0,15,12,npc,30,0,"[0.3424224853515625, 2.5999996662139893, -84.72158813476562]","[0, 0, 0]","[0.0, 0.0, 0.0, 1006.0010986328125, 0.0, 0, 0]",,no DAT interaction label
