quest_key,episode,floor,index,type,kind,room,wave,position,angles,params,handler_label,handler_status
events-ep1/q28-bb-e,Episode1,0,7,13,npc,20,0,"[-211.99710083007812, 0.0, -140.0008544921875]","[0, 0, 0]","[37.0000114440918, 0.0, 0.0, 110.00004577636719, 395.00018310546875, 1, 0]",label018B,static candidate resolved; inspect caller and type-specific rules
events-ep1/q28-bb-j,Episode1,0,7,13,npc,20,0,"[-211.99710083007812, 0.0, -140.0008544921875]","[0, 0, 0]","[37.0000114440918, 0.0, 0.0, 110.00004577636719, 395.00018310546875, 1, 0]",label018B,static candidate resolved; inspect caller and type-specific rules
events-ep1/q71-bb-e,Episode1,0,10,13,npc,20,0,"[-219.99794006347656, 0.0, -99.9974365234375]","[0, 0, 0]","[30.000011444091797, 0.0, 0.0, 1012.0010986328125, 60.000057220458984, 1, 0]",,free-play script target; quest linkage not inferred
events-ep1/q71-bb-j,Episode1,0,10,13,npc,20,0,"[-219.99794006347656, 0.0, -99.9974365234375]","[0, 0, 0]","[30.000011444091797, 0.0, 0.0, 1012.0010986328125, 60.000057220458984, 1, 0]",,free-play script target; quest linkage not inferred
events-ep1/q073-bb-e,Episode1,0,8,13,npc,20,0,"[-59.9988899230957, 0.0, -30.001079559326172]","[0, 0, 0]","[0.0, 0.0, 0.0, 107.00003814697266, 398.00018310546875, 0, 0]",label018E,static candidate resolved; inspect caller and type-specific rules
events-ep1/q073-bb-j,Episode1,0,8,13,npc,20,0,"[-59.9988899230957, 0.0, -30.001079559326172]","[0, 0, 0]","[0.0, 0.0, 0.0, 107.00003814697266, 398.00018310546875, 0, 0]",label018E,static candidate resolved; inspect caller and type-specific rules
events-ep1/q80-bb-e,Episode1,0,10,13,npc,20,0,"[-231.4824676513672, 0.0, -136.66293334960938]","[0, 0, 0]","[30.000011444091797, 0.0, 0.0, 1012.0010986328125, 60.000057220458984, 1, 0]",,free-play script target; quest linkage not inferred
events-ep1/q80-bb-j,Episode1,0,10,13,npc,20,0,"[-231.4824676513672, 0.0, -136.66293334960938]","[0, 0, 0]","[30.000011444091797, 0.0, 0.0, 1012.0010986328125, 60.000057220458984, 1, 0]",,free-play script target; quest linkage not inferred
events-ep1/q93-bb-e,Episode1,0,11,13,npc,20,0,"[-219.99710083007812, 0.0, -100.0008316040039]","[0, 0, 0]","[30.000011444091797, 0.0, 0.0, 1012.0010986328125, 60.000057220458984, 1, 0]",,free-play script target; quest linkage not inferred
events-ep1/q93-bb-j,Episode1,0,11,13,npc,20,0,"[-219.99710083007812, 0.0, -100.0008316040039]","[0, 0, 0]","[30.000011444091797, 0.0, 0.0, 1012.0010986328125, 60.000057220458984, 1, 0]",,free-play script target; quest linkage not inferred
events-ep1/q112-bb-e,Episode1,0,10,13,npc,20,0,"[-219.99794006347656, 0.0, -99.9974365234375]","[0, 0, 0]","[30.000011444091797, 0.0, 0.0, 1012.0010986328125, 60.000057220458984, 1, 0]",,free-play script target; quest linkage not inferred
events-ep1/q112-bb-j,Episode1,0,10,13,npc,20,0,"[-219.99794006347656, 0.0, -99.9974365234375]","[0, 0, 0]","[30.000011444091797, 0.0, 0.0, 1012.0010986328125, 60.000057220458984, 1, 0]",,free-play script target; quest linkage not inferred
events-ep1/q113-bb-e,Episode1,0,10,13,npc,20,0,"[-219.99794006347656, 0.0, -99.9974365234375]","[0, 0, 0]","[30.000011444091797, 0.0, 0.0, 1012.0010986328125, 60.000057220458984, 1, 0]",,free-play script target; quest linkage not inferred
events-ep1/q113-bb-j,Episode1,0,10,13,npc,20,0,"[-219.99794006347656, 0.0, -99.9974365234375]","[0, 0, 0]","[30.000011444091797, 0.0, 0.0, 1012.0010986328125, 60.000057220458984, 1, 0]",,free-play script target; quest linkage not inferred
events-ep1/q220-bb-e,Episode1,0,7,13,npc,20,0,"[-211.99710083007812, 0.0, -140.0008544921875]","[0, 0, 0]","[37.0000114440918, 0.0, 0.0, 1012.0010986328125, 60.000057220458984, 1, 0]",,free-play script target; quest linkage not inferred
events-ep1/q220-bb-j,Episode1,0,7,13,npc,20,0,"[-211.99710083007812, 0.0, -140.0008544921875]","[0, 0, 0]","[37.0000114440918, 0.0, 0.0, 1012.0010986328125, 60.000057220458984, 1, 0]",,free-play script target; quest linkage not inferred
events-ep1/q399-bb-e,Episode1,0,10,13,npc,20,0,"[-219.99794006347656, 0.0, -99.9974365234375]","[0, 0, 0]","[30.000011444091797, 0.0, 0.0, 1012.0010986328125, 60.000057220458984, 1, 0]",,free-play script target; quest linkage not inferred
events-ep1/q1001-bb-e,Episode1,0,10,13,npc,20,0,"[-219.99794006347656, 0.0, -99.9974365234375]","[0, 0, 0]","[30.000011444091797, 0.0, 0.0, 1012.0010986328125, 60.000057220458984, 1, 0]",,free-play script target; quest linkage not inferred
events-ep1/q1001-bb-j,Episode1,0,10,13,npc,20,0,"[-219.99794006347656, 0.0, -99.9974365234375]","[0, 0, 0]","[30.000011444091797, 0.0, 0.0, 1012.0010986328125, 60.000057220458984, 1, 0]",,free-play script target; quest linkage not inferred
events-ep1/q1003-bb-e,Episode1,0,8,13,npc,20,0,"[-219.99794006347656, 0.0, -99.9974365234375]","[0, 0, 0]","[30.000011444091797, 0.0, 0.0, 1012.0010986328125, 60.000057220458984, 1, 0]",,free-play script target; quest linkage not inferred
events-ep2/q216-bb-e,Episode2,0,9,13,npc,30,0,"[216.41000366210938, -30.0, -103.11419677734375]","[0, 49152, 0]","[0.0, 0.0, 125.0, 130.0, 130.0, 0, 0]",label0082,static candidate resolved; inspect caller and type-specific rules
events-ep2/q216-bb-e,Episode2,0,20,13,npc,40,0,"[-6.0, 0.0, -15.0]","[0, 12288, 0]","[0.0, 125.0, 0.0, 132.0, 132.0, 0, 0]",label0084,static candidate resolved; inspect caller and type-specific rules
events-ep4/q302-bb-e,Episode4,0,5,13,npc,20,0,"[-2.001882553100586, 0.0, 35.0036506652832]","[0, 32768, 0]","[26.000009536743164, 0.0, 0.0, 140.0, 1140.0, 1, 0]",label0474,static candidate resolved; inspect caller and type-specific rules
events-ep4/q302-bb-j,Episode4,0,5,13,npc,20,0,"[-2.001882553100586, 0.0, 35.0036506652832]","[0, 32768, 0]","[26.000009536743164, 0.0, 0.0, 140.0, 1140.0, 1, 0]",label0474,static candidate resolved; inspect caller and type-specific rules
events-ep4/q306-bb-e,Episode4,0,5,13,npc,20,0,"[-2.001882553100586, 0.0, 35.0036506652832]","[0, 32768, 0]","[26.000009536743164, 0.0, 0.0, 1012.0, 60.0, 1, 0]",,free-play script target; quest linkage not inferred
events-ep4/q306-bb-j,Episode4,0,5,13,npc,20,0,"[-2.001882553100586, 0.0, 35.0036506652832]","[0, 32768, 0]","[26.000009536743164, 0.0, 0.0, 1012.0, 60.0, 1, 0]",,free-play script target; quest linkage not inferred
events-ep4/q315-bb-e,Episode4,0,5,13,npc,20,0,"[-2.001882553100586, 0.0, 35.0036506652832]","[0, 32768, 0]","[26.000009536743164, 0.0, 0.0, 140.0, 1140.0, 1, 0]",label0474,static candidate resolved; inspect caller and type-specific rules
events-ep4/q315-bb-j,Episode4,0,5,13,npc,20,0,"[-2.001882553100586, 0.0, 35.0036506652832]","[0, 32768, 0]","[26.000009536743164, 0.0, 0.0, 140.0, 1140.0, 1, 0]",label0474,static candidate resolved; inspect caller and type-specific rules
extermination-ep1/q53-bb-e,Episode1,0,10,13,npc,20,0,"[-219.99794006347656, 0.0, -99.9974365234375]","[0, 0, 0]","[30.000011444091797, 0.0, 0.0, 1012.0010986328125, 60.000057220458984, 1, 0]",,free-play script target; quest linkage not inferred
extermination-ep1/q53-bb-j,Episode1,0,10,13,npc,20,0,"[-219.99794006347656, 0.0, -99.9974365234375]","[0, 0, 0]","[30.000011444091797, 0.0, 0.0, 1012.0010986328125, 60.000057220458984, 1, 0]",,free-play script target; quest linkage not inferred
extermination-ep1/q62-bb-e,Episode1,0,10,13,npc,20,0,"[-219.99794006347656, 0.0, -99.9974365234375]","[0, 0, 0]","[30.000011444091797, 0.0, 0.0, 1012.0010986328125, 60.000057220458984, 1, 0]",,free-play script target; quest linkage not inferred
extermination-ep1/q62-bb-j,Episode1,0,10,13,npc,20,0,"[-219.99794006347656, 0.0, -99.9974365234375]","[0, 0, 0]","[30.000011444091797, 0.0, 0.0, 1012.0010986328125, 60.000057220458984, 1, 0]",,free-play script target; quest linkage not inferred
extermination-ep1/q63-bb-e,Episode1,0,10,13,npc,20,0,"[-219.99794006347656, 0.0, -99.9974365234375]","[0, 0, 0]","[30.000011444091797, 0.0, 0.0, 1012.0010986328125, 60.000057220458984, 1, 0]",,free-play script target; quest linkage not inferred
extermination-ep1/q63-bb-j,Episode1,0,10,13,npc,20,0,"[-219.99794006347656, 0.0, -99.9974365234375]","[0, 0, 0]","[30.000011444091797, 0.0, 0.0, 1012.0010986328125, 60.000057220458984, 1, 0]",,free-play script target; quest linkage not inferred
extermination-ep1/q101-bb-e,Episode1,0,8,13,npc,20,0,"[-219.99794006347656, 0.0, -99.9974365234375]","[0, 0, 0]","[30.000011444091797, 0.0, 0.0, 1012.0010986328125, 60.000057220458984, 1, 0]",,free-play script target; quest linkage not inferred
extermination-ep1/q101-bb-j,Episode1,0,8,13,npc,20,0,"[-219.99794006347656, 0.0, -99.9974365234375]","[0, 0, 0]","[30.000011444091797, 0.0, 0.0, 1012.0010986328125, 60.000057220458984, 1, 0]",,free-play script target; quest linkage not inferred
extermination-ep1/q102-bb-e,Episode1,0,8,13,npc,20,0,"[-219.99794006347656, 0.0, -99.9974365234375]","[0, 0, 0]","[30.000011444091797, 0.0, 0.0, 1012.0010986328125, 60.000057220458984, 1, 0]",,free-play script target; quest linkage not inferred
extermination-ep1/q102-bb-j,Episode1,0,8,13,npc,20,0,"[-219.99794006347656, 0.0, -99.9974365234375]","[0, 0, 0]","[30.000011444091797, 0.0, 0.0, 1012.0010986328125, 60.000057220458984, 1, 0]",,free-play script target; quest linkage not inferred
extermination-ep1/q103-bb-e,Episode1,0,8,13,npc,20,0,"[-219.99794006347656, 0.0, -99.9974365234375]","[0, 0, 0]","[30.000011444091797, 0.0, 0.0, 1012.0010986328125, 60.000057220458984, 1, 0]",,free-play script target; quest linkage not inferred
extermination-ep1/q103-bb-j,Episode1,0,8,13,npc,20,0,"[-219.99794006347656, 0.0, -99.9974365234375]","[0, 0, 0]","[30.000011444091797, 0.0, 0.0, 1012.0010986328125, 60.000057220458984, 1, 0]",,free-play script target; quest linkage not inferred
extermination-ep1/q104-bb-e,Episode1,0,8,13,npc,20,0,"[-219.99794006347656, 0.0, -99.9974365234375]","[0, 0, 0]","[30.000011444091797, 0.0, 0.0, 1012.0010986328125, 60.000057220458984, 1, 0]",,free-play script target; quest linkage not inferred
extermination-ep1/q104-bb-j,Episode1,0,8,13,npc,20,0,"[-219.99794006347656, 0.0, -99.9974365234375]","[0, 0, 0]","[30.000011444091797, 0.0, 0.0, 1012.0010986328125, 60.000057220458984, 1, 0]",,free-play script target; quest linkage not inferred
extermination-ep1/q108-bb-e,Episode1,0,10,13,npc,20,0,"[-219.99794006347656, 0.0, -99.9974365234375]","[0, 0, 0]","[30.000011444091797, 0.0, 0.0, 1012.0010986328125, 60.000057220458984, 1, 0]",,free-play script target; quest linkage not inferred
extermination-ep1/q108-bb-j,Episode1,0,10,13,npc,20,0,"[-219.99794006347656, 0.0, -99.9974365234375]","[0, 0, 0]","[30.000011444091797, 0.0, 0.0, 1012.0010986328125, 60.000057220458984, 1, 0]",,free-play script target; quest linkage not inferred
extermination-ep1/q109-bb-e,Episode1,0,10,13,npc,20,0,"[-219.99794006347656, 0.0, -99.9974365234375]","[0, 0, 0]","[30.000011444091797, 0.0, 0.0, 1012.0010986328125, 60.000057220458984, 1, 0]",,free-play script target; quest linkage not inferred
extermination-ep1/q109-bb-j,Episode1,0,10,13,npc,20,0,"[-219.99794006347656, 0.0, -99.9974365234375]","[0, 0, 0]","[30.000011444091797, 0.0, 0.0, 1012.0010986328125, 60.000057220458984, 1, 0]",,free-play script target; quest linkage not inferred
extermination-ep1/q110-bb-e,Episode1,0,10,13,npc,20,0,"[-219.99794006347656, 0.0, -99.9974365234375]","[0, 0, 0]","[30.000011444091797, 0.0, 0.0, 1012.0010986328125, 60.000057220458984, 1, 0]",,free-play script target; quest linkage not inferred
extermination-ep1/q110-bb-j,Episode1,0,10,13,npc,20,0,"[-219.99794006347656, 0.0, -99.9974365234375]","[0, 0, 0]","[30.000011444091797, 0.0, 0.0, 1012.0010986328125, 60.000057220458984, 1, 0]",,free-play script target; quest linkage not inferred
extermination-ep1/q111-bb-e,Episode1,0,10,13,npc,20,0,"[-219.99794006347656, 0.0, -99.9974365234375]","[0, 0, 0]","[30.000011444091797, 0.0, 0.0, 1012.0010986328125, 60.000057220458984, 1, 0]",,free-play script target; quest linkage not inferred
extermination-ep1/q111-bb-j,Episode1,0,10,13,npc,20,0,"[-219.99794006347656, 0.0, -99.9974365234375]","[0, 0, 0]","[30.000011444091797, 0.0, 0.0, 1012.0010986328125, 60.000057220458984, 1, 0]",,free-play script target; quest linkage not inferred
extermination-ep1/q117-bb-e,Episode1,0,11,13,npc,20,0,"[-211.99710083007812, 0.0, -140.0008544921875]","[0, 0, 0]","[37.0000114440918, 0.0, 0.0, 1012.0010986328125, 60.000057220458984, 1, 0]",,free-play script target; quest linkage not inferred
extermination-ep1/q117-bb-j,Episode1,0,11,13,npc,20,0,"[-211.99710083007812, 0.0, -140.0008544921875]","[0, 0, 0]","[37.0000114440918, 0.0, 0.0, 1012.0010986328125, 60.000057220458984, 1, 0]",,free-play script target; quest linkage not inferred
extermination-ep1/q120-bb-e,Episode1,0,2,13,npc,10,0,"[-3.0, 0.0, 63.999267578125]","[0, 30720, 0]","[0.0, 0.0, 0.0, 110.0, 1110.0, 0, 0]",label0456,static candidate resolved; inspect caller and type-specific rules
extermination-ep1/q120-bb-e,Episode1,0,11,13,npc,20,0,"[-219.99794006347656, 0.0, -99.9974365234375]","[0, 0, 0]","[30.000011444091797, 0.0, 0.0, 1012.0010986328125, 60.000057220458984, 1, 0]",,free-play script target; quest linkage not inferred
extermination-ep1/q121-bb-e,Episode1,0,10,13,npc,20,0,"[-219.99794006347656, 0.0, -99.9974365234375]","[0, 0, 0]","[30.000011444091797, 0.0, 0.0, 1012.0010986328125, 60.000057220458984, 1, 0]",,free-play script target; quest linkage not inferred
extermination-ep1/q121-bb-j,Episode1,0,10,13,npc,20,0,"[-219.99794006347656, 0.0, -99.9974365234375]","[0, 0, 0]","[30.000011444091797, 0.0, 0.0, 1012.0010986328125, 60.000057220458984, 1, 0]",,free-play script target; quest linkage not inferred
extermination-ep1/q122-bb-e,Episode1,0,10,13,npc,20,0,"[-219.99794006347656, 0.0, -99.9974365234375]","[0, 0, 0]","[30.000011444091797, 0.0, 0.0, 1012.0010986328125, 60.000057220458984, 1, 0]",,free-play script target; quest linkage not inferred
extermination-ep1/q122-bb-j,Episode1,0,10,13,npc,20,0,"[-219.99794006347656, 0.0, -99.9974365234375]","[0, 0, 0]","[30.000011444091797, 0.0, 0.0, 1012.0010986328125, 60.000057220458984, 1, 0]",,free-play script target; quest linkage not inferred
extermination-ep1/q123-bb-e,Episode1,0,10,13,npc,20,0,"[-219.99794006347656, 0.0, -99.9974365234375]","[0, 0, 0]","[30.000011444091797, 0.0, 0.0, 1012.0010986328125, 60.000057220458984, 1, 0]",,free-play script target; quest linkage not inferred
extermination-ep1/q123-bb-j,Episode1,0,10,13,npc,20,0,"[-219.99794006347656, 0.0, -99.9974365234375]","[0, 0, 0]","[30.000011444091797, 0.0, 0.0, 1012.0010986328125, 60.000057220458984, 1, 0]",,free-play script target; quest linkage not inferred
extermination-ep1/q130-bb-e,Episode1,0,10,13,npc,20,0,"[-219.99794006347656, 0.0, -99.9974365234375]","[0, 0, 0]","[30.000011444091797, 0.0, 0.0, 1012.0010986328125, 60.000057220458984, 1, 0]",,free-play script target; quest linkage not inferred
extermination-ep1/q130-bb-j,Episode1,0,10,13,npc,20,0,"[-219.99794006347656, 0.0, -99.9974365234375]","[0, 0, 0]","[30.000011444091797, 0.0, 0.0, 1012.0010986328125, 60.000057220458984, 1, 0]",,free-play script target; quest linkage not inferred
extermination-ep1/q140-bb-e,Episode1,0,10,13,npc,20,0,"[-219.99794006347656, 0.0, -99.9974365234375]","[0, 0, 0]","[30.000011444091797, 0.0, 0.0, 1012.0010986328125, 60.000057220458984, 1, 0]",,free-play script target; quest linkage not inferred
extermination-ep1/q140-bb-j,Episode1,0,10,13,npc,20,0,"[-219.99794006347656, 0.0, -99.9974365234375]","[0, 0, 0]","[30.000011444091797, 0.0, 0.0, 1012.0010986328125, 60.000057220458984, 1, 0]",,free-play script target; quest linkage not inferred
