quest_key,episode,floor,index,type,kind,room,wave,position,angles,params,handler_label,handler_status
events-ep1/q070-bb-e,Episode1,0,3,14,npc,20,0,"[156.0028839111328, 0.0, -49.99967575073242]","[0, 57344, 0]","[30.000009536743164, 0.0, 0.0, 105.00003814697266, 350.00018310546875, 1, 0]",label015E,static candidate resolved; inspect caller and type-specific rules
events-ep1/q070-bb-j,Episode1,0,3,14,npc,20,0,"[156.0028839111328, 0.0, -49.99967575073242]","[0, 57344, 0]","[30.000009536743164, 0.0, 0.0, 105.00003814697266, 350.00018310546875, 1, 0]",label015E,static candidate resolved; inspect caller and type-specific rules
events-ep2/q216-bb-e,Episode2,0,18,14,npc,30,0,"[219.66000366210938, -30.0, -75.41392517089844]","[0, 49152, 0]","[0.0, 0.0, 126.0, 131.0, 131.0, 0, 0]",label0083,static candidate resolved; inspect caller and type-specific rules
events-ep2/q216-bb-e,Episode2,0,19,14,npc,40,0,"[-8.0, 0.0, 15.0]","[0, 20480, 0]","[0.0, 126.0, 0.0, 133.0, 133.0, 0, 0]",label0085,static candidate resolved; inspect caller and type-specific rules
maximum-attack-ep2/q211-bb-e,Episode2,0,1,14,npc,10,0,"[-45.0, 0.0, -60.0]","[0, 57344, 0]","[0.0, 0.0, 0.0, 114.0, 114.0, 0, 0]",label0072,static candidate resolved; inspect caller and type-specific rules
maximum-attack-ep2/q494-bb-e,Episode2,0,1,14,npc,10,0,"[-45.0, 0.0, -60.0]","[0, 57344, 0]","[0.0, 0.0, 0.0, 114.0, 114.0, 0, 0]",label0072,static candidate resolved; inspect caller and type-specific rules
maximum-attack-ep2/q494-bb-j,Episode2,0,1,14,npc,10,0,"[-45.0, 0.0, -60.0]","[0, 57344, 0]","[0.0, 0.0, 0.0, 114.0, 114.0, 0, 0]",label0072,static candidate resolved; inspect caller and type-specific rules
seasonal-ep1/q125-bb-e,Episode1,0,4,14,npc,20,0,"[-212.0, 0.0, -140.0008544921875]","[0, 0, 0]","[37.0000114440918, 0.0, 0.0, 104.0, 380.0, 1, 0]",label017C,static candidate resolved; inspect caller and type-specific rules
seasonal-ep1/q125-bb-j,Episode1,0,4,14,npc,20,0,"[-212.0, 0.0, -140.0008544921875]","[0, 0, 0]","[37.0000114440918, 0.0, 0.0, 104.0, 380.0, 1, 0]",label017C,static candidate resolved; inspect caller and type-specific rules
solo-story-ep1/q009-bb-e,Episode1,0,7,14,npc,20,0,"[-147.0000457763672, 0.0, -7.996537208557129]","[0, 26880, 0]","[30.000009536743164, 0.0, 0.0, 102.0, 320.00018310546875, 1, 0]",label0140,static candidate resolved; inspect caller and type-specific rules
solo-story-ep1/q009-bb-j,Episode1,0,7,14,npc,20,0,"[-147.0000457763672, 0.0, -7.996537208557129]","[0, 26880, 0]","[30.000009536743164, 0.0, 0.0, 102.0, 320.00018310546875, 1, 0]",label0140,static candidate resolved; inspect caller and type-specific rules
solo-story-ep1/q011-bb-e,Episode1,0,9,14,npc,20,0,"[97.0244140625, 0.0, -12.82979965209961]","[0, 10240, 0]","[23.000009536743164, 0.0, 0.0, 103.00004577636719, 310.0001220703125, 1, 0]",label0136,static candidate resolved; inspect caller and type-specific rules
solo-story-ep1/q011-bb-j,Episode1,0,9,14,npc,20,0,"[97.0244140625, 0.0, -12.82979965209961]","[0, 10240, 0]","[23.000009536743164, 0.0, 0.0, 103.00004577636719, 310.0001220703125, 1, 0]",label0136,static candidate resolved; inspect caller and type-specific rules
solo-story-ep1/q014-bb-e,Episode1,0,1,14,npc,10,0,"[-2.9971923828125, 0.0, 63.999267578125]","[0, 30720, 0]","[0.0, 0.0, 0.0, 101.00004577636719, 310.0001220703125, 0, 0]",label0136,static candidate resolved; inspect caller and type-specific rules
solo-story-ep1/q014-bb-j,Episode1,0,1,14,npc,10,0,"[-2.9971923828125, 0.0, 63.999267578125]","[0, 30720, 0]","[0.0, 0.0, 0.0, 101.00004577636719, 310.0001220703125, 0, 0]",label0136,static candidate resolved; inspect caller and type-specific rules
solo-story-ep1/q023-bb-e,Episode1,0,11,14,npc,20,0,"[-76.39572143554688, 0.0, 19.111600875854492]","[0, 12288, 0]","[20.000009536743164, 1.000000238418579, 0.0, 104.00004577636719, 350.0001220703125, 1, 0]",label015E,static candidate resolved; inspect caller and type-specific rules
solo-story-ep1/q023-bb-j,Episode1,0,11,14,npc,20,0,"[-76.39572143554688, 0.0, 19.111600875854492]","[0, 12288, 0]","[20.000009536743164, 1.000000238418579, 0.0, 104.00004577636719, 350.0001220703125, 1, 0]",label015E,static candidate resolved; inspect caller and type-specific rules
