quest_key,episode,floor,index,type,kind,room,wave,position,angles,params,handler_label,handler_status
Test/q37-bb-e,Episode1,0,7,27,npc,10,0,"[-2.9971923828125, 0.0, 63.999267578125]","[0, 30720, 0]","[0.0, 0.0, 0.0, 100.0, 510.0, 0, 0]",label01FE,static candidate resolved; inspect caller and type-specific rules
Test/q37-bb-j,Episode1,0,7,27,npc,10,0,"[-2.9971923828125, 0.0, 63.999267578125]","[0, 30720, 0]","[0.0, 0.0, 0.0, 100.0, 510.0, 0, 0]",label01FE,static candidate resolved; inspect caller and type-specific rules
challenge-ep1/c88101-bb-e,Episode1,0,9,27,npc,41,0,"[0.0, 0.0, -30.9974365234375]","[0, 0, 0]","[0.0, 0.0, 0.0, 1001.0010986328125, 1.000000238418579, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep1/c88101-bb-j,Episode1,0,9,27,npc,41,0,"[0.0, 0.0, -30.9974365234375]","[0, 0, 0]","[0.0, 0.0, 0.0, 1001.0010986328125, 1.000000238418579, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep1/c88102-bb-e,Episode1,0,9,27,npc,41,0,"[0.0, 0.0, -30.9974365234375]","[0, 0, 0]","[0.0, 0.0, 0.0, 1001.0010986328125, 1.000000238418579, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep1/c88102-bb-j,Episode1,0,9,27,npc,41,0,"[0.0, 0.0, -30.9974365234375]","[0, 0, 0]","[0.0, 0.0, 0.0, 1001.0010986328125, 1.000000238418579, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep1/c88103-bb-e,Episode1,0,9,27,npc,41,0,"[0.0, 0.0, -30.9974365234375]","[0, 0, 0]","[0.0, 0.0, 0.0, 1001.0010986328125, 1.000000238418579, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep1/c88103-bb-j,Episode1,0,9,27,npc,41,0,"[0.0, 0.0, -30.9974365234375]","[0, 0, 0]","[0.0, 0.0, 0.0, 1001.0010986328125, 1.000000238418579, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep1/c88104-bb-e,Episode1,0,9,27,npc,41,0,"[0.0, 0.0, -30.9974365234375]","[0, 0, 0]","[0.0, 0.0, 0.0, 1001.0010986328125, 1.000000238418579, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep1/c88104-bb-j,Episode1,0,9,27,npc,41,0,"[0.0, 0.0, -30.9974365234375]","[0, 0, 0]","[0.0, 0.0, 0.0, 1001.0010986328125, 1.000000238418579, 0, 0]",,free-play script target; quest linkage not inferred
