quest_key,episode,floor,index,type,kind,room,wave,position,angles,params,handler_label,handler_status
Test/q37-bb-e,Episode1,0,0,29,npc,10,0,"[-49.0010986328125, 0.0, 50.996429443359375]","[0, 24576, 0]","[0.0, 0.0, 0.0, 1011.0010986328125, 0.0, 0, 0]",,no DAT interaction label
Test/q37-bb-e,Episode1,0,6,29,npc,20,0,"[-262.51129150390625, 0.0, -24.541954040527344]","[0, 20480, 0]","[0.0, 0.0, 0.0, 1010.0010986328125, 0.0, 0, 0]",,no DAT interaction label
Test/q37-bb-e,Episode1,0,15,29,npc,41,0,"[-47.0, 0.0, 0.0]","[0, 16384, 0]","[0.0, 0.0, 0.0, 108.0, 504.0, 0, 0]",label01F8,static candidate resolved; inspect caller and type-specific rules
Test/q37-bb-e,Episode1,0,16,29,npc,41,0,"[47.0, 0.0, 0.0]","[0, 49152, 0]","[0.0, 0.0, 0.0, 109.0, 505.0, 0, 0]",label01F9,static candidate resolved; inspect caller and type-specific rules
Test/q37-bb-e,Episode1,0,17,29,npc,41,0,"[0.0, 0.0, -30.0]","[0, 0, 0]","[0.0, 0.0, 0.0, 110.0, 506.0, 0, 0]",label01FA,static candidate resolved; inspect caller and type-specific rules
Test/q37-bb-e,Episode1,0,18,29,npc,41,0,"[-25.0, 0.0, 45.0]","[0, 20480, 0]","[0.0, 0.0, 0.0, 111.0, 507.0, 0, 0]",label01FB,static candidate resolved; inspect caller and type-specific rules
Test/q37-bb-e,Episode1,0,19,29,npc,41,0,"[23.25, 0.0, 45.0]","[0, 45056, 0]","[0.0, 0.0, 0.0, 112.0, 508.0, 0, 0]",label01FC,static candidate resolved; inspect caller and type-specific rules
Test/q37-bb-j,Episode1,0,0,29,npc,10,0,"[-49.0010986328125, 0.0, 50.996429443359375]","[0, 24576, 0]","[0.0, 0.0, 0.0, 1011.0010986328125, 0.0, 0, 0]",,no DAT interaction label
Test/q37-bb-j,Episode1,0,6,29,npc,20,0,"[-262.51129150390625, 0.0, -24.541954040527344]","[0, 20480, 0]","[0.0, 0.0, 0.0, 1010.0010986328125, 0.0, 0, 0]",,no DAT interaction label
Test/q37-bb-j,Episode1,0,15,29,npc,41,0,"[-47.0, 0.0, 0.0]","[0, 16384, 0]","[0.0, 0.0, 0.0, 108.0, 504.0, 0, 0]",label01F8,static candidate resolved; inspect caller and type-specific rules
Test/q37-bb-j,Episode1,0,16,29,npc,41,0,"[47.0, 0.0, 0.0]","[0, 49152, 0]","[0.0, 0.0, 0.0, 109.0, 505.0, 0, 0]",label01F9,static candidate resolved; inspect caller and type-specific rules
Test/q37-bb-j,Episode1,0,17,29,npc,41,0,"[0.0, 0.0, -30.0]","[0, 0, 0]","[0.0, 0.0, 0.0, 110.0, 506.0, 0, 0]",label01FA,static candidate resolved; inspect caller and type-specific rules
Test/q37-bb-j,Episode1,0,18,29,npc,41,0,"[-25.0, 0.0, 45.0]","[0, 20480, 0]","[0.0, 0.0, 0.0, 111.0, 507.0, 0, 0]",label01FB,static candidate resolved; inspect caller and type-specific rules
Test/q37-bb-j,Episode1,0,19,29,npc,41,0,"[23.25, 0.0, 45.0]","[0, 45056, 0]","[0.0, 0.0, 0.0, 112.0, 508.0, 0, 0]",label01FC,static candidate resolved; inspect caller and type-specific rules
challenge-ep1/c88101-bb-e,Episode1,0,0,29,npc,10,0,"[-49.0, 0.0, 51.0]","[0, 24576, 0]","[0.0, 0.0, 0.0, 1011.0, 850.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep1/c88101-bb-j,Episode1,0,0,29,npc,10,0,"[-49.0, 0.0, 51.0]","[0, 24576, 0]","[0.0, 0.0, 0.0, 1011.0, 850.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep1/c88102-bb-e,Episode1,0,0,29,npc,10,0,"[-49.0, 0.0, 51.0]","[0, 24576, 0]","[0.0, 0.0, 0.0, 1011.0, 850.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep1/c88102-bb-j,Episode1,0,0,29,npc,10,0,"[-49.0, 0.0, 51.0]","[0, 24576, 0]","[0.0, 0.0, 0.0, 1011.0, 850.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep1/c88103-bb-e,Episode1,0,0,29,npc,10,0,"[-49.0, 0.0, 51.0]","[0, 24576, 0]","[0.0, 0.0, 0.0, 1011.0, 850.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep1/c88103-bb-j,Episode1,0,0,29,npc,10,0,"[-49.0, 0.0, 51.0]","[0, 24576, 0]","[0.0, 0.0, 0.0, 1011.0, 850.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep1/c88104-bb-e,Episode1,0,0,29,npc,10,0,"[-49.0, 0.0, 51.0]","[0, 24576, 0]","[0.0, 0.0, 0.0, 1011.0, 850.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep1/c88104-bb-j,Episode1,0,0,29,npc,10,0,"[-49.0, 0.0, 51.0]","[0, 24576, 0]","[0.0, 0.0, 0.0, 1011.0, 850.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep1/c88105-bb-e,Episode1,0,0,29,npc,10,0,"[-49.0010986328125, 0.0, 50.996429443359375]","[0, 24576, 0]","[0.0, 0.0, 0.0, 1027.0010986328125, 850.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep1/c88105-bb-j,Episode1,0,0,29,npc,10,0,"[-49.0010986328125, 0.0, 50.996429443359375]","[0, 24576, 0]","[0.0, 0.0, 0.0, 1027.0010986328125, 850.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep1/c88106-bb-e,Episode1,0,0,29,npc,10,0,"[-49.0, 0.0, 51.0]","[0, 24576, 0]","[0.0, 0.0, 0.0, 1011.0, 850.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep1/c88106-bb-j,Episode1,0,0,29,npc,10,0,"[-49.0, 0.0, 51.0]","[0, 24576, 0]","[0.0, 0.0, 0.0, 1011.0, 850.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep1/c88107-bb-e,Episode1,0,0,29,npc,10,0,"[-49.0, 0.0, 51.0]","[0, 24576, 0]","[0.0, 0.0, 0.0, 1011.0, 850.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep1/c88107-bb-j,Episode1,0,0,29,npc,10,0,"[-49.0, 0.0, 51.0]","[0, 24576, 0]","[0.0, 0.0, 0.0, 1011.0, 850.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep1/c88108-bb-e,Episode1,0,0,29,npc,10,0,"[-49.0, 0.0, 51.0]","[0, 24576, 0]","[0.0, 0.0, 0.0, 1011.0, 850.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep1/c88108-bb-j,Episode1,0,0,29,npc,10,0,"[-49.0, 0.0, 51.0]","[0, 24576, 0]","[0.0, 0.0, 0.0, 1011.0, 850.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep1/c88109-bb-e,Episode1,0,0,29,npc,10,0,"[-49.0, 0.0, 51.0]","[0, 24576, 0]","[0.0, 0.0, 0.0, 1011.0, 850.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep1/c88109-bb-j,Episode1,0,0,29,npc,10,0,"[-49.0, 0.0, 51.0]","[0, 24576, 0]","[0.0, 0.0, 0.0, 1011.0, 850.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep1/q28-bb-e,Episode1,0,0,29,npc,10,0,"[-2.9971923828125, 0.0, 63.999267578125]","[0, 30720, 0]","[0.0, 0.0, 0.0, 100.00004577636719, 310.0001220703125, 0, 0]",label0136,static candidate resolved; inspect caller and type-specific rules
events-ep1/q28-bb-e,Episode1,0,1,29,npc,10,0,"[-49.0, 0.0, 51.0]","[0, 24576, 0]","[0.0, 0.0, 0.0, 1011.0, 0.0, 0, 0]",,no DAT interaction label
events-ep1/q28-bb-e,Episode1,0,8,29,npc,20,0,"[-263.0, 0.0, -24.0]","[0, 20480, 0]","[0.0, 0.0, 0.0, 1010.0, 0.0, 0, 0]",,no DAT interaction label
events-ep1/q28-bb-j,Episode1,0,0,29,npc,10,0,"[-2.9971923828125, 0.0, 63.999267578125]","[0, 30720, 0]","[0.0, 0.0, 0.0, 100.00004577636719, 310.0001220703125, 0, 0]",label0136,static candidate resolved; inspect caller and type-specific rules
events-ep1/q28-bb-j,Episode1,0,1,29,npc,10,0,"[-49.0, 0.0, 51.0]","[0, 24576, 0]","[0.0, 0.0, 0.0, 1011.0, 0.0, 0, 0]",,no DAT interaction label
events-ep1/q28-bb-j,Episode1,0,8,29,npc,20,0,"[-263.0, 0.0, -24.0]","[0, 20480, 0]","[0.0, 0.0, 0.0, 1010.0, 0.0, 0, 0]",,no DAT interaction label
events-ep1/q66-bb-e,Episode1,0,1,29,npc,10,0,"[-49.0010986328125, 0.0, 51.0]","[0, 24576, 0]","[0.0, 0.0, 0.0, 1011.0, 0.0, 0, 0]",,no DAT interaction label
events-ep1/q66-bb-e,Episode1,0,9,29,npc,20,0,"[-262.5099792480469, 0.0, -24.53999900817871]","[0, 20480, 0]","[0.0, 0.0, 0.0, 1010.0, 0.0, 0, 0]",,no DAT interaction label
events-ep1/q66-bb-j,Episode1,0,1,29,npc,10,0,"[-49.0010986328125, 0.0, 51.0]","[0, 24576, 0]","[0.0, 0.0, 0.0, 1011.0, 0.0, 0, 0]",,no DAT interaction label
events-ep1/q66-bb-j,Episode1,0,9,29,npc,20,0,"[-262.5099792480469, 0.0, -24.53999900817871]","[0, 20480, 0]","[0.0, 0.0, 0.0, 1010.0, 0.0, 0, 0]",,no DAT interaction label
events-ep1/q070-bb-e,Episode1,0,0,29,npc,10,0,"[-49.0010986328125, 0.0, 50.996429443359375]","[0, 24576, 0]","[0.0, 0.0, 0.0, 1011.0010986328125, 850.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep1/q070-bb-e,Episode1,0,6,29,npc,20,0,"[-262.510009765625, 0.0, -24.540000915527344]","[0, 20480, 0]","[0.0, 0.0, 0.0, 1010.0010986328125, 840.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep1/q070-bb-j,Episode1,0,0,29,npc,10,0,"[-49.0010986328125, 0.0, 50.996429443359375]","[0, 24576, 0]","[0.0, 0.0, 0.0, 1011.0010986328125, 850.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep1/q070-bb-j,Episode1,0,6,29,npc,20,0,"[-262.510009765625, 0.0, -24.540000915527344]","[0, 20480, 0]","[0.0, 0.0, 0.0, 1010.0010986328125, 840.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep1/q71-bb-e,Episode1,0,0,29,npc,10,0,"[-49.0010986328125, 0.0, 50.996429443359375]","[0, 24576, 0]","[0.0, 0.0, 0.0, 1011.0010986328125, 0.0, 0, 0]",,no DAT interaction label
events-ep1/q71-bb-e,Episode1,0,11,29,npc,20,0,"[-267.0032958984375, 0.0, -24.00175666809082]","[0, 20480, 0]","[0.0, 0.0, 0.0, 1010.0010986328125, 0.0, 0, 0]",,no DAT interaction label
events-ep1/q71-bb-j,Episode1,0,0,29,npc,10,0,"[-49.0010986328125, 0.0, 50.996429443359375]","[0, 24576, 0]","[0.0, 0.0, 0.0, 1011.0010986328125, 0.0, 0, 0]",,no DAT interaction label
events-ep1/q71-bb-j,Episode1,0,11,29,npc,20,0,"[-267.0032958984375, 0.0, -24.00175666809082]","[0, 20480, 0]","[0.0, 0.0, 0.0, 1010.0010986328125, 0.0, 0, 0]",,no DAT interaction label
events-ep1/q073-bb-e,Episode1,0,1,29,npc,10,0,"[-49.0010986328125, 0.0, 51.0]","[0, 24576, 0]","[0.0, 0.0, 0.0, 1011.0010986328125, 850.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep1/q073-bb-e,Episode1,0,9,29,npc,20,0,"[-262.5099792480469, 0.0, -24.53999900817871]","[0, 20480, 0]","[0.0, 0.0, 0.0, 1010.0010986328125, 840.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep1/q073-bb-e,Episode1,5,0,29,npc,40,0,"[-25.0, 9.000000953674316, -50.0]","[0, 4096, 0]","[0.0, 0.0, 0.0, 104.00004577636719, 340.0001220703125, 0, 0]",label0154,static candidate resolved; inspect caller and type-specific rules
events-ep1/q073-bb-e,Episode1,5,1,29,npc,40,0,"[-35.0, 0.0, -20.0]","[0, 12288, 0]","[0.0, 0.0, 0.0, 105.00004577636719, 385.0001220703125, 0, 0]",label0181,static candidate resolved; inspect caller and type-specific rules
events-ep1/q073-bb-e,Episode1,5,2,29,npc,40,0,"[10.0, 0.0, -50.0]","[0, 4096, 0]","[0.0, 0.0, 0.0, 106.00004577636719, 395.0001220703125, 0, 0]",label018B,static candidate resolved; inspect caller and type-specific rules
events-ep1/q073-bb-j,Episode1,0,1,29,npc,10,0,"[-49.0010986328125, 0.0, 51.0]","[0, 24576, 0]","[0.0, 0.0, 0.0, 1011.0010986328125, 850.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep1/q073-bb-j,Episode1,0,9,29,npc,20,0,"[-262.5099792480469, 0.0, -24.53999900817871]","[0, 20480, 0]","[0.0, 0.0, 0.0, 1010.0010986328125, 840.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep1/q073-bb-j,Episode1,5,0,29,npc,40,0,"[-25.0, 9.000000953674316, -50.0]","[0, 4096, 0]","[0.0, 0.0, 0.0, 104.00004577636719, 340.0001220703125, 0, 0]",label0154,static candidate resolved; inspect caller and type-specific rules
events-ep1/q073-bb-j,Episode1,5,1,29,npc,40,0,"[-35.0, 0.0, -20.0]","[0, 12288, 0]","[0.0, 0.0, 0.0, 105.00004577636719, 385.0001220703125, 0, 0]",label0181,static candidate resolved; inspect caller and type-specific rules
events-ep1/q073-bb-j,Episode1,5,2,29,npc,40,0,"[10.0, 0.0, -50.0]","[0, 4096, 0]","[0.0, 0.0, 0.0, 106.00004577636719, 395.0001220703125, 0, 0]",label018B,static candidate resolved; inspect caller and type-specific rules
events-ep1/q80-bb-e,Episode1,0,0,29,npc,10,0,"[-49.0010986328125, 0.0, 50.996429443359375]","[0, 24576, 0]","[0.0, 0.0, 0.0, 1011.0010986328125, 0.0, 0, 0]",,no DAT interaction label
events-ep1/q80-bb-e,Episode1,0,11,29,npc,20,0,"[-267.0032958984375, 0.0, -24.00175666809082]","[0, 20480, 0]","[0.0, 0.0, 0.0, 1010.0010986328125, 0.0, 0, 0]",,no DAT interaction label
events-ep1/q80-bb-j,Episode1,0,0,29,npc,10,0,"[-49.0010986328125, 0.0, 50.996429443359375]","[0, 24576, 0]","[0.0, 0.0, 0.0, 1011.0010986328125, 0.0, 0, 0]",,no DAT interaction label
events-ep1/q80-bb-j,Episode1,0,11,29,npc,20,0,"[-267.0032958984375, 0.0, -24.00175666809082]","[0, 20480, 0]","[0.0, 0.0, 0.0, 1010.0010986328125, 0.0, 0, 0]",,no DAT interaction label
events-ep1/q93-bb-e,Episode1,0,0,29,npc,10,0,"[-49.0010986328125, 0.0, 50.996429443359375]","[0, 24576, 0]","[0.0, 0.0, 0.0, 1011.0010986328125, 0.0, 0, 0]",,no DAT interaction label
events-ep1/q93-bb-e,Episode1,0,12,29,npc,20,0,"[-267.0032958984375, 0.0, -24.00175666809082]","[0, 20480, 0]","[0.0, 0.0, 0.0, 1010.0010986328125, 0.0, 0, 0]",,no DAT interaction label
events-ep1/q93-bb-j,Episode1,0,0,29,npc,10,0,"[-49.0010986328125, 0.0, 50.996429443359375]","[0, 24576, 0]","[0.0, 0.0, 0.0, 1011.0010986328125, 0.0, 0, 0]",,no DAT interaction label
events-ep1/q93-bb-j,Episode1,0,12,29,npc,20,0,"[-267.0032958984375, 0.0, -24.00175666809082]","[0, 20480, 0]","[0.0, 0.0, 0.0, 1010.0010986328125, 0.0, 0, 0]",,no DAT interaction label
events-ep1/q112-bb-e,Episode1,0,0,29,npc,10,0,"[-49.0010986328125, 0.0, 50.996429443359375]","[0, 24576, 0]","[0.0, 0.0, 0.0, 1011.0010986328125, 0.0, 0, 0]",,no DAT interaction label
events-ep1/q112-bb-e,Episode1,0,11,29,npc,20,0,"[-267.0032958984375, 0.0, -24.00175666809082]","[0, 20480, 0]","[0.0, 0.0, 0.0, 1010.0010986328125, 0.0, 0, 0]",,no DAT interaction label
events-ep1/q112-bb-j,Episode1,0,0,29,npc,10,0,"[-49.0010986328125, 0.0, 50.996429443359375]","[0, 24576, 0]","[0.0, 0.0, 0.0, 1011.0010986328125, 0.0, 0, 0]",,no DAT interaction label
events-ep1/q112-bb-j,Episode1,0,11,29,npc,20,0,"[-267.0032958984375, 0.0, -24.00175666809082]","[0, 20480, 0]","[0.0, 0.0, 0.0, 1010.0010986328125, 0.0, 0, 0]",,no DAT interaction label
events-ep1/q113-bb-e,Episode1,0,0,29,npc,10,0,"[-49.0010986328125, 0.0, 50.996429443359375]","[0, 24576, 0]","[0.0, 0.0, 0.0, 1011.0010986328125, 0.0, 0, 0]",,no DAT interaction label
events-ep1/q113-bb-e,Episode1,0,11,29,npc,20,0,"[-267.0032958984375, 0.0, -24.00175666809082]","[0, 20480, 0]","[0.0, 0.0, 0.0, 1010.0010986328125, 0.0, 0, 0]",,no DAT interaction label
events-ep1/q113-bb-j,Episode1,0,0,29,npc,10,0,"[-49.0010986328125, 0.0, 50.996429443359375]","[0, 24576, 0]","[0.0, 0.0, 0.0, 1011.0010986328125, 0.0, 0, 0]",,no DAT interaction label
events-ep1/q113-bb-j,Episode1,0,11,29,npc,20,0,"[-267.0032958984375, 0.0, -24.00175666809082]","[0, 20480, 0]","[0.0, 0.0, 0.0, 1010.0010986328125, 0.0, 0, 0]",,no DAT interaction label
events-ep1/q127-bb-e,Episode1,0,0,29,npc,10,0,"[-49.0010986328125, 0.0, 50.996429443359375]","[0, 24576, 0]","[0.0, 0.0, 0.0, 1011.0010986328125, 850.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep1/q127-bb-e,Episode1,0,6,29,npc,20,0,"[-262.51129150390625, 0.0, -24.541954040527344]","[0, 20480, 0]","[0.0, 0.0, 0.0, 1010.0010986328125, 840.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep1/q127-bb-j,Episode1,0,0,29,npc,10,0,"[-49.0010986328125, 0.0, 50.996429443359375]","[0, 24576, 0]","[0.0, 0.0, 0.0, 1011.0010986328125, 850.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep1/q127-bb-j,Episode1,0,6,29,npc,20,0,"[-262.51129150390625, 0.0, -24.541954040527344]","[0, 20480, 0]","[0.0, 0.0, 0.0, 1010.0010986328125, 840.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep1/q220-bb-e,Episode1,0,0,29,npc,10,0,"[-49.0010986328125, 0.0, 51.0]","[0, 24576, 0]","[0.0, 0.0, 0.0, 1011.0, 850.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep1/q220-bb-e,Episode1,0,8,29,npc,20,0,"[-262.5099792480469, 0.0, -24.53999900817871]","[0, 20480, 0]","[0.0, 0.0, 0.0, 1010.0, 840.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep1/q220-bb-j,Episode1,0,0,29,npc,10,0,"[-49.0010986328125, 0.0, 51.0]","[0, 24576, 0]","[0.0, 0.0, 0.0, 1011.0, 850.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep1/q220-bb-j,Episode1,0,8,29,npc,20,0,"[-262.5099792480469, 0.0, -24.53999900817871]","[0, 20480, 0]","[0.0, 0.0, 0.0, 1010.0, 840.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep1/q399-bb-e,Episode1,0,0,29,npc,10,0,"[-49.0010986328125, 0.0, 51.0]","[0, 24576, 0]","[0.0, 0.0, 0.0, 1011.0, 850.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep1/q399-bb-e,Episode1,0,11,29,npc,20,0,"[-262.5099792480469, 0.0, -24.53999900817871]","[0, 20480, 0]","[0.0, 0.0, 0.0, 1010.0, 840.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep1/q512-bb-e,Episode1,0,0,29,npc,10,0,"[-49.0010986328125, 0.0, 51.0]","[0, 24576, 0]","[0.0, 0.0, 0.0, 1011.0, 850.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep1/q512-bb-e,Episode1,0,7,29,npc,20,0,"[-262.5099792480469, 0.0, -24.53999900817871]","[0, 20480, 0]","[0.0, 0.0, 0.0, 1010.0, 840.0, 0, 0]",,free-play script target; quest linkage not inferred
