quest_key,episode,floor,index,type,kind,room,wave,position,angles,params,handler_label,handler_status
Test/q37-bb-e,Episode1,0,5,31,npc,40,0,"[0.30999755859375, 3.0, -105.38998413085938]","[0, 0, 0]","[0.0, 0.0, 0.0, 1017.0, 0.0, 0, 0]",,no DAT interaction label
Test/q37-bb-j,Episode1,0,5,31,npc,40,0,"[0.30999755859375, 3.0, -105.38998413085938]","[0, 0, 0]","[0.0, 0.0, 0.0, 1017.0, 0.0, 0, 0]",,no DAT interaction label
challenge-ep1/c88101-bb-e,Episode1,0,6,31,npc,40,0,"[0.3097381591796875, 3.0, -105.3865966796875]","[0, 0, 0]","[0.0, 0.0, 0.0, 1017.0010986328125, 860.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep1/c88101-bb-j,Episode1,0,6,31,npc,40,0,"[0.3097381591796875, 3.0, -105.3865966796875]","[0, 0, 0]","[0.0, 0.0, 0.0, 1017.0010986328125, 860.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep1/c88102-bb-e,Episode1,0,6,31,npc,40,0,"[0.3097381591796875, 3.0, -105.3865966796875]","[0, 0, 0]","[0.0, 0.0, 0.0, 1017.0010986328125, 860.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep1/c88102-bb-j,Episode1,0,6,31,npc,40,0,"[0.3097381591796875, 3.0, -105.3865966796875]","[0, 0, 0]","[0.0, 0.0, 0.0, 1017.0010986328125, 860.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep1/c88103-bb-e,Episode1,0,6,31,npc,40,0,"[0.3097381591796875, 3.0, -105.3865966796875]","[0, 0, 0]","[0.0, 0.0, 0.0, 1017.0010986328125, 860.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep1/c88103-bb-j,Episode1,0,6,31,npc,40,0,"[0.3097381591796875, 3.0, -105.3865966796875]","[0, 0, 0]","[0.0, 0.0, 0.0, 1017.0010986328125, 860.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep1/c88104-bb-e,Episode1,0,6,31,npc,40,0,"[0.3097381591796875, 3.0, -105.3865966796875]","[0, 0, 0]","[0.0, 0.0, 0.0, 1017.0010986328125, 860.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep1/c88104-bb-j,Episode1,0,6,31,npc,40,0,"[0.3097381591796875, 3.0, -105.3865966796875]","[0, 0, 0]","[0.0, 0.0, 0.0, 1017.0010986328125, 860.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep1/c88105-bb-e,Episode1,0,6,31,npc,40,0,"[0.3097381591796875, 3.0, -105.3865966796875]","[0, 0, 0]","[0.0, 0.0, 0.0, 1017.0010986328125, 0.0, 0, 0]",,no DAT interaction label
challenge-ep1/c88105-bb-j,Episode1,0,6,31,npc,40,0,"[0.3097381591796875, 3.0, -105.3865966796875]","[0, 0, 0]","[0.0, 0.0, 0.0, 1017.0010986328125, 0.0, 0, 0]",,no DAT interaction label
challenge-ep1/c88106-bb-e,Episode1,0,6,31,npc,40,0,"[0.3097381591796875, 3.0, -105.3865966796875]","[0, 0, 0]","[0.0, 0.0, 0.0, 1017.0010986328125, 860.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep1/c88106-bb-j,Episode1,0,6,31,npc,40,0,"[0.3097381591796875, 3.0, -105.3865966796875]","[0, 0, 0]","[0.0, 0.0, 0.0, 1017.0010986328125, 860.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep1/c88107-bb-e,Episode1,0,6,31,npc,40,0,"[0.3097381591796875, 3.0, -105.3865966796875]","[0, 0, 0]","[0.0, 0.0, 0.0, 1017.0010986328125, 860.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep1/c88107-bb-j,Episode1,0,6,31,npc,40,0,"[0.3097381591796875, 3.0, -105.3865966796875]","[0, 0, 0]","[0.0, 0.0, 0.0, 1017.0010986328125, 860.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep1/c88108-bb-e,Episode1,0,6,31,npc,40,0,"[0.3097381591796875, 3.0, -105.3865966796875]","[0, 0, 0]","[0.0, 0.0, 0.0, 1017.0010986328125, 860.0, 0, 0]",,free-play script target; quest linkage not inferred
