quest_key,episode,floor,index,type,kind,room,wave,position,angles,params,handler_label,handler_status
events-ep1/q512-bb-e,Episode1,0,9,36,npc,20,0,"[-41.647850036621094, 0.0, -26.16175079345703]","[0, 0, 0]","[0.0, 0.0, 0.0, 102.00004577636719, 330.0001220703125, 0, 0]",label014A,static candidate resolved; inspect caller and type-specific rules
maximum-attack-ep1/q45-bb-e,Episode1,0,12,36,npc,20,0,"[-49.849998474121094, 0.0, -24.525129318237305]","[0, 0, 0]","[30.000009536743164, 0.0, 0.0, 136.0, 1136.0, 0, 0]",label0470,static candidate resolved; inspect caller and type-specific rules
maximum-attack-ep1/q45-bb-j,Episode1,0,12,36,npc,20,0,"[-49.849998474121094, 0.0, -24.525129318237305]","[0, 0, 0]","[30.000009536743164, 0.0, 0.0, 136.0, 1136.0, 0, 0]",label0470,static candidate resolved; inspect caller and type-specific rules
maximum-attack-ep1/q144-bb-e,Episode1,0,12,36,npc,20,0,"[-49.849998474121094, 0.0, -24.525129318237305]","[0, 0, 0]","[30.000009536743164, 0.0, 0.0, 136.0, 1136.0, 0, 0]",label0470,static candidate resolved; inspect caller and type-specific rules
maximum-attack-ep1/q144-bb-j,Episode1,0,12,36,npc,20,0,"[-49.849998474121094, 0.0, -24.525129318237305]","[0, 0, 0]","[30.000009536743164, 0.0, 0.0, 136.0, 1136.0, 0, 0]",label0470,static candidate resolved; inspect caller and type-specific rules
maximum-attack-ep1/q145-bb-e,Episode1,0,12,36,npc,20,0,"[-49.849998474121094, 0.0, -24.525129318237305]","[0, 0, 0]","[30.000009536743164, 0.0, 0.0, 136.0, 1136.0, 0, 0]",label0470,static candidate resolved; inspect caller and type-specific rules
maximum-attack-ep1/q145-bb-j,Episode1,0,12,36,npc,20,0,"[-49.849998474121094, 0.0, -24.525129318237305]","[0, 0, 0]","[30.000009536743164, 0.0, 0.0, 136.0, 1136.0, 0, 0]",label0470,static candidate resolved; inspect caller and type-specific rules
maximum-attack-ep1/q146-bb-e,Episode1,0,12,36,npc,20,0,"[-49.849998474121094, 0.0, -24.525129318237305]","[0, 0, 0]","[30.000009536743164, 0.0, 0.0, 136.0, 1136.0, 0, 0]",label0470,static candidate resolved; inspect caller and type-specific rules
maximum-attack-ep1/q146-bb-j,Episode1,0,12,36,npc,20,0,"[-49.849998474121094, 0.0, -24.525129318237305]","[0, 0, 0]","[30.000009536743164, 0.0, 0.0, 136.0, 1136.0, 0, 0]",label0470,static candidate resolved; inspect caller and type-specific rules
solo-extra-ep1/q030-bb-e,Episode4,0,0,36,npc,10,0,"[-74.99000549316406, 0.0, -16.959991455078125]","[0, 20480, 0]","[0.0, 158.0, 0.0, 158.0, 1158.0, 0, 0]",label0486,static candidate resolved; inspect caller and type-specific rules
solo-extra-ep1/q030-bb-j,Episode4,0,0,36,npc,10,0,"[-74.99000549316406, 0.0, -16.959991455078125]","[0, 20480, 0]","[0.0, 158.0, 0.0, 158.0, 1158.0, 0, 0]",label0486,static candidate resolved; inspect caller and type-specific rules
solo-extra-ep1/q033-bb-e,Episode4,0,24,36,npc,20,0,"[113.08686065673828, 0.0, 85.02684020996094]","[0, 16384, 0]","[0.0, 0.0, 147.0, 147.0, 1147.0, 0, 0]",label047B,static candidate resolved; inspect caller and type-specific rules
solo-extra-ep1/q033-bb-j,Episode4,0,24,36,npc,20,0,"[113.08686065673828, 0.0, 85.02684020996094]","[0, 16384, 0]","[0.0, 0.0, 147.0, 147.0, 1147.0, 0, 0]",label047B,static candidate resolved; inspect caller and type-specific rules
solo-extra-ep1/q036-bb-j,Episode4,0,21,36,npc,10,0,"[-1.6100006103515625, 0.0, -323.16168212890625]","[0, 49152, 0]","[0.0, 105.0, 0.0, 105.0, 1105.0, 0, 0]",label0451,static candidate resolved; inspect caller and type-specific rules
vr-ep1/q94-bb-e,Episode1,0,22,36,npc,41,0,"[22.688032150268555, -3.882504628904826e-08, 30.73619270324707]","[0, 43786, 0]","[0.0, 0.0, 0.0, 105.0, 2503.0, 0, 0]",label09C7,static candidate resolved; inspect caller and type-specific rules
vr-ep1/q94-bb-j,Episode1,0,22,36,npc,41,0,"[22.688032150268555, -3.882504628904826e-08, 30.73619270324707]","[0, 43786, 0]","[0.0, 0.0, 0.0, 105.0, 2503.0, 0, 0]",label09C7,static candidate resolved; inspect caller and type-specific rules
