quest_key,episode,floor,index,type,kind,room,wave,position,angles,params,handler_label,handler_status
Test/q37-bb-e,Episode1,0,13,44,npc,30,0,"[144.03489685058594, 0.0, 276.04022216796875]","[0, 48870, 0]","[0.0, 0.0, 0.0, 106.0, 502.0, 0, 0]",label01F6,static candidate resolved; inspect caller and type-specific rules
Test/q37-bb-j,Episode1,0,13,44,npc,30,0,"[144.03489685058594, 0.0, 276.04022216796875]","[0, 48870, 0]","[0.0, 0.0, 0.0, 106.0, 502.0, 0, 0]",label01F6,static candidate resolved; inspect caller and type-specific rules
extermination-ep1/q121-bb-e,Episode1,0,4,44,npc,40,0,"[-17.795631408691406, 0.0, 166.55465698242188]","[0, 4096, 0]","[24.000009536743164, 0.0, 0.0, 109.0, 345.0001220703125, 1, 0]",label0159,static candidate resolved; inspect caller and type-specific rules
extermination-ep1/q121-bb-j,Episode1,0,4,44,npc,40,0,"[-17.795631408691406, 0.0, 166.55465698242188]","[0, 4096, 0]","[24.000009536743164, 0.0, 0.0, 109.0, 345.0001220703125, 1, 0]",label0159,static candidate resolved; inspect caller and type-specific rules
extermination-ep1/q122-bb-e,Episode1,0,4,44,npc,40,0,"[-17.795631408691406, 0.0, 166.55465698242188]","[0, 4096, 0]","[24.000009536743164, 0.0, 0.0, 109.0, 345.0001220703125, 1, 0]",label0159,static candidate resolved; inspect caller and type-specific rules
extermination-ep1/q122-bb-j,Episode1,0,4,44,npc,40,0,"[-17.795631408691406, 0.0, 166.55465698242188]","[0, 4096, 0]","[24.000009536743164, 0.0, 0.0, 109.0, 345.0001220703125, 1, 0]",label0159,static candidate resolved; inspect caller and type-specific rules
extermination-ep1/q130-bb-e,Episode1,0,3,44,npc,40,0,"[-27.434165954589844, 0.0, -14.578036308288574]","[0, 45056, 0]","[17.000009536743164, 0.0, 0.0, 103.00004577636719, 330.0001220703125, 1, 0]",label014A,static candidate resolved; inspect caller and type-specific rules
extermination-ep1/q130-bb-j,Episode1,0,3,44,npc,40,0,"[-27.434165954589844, 0.0, -14.578036308288574]","[0, 45056, 0]","[17.000009536743164, 0.0, 0.0, 103.00004577636719, 330.0001220703125, 1, 0]",label014A,static candidate resolved; inspect caller and type-specific rules
extermination-ep1/q199-bb-e,Episode1,0,3,44,npc,20,0,"[85.0, 0.0, -15.0]","[0, 45056, 0]","[17.000009536743164, 0.0, 0.0, 103.00004577636719, 330.0001220703125, 1, 0]",label014A,static candidate resolved; inspect caller and type-specific rules
maximum-attack-ep1/q45-bb-e,Episode1,0,20,44,npc,10,0,"[-80.0, 0.0, -75.0]","[0, 8192, 0]","[0.0, 0.0, 0.0, 200.0, 300.0, 0, 0]",label012C,static candidate resolved; inspect caller and type-specific rules
maximum-attack-ep1/q45-bb-j,Episode1,0,20,44,npc,10,0,"[-80.0, 0.0, -75.0]","[0, 8192, 0]","[0.0, 0.0, 0.0, 200.0, 300.0, 0, 0]",label012C,static candidate resolved; inspect caller and type-specific rules
retrieval-ep1/q137-bb-e,Episode1,0,9,44,npc,20,0,"[-50.000022888183594, 0.0, -19.99666976928711]","[0, 0, 0]","[10.000004768371582, 0.0, 0.0, 123.99999237060547, 123.0000991821289, 1, 0]",label007B,static candidate resolved; inspect caller and type-specific rules
retrieval-ep1/q137-bb-j,Episode1,0,9,44,npc,20,0,"[-50.000022888183594, 0.0, -19.99666976928711]","[0, 0, 0]","[10.000004768371582, 0.0, 0.0, 123.99999237060547, 123.0000991821289, 1, 0]",label007B,static candidate resolved; inspect caller and type-specific rules
seasonal-ep1/q150-bb-e,Episode1,0,9,44,npc,40,0,"[71.13414764404297, 0.0, -101.81085205078125]","[0, 0, 0]","[0.0, 0.0, 0.0, 101.0, 301.0, 0, 0]",label012D,static candidate resolved; inspect caller and type-specific rules
solo-story-ep1/q002-bb-e,Episode1,0,2,44,npc,10,0,"[-13.502914428710938, 0.0, -64.99845886230469]","[0, 57344, 0]","[0.0, 0.0, 0.0, 103.00004577636719, 320.0001220703125, 0, 0]",label0140,static candidate resolved; inspect caller and type-specific rules
solo-story-ep1/q002-bb-j,Episode1,0,2,44,npc,10,0,"[-13.502914428710938, 0.0, -64.99845886230469]","[0, 57344, 0]","[0.0, 0.0, 0.0, 103.00004577636719, 320.0001220703125, 0, 0]",label0140,static candidate resolved; inspect caller and type-specific rules
solo-story-ep1/q012-bb-e,Episode1,0,9,44,npc,20,0,"[129.9997100830078, 0.0, 134.99891662597656]","[0, 24576, 0]","[0.0, 0.0, 0.0, 101.00004577636719, 320.0001220703125, 0, 0]",label0140,static candidate resolved; inspect caller and type-specific rules
solo-story-ep1/q012-bb-j,Episode1,0,9,44,npc,20,0,"[129.9997100830078, 0.0, 134.99891662597656]","[0, 24576, 0]","[0.0, 0.0, 0.0, 101.00004577636719, 320.0001220703125, 0, 0]",label0140,static candidate resolved; inspect caller and type-specific rules
solo-story-ep1/q017-bb-e,Episode1,0,11,44,npc,20,0,"[88.71427154541016, 0.0, -6.705724239349365]","[0, 16384, 0]","[26.000009536743164, 0.0, 0.0, 103.00004577636719, 330.0001220703125, 1, 0]",label014A,static candidate resolved; inspect caller and type-specific rules
solo-story-ep1/q017-bb-j,Episode1,0,11,44,npc,20,0,"[88.71427154541016, 0.0, -6.705724239349365]","[0, 16384, 0]","[26.000009536743164, 0.0, 0.0, 103.00004577636719, 330.0001220703125, 1, 0]",label014A,static candidate resolved; inspect caller and type-specific rules
vr-ep1/q78-bb-e,Episode1,0,12,44,npc,20,0,"[94.06627655029297, 0.0, -1.5039730072021484]","[0, 16384, 0]","[20.000009536743164, 0.0, 0.0, 103.00004577636719, 340.0001220703125, 1, 0]",label0154,static candidate resolved; inspect caller and type-specific rules
vr-ep1/q78-bb-j,Episode1,0,12,44,npc,20,0,"[94.06627655029297, 0.0, -1.5039730072021484]","[0, 16384, 0]","[20.000009536743164, 0.0, 0.0, 103.00004577636719, 340.0001220703125, 1, 0]",label0154,static candidate resolved; inspect caller and type-specific rules
vr-ep1/q114-bb-e,Episode1,0,3,44,npc,20,0,"[85.0, 0.0, -15.0]","[0, 45056, 0]","[17.000009536743164, 0.0, 0.0, 103.00004577636719, 330.0001220703125, 1, 0]",label014A,static candidate resolved; inspect caller and type-specific rules
vr-ep1/q114-bb-j,Episode1,0,3,44,npc,20,0,"[85.0, 0.0, -15.0]","[0, 45056, 0]","[17.000009536743164, 0.0, 0.0, 103.00004577636719, 330.0001220703125, 1, 0]",label014A,static candidate resolved; inspect caller and type-specific rules
