quest_key,episode,floor,index,type,kind,room,wave,position,angles,params,handler_label,handler_status
challenge-ep1/c88104-bb-e,Episode1,12,0,193,monster,1,1,"[7.63365364074707, 9.176727294921875, -210.15016174316406]","[0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep1/c88104-bb-j,Episode1,12,0,193,monster,1,1,"[7.63365364074707, 9.176727294921875, -210.15016174316406]","[0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0, 0]",,not a standard NPC interaction
events-ep1/q80-bb-e,Episode1,12,0,193,monster,1,1,"[7.63365364074707, 9.176727294921875, -210.15016174316406]","[0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0, 0]",,not a standard NPC interaction
events-ep1/q80-bb-j,Episode1,12,0,193,monster,1,1,"[7.63365364074707, 9.176727294921875, -210.15016174316406]","[0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0, 0]",,not a standard NPC interaction
events-ep1/q112-bb-e,Episode1,12,0,193,monster,1,1,"[7.63365364074707, 9.176727294921875, -210.15016174316406]","[0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0, 0]",,not a standard NPC interaction
events-ep1/q112-bb-j,Episode1,12,0,193,monster,1,1,"[7.63365364074707, 9.176727294921875, -210.15016174316406]","[0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0, 0]",,not a standard NPC interaction
events-ep1/q113-bb-e,Episode1,12,0,193,monster,1,1,"[7.63365364074707, 9.176727294921875, -210.15016174316406]","[0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0, 0]",,not a standard NPC interaction
events-ep1/q113-bb-j,Episode1,12,0,193,monster,1,1,"[7.63365364074707, 9.176727294921875, -210.15016174316406]","[0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0, 0]",,not a standard NPC interaction
events-ep1/q399-bb-e,Episode1,12,0,193,monster,1,1,"[7.63365364074707, 9.0, -210.15016174316406]","[0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0, 0]",,not a standard NPC interaction
extermination-ep1/q62-bb-e,Episode1,12,0,193,monster,1,1,"[7.63365364074707, 9.176727294921875, -210.15016174316406]","[0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0, 0]",,not a standard NPC interaction
