quest_key,episode,floor,index,type,kind,room,wave,position,angles,params,handler_label,handler_status
challenge-ep2/d88203-bb-e,Episode2,4,86,216,monster,11,1,"[26.3260498046875, 9.841954231262207, 36.981201171875]","[0, 16384, 0]","[200.0, 0.0, 0.7999999523162842, 0.7999999523162842, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88203-bb-e,Episode2,5,46,216,monster,9,1,"[-120.0, 0.0, 0.0]","[0, 49152, 0]","[100.0, 0.0, 0.7999999523162842, 0.7999999523162842, 0.0, 3, 0]",,not a standard NPC interaction
challenge-ep2/d88203-bb-j,Episode2,4,86,216,monster,11,1,"[26.3260498046875, 9.841954231262207, 36.981201171875]","[0, 16384, 0]","[200.0, 0.0, 0.7999999523162842, 0.7999999523162842, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88203-bb-j,Episode2,5,46,216,monster,9,1,"[-120.0, 0.0, 0.0]","[0, 49152, 0]","[100.0, 0.0, 0.7999999523162842, 0.7999999523162842, 0.0, 3, 0]",,not a standard NPC interaction
challenge-ep2/d88205-bb-e,Episode2,1,6,216,monster,2,2,"[222.2580108642578, -5.773346424102783, -261.90625]","[0, 7680, 0]","[500.0, 0.0, 0.7999999523162842, 0.7999999523162842, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88205-bb-e,Episode2,1,12,216,monster,3,1,"[303.6300048828125, -21.0, 1.975067138671875]","[0, 98304, 0]","[500.0, 0.0, 0.7999999523162842, 0.7999999523162842, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88205-bb-e,Episode2,1,13,216,monster,3,1,"[388.5052185058594, -21.0, 5.47265625]","[0, 98304, 0]","[500.0, 0.0, 0.7999999523162842, 0.7999999523162842, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88205-bb-e,Episode2,1,17,216,monster,5,2,"[103.837890625, -8.104628079763643e-15, -325.2353515625]","[0, 12288, 0]","[500.0, 0.0, 0.7999999523162842, 0.7999999523162842, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88205-bb-e,Episode2,2,5,216,monster,2,1,"[300.20648193359375, -20.0, -164.29296875]","[0, 36864, 0]","[300.0, 0.0, 0.7999999523162842, 0.7999999523162842, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88205-bb-e,Episode2,2,29,216,monster,5,1,"[344.3757629394531, -21.0, -172.630859375]","[0, 36864, 0]","[300.0, 0.0, 0.7999999523162842, 0.7999999523162842, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88205-bb-e,Episode2,2,30,216,monster,5,1,"[269.2132873535156, -21.0, -135.984375]","[0, 36864, 0]","[300.0, 0.0, 0.7999999523162842, 0.7999999523162842, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88205-bb-j,Episode2,1,6,216,monster,2,2,"[222.2580108642578, -5.773346424102783, -261.90625]","[0, 7680, 0]","[500.0, 0.0, 0.7999999523162842, 0.7999999523162842, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88205-bb-j,Episode2,1,12,216,monster,3,1,"[303.6300048828125, -21.0, 1.975067138671875]","[0, 98304, 0]","[500.0, 0.0, 0.7999999523162842, 0.7999999523162842, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88205-bb-j,Episode2,1,13,216,monster,3,1,"[388.5052185058594, -21.0, 5.47265625]","[0, 98304, 0]","[500.0, 0.0, 0.7999999523162842, 0.7999999523162842, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88205-bb-j,Episode2,1,17,216,monster,5,2,"[103.837890625, -8.104628079763643e-15, -325.2353515625]","[0, 12288, 0]","[500.0, 0.0, 0.7999999523162842, 0.7999999523162842, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88205-bb-j,Episode2,2,5,216,monster,2,1,"[300.20648193359375, -20.0, -164.29296875]","[0, 36864, 0]","[300.0, 0.0, 0.7999999523162842, 0.7999999523162842, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88205-bb-j,Episode2,2,29,216,monster,5,1,"[344.3757629394531, -21.0, -172.630859375]","[0, 36864, 0]","[300.0, 0.0, 0.7999999523162842, 0.7999999523162842, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88205-bb-j,Episode2,2,30,216,monster,5,1,"[269.2132873535156, -21.0, -135.984375]","[0, 36864, 0]","[300.0, 0.0, 0.7999999523162842, 0.7999999523162842, 0.0, 0, 0]",,not a standard NPC interaction
events-ep2/q56-bb-e,Episode2,17,6,216,monster,2,2,"[222.2580108642578, -5.773346424102783, -261.90625]","[0, 7680, 0]","[500.0, 0.0, 0.7999999523162842, 0.7999999523162842, 0.0, 0, 0]",,not a standard NPC interaction
events-ep2/q56-bb-e,Episode2,17,12,216,monster,3,1,"[303.6300048828125, -21.0, 1.975067138671875]","[0, 0, 0]","[500.0, 0.0, 0.7999999523162842, 0.7999999523162842, 0.0, 0, 0]",,not a standard NPC interaction
events-ep2/q56-bb-e,Episode2,17,13,216,monster,3,1,"[388.5052185058594, -21.0, 5.47265625]","[0, 0, 0]","[500.0, 0.0, 0.7999999523162842, 0.7999999523162842, 0.0, 0, 0]",,not a standard NPC interaction
events-ep2/q56-bb-e,Episode2,17,17,216,monster,5,2,"[103.837890625, -8.104628079763643e-15, -325.2353515625]","[0, 12288, 0]","[500.0, 0.0, 0.7999999523162842, 0.7999999523162842, 0.0, 0, 0]",,not a standard NPC interaction
