quest_key,episode,floor,index,type,kind,room,wave,position,angles,params,handler_label,handler_status
challenge-ep2/d88203-bb-e,Episode2,3,55,218,monster,4,1,"[59.8525390625, 0.0, 251.02996826171875]","[0, 45056, 0]","[1.0, 0.0, 150.0, 0.0, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88203-bb-e,Episode2,5,45,218,monster,8,1,"[0.0, 0.0, 0.0]","[0, 49152, 0]","[1.0, 0.0, 150.0, 0.19999998807907104, 0.19999998807907104, 3, 0]",,not a standard NPC interaction
challenge-ep2/d88203-bb-j,Episode2,3,55,218,monster,4,1,"[59.8525390625, 0.0, 251.02996826171875]","[0, 45056, 0]","[1.0, 0.0, 150.0, 0.0, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88203-bb-j,Episode2,5,45,218,monster,8,1,"[0.0, 0.0, 0.0]","[0, 49152, 0]","[1.0, 0.0, 150.0, 0.19999998807907104, 0.19999998807907104, 3, 0]",,not a standard NPC interaction
challenge-ep2/d88205-bb-e,Episode2,1,9,218,monster,3,2,"[267.7425231933594, -15.005563735961914, -219.4064178466797]","[0, 73728, 0]","[1.0, 0.0, 250.0, 0.29999998211860657, 0.19999998807907104, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88205-bb-e,Episode2,1,18,218,monster,5,2,"[332.1965026855469, -20.0, -72.2451171875]","[0, 36864, 0]","[501.0, 0.0, 50.0, 0.29999998211860657, 0.29999998211860657, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88205-bb-e,Episode2,1,37,218,monster,20,1,"[144.654296875, -6.131447792053223, -263.50390625]","[0, 12288, 0]","[1.0, 0.0, 50.0, 0.29999998211860657, 0.29999998211860657, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88205-bb-e,Episode2,1,38,218,monster,20,1,"[338.6279296875, -16.421396255493164, -174.5869140625]","[0, 36864, 0]","[1.0, 0.0, 250.0, 0.29999998211860657, 0.29999998211860657, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88205-bb-e,Episode2,2,6,218,monster,2,1,"[193.29087829589844, -3.9280645847320557, -287.0595703125]","[0, 40960, 0]","[1.0, 0.0, 50.0, 0.29999998211860657, 0.29999998211860657, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88205-bb-e,Episode2,2,11,218,monster,4,3,"[222.1181640625, -5.607879638671875, -263.5007019042969]","[0, 73728, 0]","[1.0, 0.0, 50.0, 0.29999998211860657, 0.29999998211860657, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88205-bb-e,Episode2,2,12,218,monster,4,3,"[1.8681640625, -1.7043203115463257e-07, -344.2509460449219]","[0, 81920, 0]","[1.0, 0.0, 50.0, 0.29999998211860657, 0.29999998211860657, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88205-bb-e,Episode2,2,13,218,monster,4,3,"[352.3798828125, -20.475976943969727, 2.7059621810913086]","[0, 32768, 0]","[1.0, 0.0, 50.0, 0.29999998211860657, 0.29999998211860657, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88205-bb-e,Episode2,2,22,218,monster,4,1,"[216.1806640625, -4.619561195373535, -266.7614440917969]","[0, 106496, 0]","[1.0, 0.0, 50.0, 0.29999998211860657, 0.29999998211860657, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88205-bb-e,Episode2,2,23,218,monster,4,2,"[254.5625, -6.180796146392822, -305.480712890625]","[0, 122880, 0]","[1.0, 0.0, 50.0, 0.29999998211860657, 0.29999998211860657, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88205-bb-e,Episode2,2,24,218,monster,4,2,"[180.068359375, -6.62883996963501, -213.23329162597656]","[0, 90112, 0]","[1.0, 0.0, 50.0, 0.29999998211860657, 0.29999998211860657, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88205-bb-j,Episode2,1,9,218,monster,3,2,"[267.7425231933594, -15.005563735961914, -219.4064178466797]","[0, 73728, 0]","[1.0, 0.0, 250.0, 0.29999998211860657, 0.19999998807907104, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88205-bb-j,Episode2,1,18,218,monster,5,2,"[332.1965026855469, -20.0, -72.2451171875]","[0, 36864, 0]","[501.0, 0.0, 50.0, 0.29999998211860657, 0.29999998211860657, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88205-bb-j,Episode2,1,37,218,monster,20,1,"[144.654296875, -6.131447792053223, -263.50390625]","[0, 12288, 0]","[1.0, 0.0, 50.0, 0.29999998211860657, 0.29999998211860657, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88205-bb-j,Episode2,1,38,218,monster,20,1,"[338.6279296875, -16.421396255493164, -174.5869140625]","[0, 36864, 0]","[1.0, 0.0, 250.0, 0.29999998211860657, 0.29999998211860657, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88205-bb-j,Episode2,2,6,218,monster,2,1,"[193.29087829589844, -3.9280645847320557, -287.0595703125]","[0, 40960, 0]","[1.0, 0.0, 50.0, 0.29999998211860657, 0.29999998211860657, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88205-bb-j,Episode2,2,11,218,monster,4,3,"[222.1181640625, -5.607879638671875, -263.5007019042969]","[0, 73728, 0]","[1.0, 0.0, 50.0, 0.29999998211860657, 0.29999998211860657, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88205-bb-j,Episode2,2,12,218,monster,4,3,"[1.8681640625, -1.7043203115463257e-07, -344.2509460449219]","[0, 81920, 0]","[1.0, 0.0, 50.0, 0.29999998211860657, 0.29999998211860657, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88205-bb-j,Episode2,2,13,218,monster,4,3,"[352.3798828125, -20.475976943969727, 2.7059621810913086]","[0, 32768, 0]","[1.0, 0.0, 50.0, 0.29999998211860657, 0.29999998211860657, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88205-bb-j,Episode2,2,22,218,monster,4,1,"[216.1806640625, -4.619561195373535, -266.7614440917969]","[0, 106496, 0]","[1.0, 0.0, 50.0, 0.29999998211860657, 0.29999998211860657, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88205-bb-j,Episode2,2,23,218,monster,4,2,"[254.5625, -6.180796146392822, -305.480712890625]","[0, 122880, 0]","[1.0, 0.0, 50.0, 0.29999998211860657, 0.29999998211860657, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88205-bb-j,Episode2,2,24,218,monster,4,2,"[180.068359375, -6.62883996963501, -213.23329162597656]","[0, 90112, 0]","[1.0, 0.0, 50.0, 0.29999998211860657, 0.29999998211860657, 0, 0]",,not a standard NPC interaction
