quest_key,episode,floor,index,type,kind,room,wave,position,angles,params,handler_label,handler_status
challenge-ep2/d88204-bb-e,Episode2,1,3,219,monster,20,1,"[-11.265716552734375, -3.000000238418579, 17.8521728515625]","[0, 147456, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,1,4,219,monster,20,1,"[10.002105712890625, -3.0, -24.335418701171875]","[0, 147456, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,1,5,219,monster,21,2,"[17.26123046875, -3.0, -20.232666015625]","[0, 49152, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,1,46,219,monster,71,1,"[-52.9468994140625, -4.512104034423828, 28.9842529296875]","[0, 81920, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,1,47,219,monster,71,1,"[28.0345458984375, -6.013065338134766, -26.64105224609375]","[0, 81920, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,2,4,219,monster,20,1,"[-18.4849853515625, -3.0, -34.591880798339844]","[0, 81920, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,2,5,219,monster,20,1,"[35.9493408203125, -3.0, 15.747955322265625]","[0, 81920, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,2,9,219,monster,21,2,"[19.8707275390625, -3.0, 12.0994873046875]","[0, 65536, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,3,0,219,monster,20,3,"[14.17242431640625, -3.0, 13.84881591796875]","[0, 98304, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,3,10,219,monster,20,2,"[32.178955078125, -3.0, 18.95147705078125]","[0, 98304, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0, 0]",,not a standard NPC interaction
