quest_key,episode,floor,index,type,kind,room,wave,position,angles,params,handler_label,handler_status
challenge-ep2/d88204-bb-e,Episode2,1,48,220,monster,80,1,"[-117.08245849609375, -31.0, 2.36474609375]","[0, 81920, 0]","[0.0, 0.19999998807907104, 20.0, 0.0, 0.44999998807907104, 1, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,2,55,220,monster,213,1,"[360.0, -60.0, -90.0]","[0, 65536, 0]","[0.0, 0.19999998807907104, 20.0, 0.0, 0.8499999642372131, 1, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,3,61,220,monster,80,1,"[-121.45487976074219, -31.0, 1.64300537109375]","[0, 81921, 0]","[0.0, 0.19999998807907104, 20.0, 0.0, 0.8499999642372131, 1, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,4,39,220,monster,81,1,"[-129.7896728515625, -31.0, 1.52130126953125]","[0, 16384, 0]","[0.0, 0.19999998807907104, 20.0, 0.0, 0.5, 1, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,5,22,220,monster,70,1,"[160.0, 0.0, -0.015380859375]","[0, 49153, 0]","[0.0, 0.19999998807907104, 20.0, 0.0, 0.5, 1, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,6,3,220,monster,30,2,"[-65.27801513671875, 0.0, 64.53079223632812]","[0, 147456, 0]","[0.0, 0.19999998807907104, 20.0, 0.0, 0.5, 1, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,6,4,220,monster,30,1,"[62.5897216796875, 0.0, -64.46636962890625]","[0, 114688, 0]","[0.0, 0.19999998807907104, 20.0, 0.0, 0.5, 1, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,6,44,220,monster,70,3,"[-108.54257202148438, -4.0, 5.2733154296875]","[0, 81921, 0]","[0.0, 0.19999998807907104, 20.0, 0.0, 0.5, 1, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,6,62,220,monster,80,1,"[-130.0, -31.0, 0.0001220703125]","[0, 16384, 0]","[0.0, 0.19999998807907104, 20.0, 0.0, 0.5, 1, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,6,65,220,monster,81,1,"[-123.96308898925781, -31.0, -1.0208574533462524]","[0, 81920, 0]","[0.0, 0.19999998807907104, 20.0, 0.0, 0.44999998807907104, 1, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,6,66,220,monster,81,1,"[86.03997802734375, -31.0, -1.0200810432434082]","[0, 49152, 0]","[0.0, 0.19999998807907104, 20.0, 0.0, 0.44999998807907104, 1, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-j,Episode2,1,48,220,monster,80,1,"[-117.08245849609375, -31.0, 2.36474609375]","[0, 81920, 0]","[0.0, 0.19999998807907104, 20.0, 0.0, 0.44999998807907104, 1, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-j,Episode2,2,55,220,monster,213,1,"[360.0, -60.0, -90.0]","[0, 65536, 0]","[0.0, 0.19999998807907104, 20.0, 0.0, 0.8499999642372131, 1, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-j,Episode2,3,61,220,monster,80,1,"[-121.45487976074219, -31.0, 1.64300537109375]","[0, 81921, 0]","[0.0, 0.19999998807907104, 20.0, 0.0, 0.8499999642372131, 1, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-j,Episode2,4,39,220,monster,81,1,"[-129.7896728515625, -31.0, 1.52130126953125]","[0, 16384, 0]","[0.0, 0.19999998807907104, 20.0, 0.0, 0.5, 1, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-j,Episode2,5,22,220,monster,70,1,"[160.0, 0.0, -0.015380859375]","[0, 49153, 0]","[0.0, 0.19999998807907104, 20.0, 0.0, 0.5, 1, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-j,Episode2,6,3,220,monster,30,2,"[-65.27801513671875, 0.0, 64.53079223632812]","[0, 147456, 0]","[0.0, 0.19999998807907104, 20.0, 0.0, 0.5, 1, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-j,Episode2,6,4,220,monster,30,1,"[62.5897216796875, 0.0, -64.46636962890625]","[0, 114688, 0]","[0.0, 0.19999998807907104, 20.0, 0.0, 0.5, 1, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-j,Episode2,6,44,220,monster,70,3,"[-108.54257202148438, -4.0, 5.2733154296875]","[0, 81921, 0]","[0.0, 0.19999998807907104, 20.0, 0.0, 0.5, 1, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-j,Episode2,6,62,220,monster,80,1,"[-130.0, -31.0, 0.0001220703125]","[0, 16384, 0]","[0.0, 0.19999998807907104, 20.0, 0.0, 0.5, 1, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-j,Episode2,6,65,220,monster,81,1,"[-123.96308898925781, -31.0, -1.0208574533462524]","[0, 81920, 0]","[0.0, 0.19999998807907104, 20.0, 0.0, 0.44999998807907104, 1, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-j,Episode2,6,66,220,monster,81,1,"[86.03997802734375, -31.0, -1.0200810432434082]","[0, 49152, 0]","[0.0, 0.19999998807907104, 20.0, 0.0, 0.44999998807907104, 1, 0]",,not a standard NPC interaction
challenge-ep2/d88205-bb-e,Episode2,1,54,220,monster,30,1,"[-98.80078125, -5.122274160385132e-08, 99.28568267822266]","[0, 90112, 0]","[0.0, 0.19999998807907104, 20.0, 0.0, 0.5, 1, 0]",,not a standard NPC interaction
challenge-ep2/d88205-bb-e,Episode2,2,1,220,monster,2,3,"[287.08984375, -19.453290939331055, -196.1884765625]","[0, 40960, 0]","[0.0, 0.19999998807907104, 20.0, 0.0, 0.5, 1, 0]",,not a standard NPC interaction
challenge-ep2/d88205-bb-e,Episode2,2,9,220,monster,3,1,"[278.91796875, -21.0, -118.515625]","[0, 36864, 0]","[0.0, 0.19999998807907104, 20.0, 0.0, 0.5, 1, 0]",,not a standard NPC interaction
challenge-ep2/d88205-bb-e,Episode2,2,10,220,monster,3,1,"[357.08203125, -21.0, -149.0751953125]","[0, 36864, 0]","[0.0, 0.19999998807907104, 20.0, 0.0, 0.5, 1, 0]",,not a standard NPC interaction
challenge-ep2/d88205-bb-j,Episode2,1,54,220,monster,30,1,"[-98.80078125, -5.122274160385132e-08, 99.28568267822266]","[0, 90112, 0]","[0.0, 0.19999998807907104, 20.0, 0.0, 0.5, 1, 0]",,not a standard NPC interaction
challenge-ep2/d88205-bb-j,Episode2,2,1,220,monster,2,3,"[287.08984375, -19.453290939331055, -196.1884765625]","[0, 40960, 0]","[0.0, 0.19999998807907104, 20.0, 0.0, 0.5, 1, 0]",,not a standard NPC interaction
challenge-ep2/d88205-bb-j,Episode2,2,9,220,monster,3,1,"[278.91796875, -21.0, -118.515625]","[0, 36864, 0]","[0.0, 0.19999998807907104, 20.0, 0.0, 0.5, 1, 0]",,not a standard NPC interaction
challenge-ep2/d88205-bb-j,Episode2,2,10,220,monster,3,1,"[357.08203125, -21.0, -149.0751953125]","[0, 36864, 0]","[0.0, 0.19999998807907104, 20.0, 0.0, 0.5, 1, 0]",,not a standard NPC interaction
events-ep2/q56-bb-e,Episode2,11,22,220,monster,70,1,"[160.0, 0.0, -0.015380859375]","[0, 49153, 0]","[0.0, 0.19999998807907104, 20.0, 0.0, 0.5, 1, 0]",,not a standard NPC interaction
