quest_key,episode,floor,index,type,kind,room,wave,position,angles,params,handler_label,handler_status
challenge-ep2/d88204-bb-e,Episode2,1,6,221,monster,21,1,"[70.0, -0.75, 30.0]","[0, 49152, 0]","[0.0, 0.0, 1.0, -1.0, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,1,7,221,monster,21,1,"[70.0, -0.75, 10.0]","[0, 49152, 0]","[0.0, 0.0, 1.0, -1.0, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,1,8,221,monster,21,1,"[70.0, -0.75, -10.0]","[0, 49152, 0]","[0.0, 0.0, 1.0, -1.0, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,1,9,221,monster,21,1,"[70.0, -0.75, -30.0]","[0, 49152, 0]","[0.0, 0.0, 1.0, -1.0, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,1,21,221,monster,60,1,"[16.24456787109375, 30.0, 16.802303314208984]","[0, 147456, 0]","[0.0, 0.0, -1.0, 1.0, 0.0, 1, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,1,22,221,monster,60,1,"[18.3424072265625, 30.0, -19.74100685119629]","[0, 151552, 0]","[0.0, 0.0, -1.0, 1.0, 0.0, 1, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,1,23,221,monster,60,1,"[-66.26446533203125, -2.60770320892334e-07, -28.909870147705078]","[0, 131072, 0]","[0.0, 0.0, -1.0, 1.0, 0.0, 1, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,1,24,221,monster,60,1,"[-56.6175537109375, -3.0, 78.0741958618164]","[0, 147456, 0]","[0.0, 0.0, -1.0, 1.0, 0.0, 1, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,1,27,221,monster,62,1,"[-15.3917236328125, 0.0, 63.06787109375]","[0, 45057, 0]","[0.0, 20.0, 1.0, -1.0, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,1,28,221,monster,62,1,"[-70.26559448242188, 0.0, -31.3609619140625]","[0, 65537, 0]","[0.0, 20.0, 1.0, -1.0, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,1,29,221,monster,62,1,"[56.38752746582031, 30.0, -54.7908935546875]","[0, 49153, 0]","[0.0, 20.0, -1.0, 1.0, 0.0, 1, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,1,30,221,monster,62,1,"[19.46478271484375, 30.0, 13.261474609375]","[0, 40961, 0]","[0.0, 20.0, -1.0, 1.0, 0.0, 1, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,1,31,221,monster,63,1,"[57.794677734375, 30.0, -55.1656494140625]","[0, -16383, 0]","[0.0, 20.0, 1.0, -1.0, 0.0, 0, 0]",,not a standard NPC interaction
