quest_key,episode,floor,index,type,kind,room,wave,position,angles,params,handler_label,handler_status
challenge-ep2/d88204-bb-e,Episode2,4,0,222,monster,20,1,"[0.0, 0.0, 0.0]","[0, 65536, 0]","[0.4699999988079071, 20.0, 0.19999998807907104, 0.19999998807907104, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,4,35,222,monster,80,2,"[0.0, -31.0, 0.0]","[0, 114688, 0]","[0.0, 0.0, 0.3999999761581421, 0.0, 0.0, 1, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,4,65,222,monster,251,1,"[40.0, 0.0, 0.0]","[0, 81920, 0]","[0.0, 0.0, 0.3999999761581421, 0.0, 0.0, 1, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,5,4,222,monster,20,1,"[0.0, 0.0, -60.0]","[0, 65536, 0]","[0.4699999988079071, 20.0, 0.19999998807907104, 0.19999998807907104, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,5,5,222,monster,20,1,"[0.0, 0.0, 60.0]","[0, 32768, 0]","[0.4699999988079071, 20.0, 0.19999998807907104, 0.19999998807907104, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,5,43,222,monster,211,1,"[0.054810162633657455, -30.0, 570.0]","[0, 32769, 0]","[0.0, 0.0, 0.3999999761581421, 0.0, 0.0, 1, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,5,44,222,monster,211,1,"[0.03750169277191162, -30.0, 390.0]","[0, 65537, 0]","[0.0, 0.0, 0.3999999761581421, 0.0, 0.0, 1, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,6,45,222,monster,70,4,"[-169.99996948242188, -4.000000476837158, 0.016357421875]","[0, 81921, 0]","[0.0, 0.0, 0.3999999761581421, 0.0, 0.0, 1, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,6,46,222,monster,70,4,"[170.0, -4.0, -0.016357421875]","[0, 114689, 0]","[0.0, 0.0, 0.3999999761581421, 0.0, 0.0, 1, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,6,52,222,monster,71,3,"[-1.520294189453125, 0.0, 77.41375732421875]","[0, 98304, 0]","[0.0, 0.0, 0.5, 0.0, 0.0, 1, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,6,53,222,monster,71,3,"[0.0, 0.0, -80.0]","[0, 65536, 0]","[0.0, 0.0, 0.5, 0.0, 0.0, 1, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,6,63,222,monster,81,2,"[-6.103515625e-05, -31.0, -60.0]","[0, 65536, 0]","[0.0, 0.0, 0.5999999642372131, 0.0, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,6,64,222,monster,81,2,"[6.103515625e-05, -31.0, 60.0]","[0, 98304, 0]","[0.0, 0.0, 0.5999999642372131, 0.0, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-j,Episode2,4,0,222,monster,20,1,"[0.0, 0.0, 0.0]","[0, 65536, 0]","[0.4699999988079071, 20.0, 0.19999998807907104, 0.19999998807907104, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-j,Episode2,4,35,222,monster,80,2,"[0.0, -31.0, 0.0]","[0, 114688, 0]","[0.0, 0.0, 0.3999999761581421, 0.0, 0.0, 1, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-j,Episode2,4,65,222,monster,251,1,"[40.0, 0.0, 0.0]","[0, 81920, 0]","[0.0, 0.0, 0.3999999761581421, 0.0, 0.0, 1, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-j,Episode2,5,4,222,monster,20,1,"[0.0, 0.0, -60.0]","[0, 65536, 0]","[0.4699999988079071, 20.0, 0.19999998807907104, 0.19999998807907104, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-j,Episode2,5,5,222,monster,20,1,"[0.0, 0.0, 60.0]","[0, 32768, 0]","[0.4699999988079071, 20.0, 0.19999998807907104, 0.19999998807907104, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-j,Episode2,5,43,222,monster,211,1,"[0.054810162633657455, -30.0, 570.0]","[0, 32769, 0]","[0.0, 0.0, 0.3999999761581421, 0.0, 0.0, 1, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-j,Episode2,5,44,222,monster,211,1,"[0.03750169277191162, -30.0, 390.0]","[0, 65537, 0]","[0.0, 0.0, 0.3999999761581421, 0.0, 0.0, 1, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-j,Episode2,6,45,222,monster,70,4,"[-169.99996948242188, -4.000000476837158, 0.016357421875]","[0, 81921, 0]","[0.0, 0.0, 0.3999999761581421, 0.0, 0.0, 1, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-j,Episode2,6,46,222,monster,70,4,"[170.0, -4.0, -0.016357421875]","[0, 114689, 0]","[0.0, 0.0, 0.3999999761581421, 0.0, 0.0, 1, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-j,Episode2,6,52,222,monster,71,3,"[-1.520294189453125, 0.0, 77.41375732421875]","[0, 98304, 0]","[0.0, 0.0, 0.5, 0.0, 0.0, 1, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-j,Episode2,6,53,222,monster,71,3,"[0.0, 0.0, -80.0]","[0, 65536, 0]","[0.0, 0.0, 0.5, 0.0, 0.0, 1, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-j,Episode2,6,63,222,monster,81,2,"[-6.103515625e-05, -31.0, -60.0]","[0, 65536, 0]","[0.0, 0.0, 0.5999999642372131, 0.0, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-j,Episode2,6,64,222,monster,81,2,"[6.103515625e-05, -31.0, 60.0]","[0, 98304, 0]","[0.0, 0.0, 0.5999999642372131, 0.0, 0.0, 0, 0]",,not a standard NPC interaction
events-ep2/q56-bb-e,Episode2,11,4,222,monster,20,1,"[0.0, 0.0, -60.0]","[0, 65536, 0]","[0.4699999988079071, 20.0, 0.19999998807907104, 0.19999998807907104, 0.0, 0, 0]",,not a standard NPC interaction
events-ep2/q56-bb-e,Episode2,11,5,222,monster,20,1,"[0.0, 0.0, 60.0]","[0, 32768, 0]","[0.4699999988079071, 20.0, 0.19999998807907104, 0.19999998807907104, 0.0, 0, 0]",,not a standard NPC interaction
events-ep2/q56-bb-e,Episode2,11,43,222,monster,211,1,"[0.054810162633657455, -30.0, 570.0]","[0, 32769, 0]","[0.0, 0.0, 0.3999999761581421, 0.0, 0.0, 1, 0]",,not a standard NPC interaction
events-ep2/q56-bb-e,Episode2,11,44,222,monster,211,1,"[0.03750169277191162, -30.0, 390.0]","[0, 65537, 0]","[0.0, 0.0, 0.3999999761581421, 0.0, 0.0, 1, 0]",,not a standard NPC interaction
events-ep2/q56-bb-j,Episode2,11,4,222,monster,20,1,"[0.0, 0.0, -60.0]","[0, 65536, 0]","[0.4699999988079071, 20.0, 0.19999998807907104, 0.19999998807907104, 0.0, 0, 0]",,not a standard NPC interaction
events-ep2/q56-bb-j,Episode2,11,5,222,monster,20,1,"[0.0, 0.0, 60.0]","[0, 32768, 0]","[0.4699999988079071, 20.0, 0.19999998807907104, 0.19999998807907104, 0.0, 0, 0]",,not a standard NPC interaction
events-ep2/q56-bb-j,Episode2,11,43,222,monster,211,1,"[0.054810162633657455, -30.0, 570.0]","[0, 32769, 0]","[0.0, 0.0, 0.3999999761581421, 0.0, 0.0, 1, 0]",,not a standard NPC interaction
events-ep2/q56-bb-j,Episode2,11,44,222,monster,211,1,"[0.03750169277191162, -30.0, 390.0]","[0, 65537, 0]","[0.0, 0.0, 0.3999999761581421, 0.0, 0.0, 1, 0]",,not a standard NPC interaction
events-ep2/q89-bb-e,Episode2,11,17,222,monster,52,3,"[-61.2887077331543, -3.0, 72.52264404296875]","[0, 16384, 0]","[1.0, 40.0, 0.4000000059604645, 0.4000000059604645, 0.0, 0, 0]",,not a standard NPC interaction
events-ep2/q89-bb-e,Episode2,11,19,222,monster,52,4,"[0.0, 30.0, -80.0]","[0, 0, 0]","[1.0, 40.0, 0.4000000059604645, 0.4000000059604645, 0.0, 0, 0]",,not a standard NPC interaction
events-ep2/q89-bb-e,Episode2,11,20,222,monster,52,4,"[70.0, 30.0, -80.0]","[0, 0, 0]","[1.0, 40.0, 0.4000000059604645, 0.4000000059604645, 0.0, 0, 0]",,not a standard NPC interaction
events-ep2/q89-bb-e,Episode2,11,21,222,monster,52,4,"[0.0, 30.0, 10.0]","[0, 0, 0]","[1.0, 40.0, 0.4000000059604645, 0.4000000059604645, 0.0, 0, 0]",,not a standard NPC interaction
events-ep2/q89-bb-e,Episode2,11,22,222,monster,52,4,"[70.0, 30.0, 10.0]","[0, 0, 0]","[1.0, 40.0, 0.4000000059604645, 0.4000000059604645, 0.0, 0, 0]",,not a standard NPC interaction
events-ep2/q89-bb-e,Episode2,11,42,222,monster,81,9,"[100.0, -31.0, 0.0]","[0, 49152, 0]","[1.0, 40.0, 0.4000000059604645, 0.4000000059604645, 0.0, 0, 0]",,not a standard NPC interaction
events-ep2/q89-bb-e,Episode2,11,43,222,monster,81,9,"[60.0, -31.0, -30.0]","[0, 49152, 0]","[1.0, 40.0, 0.4000000059604645, 0.4000000059604645, 0.0, 0, 0]",,not a standard NPC interaction
events-ep2/q89-bb-e,Episode2,11,44,222,monster,81,9,"[60.0, -31.0, 0.0]","[0, 49152, 0]","[1.0, 40.0, 0.4000000059604645, 0.4000000059604645, 0.0, 0, 0]",,not a standard NPC interaction
events-ep2/q89-bb-e,Episode2,11,45,222,monster,81,9,"[60.0, -31.0, 30.0]","[0, 49152, 0]","[1.0, 40.0, 0.4000000059604645, 0.4000000059604645, 0.0, 0, 0]",,not a standard NPC interaction
events-ep2/q89-bb-e,Episode2,11,49,222,monster,81,10,"[200.0, 0.0, -60.0]","[0, 49152, 0]","[1.0, 40.0, 0.4000000059604645, 0.4000000059604645, 0.0, 0, 0]",,not a standard NPC interaction
events-ep2/q89-bb-e,Episode2,11,50,222,monster,81,10,"[200.0, 0.0, 0.0]","[0, 49152, 0]","[1.0, 40.0, 0.4000000059604645, 0.4000000059604645, 0.0, 0, 0]",,not a standard NPC interaction
events-ep2/q89-bb-e,Episode2,11,51,222,monster,81,10,"[200.0, 0.0, 60.0]","[0, 49152, 0]","[1.0, 40.0, 0.4000000059604645, 0.4000000059604645, 0.0, 0, 0]",,not a standard NPC interaction
events-ep2/q89-bb-e,Episode2,11,52,222,monster,81,10,"[-120.0, 0.0, 80.0]","[0, 16384, 0]","[1.0, 40.0, 0.4000000059604645, 0.4000000059604645, 0.0, 0, 0]",,not a standard NPC interaction
events-ep2/q89-bb-e,Episode2,11,65,222,monster,51,13,"[-70.0, 0.0, -70.0]","[0, 0, 0]","[1.0, 40.0, 0.4000000059604645, 0.4000000059604645, 0.0, 0, 0]",,not a standard NPC interaction
events-ep2/q89-bb-e,Episode2,11,66,222,monster,51,13,"[73.0347900390625, 20.0, 79.88800048828125]","[0, 49152, 0]","[1.0, 40.0, 0.4000000059604645, 0.4000000059604645, 0.0, 0, 0]",,not a standard NPC interaction
events-ep2/q89-bb-e,Episode2,11,67,222,monster,51,13,"[70.0, 30.0, -70.0]","[0, -8192, 0]","[1.0, 40.0, 0.4000000059604645, 0.4000000059604645, 0.0, 0, 0]",,not a standard NPC interaction
events-ep2/q89-bb-e,Episode2,11,68,222,monster,51,13,"[35.0, 30.0, -80.0]","[0, -8192, 0]","[1.0, 40.0, 0.4000000059604645, 0.4000000059604645, 0.0, 0, 0]",,not a standard NPC interaction
events-ep2/q89-bb-e,Episode2,11,69,222,monster,51,13,"[80.0, 30.0, -35.0]","[0, -8192, 0]","[1.0, 40.0, 0.4000000059604645, 0.4000000059604645, 0.0, 0, 0]",,not a standard NPC interaction
events-ep2/q89-bb-e,Episode2,11,83,222,monster,20,17,"[-75.0, 0.0, -75.0]","[0, 8192, 0]","[1.0, 40.0, 0.4000000059604645, 0.4000000059604645, 0.0, 0, 0]",,not a standard NPC interaction
events-ep2/q89-bb-e,Episode2,11,118,222,monster,271,27,"[-13.0, 12.0, 30.0]","[0, 32768, 0]","[1.0, 40.0, 0.4000000059604645, 0.4000000059604645, 0.0, 0, 0]",,not a standard NPC interaction
events-ep2/q89-bb-e,Episode2,11,119,222,monster,271,27,"[-13.0, 5.0, 90.0]","[0, 32768, 0]","[1.0, 40.0, 0.4000000059604645, 0.4000000059604645, 0.0, 0, 0]",,not a standard NPC interaction
events-ep2/q89-bb-e,Episode2,11,120,222,monster,271,27,"[-13.0, 0.0, 150.0]","[0, 32768, 0]","[1.0, 40.0, 0.4000000059604645, 0.4000000059604645, 0.0, 0, 0]",,not a standard NPC interaction
events-ep2/q89-bb-e,Episode2,11,128,222,monster,31,30,"[80.0, -3.0, 60.0]","[0, 49152, 0]","[1.0, 40.0, 0.4000000059604645, 0.4000000059604645, 0.0, 0, 0]",,not a standard NPC interaction
events-ep2/q89-bb-e,Episode2,11,129,222,monster,31,30,"[50.0, -3.0, 60.0]","[0, 49152, 0]","[1.0, 40.0, 0.4000000059604645, 0.4000000059604645, 0.0, 0, 0]",,not a standard NPC interaction
events-ep2/q89-bb-e,Episode2,11,130,222,monster,31,30,"[-80.0, -3.0, 60.0]","[0, 16384, 0]","[1.0, 40.0, 0.4000000059604645, 0.4000000059604645, 0.0, 0, 0]",,not a standard NPC interaction
events-ep2/q89-bb-e,Episode2,11,131,222,monster,31,30,"[-50.0, -3.0, 60.0]","[0, 16384, 0]","[1.0, 40.0, 0.4000000059604645, 0.4000000059604645, 0.0, 0, 0]",,not a standard NPC interaction
events-ep2/q89-bb-e,Episode2,11,146,222,monster,71,35,"[-140.0, -4.0, 0.0]","[0, 16384, 0]","[1.0, 40.0, 0.4000000059604645, 0.4000000059604645, 0.0, 0, 0]",,not a standard NPC interaction
events-ep2/q89-bb-e,Episode2,11,147,222,monster,71,35,"[-170.0, 0.0, 30.0]","[0, 16384, 0]","[1.0, 40.0, 0.4000000059604645, 0.4000000059604645, 0.0, 0, 0]",,not a standard NPC interaction
events-ep2/q89-bb-e,Episode2,11,148,222,monster,71,35,"[-170.0, 0.0, -30.0]","[0, 16384, 0]","[1.0, 40.0, 0.4000000059604645, 0.4000000059604645, 0.0, 0, 0]",,not a standard NPC interaction
events-ep2/q89-bb-e,Episode2,11,166,222,monster,71,38,"[30.0, -8.0, 0.0]","[0, 49152, 0]","[1.0, 40.0, 0.4000000059604645, 0.4000000059604645, 0.0, 0, 0]",,not a standard NPC interaction
events-ep2/q89-bb-e,Episode2,11,167,222,monster,71,38,"[130.0, -4.0, 30.0]","[0, 49152, 0]","[1.0, 40.0, 0.4000000059604645, 0.4000000059604645, 0.0, 0, 0]",,not a standard NPC interaction
events-ep2/q89-bb-e,Episode2,11,168,222,monster,71,38,"[130.0, -4.0, -30.0]","[0, 49152, 0]","[1.0, 40.0, 0.4000000059604645, 0.4000000059604645, 0.0, 0, 0]",,not a standard NPC interaction
