quest_key,episode,floor,index,type,kind,room,wave,position,angles,params,handler_label,handler_status
challenge-ep2/d88204-bb-e,Episode2,1,0,223,monster,20,2,"[88.6199951171875, 0.0, 59.29998779296875]","[0, 147456, 0]","[-20.0, 0.0, 0.0, 1.0, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,1,1,223,monster,20,2,"[-76.7940673828125, 3.341119736433029e-08, 75.58172607421875]","[0, 139264, 0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,1,2,223,monster,20,2,"[69.64678955078125, 3.7816971776294395e-16, 78.630615234375]","[0, 147456, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,1,10,223,monster,30,1,"[-10.569976806640625, 0.0, -85.23999786376953]","[0, 131072, 0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,1,11,223,monster,30,1,"[75.94979858398438, -3.000000238418579, -80.25147247314453]","[0, 122880, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,1,12,223,monster,30,1,"[85.01773071289062, -3.000000238418579, -55.61519241333008]","[0, 114688, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,1,13,223,monster,30,1,"[-70.3900146484375, 31.0, 9.84999942779541]","[0, 114688, 0]","[10.0, 0.0, 0.0, 1.0, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,1,14,223,monster,30,1,"[-18.11334228515625, 31.0, 7.793188571929932]","[0, 114688, 0]","[20.0, 0.0, 0.0, 1.0, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,1,15,223,monster,30,1,"[4.7806396484375, 31.0, -6.020831108093262]","[0, 114688, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,1,16,223,monster,40,2,"[-79.8668212890625, -3.0, -75.31816101074219]","[0, 8192, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,1,17,223,monster,40,2,"[-50.522216796875, -3.0, -86.13945007324219]","[0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,1,18,223,monster,40,1,"[8.92919921875, -1.9073486328125e-06, 86.18116760253906]","[0, 16384, 0]","[-40.0, 0.0, 0.0, 1.0, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,1,19,223,monster,40,1,"[1.34088134765625, -1.9073486328125e-06, -86.56288146972656]","[0, 16384, 0]","[-40.0, 0.0, 0.0, 1.0, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,1,20,223,monster,40,1,"[-9.91754150390625, 0.0, 70.77484130859375]","[0, 0, 0]","[-20.0, 0.0, 0.0, 1.0, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,1,34,223,monster,64,2,"[74.86572265625, 20.0, 73.759521484375]","[0, 81920, 0]","[-20.0, 0.0, 0.0, 1.0, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,1,35,223,monster,64,2,"[-52.2847900390625, 0.0, -81.19805908203125]","[0, 81920, 0]","[-20.0, 0.0, 0.0, 1.0, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,1,36,223,monster,64,2,"[-51.8262939453125, 0.0, -59.20404052734375]","[0, 81920, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,1,49,223,monster,81,2,"[145.8592529296875, 0.0, 34.36273193359375]","[0, 49152, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88204-bb-e,Episode2,1,50,223,monster,81,2,"[117.4259033203125, 0.0, -82.77740478515625]","[0, 49152, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0, 0]",,not a standard NPC interaction
