quest_key,episode,floor,index,type,kind,room,wave,position,angles,params,handler_label,handler_status
challenge-ep2/d88205-bb-e,Episode2,1,14,225,monster,4,1,"[266.08984375, -15.079999923706055, -217.0699920654297]","[0, 73728, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88205-bb-e,Episode2,1,52,225,monster,22,1,"[143.708984375, -5.731395721435547, -266.1396484375]","[0, 12288, 0]","[-20.0, 50.0, 0.0, 1.0, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88205-bb-e,Episode2,1,53,225,monster,22,1,"[340.345703125, -15.971711158752441, -180.837890625]","[0, 45056, 0]","[-20.0, 50.0, 0.0, 1.0, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88205-bb-e,Episode2,2,7,225,monster,2,2,"[0.6741981506347656, -7.450580596923828e-08, -345.1279296875]","[0, 81920, 0]","[0.0, 0.0, 50.0, 0.0, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88205-bb-e,Episode2,2,8,225,monster,2,2,"[339.829345703125, -20.0, -62.623046875]","[0, 106496, 0]","[0.0, 0.0, 50.0, 0.0, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88205-bb-e,Episode2,2,43,225,monster,20,1,"[338.5341796875, -15.82009506225586, -179.2666015625]","[0, 45056, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88205-bb-e,Episode2,2,44,225,monster,20,1,"[143.205078125, -5.565185070037842, -267.76171875]","[0, 73728, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88205-bb-j,Episode2,1,14,225,monster,4,1,"[266.08984375, -15.079999923706055, -217.0699920654297]","[0, 73728, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88205-bb-j,Episode2,1,52,225,monster,22,1,"[143.708984375, -5.731395721435547, -266.1396484375]","[0, 12288, 0]","[-20.0, 50.0, 0.0, 1.0, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88205-bb-j,Episode2,1,53,225,monster,22,1,"[340.345703125, -15.971711158752441, -180.837890625]","[0, 45056, 0]","[-20.0, 50.0, 0.0, 1.0, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88205-bb-j,Episode2,2,7,225,monster,2,2,"[0.6741981506347656, -7.450580596923828e-08, -345.1279296875]","[0, 81920, 0]","[0.0, 0.0, 50.0, 0.0, 0.0, 0, 0]",,not a standard NPC interaction
challenge-ep2/d88205-bb-j,Episode2,2,8,225,monster,2,2,"[339.829345703125, -20.0, -62.623046875]","[0, 106496, 0]","[0.0, 0.0, 50.0, 0.0, 0.0, 0, 0]",,not a standard NPC interaction
