quest_key,episode,floor,index,type,kind,room,wave,position,angles,params,handler_label,handler_status
events-ep2/q92-bb-e,Episode2,0,17,245,npc,30,0,"[-240.0, 0.0, 217.0]","[0, 12288, 0]","[0.0, 0.0, 18.0, 101.0, 200.0, 0, 0]",label00C8,static candidate resolved; inspect caller and type-specific rules
events-ep2/q92-bb-j,Episode2,0,17,245,npc,30,0,"[-240.0, 0.0, 217.0]","[0, 12288, 0]","[0.0, 0.0, 18.0, 101.0, 200.0, 0, 0]",label00C8,static candidate resolved; inspect caller and type-specific rules
events-ep2/q272-bb-e,Episode2,0,19,245,npc,70,0,"[0.0, 0.0, 0.0]","[0, 16384, 0]","[0.0, 0.0, 0.0, 165.0, 165.0, 0, 0]",label00A5,static candidate resolved; inspect caller and type-specific rules
extermination-ep2/q165-bb-e,Episode2,0,14,245,npc,10,5,"[-37.08781433105469, 0.0, -58.373008728027344]","[0, 54427, 0]","[0.0, 0.0, 0.0, 150.0, 80.0, 0, 0]",label0050,static candidate resolved; inspect caller and type-specific rules
extermination-ep2/q280-bb-e,Episode2,0,15,245,npc,50,0,"[0.0, 0.0, 15.0]","[0, 20480, 0]","[0.0, 0.0, 0.0, 106.0, 400.0, 0, 0]",label0190,static candidate resolved; inspect caller and type-specific rules
maximum-attack-ep2/q38-bb-e,Episode2,0,12,245,npc,30,0,"[204.37374877929688, -30.0, -40.797340393066406]","[0, -16384, 0]","[20.0, 0.0, 0.0, 145.0, 1145.0, 1, 0]",label0479,static candidate resolved; inspect caller and type-specific rules
maximum-attack-ep2/q38-bb-j,Episode2,0,12,245,npc,30,0,"[204.37374877929688, -30.0, -40.797340393066406]","[0, -16384, 0]","[20.0, 0.0, 0.0, 145.0, 1145.0, 1, 0]",label0479,static candidate resolved; inspect caller and type-specific rules
maximum-attack-ep2/q248-bb-e,Episode2,0,12,245,npc,30,0,"[204.37374877929688, -30.0, -40.797340393066406]","[0, -16384, 0]","[20.0, 0.0, 0.0, 145.0, 1145.0, 1, 0]",label0479,static candidate resolved; inspect caller and type-specific rules
maximum-attack-ep2/q504-bb-e,Episode2,0,12,245,npc,30,0,"[204.37374877929688, -30.0, -40.797340393066406]","[0, -16384, 0]","[20.0, 0.0, 0.0, 145.0, 1145.0, 1, 0]",label0479,static candidate resolved; inspect caller and type-specific rules
maximum-attack-ep2/q504-bb-j,Episode2,0,12,245,npc,30,0,"[204.37374877929688, -30.0, -40.797340393066406]","[0, -16384, 0]","[20.0, 0.0, 0.0, 145.0, 1145.0, 1, 0]",label0479,static candidate resolved; inspect caller and type-specific rules
retrieval-ep2/q151-bb-e,Episode2,0,8,245,npc,42,0,"[-83.03952026367188, -10.0, -23.079187393188477]","[0, 0, 0]","[0.0, 0.0, 0.0, 350.0, 350.0, 0, 0]",label015E,static candidate resolved; inspect caller and type-specific rules
shops-ep2/q44-bb-e,Episode2,0,23,245,npc,70,0,"[0.0, 0.0, 0.0]","[0, 16384, 0]","[0.0, 0.0, 0.0, 165.0, 165.0, 0, 0]",label00A5,static candidate resolved; inspect caller and type-specific rules
shops-ep2/q44-bb-j,Episode2,0,23,245,npc,70,0,"[0.0, 0.0, 0.0]","[0, 16384, 0]","[0.0, 0.0, 0.0, 165.0, 165.0, 0, 0]",label00A5,static candidate resolved; inspect caller and type-specific rules
shops-ep2/q204-bb-e,Episode2,0,9,245,npc,42,0,"[-252.08984375, 60.0, -30.209999084472656]","[0, 4096, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0, 0]",,no DAT interaction label
shops-ep2/q204-bb-e,Episode2,0,35,245,npc,70,0,"[0.0, 0.0, 0.0]","[0, 16384, 0]","[0.0, 0.0, 0.0, 165.0, 165.0, 0, 0]",label00A5,static candidate resolved; inspect caller and type-specific rules
shops-ep2/q204-bb-j,Episode2,0,9,245,npc,42,0,"[-252.08984375, 60.0, -30.209999084472656]","[0, 4096, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0, 0]",,no DAT interaction label
shops-ep2/q204-bb-j,Episode2,0,35,245,npc,70,0,"[0.0, 0.0, 0.0]","[0, 16384, 0]","[0.0, 0.0, 0.0, 165.0, 165.0, 0, 0]",label00A5,static candidate resolved; inspect caller and type-specific rules
shops-ep2/q205-bb-e,Episode2,0,9,245,npc,42,0,"[-252.08984375, 60.0, -30.209999084472656]","[0, 4096, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0, 0]",,no DAT interaction label
shops-ep2/q205-bb-e,Episode2,0,34,245,npc,70,0,"[0.0, 0.0, 0.0]","[0, 16384, 0]","[0.0, 0.0, 0.0, 165.0, 165.0, 0, 0]",label00A5,static candidate resolved; inspect caller and type-specific rules
shops-ep2/q205-bb-j,Episode2,0,9,245,npc,42,0,"[-252.08984375, 60.0, -30.209999084472656]","[0, 4096, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0, 0]",,no DAT interaction label
shops-ep2/q205-bb-j,Episode2,0,34,245,npc,70,0,"[0.0, 0.0, 0.0]","[0, 16384, 0]","[0.0, 0.0, 0.0, 165.0, 165.0, 0, 0]",label00A5,static candidate resolved; inspect caller and type-specific rules
shops-ep2/q219-bb-e,Episode2,0,20,245,npc,0,0,"[-2000.0, 0.0, 0.0]","[0, 16384, 0]","[0.0, 0.0, 0.0, 165.0, 165.0, 0, 0]",label00A5,static candidate resolved; inspect caller and type-specific rules
shops-ep2/q219-bb-e,Episode2,0,32,245,npc,0,0,"[-10252.08984375, 60.0, -30.209999084472656]","[0, 4096, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0, 0]",,no DAT interaction label
shops-ep2/q219-bb-j,Episode2,0,20,245,npc,0,0,"[-2000.0, 0.0, 0.0]","[0, 16384, 0]","[0.0, 0.0, 0.0, 165.0, 165.0, 0, 0]",label00A5,static candidate resolved; inspect caller and type-specific rules
shops-ep2/q219-bb-j,Episode2,0,32,245,npc,0,0,"[-10252.08984375, 60.0, -30.209999084472656]","[0, 4096, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0, 0]",,no DAT interaction label
shops-ep2/q900-bb-e,Episode2,0,9,245,npc,42,0,"[-252.08984375, 60.0, -30.209999084472656]","[0, 4096, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0, 0]",,no DAT interaction label
tower-ep2/q77-bb-e,Episode2,0,19,245,npc,70,0,"[0.0, 0.0, 0.0]","[0, 16384, 0]","[0.0, 0.0, 0.0, 165.0, 165.0, 0, 0]",label00A5,static candidate resolved; inspect caller and type-specific rules
tower-ep2/q77-bb-j,Episode2,0,19,245,npc,70,0,"[0.0, 0.0, 0.0]","[0, 16384, 0]","[0.0, 0.0, 0.0, 165.0, 165.0, 0, 0]",label00A5,static candidate resolved; inspect caller and type-specific rules
tower-ep2/q79-bb-e,Episode2,0,18,245,npc,30,0,"[-245.0, 0.0, 247.0]","[0, 24576, 0]","[0.0, 0.0, 0.0, 105.0, 205.0, 0, 0]",label00CD,static candidate resolved; inspect caller and type-specific rules
tower-ep2/q79-bb-j,Episode2,0,18,245,npc,30,0,"[-245.0, 0.0, 247.0]","[0, 24576, 0]","[0.0, 0.0, 0.0, 105.0, 205.0, 0, 0]",label00CD,static candidate resolved; inspect caller and type-specific rules
tower-ep2/q223-bb-e,Episode2,0,19,245,npc,70,0,"[0.0, 0.0, 0.0]","[0, 16384, 0]","[0.0, 0.0, 0.0, 165.0, 165.0, 0, 0]",label00A5,static candidate resolved; inspect caller and type-specific rules
tower-ep2/q223-bb-j,Episode2,0,19,245,npc,70,0,"[0.0, 0.0, 0.0]","[0, 16384, 0]","[0.0, 0.0, 0.0, 165.0, 165.0, 0, 0]",label00A5,static candidate resolved; inspect caller and type-specific rules
tower-ep2/q224-bb-e,Episode2,0,19,245,npc,70,0,"[0.0, 0.0, 0.0]","[0, 16384, 0]","[0.0, 0.0, 0.0, 165.0, 165.0, 0, 0]",label00A5,static candidate resolved; inspect caller and type-specific rules
tower-ep2/q224-bb-j,Episode2,0,19,245,npc,70,0,"[0.0, 0.0, 0.0]","[0, 16384, 0]","[0.0, 0.0, 0.0, 165.0, 165.0, 0, 0]",label00A5,static candidate resolved; inspect caller and type-specific rules
vr-ep2/q64-bb-e,Episode2,0,21,245,npc,50,0,"[0.0, 0.0, 15.0]","[0, 20480, 0]","[0.0, 0.0, 0.0, 112.0, 28.0, 0, 0]",label001C,static candidate resolved; inspect caller and type-specific rules
vr-ep2/q64-bb-j,Episode2,0,21,245,npc,50,0,"[0.0, 0.0, 15.0]","[0, 20480, 0]","[0.0, 0.0, 0.0, 112.0, 28.0, 0, 0]",label001C,static candidate resolved; inspect caller and type-specific rules
