quest_key,episode,floor,index,type,kind,room,wave,position,angles,params,handler_label,handler_status
events-ep2/q513-bb-e,Episode2,0,24,253,npc,40,0,"[-18.0, 0.0, 0.0]","[0, 16384, 0]","[0.0, 0.0, 0.0, 130.0, 350.0, 0, 0]",label015E,static candidate resolved; inspect caller and type-specific rules
events-ep2/q513-bb-e,Episode2,0,25,253,npc,40,0,"[-43.0, 0.0, 14.0]","[0, -8192, 0]","[10.0, 0.0, 10.0, 0.0, 0.0, 1, 0]",,no DAT interaction label
events-ep2/q513-bb-e,Episode2,0,26,253,npc,40,0,"[-33.0, 0.0, -22.0]","[0, 4096, 0]","[10.0, 0.0, 10.0, 0.0, 0.0, 1, 0]",,no DAT interaction label
seasonal-ep2/q84-bb-e,Episode2,0,17,253,npc,80,0,"[67.0, 0.0, 0.0]","[0, 49152, 0]","[0.0, 0.0, 0.0, 119.0, 119.0, 0, 0]",label0077,static candidate resolved; inspect caller and type-specific rules
seasonal-ep2/q84-bb-e,Episode2,0,18,253,npc,40,0,"[-18.0, 0.0, 0.0]","[0, 16384, 0]","[0.0, 0.0, 0.0, 130.0, 130.0, 0, 0]",label0082,static candidate resolved; inspect caller and type-specific rules
seasonal-ep2/q84-bb-e,Episode2,0,19,253,npc,40,0,"[-43.0, 0.0, 14.0]","[0, -8192, 0]","[10.0, 0.0, 0.0, 0.0, 0.0, 1, 0]",,no DAT interaction label
seasonal-ep2/q84-bb-e,Episode2,0,20,253,npc,40,0,"[-33.0, 0.0, -22.0]","[0, 4096, 0]","[10.0, 0.0, 0.0, 0.0, 0.0, 1, 0]",,no DAT interaction label
seasonal-ep2/q84-bb-j,Episode2,0,17,253,npc,80,0,"[67.0, 0.0, 0.0]","[0, 49152, 0]","[0.0, 0.0, 0.0, 119.0, 119.0, 0, 0]",label0077,static candidate resolved; inspect caller and type-specific rules
seasonal-ep2/q84-bb-j,Episode2,0,18,253,npc,40,0,"[-18.0, 0.0, 0.0]","[0, 16384, 0]","[0.0, 0.0, 0.0, 130.0, 130.0, 0, 0]",label0082,static candidate resolved; inspect caller and type-specific rules
seasonal-ep2/q84-bb-j,Episode2,0,19,253,npc,40,0,"[-43.0, 0.0, 14.0]","[0, -8192, 0]","[10.0, 0.0, 0.0, 0.0, 0.0, 1, 0]",,no DAT interaction label
seasonal-ep2/q84-bb-j,Episode2,0,20,253,npc,40,0,"[-33.0, 0.0, -22.0]","[0, 4096, 0]","[10.0, 0.0, 0.0, 0.0, 0.0, 1, 0]",,no DAT interaction label
seasonal-ep2/q207-bb-e,Episode2,0,13,253,npc,10,0,"[-42.145423889160156, 0.0, -67.77307891845703]","[0, 57344, 0]","[0.0, 0.0, 0.0, 140.0, 140.0, 0, 0]",label008C,static candidate resolved; inspect caller and type-specific rules
seasonal-ep2/q207-bb-e,Episode2,7,33,253,npc,6,1,"[-96.2158203125, -54.261688232421875, -52.800537109375]","[0, 8192, 0]","[0.0, 0.0, 0.0, 111.0, 310.0, 0, 0]",label0136,static candidate resolved; inspect caller and type-specific rules
seasonal-ep2/q207-bb-e,Episode2,7,34,253,npc,6,1,"[-125.1182861328125, -54.2599983215332, -18.802490234375]","[0, 9216, 0]","[0.0, 0.0, 0.0, 112.0, 320.0, 0, 0]",label0140,static candidate resolved; inspect caller and type-specific rules
seasonal-ep2/q207-bb-e,Episode2,7,35,253,npc,6,1,"[-106.11518859863281, -54.2599983215332, -26.6436767578125]","[0, 8192, 0]","[0.0, 0.0, 0.0, 110.0, 300.0, 0, 0]",label012C,static candidate resolved; inspect caller and type-specific rules
seasonal-ep2/q207-bb-e,Episode2,9,76,253,npc,13,1,"[-30.2021484375, 10.0, 7.149131774902344]","[0, 24576, 0]","[0.0, 0.0, 0.0, 110.0, 300.0, 0, 0]",label012C,static candidate resolved; inspect caller and type-specific rules
seasonal-ep2/q207-bb-e,Episode2,9,77,253,npc,13,1,"[-39.1767578125, 10.0, -18.058639526367188]","[0, 20480, 0]","[0.0, 0.0, 0.0, 112.0, 320.0, 0, 0]",label0140,static candidate resolved; inspect caller and type-specific rules
seasonal-ep2/q207-bb-e,Episode2,9,78,253,npc,13,1,"[-3.8365478515625, 10.0, 13.920700073242188]","[0, 28672, 0]","[0.0, 0.0, 0.0, 111.0, 310.0, 0, 0]",label0136,static candidate resolved; inspect caller and type-specific rules
seasonal-ep2/q207-bb-j,Episode2,0,13,253,npc,10,0,"[-42.145423889160156, 0.0, -67.77307891845703]","[0, 57344, 0]","[0.0, 0.0, 0.0, 140.0, 140.0, 0, 0]",label008C,static candidate resolved; inspect caller and type-specific rules
seasonal-ep2/q207-bb-j,Episode2,7,33,253,npc,6,1,"[-96.2158203125, -54.261688232421875, -52.800537109375]","[0, 8192, 0]","[0.0, 0.0, 0.0, 111.0, 310.0, 0, 0]",label0136,static candidate resolved; inspect caller and type-specific rules
seasonal-ep2/q207-bb-j,Episode2,7,34,253,npc,6,1,"[-125.1182861328125, -54.2599983215332, -18.802490234375]","[0, 9216, 0]","[0.0, 0.0, 0.0, 112.0, 320.0, 0, 0]",label0140,static candidate resolved; inspect caller and type-specific rules
seasonal-ep2/q207-bb-j,Episode2,7,35,253,npc,6,1,"[-106.11518859863281, -54.2599983215332, -26.6436767578125]","[0, 8192, 0]","[0.0, 0.0, 0.0, 110.0, 300.0, 0, 0]",label012C,static candidate resolved; inspect caller and type-specific rules
seasonal-ep2/q207-bb-j,Episode2,9,76,253,npc,13,1,"[-30.2021484375, 10.0, 7.149131774902344]","[0, 24576, 0]","[0.0, 0.0, 0.0, 110.0, 300.0, 0, 0]",label012C,static candidate resolved; inspect caller and type-specific rules
seasonal-ep2/q207-bb-j,Episode2,9,77,253,npc,13,1,"[-39.1767578125, 10.0, -18.058639526367188]","[0, 20480, 0]","[0.0, 0.0, 0.0, 112.0, 320.0, 0, 0]",label0140,static candidate resolved; inspect caller and type-specific rules
seasonal-ep2/q207-bb-j,Episode2,9,78,253,npc,13,1,"[-3.8365478515625, 10.0, 13.920700073242188]","[0, 28672, 0]","[0.0, 0.0, 0.0, 111.0, 310.0, 0, 0]",label0136,static candidate resolved; inspect caller and type-specific rules
seasonal-ep2/q240-bb-e,Episode2,0,11,253,npc,50,0,"[-30.0, 0.0, 0.0]","[0, 16384, 0]","[0.0, 138.0, 0.0, 113.0, 1130.0, 0, 0]",label046A,static candidate resolved; inspect caller and type-specific rules
seasonal-ep2/q240-bb-e,Episode2,8,6,253,npc,3,2,"[-284.6678466796875, -99.99999237060547, 54.02154541015625]","[0, 8192, 0]","[0.0, 0.0, 0.0, 115.0, 1150.0, 0, 0]",label047E,static candidate resolved; inspect caller and type-specific rules
seasonal-ep2/q240-bb-e,Episode2,8,14,253,npc,3,1,"[-260.7799987792969, -100.0003662109375, 129.0716552734375]","[0, 16384, 0]","[0.0, 0.0, 0.0, 114.0, 1140.0, 0, 0]",label0474,static candidate resolved; inspect caller and type-specific rules
seasonal-ep2/q240-bb-j,Episode2,0,11,253,npc,50,0,"[-30.0, 0.0, 0.0]","[0, 16384, 0]","[0.0, 138.0, 0.0, 113.0, 1130.0, 0, 0]",label046A,static candidate resolved; inspect caller and type-specific rules
seasonal-ep2/q240-bb-j,Episode2,8,6,253,npc,3,2,"[-284.6678466796875, -99.99999237060547, 54.02154541015625]","[0, 8192, 0]","[0.0, 0.0, 0.0, 115.0, 1150.0, 0, 0]",label047E,static candidate resolved; inspect caller and type-specific rules
seasonal-ep2/q240-bb-j,Episode2,8,14,253,npc,3,1,"[-260.7799987792969, -100.0003662109375, 129.0716552734375]","[0, 16384, 0]","[0.0, 0.0, 0.0, 114.0, 1140.0, 0, 0]",label0474,static candidate resolved; inspect caller and type-specific rules
shops-ep2/q44-bb-e,Episode2,0,19,253,npc,40,0,"[-18.0, 0.0, 0.0]","[0, 16384, 0]","[0.0, 0.0, 0.0, 130.0, 130.0, 0, 0]",label0082,static candidate resolved; inspect caller and type-specific rules
shops-ep2/q44-bb-e,Episode2,0,20,253,npc,40,0,"[-43.0, 0.0, 14.0]","[0, -8192, 0]","[10.0, 0.0, 0.0, 0.0, 0.0, 1, 0]",,no DAT interaction label
shops-ep2/q44-bb-e,Episode2,0,21,253,npc,40,0,"[-33.0, 0.0, -22.0]","[0, 4096, 0]","[10.0, 0.0, 0.0, 0.0, 0.0, 1, 0]",,no DAT interaction label
shops-ep2/q44-bb-j,Episode2,0,19,253,npc,40,0,"[-18.0, 0.0, 0.0]","[0, 16384, 0]","[0.0, 0.0, 0.0, 130.0, 130.0, 0, 0]",label0082,static candidate resolved; inspect caller and type-specific rules
shops-ep2/q44-bb-j,Episode2,0,20,253,npc,40,0,"[-43.0, 0.0, 14.0]","[0, -8192, 0]","[10.0, 0.0, 0.0, 0.0, 0.0, 1, 0]",,no DAT interaction label
shops-ep2/q44-bb-j,Episode2,0,21,253,npc,40,0,"[-33.0, 0.0, -22.0]","[0, 4096, 0]","[10.0, 0.0, 0.0, 0.0, 0.0, 1, 0]",,no DAT interaction label
shops-ep2/q204-bb-e,Episode2,0,31,253,npc,40,0,"[-18.0, 0.0, 0.0]","[0, 16384, 0]","[0.0, 0.0, 0.0, 130.0, 130.0, 0, 0]",label0082,static candidate resolved; inspect caller and type-specific rules
shops-ep2/q204-bb-e,Episode2,0,32,253,npc,40,0,"[-43.0, 0.0, 14.0]","[0, -8192, 0]","[10.0, 0.0, 0.0, 0.0, 0.0, 1, 0]",,no DAT interaction label
shops-ep2/q204-bb-e,Episode2,0,33,253,npc,40,0,"[-33.0, 0.0, -22.0]","[0, 4096, 0]","[10.0, 0.0, 0.0, 0.0, 0.0, 1, 0]",,no DAT interaction label
