file_offset,va,pointer_matches,text
0x247,,,`.data
0x112f4,0x411ef4,0x411ed9,wine_get_version
0x16ab5,0x4176b5,,dmSpecVersion
0x16ace,0x4176ce,,dmDriverVersion
0x3b407,0x43c007,,RequestedVarType
0x47330,0x447f30,,Version
0x8f6fa,0x4902fa,,"     AddStrings(Strings.data(), Strings.High);"
0x8f90f,0x49050f,,"    AddStrings(Strings.data(), Strings.High, Objects.data(), Objects.High);"
0x10d001,0x50dc01,,uVersion
0x10dc92,0x50e892,,System.DateUtils
0x10dcfe,0x50e8fe,,System.DateUtils
0x10e18e,0x50ed8e,,System.DateUtils
0x10e639,0x50f239,,System.DateUtils$
0x10e7a3,0x50f3a3,,System.DateUtils
0x10e7c1,0x50f3c1,,"ATPair<System.Word,System.DateUtils.TLocalTimeZone.TYearlyChanges>0"
0x10e881,0x50f481,,"eTArray<System.Generics.Collections.TPair<System.Word,System.DateUtils.TLocalTimeZone.TYearlyChanges>>0"
0x10e972,0x50f572,0x50f524,"jTEnumerator<System.Generics.Collections.TPair<System.Word,System.DateUtils.TLocalTimeZone.TYearlyChanges>>("
0x10ea0d,0x50f60d,,"jTEnumerator<System.Generics.Collections.TPair<System.Word,System.DateUtils.TLocalTimeZone.TYearlyChanges>>\"
0x10eb4e,0x50f74e,0x50f6f0,"jTEnumerable<System.Generics.Collections.TPair<System.Word,System.DateUtils.TLocalTimeZone.TYearlyChanges>>'"
0x10ec45,0x50f845,,"jTEnumerable<System.Generics.Collections.TPair<System.Word,System.DateUtils.TLocalTimeZone.TYearlyChanges>>("
0x10ece5,0x50f8e5,,"MTDictionary<System.Word,System.DateUtils.TLocalTimeZone.TYearlyChanges>.TItem0"
0x10ed85,0x50f985,,"RTDictionary<System.Word,System.DateUtils.TLocalTimeZone.TYearlyChanges>.TItemArray0"
0x10ef11,0x50fb11,,FTCollectionNotifyEvent<System.DateUtils.TLocalTimeZone.TYearlyChanges>
0x10f32b,0x50ff2b,0x50fea4,"VTDictionary<System.Word,System.DateUtils.TLocalTimeZone.TYearlyChanges>.TKeyEnumerator;"
0x10f3ed,0x50ffed,,"VTDictionary<System.Word,System.DateUtils.TLocalTimeZone.TYearlyChanges>.TKeyEnumerator"
0x10f543,0x510143,0x5100bc,"VTDictionary<System.Word,System.DateUtils.TLocalTimeZone.TYearlyChanges>.TKeyCollection;"
0x10f639,0x510239,,"VTDictionary<System.Word,System.DateUtils.TLocalTimeZone.TYearlyChanges>.TKeyCollection"
0x10f6ed,0x5102ed,,6TArray<System.DateUtils.TLocalTimeZone.TYearlyChanges>(
0x10f7b2,0x5103b2,0x510364,;TEnumerator<System.DateUtils.TLocalTimeZone.TYearlyChanges>(
0x10f81d,0x51041d,,;TEnumerator<System.DateUtils.TLocalTimeZone.TYearlyChanges>
0x10f92e,0x51052e,0x5104d0,;TEnumerable<System.DateUtils.TLocalTimeZone.TYearlyChanges>'
0x10f9f5,0x5105f5,,;TEnumerable<System.DateUtils.TLocalTimeZone.TYearlyChanges>
0x10fb07,0x510707,0x510680,"XTDictionary<System.Word,System.DateUtils.TLocalTimeZone.TYearlyChanges>.TValueEnumerator;"
0x10fbc9,0x5107c9,,"XTDictionary<System.Word,System.DateUtils.TLocalTimeZone.TYearlyChanges>.TValueEnumerator"
0x10fd23,0x510923,0x51089c,"XTDictionary<System.Word,System.DateUtils.TLocalTimeZone.TYearlyChanges>.TValueCollection;"
0x10fe1d,0x510a1d,,"XTDictionary<System.Word,System.DateUtils.TLocalTimeZone.TYearlyChanges>.TValueCollection"
0x10ff73,0x510b73,0x510aec,"WTDictionary<System.Word,System.DateUtils.TLocalTimeZone.TYearlyChanges>.TPairEnumerator;"
0x110035,0x510c35,,"WTDictionary<System.Word,System.DateUtils.TLocalTimeZone.TYearlyChanges>.TPairEnumerator$"
0x1102e8,0x510ee8,0x510d04,"GTDictionary<System.Word,System.DateUtils.TLocalTimeZone.TYearlyChanges>&"
0x110871,0x511471,,"GTDictionary<System.Word,System.DateUtils.TLocalTimeZone.TYearlyChanges><"
0x1246d8,0x5252d8,,FRequestedSize
0x13e77c,0x53f37c,,incompatible version
0x14fc46,0x550846,,dbmRequested
0x153118,0x553d18,,FVersion
0x1a3b77,0x5a4777,,TConversion&
0x1a3c76,0x5a4876,,TConversionLGZ
0x1a3ca6,0x5a48a6,,TConversionClasspHZ
0x1a3cc2,0x5a48c2,,TConversionFormat
0x1a3cf2,0x5a48f2,,ConversionClass
0x1babdb,0x5bb7db,,EPlatformVersionException
0x1babfa,0x5bb7fa,,EPlatformVersionException
0x1d7879,0x5d8479,,Version
0x21b50d,0x61c10d,,DoWindowPreviewRequest
0x21b543,0x61c143,,DoThumbPreviewRequest
0x2e6090,0x6e6c90,0x6e6c04,data.ppk
0x344c0c,0x74580c,,FVersion
0x34517f,0x745d7f,,Version
