file_offset,va,pointer_matches,text
0x280,,,.data
0x320,,,.data
0x4f7b63,0x8f8f63,,CAdDrawLineTask.prs
0x507db0,0x9091b0,0x4d4f96;0x4d5062,pathtgt_gc.bin
0x507dc0,0x9091c0,0x4d4fe4;0x4d50d3,pathpos_gc.bin
0x51d8dc,0x91ecdc,0x4fb6c3,enemyentry.dat
0x51d954,0x91ed54,0x4fbe8d,setentry.dat
0x51df68,0x91f368,,f064_questloadapn16
0x51e8e0,0x91fce0,,indirect.dat
0x51e8f0,0x91fcf0,0x5050b5,indinfo.dat
0x51ee28,0x920228,,particleentry.dat
0x51ee3c,0x92023c,,particleentry_a.dat
0x51ee50,0x920250,,particleentry00.dat
0x51ef30,0x920330,0x50da0e,particleentrya0%d.dat
0x51ef48,0x920348,0x50da22,particleentrya%d.dat
0x52a358,0x92b758,0x5bca98;0x5bda91,fogentry_a.dat
0x52a368,0x92b768,0x5bca8a;0x5bdabc;0x5bdc60,fogentry.dat
0x52a4f4,0x92b8f4,0x5bdf06,fogentry.dat
0x52b7a0,0x92cba0,0x5db7b0,itemmagmotion.dat
0x52b7b4,0x92cbb4,0x5dba05;0x5dba81,ItemMagEdit.prs
0x52c060,0x92d460,,ItemShieldEntry.dat
0x52c150,0x92d550,,ItemPMT.prs
0x52d958,0x92ed58,0x65a38a,npcplayerchar.dat
0x52ef6f,0x93036f,,>ChatSensor.prs
0x53289a,0x933c9a,,k?symbolchatcolli.prs
0x537a4b,0x938e4b,,?QUEST
0x567dc0,0x9691c0,,PlyLevelTbl.prs
0x568768,0x969b68,0x6b9af7,_j.bin
0x568770,0x969b70,0x6b9aa5;0x6b9ae2,_e.bin
0x568778,0x969b78,0x6b9aba,_g.bin
0x568780,0x969b80,0x6b9a76,_f.bin
0x568788,0x969b88,0x6b9a90,_s.bin
0x568790,0x969b90,0x6b9acd,_j.dat
0x5687df,0x969bdf,,AQUEST SCRIPT CHECK
0x568810,0x969c10,0x6babf8,gbasample.bin
0x568f60,0x96a360,,map_city_off_j.bin
0x568f74,0x96a374,,map_city_on_j.bin
0x568f88,0x96a388,,map_forest_j.bin
0x568f9c,0x96a39c,,map_cave_j.bin
0x568fac,0x96a3ac,,map_machine_j.bin
0x568fc0,0x96a3c0,,map_ancient_j.bin
0x568fd4,0x96a3d4,,map_labo_off_j.bin
0x568fe8,0x96a3e8,,map_labo_on_j.bin
0x568ffc,0x96a3fc,,map_ruin_j.bin
0x56900c,0x96a40c,,map_space_j.bin
0x56901c,0x96a41c,,map_jungle_j.bin
0x569030,0x96a430,,map_seabed_j.bin
0x569044,0x96a444,,map_wilds_j.bin
0x569054,0x96a454,,map_crater_j.bin
0x569068,0x96a468,,map_desert_j.bin
0x56907c,0x96a47c,,map_city02_off_j.bin
0x569094,0x96a494,,map_city02_on_j.bin
0x5690a8,0x96a4a8,,map_city_off_e.bin
0x5690bc,0x96a4bc,,map_city_on_e.bin
0x5690d0,0x96a4d0,,map_forest_e.bin
0x5690e4,0x96a4e4,,map_cave_e.bin
0x5690f4,0x96a4f4,,map_machine_e.bin
0x569108,0x96a508,,map_ancient_e.bin
0x56911c,0x96a51c,,map_labo_off_e.bin
0x569130,0x96a530,,map_labo_on_e.bin
0x569144,0x96a544,,map_ruin_e.bin
0x569154,0x96a554,,map_space_e.bin
0x569164,0x96a564,,map_jungle_e.bin
0x569178,0x96a578,,map_seabed_e.bin
0x56918c,0x96a58c,,map_wilds_e.bin
0x56919c,0x96a59c,,map_crater_e.bin
0x5691b0,0x96a5b0,,map_desert_e.bin
0x5691c4,0x96a5c4,,map_city02_off_e.bin
0x5691dc,0x96a5dc,,map_city02_on_e.bin
0x5691f0,0x96a5f0,,map_city_off_g.bin
0x569204,0x96a604,,map_city_on_g.bin
0x569218,0x96a618,,map_forest_g.bin
0x56922c,0x96a62c,,map_cave_g.bin
0x56923c,0x96a63c,,map_machine_g.bin
0x569250,0x96a650,,map_ancient_g.bin
0x569264,0x96a664,,map_labo_off_g.bin
0x569278,0x96a678,,map_labo_on_g.bin
0x56928c,0x96a68c,,map_ruin_g.bin
0x56929c,0x96a69c,,map_space_g.bin
0x5692ac,0x96a6ac,,map_jungle_g.bin
0x5692c0,0x96a6c0,,map_seabed_g.bin
0x5692d4,0x96a6d4,,map_wilds_g.bin
0x5692e4,0x96a6e4,,map_crater_g.bin
0x5692f8,0x96a6f8,,map_desert_g.bin
0x56930c,0x96a70c,,map_city02_off_g.bin
0x569324,0x96a724,,map_city02_on_g.bin
0x569338,0x96a738,,map_city_off_f.bin
0x56934c,0x96a74c,,map_city_on_f.bin
0x569360,0x96a760,,map_forest_f.bin
0x569374,0x96a774,,map_cave_f.bin
0x569384,0x96a784,,map_machine_f.bin
0x569398,0x96a798,,map_ancient_f.bin
0x5693ac,0x96a7ac,,map_labo_off_f.bin
0x5693c0,0x96a7c0,,map_labo_on_f.bin
0x5693d4,0x96a7d4,,map_ruin_f.bin
0x5693e4,0x96a7e4,,map_space_f.bin
0x5693f4,0x96a7f4,,map_jungle_f.bin
0x569408,0x96a808,,map_seabed_f.bin
0x56941c,0x96a81c,,map_wilds_f.bin
0x56942c,0x96a82c,,map_crater_f.bin
0x569440,0x96a840,,map_desert_f.bin
0x569454,0x96a854,,map_city02_off_f.bin
0x56946c,0x96a86c,,map_city02_on_f.bin
0x569480,0x96a880,,map_city_off_s.bin
0x569494,0x96a894,,map_city_on_s.bin
0x5694a8,0x96a8a8,,map_forest_s.bin
0x5694bc,0x96a8bc,,map_cave_s.bin
0x5694cc,0x96a8cc,,map_machine_s.bin
0x5694e0,0x96a8e0,,map_ancient_s.bin
0x5694f4,0x96a8f4,,map_labo_off_s.bin
0x569508,0x96a908,,map_labo_on_s.bin
0x56951c,0x96a91c,,map_ruin_s.bin
0x56952c,0x96a92c,,map_space_s.bin
0x56953c,0x96a93c,,map_jungle_s.bin
0x569550,0x96a950,,map_seabed_s.bin
0x569564,0x96a964,,map_wilds_s.bin
0x569574,0x96a974,,map_crater_s.bin
0x569588,0x96a988,,map_desert_s.bin
0x56959c,0x96a99c,,map_city02_off_s.bin
0x5695b4,0x96a9b4,,map_city02_on_s.bin
0x5695c8,0x96a9c8,,map_city_off_b.bin
0x5695dc,0x96a9dc,,map_city_on_b.bin
0x5695f0,0x96a9f0,,map_forest_b.bin
0x569604,0x96aa04,,map_cave_b.bin
0x569614,0x96aa14,,map_machine_b.bin
0x569628,0x96aa28,,map_ancient_b.bin
