floor,event_id,room,wave,delay_frames,action_offset,event_type,actions,enemy_set_records,types
2,41,4,1,1,0,1,trigger_event(411); stop,6,"{""0x44"": 6}"
2,411,4,2,1,6,1,trigger_event(412); stop,3,"{""0x43"": 3}"
2,412,4,3,1,12,1,set_switch(90); stop,4,"{""0x41"": 1, ""0x40"": 3}"
2,42,4,4,300,16,1,set_switch(90); stop,1,"{""0x44"": 1}"
2,121,12,1,100,20,1,trigger_event(1211); stop,6,"{""0x44"": 6}"
2,1211,12,2,30,26,1,trigger_event(1212); stop,6,"{""0x44"": 6}"
2,1212,12,3,30,32,1,set_switch(10); stop,6,"{""0x44"": 6}"
2,122,12,4,1,36,1,set_switch(10); stop,1,"{""0x40"": 1}"
5,501,50,5,200,0,1,trigger_event(5011); stop,1,"{""0x64"": 1}"
5,5011,50,1,100,6,1,trigger_event(5012); stop,6,"{""0x61"": 6}"
5,5012,50,2,100,12,1,trigger_event(5013); stop,4,"{""0x63"": 4}"
5,5013,50,3,100,18,1,set_switch(1); set_switch(2); set_switch(3); stop,3,"{""0x65"": 3}"
5,502,50,4,1,28,1,set_switch(1); set_switch(2); set_switch(3); stop,1,"{""0x63"": 1}"
5,511,51,1,10,38,1,trigger_event(5111); stop,4,"{""0x64"": 4}"
5,5111,51,2,500,44,1,trigger_event(5112); stop,6,"{""0x63"": 6}"
5,5112,51,3,200,50,1,set_switch(8); set_switch(9); set_switch(90); stop,3,"{""0x62"": 3}"
5,512,51,4,1000,60,1,set_switch(8); set_switch(9); set_switch(90); stop,1,"{""0x65"": 1}"
5,601,60,1,30,70,1,trigger_event(6011); stop,5,"{""0x63"": 5}"
5,6011,60,2,100,76,1,trigger_event(6012); stop,5,"{""0x61"": 5}"
5,6012,60,3,100,82,1,set_switch(4); set_switch(5); stop,2,"{""0x62"": 2}"
5,602,60,4,1,89,1,set_switch(4); set_switch(5); stop,1,"{""0x61"": 1}"
5,611,61,1,1,96,1,trigger_event(6111); stop,2,"{""0x63"": 2}"
5,6111,61,2,10,102,1,trigger_event(6112); stop,3,"{""0x63"": 3}"
5,6112,61,3,10,108,1,set_switch(6); set_switch(7); stop,3,"{""0x63"": 3}"
5,612,61,4,1,115,1,trigger_event(6121); set_switch(6); set_switch(7); stop,1,"{""0x61"": 1}"
5,6121,61,5,1000,127,1,set_switch(8); set_switch(9); set_switch(90); stop,1,"{""0x63"": 1}"
7,201,20,1,400,0,1,trigger_event(2011); stop,4,"{""0x82"": 4}"
7,2011,20,2,10,6,1,trigger_event(2012); stop,4,"{""0x82"": 4}"
7,2012,20,3,10,12,1,set_switch(2); set_switch(3); stop,4,"{""0x82"": 4}"
7,202,20,4,1,19,1,set_switch(2); set_switch(3); stop,1,"{""0x82"": 1}"
7,501,50,1,1,26,1,trigger_event(5011); stop,1,"{""0x83"": 1}"
7,5011,50,2,1,32,1,trigger_event(5012); stop,1,"{""0x83"": 1}"
7,5012,50,3,1,38,1,stop,1,"{""0x83"": 1}"
7,502,50,4,1,39,1,trigger_event(5021); stop,1,"{""0x83"": 1}"
7,5021,50,5,1,45,1,trigger_event(5022); stop,1,"{""0x83"": 1}"
