quest,floor,index,full_DAT_fields
Test/q37-bb-e,2,89,"{""base_type"": 12, ""set_flags"": 0, ""runtime_index"": 0, ""file_offset"": 14600, ""floor_field"": 0, ""entity_id_field"": 0, ""group"": 0, ""room"": 3, ""unknown_a3"": 0, ""position"": [-1.181160807609558, 62.0, 5.394548416137695], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 0}"
Test/q37-bb-e,2,90,"{""base_type"": 12, ""set_flags"": 0, ""runtime_index"": 0, ""file_offset"": 14668, ""floor_field"": 0, ""entity_id_field"": 0, ""group"": 0, ""room"": 3, ""unknown_a3"": 0, ""position"": [-2.6294827461242676, 62.0, -56.88329315185547], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 0}"
Test/q37-bb-e,2,91,"{""base_type"": 12, ""set_flags"": 0, ""runtime_index"": 0, ""file_offset"": 14736, ""floor_field"": 0, ""entity_id_field"": 0, ""group"": 0, ""room"": 3, ""unknown_a3"": 0, ""position"": [-33.04424285888672, 62.0, -29.365177154541016], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 0}"
Test/q37-bb-e,2,92,"{""base_type"": 12, ""set_flags"": 0, ""runtime_index"": 0, ""file_offset"": 14804, ""floor_field"": 0, ""entity_id_field"": 0, ""group"": 0, ""room"": 3, ""unknown_a3"": 0, ""position"": [6.06044864654541, 63.0, 37.25762939453125], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 0}"
Test/q37-bb-e,2,93,"{""base_type"": 12, ""set_flags"": 0, ""runtime_index"": 0, ""file_offset"": 14872, ""floor_field"": 0, ""entity_id_field"": 0, ""group"": 0, ""room"": 3, ""unknown_a3"": 0, ""position"": [21.991989135742188, 62.0, -67.02154541015625], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 0}"
Test/q37-bb-e,2,94,"{""base_type"": 12, ""set_flags"": 0, ""runtime_index"": 0, ""file_offset"": 14940, ""floor_field"": 0, ""entity_id_field"": 0, ""group"": 0, ""room"": 3, ""unknown_a3"": 0, ""position"": [-35.940887451171875, 66.0, -52.538326263427734], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 0}"
Test/q37-bb-e,2,95,"{""base_type"": 12, ""set_flags"": 0, ""runtime_index"": 0, ""file_offset"": 15008, ""floor_field"": 0, ""entity_id_field"": 0, ""group"": 0, ""room"": 3, ""unknown_a3"": 0, ""position"": [-33.04424285888672, 63.0, 21.32608985900879], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 0}"
Test/q37-bb-j,2,89,"{""base_type"": 12, ""set_flags"": 0, ""runtime_index"": 0, ""file_offset"": 14600, ""floor_field"": 0, ""entity_id_field"": 0, ""group"": 0, ""room"": 3, ""unknown_a3"": 0, ""position"": [-1.181160807609558, 62.0, 5.394548416137695], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 0}"
Test/q37-bb-j,2,90,"{""base_type"": 12, ""set_flags"": 0, ""runtime_index"": 0, ""file_offset"": 14668, ""floor_field"": 0, ""entity_id_field"": 0, ""group"": 0, ""room"": 3, ""unknown_a3"": 0, ""position"": [-2.6294827461242676, 62.0, -56.88329315185547], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 0}"
Test/q37-bb-j,2,91,"{""base_type"": 12, ""set_flags"": 0, ""runtime_index"": 0, ""file_offset"": 14736, ""floor_field"": 0, ""entity_id_field"": 0, ""group"": 0, ""room"": 3, ""unknown_a3"": 0, ""position"": [-33.04424285888672, 62.0, -29.365177154541016], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 0}"
Test/q37-bb-j,2,92,"{""base_type"": 12, ""set_flags"": 0, ""runtime_index"": 0, ""file_offset"": 14804, ""floor_field"": 0, ""entity_id_field"": 0, ""group"": 0, ""room"": 3, ""unknown_a3"": 0, ""position"": [6.06044864654541, 63.0, 37.25762939453125], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 0}"
Test/q37-bb-j,2,93,"{""base_type"": 12, ""set_flags"": 0, ""runtime_index"": 0, ""file_offset"": 14872, ""floor_field"": 0, ""entity_id_field"": 0, ""group"": 0, ""room"": 3, ""unknown_a3"": 0, ""position"": [21.991989135742188, 62.0, -67.02154541015625], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 0}"
Test/q37-bb-j,2,94,"{""base_type"": 12, ""set_flags"": 0, ""runtime_index"": 0, ""file_offset"": 14940, ""floor_field"": 0, ""entity_id_field"": 0, ""group"": 0, ""room"": 3, ""unknown_a3"": 0, ""position"": [-35.940887451171875, 66.0, -52.538326263427734], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 0}"
Test/q37-bb-j,2,95,"{""base_type"": 12, ""set_flags"": 0, ""runtime_index"": 0, ""file_offset"": 15008, ""floor_field"": 0, ""entity_id_field"": 0, ""group"": 0, ""room"": 3, ""unknown_a3"": 0, ""position"": [-33.04424285888672, 63.0, 21.32608985900879], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 0}"
challenge-ep2/d88201-bb-e,3,83,"{""base_type"": 12, ""set_flags"": 0, ""runtime_index"": 33800, ""file_offset"": 28420, ""floor_field"": 1, ""entity_id_field"": 51786, ""group"": 0, ""room"": 30, ""unknown_a3"": 0, ""position"": [0.0, 0.0, 0.0], ""angles"": [0, -16383, 0], ""params"": [-10.0, -80.0, 0.0, 500, 0, 60], ""unused_pointer"": 10150528}"
challenge-ep2/d88201-bb-e,3,201,"{""base_type"": 12, ""set_flags"": 0, ""runtime_index"": 23816, ""file_offset"": 36444, ""floor_field"": 1, ""entity_id_field"": 37193, ""group"": 0, ""room"": 91, ""unknown_a3"": 0, ""position"": [0.0, 0.0, 140.0], ""angles"": [0, 0, 0], ""params"": [-10.0, -80.0, 0.0, 500, 0, 60], ""unused_pointer"": 275047040}"
challenge-ep2/d88201-bb-e,6,79,"{""base_type"": 12, ""set_flags"": 0, ""runtime_index"": 61192, ""file_offset"": 66616, ""floor_field"": 2, ""entity_id_field"": 8272, ""group"": 0, ""room"": 41, ""unknown_a3"": 0, ""position"": [-145.0115203857422, 0.0, -119.98605346679688], ""angles"": [0, -16383, 0], ""params"": [-10.0, -30.0, -1.0, 400, 0, 30], ""unused_pointer"": 4036748160}"
challenge-ep2/d88201-bb-j,3,83,"{""base_type"": 12, ""set_flags"": 0, ""runtime_index"": 33800, ""file_offset"": 28420, ""floor_field"": 1, ""entity_id_field"": 51786, ""group"": 0, ""room"": 30, ""unknown_a3"": 0, ""position"": [0.0, 0.0, 0.0], ""angles"": [0, -16383, 0], ""params"": [-10.0, -80.0, 0.0, 500, 0, 60], ""unused_pointer"": 10150528}"
challenge-ep2/d88201-bb-j,3,201,"{""base_type"": 12, ""set_flags"": 0, ""runtime_index"": 23816, ""file_offset"": 36444, ""floor_field"": 1, ""entity_id_field"": 37193, ""group"": 0, ""room"": 91, ""unknown_a3"": 0, ""position"": [0.0, 0.0, 140.0], ""angles"": [0, 0, 0], ""params"": [-10.0, -80.0, 0.0, 500, 0, 60], ""unused_pointer"": 275047040}"
challenge-ep2/d88201-bb-j,6,79,"{""base_type"": 12, ""set_flags"": 0, ""runtime_index"": 61192, ""file_offset"": 66616, ""floor_field"": 2, ""entity_id_field"": 8272, ""group"": 0, ""room"": 41, ""unknown_a3"": 0, ""position"": [-145.0115203857422, 0.0, -119.98605346679688], ""angles"": [0, -16383, 0], ""params"": [-10.0, -30.0, -1.0, 400, 0, 30], ""unused_pointer"": 4036748160}"
challenge-ep2/d88202-bb-e,1,117,"{""base_type"": 12, ""set_flags"": 0, ""runtime_index"": 55304, ""file_offset"": 10708, ""floor_field"": 3, ""entity_id_field"": 41294, ""group"": 0, ""room"": 41, ""unknown_a3"": 0, ""position"": [130.0, 0.9999998807907104, -120.0], ""angles"": [0, 0, 0], ""params"": [0.0, -80.0, -1.0, 300, 0, 30], ""unused_pointer"": 540533632}"
challenge-ep2/d88202-bb-e,2,75,"{""base_type"": 12, ""set_flags"": 0, ""runtime_index"": 51719, ""file_offset"": 20516, ""floor_field"": 3, ""entity_id_field"": 47690, ""group"": 0, ""room"": 41, ""unknown_a3"": 0, ""position"": [-100.0, 1.0, -120.0], ""angles"": [0, 0, 0], ""params"": [-30.0, -65.0, 1.0, 300, 0, 30], ""unused_pointer"": 3504792192}"
