quest,floor,index,full_DAT_fields
Test/q37-bb-e,2,12,"{""base_type"": 143, ""set_flags"": 2, ""runtime_index"": 145, ""file_offset"": 9364, ""floor_field"": 2, ""entity_id_field"": 17958, ""group"": 0, ""room"": 2, ""unknown_a3"": 0, ""position"": [89.5991439819336, 15.49999713897705, -46.00244140625], ""angles"": [0, 1856, 0], ""params"": [1.000000238418579, 1.0000015497207642, 1.0000005960464478, 170, 2816, 0], ""unused_pointer"": 2365213552}"
Test/q37-bb-e,2,13,"{""base_type"": 143, ""set_flags"": 2, ""runtime_index"": 152, ""file_offset"": 9432, ""floor_field"": 2, ""entity_id_field"": 17964, ""group"": 0, ""room"": 2, ""unknown_a3"": 0, ""position"": [89.55477905273438, 0.0, -45.76959228515625], ""angles"": [0, 1792, 0], ""params"": [1.0, 1.0, 1.0, 170, 0, 0], ""unused_pointer"": 2365214144}"
Test/q37-bb-j,2,12,"{""base_type"": 143, ""set_flags"": 2, ""runtime_index"": 145, ""file_offset"": 9364, ""floor_field"": 2, ""entity_id_field"": 17958, ""group"": 0, ""room"": 2, ""unknown_a3"": 0, ""position"": [89.5991439819336, 15.49999713897705, -46.00244140625], ""angles"": [0, 1856, 0], ""params"": [1.000000238418579, 1.0000015497207642, 1.0000005960464478, 170, 2816, 0], ""unused_pointer"": 2365213552}"
Test/q37-bb-j,2,13,"{""base_type"": 143, ""set_flags"": 2, ""runtime_index"": 152, ""file_offset"": 9432, ""floor_field"": 2, ""entity_id_field"": 17964, ""group"": 0, ""room"": 2, ""unknown_a3"": 0, ""position"": [89.55477905273438, 0.0, -45.76959228515625], ""angles"": [0, 1792, 0], ""params"": [1.0, 1.0, 1.0, 170, 0, 0], ""unused_pointer"": 2365214144}"
challenge-ep1/c88101-bb-e,2,34,"{""base_type"": 143, ""set_flags"": 2, ""runtime_index"": 145, ""file_offset"": 11744, ""floor_field"": 2, ""entity_id_field"": 18746, ""group"": 0, ""room"": 2, ""unknown_a3"": 0, ""position"": [89.5991439819336, 15.49999713897705, -46.00244140625], ""angles"": [0, 1856, 0], ""params"": [1.000000238418579, 1.0000015497207642, 1.0000005960464478, 170, 2816, 0], ""unused_pointer"": 2365159600}"
challenge-ep1/c88101-bb-j,2,34,"{""base_type"": 143, ""set_flags"": 2, ""runtime_index"": 145, ""file_offset"": 11744, ""floor_field"": 2, ""entity_id_field"": 18746, ""group"": 0, ""room"": 2, ""unknown_a3"": 0, ""position"": [89.5991439819336, 15.49999713897705, -46.00244140625], ""angles"": [0, 1856, 0], ""params"": [1.000000238418579, 1.0000015497207642, 1.0000005960464478, 170, 2816, 0], ""unused_pointer"": 2365159600}"
events-ep1/q28-bb-e,2,38,"{""base_type"": 143, ""set_flags"": 2, ""runtime_index"": 171, ""file_offset"": 16232, ""floor_field"": 2, ""entity_id_field"": 18625, ""group"": 0, ""room"": 2, ""unknown_a3"": 0, ""position"": [89.5991439819336, 15.49999713897705, -46.00244140625], ""angles"": [0, 1856, 0], ""params"": [1.000000238418579, 1.0000015497207642, 1.0000005960464478, 170, 2816, 0], ""unused_pointer"": 2365266400}"
events-ep1/q28-bb-e,2,43,"{""base_type"": 143, ""set_flags"": 2, ""runtime_index"": 177, ""file_offset"": 16572, ""floor_field"": 2, ""entity_id_field"": 18630, ""group"": 0, ""room"": 2, ""unknown_a3"": 0, ""position"": [89.55477905273438, 0.0, -45.76959228515625], ""angles"": [0, 1792, 0], ""params"": [1.0, 1.0, 1.0, 170, 0, 0], ""unused_pointer"": 2365270336}"
events-ep1/q28-bb-j,2,38,"{""base_type"": 143, ""set_flags"": 2, ""runtime_index"": 171, ""file_offset"": 16232, ""floor_field"": 2, ""entity_id_field"": 18625, ""group"": 0, ""room"": 2, ""unknown_a3"": 0, ""position"": [89.5991439819336, 15.49999713897705, -46.00244140625], ""angles"": [0, 1856, 0], ""params"": [1.000000238418579, 1.0000015497207642, 1.0000005960464478, 170, 2816, 0], ""unused_pointer"": 2365266400}"
events-ep1/q28-bb-j,2,43,"{""base_type"": 143, ""set_flags"": 2, ""runtime_index"": 177, ""file_offset"": 16572, ""floor_field"": 2, ""entity_id_field"": 18630, ""group"": 0, ""room"": 2, ""unknown_a3"": 0, ""position"": [89.55477905273438, 0.0, -45.76959228515625], ""angles"": [0, 1792, 0], ""params"": [1.0, 1.0, 1.0, 170, 0, 0], ""unused_pointer"": 2365270336}"
events-ep1/q71-bb-e,2,34,"{""base_type"": 143, ""set_flags"": 2, ""runtime_index"": 145, ""file_offset"": 11608, ""floor_field"": 2, ""entity_id_field"": 17958, ""group"": 0, ""room"": 2, ""unknown_a3"": 0, ""position"": [89.5991439819336, 15.49999713897705, -46.00244140625], ""angles"": [0, 1856, 0], ""params"": [1.000000238418579, 1.0000015497207642, 1.0000005960464478, 170, 2816, 0], ""unused_pointer"": 2365213552}"
events-ep1/q71-bb-e,2,40,"{""base_type"": 143, ""set_flags"": 2, ""runtime_index"": 152, ""file_offset"": 12016, ""floor_field"": 2, ""entity_id_field"": 17964, ""group"": 0, ""room"": 2, ""unknown_a3"": 0, ""position"": [89.55477905273438, 0.0, -45.76959228515625], ""angles"": [0, 1792, 0], ""params"": [1.0, 1.0, 1.0, 170, 0, 0], ""unused_pointer"": 2365214144}"
events-ep1/q71-bb-j,2,34,"{""base_type"": 143, ""set_flags"": 2, ""runtime_index"": 145, ""file_offset"": 11608, ""floor_field"": 2, ""entity_id_field"": 17958, ""group"": 0, ""room"": 2, ""unknown_a3"": 0, ""position"": [89.5991439819336, 15.49999713897705, -46.00244140625], ""angles"": [0, 1856, 0], ""params"": [1.000000238418579, 1.0000015497207642, 1.0000005960464478, 170, 2816, 0], ""unused_pointer"": 2365213552}"
events-ep1/q71-bb-j,2,40,"{""base_type"": 143, ""set_flags"": 2, ""runtime_index"": 152, ""file_offset"": 12016, ""floor_field"": 2, ""entity_id_field"": 17964, ""group"": 0, ""room"": 2, ""unknown_a3"": 0, ""position"": [89.55477905273438, 0.0, -45.76959228515625], ""angles"": [0, 1792, 0], ""params"": [1.0, 1.0, 1.0, 170, 0, 0], ""unused_pointer"": 2365214144}"
events-ep1/q80-bb-e,2,34,"{""base_type"": 143, ""set_flags"": 2, ""runtime_index"": 145, ""file_offset"": 4520, ""floor_field"": 2, ""entity_id_field"": 17958, ""group"": 0, ""room"": 2, ""unknown_a3"": 0, ""position"": [89.5991439819336, 15.49999713897705, -46.00244140625], ""angles"": [0, 1856, 0], ""params"": [1.000000238418579, 1.0000015497207642, 1.0000005960464478, 170, 2816, 0], ""unused_pointer"": 2365213552}"
events-ep1/q80-bb-e,2,39,"{""base_type"": 143, ""set_flags"": 2, ""runtime_index"": 152, ""file_offset"": 4860, ""floor_field"": 2, ""entity_id_field"": 17964, ""group"": 0, ""room"": 2, ""unknown_a3"": 0, ""position"": [89.55477905273438, 0.0, -45.76959228515625], ""angles"": [0, 1792, 0], ""params"": [1.0, 1.0, 1.0, 170, 0, 0], ""unused_pointer"": 2365214144}"
events-ep1/q80-bb-j,2,34,"{""base_type"": 143, ""set_flags"": 2, ""runtime_index"": 145, ""file_offset"": 4520, ""floor_field"": 2, ""entity_id_field"": 17958, ""group"": 0, ""room"": 2, ""unknown_a3"": 0, ""position"": [89.5991439819336, 15.49999713897705, -46.00244140625], ""angles"": [0, 1856, 0], ""params"": [1.000000238418579, 1.0000015497207642, 1.0000005960464478, 170, 2816, 0], ""unused_pointer"": 2365213552}"
events-ep1/q80-bb-j,2,39,"{""base_type"": 143, ""set_flags"": 2, ""runtime_index"": 152, ""file_offset"": 4860, ""floor_field"": 2, ""entity_id_field"": 17964, ""group"": 0, ""room"": 2, ""unknown_a3"": 0, ""position"": [89.55477905273438, 0.0, -45.76959228515625], ""angles"": [0, 1792, 0], ""params"": [1.0, 1.0, 1.0, 170, 0, 0], ""unused_pointer"": 2365214144}"
events-ep1/q1001-bb-e,2,33,"{""base_type"": 143, ""set_flags"": 2, ""runtime_index"": 145, ""file_offset"": 11200, ""floor_field"": 2, ""entity_id_field"": 18680, ""group"": 0, ""room"": 2, ""unknown_a3"": 0, ""position"": [89.5991439819336, 15.49999713897705, -46.00244140625], ""angles"": [0, 1856, 0], ""params"": [1.000000238418579, 1.0000015497207642, 1.0000005960464478, 170, 2816, 0], ""unused_pointer"": 2365176448}"
events-ep1/q1001-bb-e,2,38,"{""base_type"": 143, ""set_flags"": 2, ""runtime_index"": 152, ""file_offset"": 11540, ""floor_field"": 2, ""entity_id_field"": 18685, ""group"": 0, ""room"": 2, ""unknown_a3"": 0, ""position"": [89.55477905273438, 0.0, -45.76959228515625], ""angles"": [0, 1792, 0], ""params"": [1.0, 1.0, 1.0, 170, 0, 0], ""unused_pointer"": 2365176720}"
events-ep1/q1001-bb-j,2,33,"{""base_type"": 143, ""set_flags"": 2, ""runtime_index"": 145, ""file_offset"": 11200, ""floor_field"": 2, ""entity_id_field"": 18680, ""group"": 0, ""room"": 2, ""unknown_a3"": 0, ""position"": [89.5991439819336, 15.49999713897705, -46.00244140625], ""angles"": [0, 1856, 0], ""params"": [1.000000238418579, 1.0000015497207642, 1.0000005960464478, 170, 2816, 0], ""unused_pointer"": 2365176448}"
events-ep1/q1001-bb-j,2,38,"{""base_type"": 143, ""set_flags"": 2, ""runtime_index"": 152, ""file_offset"": 11540, ""floor_field"": 2, ""entity_id_field"": 18685, ""group"": 0, ""room"": 2, ""unknown_a3"": 0, ""position"": [89.55477905273438, 0.0, -45.76959228515625], ""angles"": [0, 1792, 0], ""params"": [1.0, 1.0, 1.0, 170, 0, 0], ""unused_pointer"": 2365176720}"
extermination-ep1/q63-bb-e,2,34,"{""base_type"": 143, ""set_flags"": 2, ""runtime_index"": 145, ""file_offset"": 11608, ""floor_field"": 2, ""entity_id_field"": 17958, ""group"": 0, ""room"": 2, ""unknown_a3"": 0, ""position"": [89.5991439819336, 15.49999713897705, -46.00244140625], ""angles"": [0, 1856, 0], ""params"": [1.000000238418579, 1.0000015497207642, 1.0000005960464478, 170, 2816, 0], ""unused_pointer"": 2365213552}"
extermination-ep1/q63-bb-e,2,40,"{""base_type"": 143, ""set_flags"": 2, ""runtime_index"": 152, ""file_offset"": 12016, ""floor_field"": 2, ""entity_id_field"": 17964, ""group"": 0, ""room"": 2, ""unknown_a3"": 0, ""position"": [89.55477905273438, 0.0, -45.76959228515625], ""angles"": [0, 1792, 0], ""params"": [1.0, 1.0, 1.0, 170, 0, 0], ""unused_pointer"": 2365214144}"
extermination-ep1/q63-bb-j,2,34,"{""base_type"": 143, ""set_flags"": 2, ""runtime_index"": 145, ""file_offset"": 11608, ""floor_field"": 2, ""entity_id_field"": 17958, ""group"": 0, ""room"": 2, ""unknown_a3"": 0, ""position"": [89.5991439819336, 15.49999713897705, -46.00244140625], ""angles"": [0, 1856, 0], ""params"": [1.000000238418579, 1.0000015497207642, 1.0000005960464478, 170, 2816, 0], ""unused_pointer"": 2365213552}"
extermination-ep1/q63-bb-j,2,40,"{""base_type"": 143, ""set_flags"": 2, ""runtime_index"": 152, ""file_offset"": 12016, ""floor_field"": 2, ""entity_id_field"": 17964, ""group"": 0, ""room"": 2, ""unknown_a3"": 0, ""position"": [89.55477905273438, 0.0, -45.76959228515625], ""angles"": [0, 1792, 0], ""params"": [1.0, 1.0, 1.0, 170, 0, 0], ""unused_pointer"": 2365214144}"
extermination-ep1/q108-bb-e,2,33,"{""base_type"": 143, ""set_flags"": 2, ""runtime_index"": 145, ""file_offset"": 11200, ""floor_field"": 2, ""entity_id_field"": 18680, ""group"": 0, ""room"": 2, ""unknown_a3"": 0, ""position"": [89.5991439819336, 15.49999713897705, -46.00244140625], ""angles"": [0, 1856, 0], ""params"": [1.000000238418579, 1.0000015497207642, 1.0000005960464478, 170, 2816, 0], ""unused_pointer"": 2365176448}"
extermination-ep1/q108-bb-e,2,38,"{""base_type"": 143, ""set_flags"": 2, ""runtime_index"": 152, ""file_offset"": 11540, ""floor_field"": 2, ""entity_id_field"": 18685, ""group"": 0, ""room"": 2, ""unknown_a3"": 0, ""position"": [89.55477905273438, 0.0, -45.76959228515625], ""angles"": [0, 1792, 0], ""params"": [1.0, 1.0, 1.0, 170, 0, 0], ""unused_pointer"": 2365176720}"
extermination-ep1/q108-bb-j,2,33,"{""base_type"": 143, ""set_flags"": 2, ""runtime_index"": 145, ""file_offset"": 11200, ""floor_field"": 2, ""entity_id_field"": 18680, ""group"": 0, ""room"": 2, ""unknown_a3"": 0, ""position"": [89.5991439819336, 15.49999713897705, -46.00244140625], ""angles"": [0, 1856, 0], ""params"": [1.000000238418579, 1.0000015497207642, 1.0000005960464478, 170, 2816, 0], ""unused_pointer"": 2365176448}"
extermination-ep1/q108-bb-j,2,38,"{""base_type"": 143, ""set_flags"": 2, ""runtime_index"": 152, ""file_offset"": 11540, ""floor_field"": 2, ""entity_id_field"": 18685, ""group"": 0, ""room"": 2, ""unknown_a3"": 0, ""position"": [89.55477905273438, 0.0, -45.76959228515625], ""angles"": [0, 1792, 0], ""params"": [1.0, 1.0, 1.0, 170, 0, 0], ""unused_pointer"": 2365176720}"
extermination-ep1/q121-bb-e,2,30,"{""base_type"": 143, ""set_flags"": 2, ""runtime_index"": 145, ""file_offset"": 11268, ""floor_field"": 2, ""entity_id_field"": 18680, ""group"": 0, ""room"": 2, ""unknown_a3"": 0, ""position"": [89.5991439819336, 15.49999713897705, -46.00244140625], ""angles"": [0, 1856, 0], ""params"": [1.000000238418579, 1.0000015497207642, 1.0000005960464478, 170, 2816, 0], ""unused_pointer"": 2365176448}"
extermination-ep1/q121-bb-e,2,35,"{""base_type"": 143, ""set_flags"": 2, ""runtime_index"": 152, ""file_offset"": 11608, ""floor_field"": 2, ""entity_id_field"": 18685, ""group"": 0, ""room"": 2, ""unknown_a3"": 0, ""position"": [89.55477905273438, 0.0, -45.76959228515625], ""angles"": [0, 1792, 0], ""params"": [1.0, 1.0, 1.0, 170, 0, 0], ""unused_pointer"": 2365176720}"
extermination-ep1/q121-bb-j,2,30,"{""base_type"": 143, ""set_flags"": 2, ""runtime_index"": 145, ""file_offset"": 11268, ""floor_field"": 2, ""entity_id_field"": 18680, ""group"": 0, ""room"": 2, ""unknown_a3"": 0, ""position"": [89.5991439819336, 15.49999713897705, -46.00244140625], ""angles"": [0, 1856, 0], ""params"": [1.000000238418579, 1.0000015497207642, 1.0000005960464478, 170, 2816, 0], ""unused_pointer"": 2365176448}"
