quest,floor,index,full_DAT_fields
challenge-ep1/c88102-bb-e,5,109,"{""base_type"": 193, ""set_flags"": 2, ""runtime_index"": 381, ""file_offset"": 24000, ""floor_field"": 3, ""entity_id_field"": 16765, ""group"": 0, ""room"": 31, ""unknown_a3"": 0, ""position"": [0.0, 0.0, 200.0], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 91, 0, 0], ""unused_pointer"": 2365282896}"
challenge-ep1/c88102-bb-e,7,188,"{""base_type"": 193, ""set_flags"": 0, ""runtime_index"": 1961, ""file_offset"": 46948, ""floor_field"": 3, ""entity_id_field"": 18641, ""group"": 0, ""room"": 50, ""unknown_a3"": 0, ""position"": [0.0, 0.0, -300.0], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 250, 0, -1], ""unused_pointer"": 2365260752}"
challenge-ep1/c88102-bb-j,5,109,"{""base_type"": 193, ""set_flags"": 2, ""runtime_index"": 381, ""file_offset"": 24000, ""floor_field"": 3, ""entity_id_field"": 16765, ""group"": 0, ""room"": 31, ""unknown_a3"": 0, ""position"": [0.0, 0.0, 200.0], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 91, 0, 0], ""unused_pointer"": 2365282896}"
challenge-ep1/c88102-bb-j,7,188,"{""base_type"": 193, ""set_flags"": 0, ""runtime_index"": 1961, ""file_offset"": 46948, ""floor_field"": 3, ""entity_id_field"": 18641, ""group"": 0, ""room"": 50, ""unknown_a3"": 0, ""position"": [0.0, 0.0, -300.0], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 250, 0, -1], ""unused_pointer"": 2365260752}"
challenge-ep1/c88103-bb-e,4,147,"{""base_type"": 193, ""set_flags"": 2, ""runtime_index"": 594, ""file_offset"": 11456, ""floor_field"": 4, ""entity_id_field"": 18314, ""group"": 0, ""room"": 35, ""unknown_a3"": 0, ""position"": [-200.0, 0.0, -50.0], ""angles"": [0, 16384, 0], ""params"": [0.9999891519546509, 1.000000238418579, 0.9990062713623047, 250, 0, -1], ""unused_pointer"": 2365211728}"
challenge-ep1/c88103-bb-e,6,87,"{""base_type"": 193, ""set_flags"": 2, ""runtime_index"": 503, ""file_offset"": 28556, ""floor_field"": 4, ""entity_id_field"": 16887, ""group"": 0, ""room"": 20, ""unknown_a3"": 0, ""position"": [150.0, 0.0, -0.014387816190719604], ""angles"": [0, -16383, 0], ""params"": [1.0, 1.0, 1.0, 234, 2, 0], ""unused_pointer"": 2365249456}"
challenge-ep1/c88103-bb-e,6,160,"{""base_type"": 193, ""set_flags"": 2, ""runtime_index"": 591, ""file_offset"": 33520, ""floor_field"": 4, ""entity_id_field"": 14920, ""group"": 0, ""room"": 30, ""unknown_a3"": 0, ""position"": [0.0, 0.0, 200.0], ""angles"": [0, -32768, 0], ""params"": [1.0, 1.0, 1.0, 203, 0, 0], ""unused_pointer"": 1619059328}"
challenge-ep1/c88103-bb-e,6,168,"{""base_type"": 193, ""set_flags"": 0, ""runtime_index"": 1964, ""file_offset"": 34064, ""floor_field"": 4, ""entity_id_field"": 18436, ""group"": 0, ""room"": 35, ""unknown_a3"": 0, ""position"": [-200.0, 0.0, -50.0], ""angles"": [0, -49152, 0], ""params"": [1.0, 1.0, 1.0, 242, 2, -1], ""unused_pointer"": 2365152416}"
challenge-ep1/c88103-bb-e,8,152,"{""base_type"": 193, ""set_flags"": 0, ""runtime_index"": 2004, ""file_offset"": 52796, ""floor_field"": 4, ""entity_id_field"": 18441, ""group"": 0, ""room"": 21, ""unknown_a3"": 0, ""position"": [-150.00001525878906, 0.0, 0.014392852783203125], ""angles"": [0, -16383, 0], ""params"": [1.0, 1.0, 1.0, 238, 0, 0], ""unused_pointer"": 2365165184}"
challenge-ep1/c88103-bb-e,8,170,"{""base_type"": 193, ""set_flags"": 2, ""runtime_index"": 584, ""file_offset"": 54020, ""floor_field"": 4, ""entity_id_field"": 16968, ""group"": 0, ""room"": 35, ""unknown_a3"": 0, ""position"": [-200.0, 0.0, -50.0], ""angles"": [0, -16384, 0], ""params"": [1.0, 1.0, 1.0, 250, 0, 0], ""unused_pointer"": 2365287728}"
challenge-ep1/c88103-bb-j,4,147,"{""base_type"": 193, ""set_flags"": 2, ""runtime_index"": 594, ""file_offset"": 11456, ""floor_field"": 4, ""entity_id_field"": 18314, ""group"": 0, ""room"": 35, ""unknown_a3"": 0, ""position"": [-200.0, 0.0, -50.0], ""angles"": [0, 16384, 0], ""params"": [0.9999891519546509, 1.000000238418579, 0.9990062713623047, 250, 0, -1], ""unused_pointer"": 2365211728}"
challenge-ep1/c88103-bb-j,6,87,"{""base_type"": 193, ""set_flags"": 2, ""runtime_index"": 503, ""file_offset"": 28556, ""floor_field"": 4, ""entity_id_field"": 16887, ""group"": 0, ""room"": 20, ""unknown_a3"": 0, ""position"": [150.0, 0.0, -0.014387816190719604], ""angles"": [0, -16383, 0], ""params"": [1.0, 1.0, 1.0, 234, 2, 0], ""unused_pointer"": 2365249456}"
challenge-ep1/c88103-bb-j,6,160,"{""base_type"": 193, ""set_flags"": 2, ""runtime_index"": 591, ""file_offset"": 33520, ""floor_field"": 4, ""entity_id_field"": 14920, ""group"": 0, ""room"": 30, ""unknown_a3"": 0, ""position"": [0.0, 0.0, 200.0], ""angles"": [0, -32768, 0], ""params"": [1.0, 1.0, 1.0, 203, 0, 0], ""unused_pointer"": 1619059328}"
challenge-ep1/c88103-bb-j,6,168,"{""base_type"": 193, ""set_flags"": 0, ""runtime_index"": 1964, ""file_offset"": 34064, ""floor_field"": 4, ""entity_id_field"": 18436, ""group"": 0, ""room"": 35, ""unknown_a3"": 0, ""position"": [-200.0, 0.0, -50.0], ""angles"": [0, -49152, 0], ""params"": [1.0, 1.0, 1.0, 242, 2, -1], ""unused_pointer"": 2365152416}"
challenge-ep1/c88103-bb-j,8,152,"{""base_type"": 193, ""set_flags"": 0, ""runtime_index"": 2004, ""file_offset"": 52796, ""floor_field"": 4, ""entity_id_field"": 18441, ""group"": 0, ""room"": 21, ""unknown_a3"": 0, ""position"": [-150.00001525878906, 0.0, 0.014392852783203125], ""angles"": [0, -16383, 0], ""params"": [1.0, 1.0, 1.0, 238, 0, 0], ""unused_pointer"": 2365165184}"
challenge-ep1/c88103-bb-j,8,170,"{""base_type"": 193, ""set_flags"": 2, ""runtime_index"": 584, ""file_offset"": 54020, ""floor_field"": 4, ""entity_id_field"": 16968, ""group"": 0, ""room"": 35, ""unknown_a3"": 0, ""position"": [-200.0, 0.0, -50.0], ""angles"": [0, -16384, 0], ""params"": [1.0, 1.0, 1.0, 250, 0, 0], ""unused_pointer"": 2365287728}"
challenge-ep1/c88104-bb-e,5,120,"{""base_type"": 193, ""set_flags"": 2, ""runtime_index"": 736, ""file_offset"": 9620, ""floor_field"": 5, ""entity_id_field"": 17120, ""group"": 0, ""room"": 41, ""unknown_a3"": 0, ""position"": [75.0, 0.0, 185.0001220703125], ""angles"": [0, -32768, 0], ""params"": [1.0, 1.0, 1.0, 200, 0, 0], ""unused_pointer"": 2365234016}"
challenge-ep1/c88104-bb-j,5,120,"{""base_type"": 193, ""set_flags"": 2, ""runtime_index"": 736, ""file_offset"": 9620, ""floor_field"": 5, ""entity_id_field"": 17120, ""group"": 0, ""room"": 41, ""unknown_a3"": 0, ""position"": [75.0, 0.0, 185.0001220703125], ""angles"": [0, -32768, 0], ""params"": [1.0, 1.0, 1.0, 200, 0, 0], ""unused_pointer"": 2365234016}"
events-ep1/q070-bb-e,4,99,"{""base_type"": 193, ""set_flags"": 0, ""runtime_index"": 1975, ""file_offset"": 19428, ""floor_field"": 4, ""entity_id_field"": 18627, ""group"": 0, ""room"": 22, ""unknown_a3"": 0, ""position"": [0.0, 0.0, -200.00006103515625], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 224, 0, 0], ""unused_pointer"": 2365264016}"
events-ep1/q070-bb-e,4,115,"{""base_type"": 193, ""set_flags"": 0, ""runtime_index"": 1927, ""file_offset"": 20516, ""floor_field"": 4, ""entity_id_field"": 19048, ""group"": 0, ""room"": 30, ""unknown_a3"": 0, ""position"": [0.0, 0.0, 200.0], ""angles"": [0, -32768, 0], ""params"": [1.0, 1.0, 1.0, 203, 0, -1], ""unused_pointer"": 2365298848}"
events-ep1/q070-bb-e,4,124,"{""base_type"": 193, ""set_flags"": 0, ""runtime_index"": 1988, ""file_offset"": 21128, ""floor_field"": 4, ""entity_id_field"": 18803, ""group"": 0, ""room"": 40, ""unknown_a3"": 0, ""position"": [80.00003051757812, 0.09412574768066406, -200.0], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 215, 0, 0], ""unused_pointer"": 2365259936}"
