quest,floor,index,full_DAT_fields
challenge-ep1/c88102-bb-e,3,95,"{""base_type"": 206, ""set_flags"": 2, ""runtime_index"": 389, ""file_offset"": 7920, ""floor_field"": 3, ""entity_id_field"": 18618, ""group"": 0, ""room"": 30, ""unknown_a3"": 0, ""position"": [0.0, 1.0, -200.0], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 61, 3, 0], ""unused_pointer"": 2365236144}"
challenge-ep1/c88102-bb-e,3,135,"{""base_type"": 206, ""set_flags"": 2, ""runtime_index"": 437, ""file_offset"": 10640, ""floor_field"": 3, ""entity_id_field"": 16821, ""group"": 0, ""room"": 50, ""unknown_a3"": 0, ""position"": [0.02875518798828125, 0.0, 300.0000915527344], ""angles"": [0, 1, 0], ""params"": [1.0, 1.0, 1.0, 60, 3, 0], ""unused_pointer"": 2365300624}"
challenge-ep1/c88102-bb-e,5,112,"{""base_type"": 206, ""set_flags"": 2, ""runtime_index"": 384, ""file_offset"": 24204, ""floor_field"": 3, ""entity_id_field"": 16768, ""group"": 0, ""room"": 31, ""unknown_a3"": 0, ""position"": [0.0, 0.0, -200.000244140625], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 90, 3, 0], ""unused_pointer"": 2365284992}"
challenge-ep1/c88102-bb-e,5,128,"{""base_type"": 206, ""set_flags"": 0, ""runtime_index"": 1483, ""file_offset"": 25292, ""floor_field"": 3, ""entity_id_field"": 18633, ""group"": 0, ""room"": 32, ""unknown_a3"": 0, ""position"": [0.0, 0.0, -200.00009155273438], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 62, 3, 0], ""unused_pointer"": 2365260160}"
challenge-ep1/c88102-bb-e,5,142,"{""base_type"": 206, ""set_flags"": 0, ""runtime_index"": 1484, ""file_offset"": 26244, ""floor_field"": 3, ""entity_id_field"": 18558, ""group"": 0, ""room"": 50, ""unknown_a3"": 0, ""position"": [200.0, 0.0, 0.0], ""angles"": [0, 16384, 0], ""params"": [1.0, 1.0, 1.0, 61, 3, 0], ""unused_pointer"": 2365277520}"
challenge-ep1/c88102-bb-e,7,79,"{""base_type"": 206, ""set_flags"": 0, ""runtime_index"": 1189, ""file_offset"": 39536, ""floor_field"": 3, ""entity_id_field"": 21233, ""group"": 0, ""room"": 11, ""unknown_a3"": 0, ""position"": [200.0, 0.0, 0.0], ""angles"": [0, 16384, 0], ""params"": [1.0, 1.0, 1.0, 61, 3, 0], ""unused_pointer"": 2365169024}"
challenge-ep1/c88102-bb-e,7,190,"{""base_type"": 206, ""set_flags"": 0, ""runtime_index"": 1182, ""file_offset"": 47084, ""floor_field"": 3, ""entity_id_field"": 18643, ""group"": 0, ""room"": 50, ""unknown_a3"": 0, ""position"": [200.0, 0.0, 0.0], ""angles"": [0, 16384, 0], ""params"": [1.0, 1.0, 1.0, 60, 3, 0], ""unused_pointer"": 2365261360}"
challenge-ep1/c88102-bb-j,3,95,"{""base_type"": 206, ""set_flags"": 2, ""runtime_index"": 389, ""file_offset"": 7920, ""floor_field"": 3, ""entity_id_field"": 18618, ""group"": 0, ""room"": 30, ""unknown_a3"": 0, ""position"": [0.0, 1.0, -200.0], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 61, 3, 0], ""unused_pointer"": 2365236144}"
challenge-ep1/c88102-bb-j,3,135,"{""base_type"": 206, ""set_flags"": 2, ""runtime_index"": 437, ""file_offset"": 10640, ""floor_field"": 3, ""entity_id_field"": 16821, ""group"": 0, ""room"": 50, ""unknown_a3"": 0, ""position"": [0.02875518798828125, 0.0, 300.0000915527344], ""angles"": [0, 1, 0], ""params"": [1.0, 1.0, 1.0, 60, 3, 0], ""unused_pointer"": 2365300624}"
challenge-ep1/c88102-bb-j,5,112,"{""base_type"": 206, ""set_flags"": 2, ""runtime_index"": 384, ""file_offset"": 24204, ""floor_field"": 3, ""entity_id_field"": 16768, ""group"": 0, ""room"": 31, ""unknown_a3"": 0, ""position"": [0.0, 0.0, -200.000244140625], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 90, 3, 0], ""unused_pointer"": 2365284992}"
