quest,floor,index,full_DAT_fields
events-ep1/q070-bb-e,4,0,"{""base_type"": 207, ""set_flags"": 0, ""runtime_index"": 1959, ""file_offset"": 12696, ""floor_field"": 4, ""entity_id_field"": 18529, ""group"": 0, ""room"": 2, ""unknown_a3"": 0, ""position"": [0.0, 0.0, -45.0], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 20, 0, 0], ""unused_pointer"": 2365329600}"
events-ep1/q070-bb-e,4,14,"{""base_type"": 207, ""set_flags"": 0, ""runtime_index"": 1958, ""file_offset"": 13648, ""floor_field"": 4, ""entity_id_field"": 18525, ""group"": 0, ""room"": 6, ""unknown_a3"": 0, ""position"": [0.0, 0.0, -45.0], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 20, 0, 0], ""unused_pointer"": 2365336896}"
events-ep1/q070-bb-e,4,20,"{""base_type"": 207, ""set_flags"": 0, ""runtime_index"": 1957, ""file_offset"": 14056, ""floor_field"": 4, ""entity_id_field"": 18524, ""group"": 0, ""room"": 8, ""unknown_a3"": 0, ""position"": [0.0, 0.0, -44.0], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 20, 0, 0], ""unused_pointer"": 2365329136}"
events-ep1/q070-bb-j,4,0,"{""base_type"": 207, ""set_flags"": 0, ""runtime_index"": 1959, ""file_offset"": 12696, ""floor_field"": 4, ""entity_id_field"": 18529, ""group"": 0, ""room"": 2, ""unknown_a3"": 0, ""position"": [0.0, 0.0, -45.0], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 20, 0, 0], ""unused_pointer"": 2365329600}"
events-ep1/q070-bb-j,4,14,"{""base_type"": 207, ""set_flags"": 0, ""runtime_index"": 1958, ""file_offset"": 13648, ""floor_field"": 4, ""entity_id_field"": 18525, ""group"": 0, ""room"": 6, ""unknown_a3"": 0, ""position"": [0.0, 0.0, -45.0], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 20, 0, 0], ""unused_pointer"": 2365336896}"
events-ep1/q070-bb-j,4,20,"{""base_type"": 207, ""set_flags"": 0, ""runtime_index"": 1957, ""file_offset"": 14056, ""floor_field"": 4, ""entity_id_field"": 18524, ""group"": 0, ""room"": 8, ""unknown_a3"": 0, ""position"": [0.0, 0.0, -44.0], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 20, 0, 0], ""unused_pointer"": 2365329136}"
extermination-ep1/q117-bb-e,5,47,"{""base_type"": 207, ""set_flags"": 512, ""runtime_index"": 35584, ""file_offset"": 9500, ""floor_field"": 5, ""entity_id_field"": 35648, ""group"": 0, ""room"": 13, ""unknown_a3"": 0, ""position"": [-49.99853515625, 0.20000001788139343, 15.004791259765625], ""angles"": [0, 16385, 0], ""params"": [1.0, 1.0, 1.0, 194, 0, 0], ""unused_pointer"": 275440512}"
extermination-ep1/q117-bb-e,5,48,"{""base_type"": 207, ""set_flags"": 512, ""runtime_index"": 35840, ""file_offset"": 9568, ""floor_field"": 5, ""entity_id_field"": 35904, ""group"": 0, ""room"": 13, ""unknown_a3"": 0, ""position"": [-50.00146484375, 0.20000001788139343, -14.995208740234375], ""angles"": [0, 16385, 0], ""params"": [1.0, 1.0, 1.0, 194, 0, 0], ""unused_pointer"": 2154554240}"
extermination-ep1/q117-bb-e,6,0,"{""base_type"": 207, ""set_flags"": 512, ""runtime_index"": 3841, ""file_offset"": 18424, ""floor_field"": 6, ""entity_id_field"": 3905, ""group"": 0, ""room"": 1, ""unknown_a3"": 0, ""position"": [-4.547473508864641e-13, -0.10000038146972656, 40.00001525878906], ""angles"": [0, -32768, 0], ""params"": [1.0, 1.0, 1.0, 199, 0, 0], ""unused_pointer"": 818209408}"
extermination-ep1/q117-bb-e,6,25,"{""base_type"": 207, ""set_flags"": 512, ""runtime_index"": 10497, ""file_offset"": 20124, ""floor_field"": 6, ""entity_id_field"": 10561, ""group"": 0, ""room"": 5, ""unknown_a3"": 0, ""position"": [0.0, -0.10000000894069672, 40.0], ""angles"": [0, 32768, 0], ""params"": [1.0, 1.0, 1.0, 194, 0, 0], ""unused_pointer"": 1617093504}"
extermination-ep1/q117-bb-e,6,63,"{""base_type"": 207, ""set_flags"": 512, ""runtime_index"": 20225, ""file_offset"": 22708, ""floor_field"": 6, ""entity_id_field"": 20289, ""group"": 0, ""room"": 8, ""unknown_a3"": 0, ""position"": [20.0, -0.10000000894069672, 39.999996185302734], ""angles"": [0, -32768, 0], ""params"": [1.0, 1.0, 1.0, 198, 0, 0], ""unused_pointer"": 3229934464}"
extermination-ep1/q117-bb-e,6,64,"{""base_type"": 207, ""set_flags"": 512, ""runtime_index"": 20481, ""file_offset"": 22776, ""floor_field"": 6, ""entity_id_field"": 20545, ""group"": 0, ""room"": 8, ""unknown_a3"": 0, ""position"": [-20.0, -0.10000000894069672, 39.999996185302734], ""angles"": [0, -32768, 0], ""params"": [1.0, 1.0, 1.0, 198, 0, 0], ""unused_pointer"": 814146432}"
extermination-ep1/q117-bb-j,5,47,"{""base_type"": 207, ""set_flags"": 512, ""runtime_index"": 35584, ""file_offset"": 9500, ""floor_field"": 5, ""entity_id_field"": 35648, ""group"": 0, ""room"": 13, ""unknown_a3"": 0, ""position"": [-49.99853515625, 0.20000001788139343, 15.004791259765625], ""angles"": [0, 16385, 0], ""params"": [1.0, 1.0, 1.0, 194, 0, 0], ""unused_pointer"": 275440512}"
extermination-ep1/q117-bb-j,5,48,"{""base_type"": 207, ""set_flags"": 512, ""runtime_index"": 35840, ""file_offset"": 9568, ""floor_field"": 5, ""entity_id_field"": 35904, ""group"": 0, ""room"": 13, ""unknown_a3"": 0, ""position"": [-50.00146484375, 0.20000001788139343, -14.995208740234375], ""angles"": [0, 16385, 0], ""params"": [1.0, 1.0, 1.0, 194, 0, 0], ""unused_pointer"": 2154554240}"
extermination-ep1/q117-bb-j,6,0,"{""base_type"": 207, ""set_flags"": 512, ""runtime_index"": 3841, ""file_offset"": 18424, ""floor_field"": 6, ""entity_id_field"": 3905, ""group"": 0, ""room"": 1, ""unknown_a3"": 0, ""position"": [-4.547473508864641e-13, -0.10000038146972656, 40.00001525878906], ""angles"": [0, -32768, 0], ""params"": [1.0, 1.0, 1.0, 199, 0, 0], ""unused_pointer"": 818209408}"
extermination-ep1/q117-bb-j,6,25,"{""base_type"": 207, ""set_flags"": 512, ""runtime_index"": 10497, ""file_offset"": 20124, ""floor_field"": 6, ""entity_id_field"": 10561, ""group"": 0, ""room"": 5, ""unknown_a3"": 0, ""position"": [0.0, -0.10000000894069672, 40.0], ""angles"": [0, 32768, 0], ""params"": [1.0, 1.0, 1.0, 194, 0, 0], ""unused_pointer"": 1617093504}"
