quest,floor,index,full_DAT_fields
events-ep1/q399-bb-e,4,18,"{""base_type"": 214, ""set_flags"": 0, ""runtime_index"": 0, ""file_offset"": 6780, ""floor_field"": 0, ""entity_id_field"": 0, ""group"": 0, ""room"": 60, ""unknown_a3"": 0, ""position"": [74.93417358398438, 0.0, -139.406494140625], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 0}"
events-ep1/q399-bb-e,4,20,"{""base_type"": 214, ""set_flags"": 0, ""runtime_index"": 0, ""file_offset"": 6916, ""floor_field"": 0, ""entity_id_field"": 0, ""group"": 0, ""room"": 60, ""unknown_a3"": 0, ""position"": [-152.7808837890625, 0.0, -60.1956787109375], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 0}"
extermination-ep1/q117-bb-e,4,31,"{""base_type"": 214, ""set_flags"": 0, ""runtime_index"": 2051, ""file_offset"": 3908, ""floor_field"": 4, ""entity_id_field"": 18495, ""group"": 0, ""room"": 30, ""unknown_a3"": 0, ""position"": [180.0029296875, 0.0, -75.0020751953125], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365255968}"
extermination-ep1/q117-bb-e,4,36,"{""base_type"": 214, ""set_flags"": 0, ""runtime_index"": 2052, ""file_offset"": 4248, ""floor_field"": 4, ""entity_id_field"": 18500, ""group"": 0, ""room"": 30, ""unknown_a3"": 0, ""position"": [180.0029296875, 0.0, -35.0020751953125], ""angles"": [0, 28672, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365259264}"
extermination-ep1/q117-bb-e,4,46,"{""base_type"": 214, ""set_flags"": 0, ""runtime_index"": 2012, ""file_offset"": 4928, ""floor_field"": 4, ""entity_id_field"": 18405, ""group"": 0, ""room"": 35, ""unknown_a3"": 0, ""position"": [-175.0, 0.0, -70.0], ""angles"": [0, -32768, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365258128}"
extermination-ep1/q117-bb-e,4,47,"{""base_type"": 214, ""set_flags"": 0, ""runtime_index"": 1971, ""file_offset"": 4996, ""floor_field"": 4, ""entity_id_field"": 18406, ""group"": 0, ""room"": 35, ""unknown_a3"": 0, ""position"": [-160.0, 0.0, -40.0], ""angles"": [0, -8192, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365258384}"
extermination-ep1/q117-bb-j,4,31,"{""base_type"": 214, ""set_flags"": 0, ""runtime_index"": 2051, ""file_offset"": 3908, ""floor_field"": 4, ""entity_id_field"": 18495, ""group"": 0, ""room"": 30, ""unknown_a3"": 0, ""position"": [180.0029296875, 0.0, -75.0020751953125], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365255968}"
extermination-ep1/q117-bb-j,4,36,"{""base_type"": 214, ""set_flags"": 0, ""runtime_index"": 2052, ""file_offset"": 4248, ""floor_field"": 4, ""entity_id_field"": 18500, ""group"": 0, ""room"": 30, ""unknown_a3"": 0, ""position"": [180.0029296875, 0.0, -35.0020751953125], ""angles"": [0, 28672, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365259264}"
extermination-ep1/q117-bb-j,4,46,"{""base_type"": 214, ""set_flags"": 0, ""runtime_index"": 2012, ""file_offset"": 4928, ""floor_field"": 4, ""entity_id_field"": 18405, ""group"": 0, ""room"": 35, ""unknown_a3"": 0, ""position"": [-175.0, 0.0, -70.0], ""angles"": [0, -32768, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365258128}"
extermination-ep1/q117-bb-j,4,47,"{""base_type"": 214, ""set_flags"": 0, ""runtime_index"": 1971, ""file_offset"": 4996, ""floor_field"": 4, ""entity_id_field"": 18406, ""group"": 0, ""room"": 35, ""unknown_a3"": 0, ""position"": [-160.0, 0.0, -40.0], ""angles"": [0, -8192, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365258384}"
government-ep1/q405-bb-e,5,34,"{""base_type"": 214, ""set_flags"": 0, ""runtime_index"": 37383, ""file_offset"": 26380, ""floor_field"": 4, ""entity_id_field"": 12872, ""group"": 0, ""room"": 11, ""unknown_a3"": 0, ""position"": [0.0, 0.0, -150.0], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 550363776}"
government-ep1/q405-bb-e,5,44,"{""base_type"": 214, ""set_flags"": 0, ""runtime_index"": 36359, ""file_offset"": 27060, ""floor_field"": 4, ""entity_id_field"": 15688, ""group"": 0, ""room"": 11, ""unknown_a3"": 0, ""position"": [-15.010009765625, 0.0, -160.55999755859375], ""angles"": [0, 8192, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 3774079616}"
government-ep1/q405-bb-e,5,69,"{""base_type"": 214, ""set_flags"": 0, ""runtime_index"": 40455, ""file_offset"": 28760, ""floor_field"": 4, ""entity_id_field"": 56392, ""group"": 0, ""room"": 20, ""unknown_a3"": 0, ""position"": [-150.0, 0.0, 0.01442805677652359], ""angles"": [0, -16383, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 4037796480}"
government-ep1/q405-bb-e,5,72,"{""base_type"": 214, ""set_flags"": 0, ""runtime_index"": 41479, ""file_offset"": 28964, ""floor_field"": 4, ""entity_id_field"": 57416, ""group"": 0, ""room"": 20, ""unknown_a3"": 0, ""position"": [-166.522216796875, 0.0, -22.858539581298828], ""angles"": [0, -16383, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 1890640512}"
government-ep1/q405-bb-e,5,73,"{""base_type"": 214, ""set_flags"": 0, ""runtime_index"": 41735, ""file_offset"": 29032, ""floor_field"": 4, ""entity_id_field"": 57672, ""group"": 0, ""room"": 20, ""unknown_a3"": 0, ""position"": [-170.74789428710938, 0.0, 22.034910202026367], ""angles"": [0, -16383, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 3232883328}"
government-ep1/q405-bb-e,5,76,"{""base_type"": 214, ""set_flags"": 0, ""runtime_index"": 35847, ""file_offset"": 29236, ""floor_field"": 4, ""entity_id_field"": 45895, ""group"": 0, ""room"": 21, ""unknown_a3"": 0, ""position"": [0.0191650390625, 0.0, 200.0], ""angles"": [0, -16383, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 819323520}"
government-ep1/q405-bb-e,5,88,"{""base_type"": 214, ""set_flags"": 0, ""runtime_index"": 36103, ""file_offset"": 30052, ""floor_field"": 4, ""entity_id_field"": 48967, ""group"": 0, ""room"": 21, ""unknown_a3"": 0, ""position"": [-18.67364501953125, -5.981250286102295, 193.10011291503906], ""angles"": [0, -16383, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2148721536}"
government-ep1/q405-bb-e,5,89,"{""base_type"": 214, ""set_flags"": 0, ""runtime_index"": 36359, ""file_offset"": 30120, ""floor_field"": 4, ""entity_id_field"": 49223, ""group"": 0, ""room"": 21, ""unknown_a3"": 0, ""position"": [21.25274658203125, -5.981250286102295, 185.92153930664062], ""angles"": [0, -16383, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 1631104}"
government-ep1/q405-bb-j,5,34,"{""base_type"": 214, ""set_flags"": 0, ""runtime_index"": 37383, ""file_offset"": 26380, ""floor_field"": 4, ""entity_id_field"": 12872, ""group"": 0, ""room"": 11, ""unknown_a3"": 0, ""position"": [0.0, 0.0, -150.0], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 550363776}"
government-ep1/q405-bb-j,5,44,"{""base_type"": 214, ""set_flags"": 0, ""runtime_index"": 36359, ""file_offset"": 27060, ""floor_field"": 4, ""entity_id_field"": 15688, ""group"": 0, ""room"": 11, ""unknown_a3"": 0, ""position"": [-15.010009765625, 0.0, -160.55999755859375], ""angles"": [0, 8192, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 3774079616}"
government-ep1/q405-bb-j,5,69,"{""base_type"": 214, ""set_flags"": 0, ""runtime_index"": 40455, ""file_offset"": 28760, ""floor_field"": 4, ""entity_id_field"": 56392, ""group"": 0, ""room"": 20, ""unknown_a3"": 0, ""position"": [-150.0, 0.0, 0.01442805677652359], ""angles"": [0, -16383, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 4037796480}"
government-ep1/q405-bb-j,5,72,"{""base_type"": 214, ""set_flags"": 0, ""runtime_index"": 41479, ""file_offset"": 28964, ""floor_field"": 4, ""entity_id_field"": 57416, ""group"": 0, ""room"": 20, ""unknown_a3"": 0, ""position"": [-166.522216796875, 0.0, -22.858539581298828], ""angles"": [0, -16383, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 1890640512}"
government-ep1/q405-bb-j,5,73,"{""base_type"": 214, ""set_flags"": 0, ""runtime_index"": 41735, ""file_offset"": 29032, ""floor_field"": 4, ""entity_id_field"": 57672, ""group"": 0, ""room"": 20, ""unknown_a3"": 0, ""position"": [-170.74789428710938, 0.0, 22.034910202026367], ""angles"": [0, -16383, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 3232883328}"
government-ep1/q405-bb-j,5,76,"{""base_type"": 214, ""set_flags"": 0, ""runtime_index"": 35847, ""file_offset"": 29236, ""floor_field"": 4, ""entity_id_field"": 45895, ""group"": 0, ""room"": 21, ""unknown_a3"": 0, ""position"": [0.0191650390625, 0.0, 200.0], ""angles"": [0, -16383, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 819323520}"
