quest,floor,index,full_DAT_fields
challenge-ep1/c88104-bb-e,5,109,"{""base_type"": 218, ""set_flags"": 2, ""runtime_index"": 725, ""file_offset"": 8872, ""floor_field"": 5, ""entity_id_field"": 17109, ""group"": 0, ""room"": 41, ""unknown_a3"": 0, ""position"": [114.0, 0.0, 140.0], ""angles"": [0, 12288, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365231104}"
challenge-ep1/c88104-bb-e,5,113,"{""base_type"": 218, ""set_flags"": 2, ""runtime_index"": 729, ""file_offset"": 9144, ""floor_field"": 5, ""entity_id_field"": 17113, ""group"": 0, ""room"": 41, ""unknown_a3"": 0, ""position"": [113.0, 0.0, 120.0], ""angles"": [0, 8192, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365232224}"
challenge-ep1/c88104-bb-e,5,114,"{""base_type"": 218, ""set_flags"": 2, ""runtime_index"": 730, ""file_offset"": 9212, ""floor_field"": 5, ""entity_id_field"": 17114, ""group"": 0, ""room"": 41, ""unknown_a3"": 0, ""position"": [113.0, 0.0, 100.0], ""angles"": [0, 16384, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365232480}"
challenge-ep1/c88104-bb-e,5,115,"{""base_type"": 218, ""set_flags"": 2, ""runtime_index"": 731, ""file_offset"": 9280, ""floor_field"": 5, ""entity_id_field"": 17115, ""group"": 0, ""room"": 41, ""unknown_a3"": 0, ""position"": [113.0, 0.0, 80.0], ""angles"": [0, 12288, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365232736}"
challenge-ep1/c88104-bb-e,5,116,"{""base_type"": 218, ""set_flags"": 2, ""runtime_index"": 732, ""file_offset"": 9348, ""floor_field"": 5, ""entity_id_field"": 17116, ""group"": 0, ""room"": 41, ""unknown_a3"": 0, ""position"": [39.0, 0.0, 80.0], ""angles"": [0, 40960, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365232992}"
challenge-ep1/c88104-bb-e,5,117,"{""base_type"": 218, ""set_flags"": 2, ""runtime_index"": 733, ""file_offset"": 9416, ""floor_field"": 5, ""entity_id_field"": 17117, ""group"": 0, ""room"": 41, ""unknown_a3"": 0, ""position"": [39.0, 0.0, 100.0], ""angles"": [0, 45056, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365233248}"
challenge-ep1/c88104-bb-e,5,118,"{""base_type"": 218, ""set_flags"": 2, ""runtime_index"": 734, ""file_offset"": 9484, ""floor_field"": 5, ""entity_id_field"": 17118, ""group"": 0, ""room"": 41, ""unknown_a3"": 0, ""position"": [39.0, 0.0, 120.0], ""angles"": [0, 36864, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365233504}"
challenge-ep1/c88104-bb-e,5,119,"{""base_type"": 218, ""set_flags"": 2, ""runtime_index"": 735, ""file_offset"": 9552, ""floor_field"": 5, ""entity_id_field"": 17119, ""group"": 0, ""room"": 41, ""unknown_a3"": 0, ""position"": [39.0, 0.0, 140.0], ""angles"": [0, 40960, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365233760}"
challenge-ep1/c88104-bb-e,5,146,"{""base_type"": 218, ""set_flags"": 0, ""runtime_index"": 2056, ""file_offset"": 11388, ""floor_field"": 5, ""entity_id_field"": 19492, ""group"": 0, ""room"": 52, ""unknown_a3"": 0, ""position"": [-20.0, 0.0, 70.0], ""angles"": [0, -45056, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365302832}"
challenge-ep1/c88104-bb-e,5,147,"{""base_type"": 218, ""set_flags"": 0, ""runtime_index"": 2054, ""file_offset"": 11456, ""floor_field"": 5, ""entity_id_field"": 19489, ""group"": 0, ""room"": 52, ""unknown_a3"": 0, ""position"": [60.0, 0.0, -110.0], ""angles"": [0, -36864, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365162496}"
