quest,floor,index,full_DAT_fields
challenge-ep1/c88104-bb-e,6,30,"{""base_type"": 219, ""set_flags"": 0, ""runtime_index"": 1818, ""file_offset"": 16776, ""floor_field"": 5, ""entity_id_field"": 18372, ""group"": 0, ""room"": 40, ""unknown_a3"": 0, ""position"": [-11.740081787109375, 0.0, 29.5111083984375], ""angles"": [0, -24576, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365147024}"
challenge-ep1/c88104-bb-e,6,31,"{""base_type"": 219, ""set_flags"": 0, ""runtime_index"": 1819, ""file_offset"": 16844, ""floor_field"": 5, ""entity_id_field"": 18373, ""group"": 0, ""room"": 40, ""unknown_a3"": 0, ""position"": [-104.85775756835938, 0.0, -38.236419677734375], ""angles"": [0, -28672, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365147280}"
challenge-ep1/c88104-bb-e,6,32,"{""base_type"": 219, ""set_flags"": 0, ""runtime_index"": 1820, ""file_offset"": 16912, ""floor_field"": 5, ""entity_id_field"": 18374, ""group"": 0, ""room"": 40, ""unknown_a3"": 0, ""position"": [1.561004638671875, 0.0, 47.537841796875], ""angles"": [0, -28672, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365152528}"
challenge-ep1/c88104-bb-e,6,33,"{""base_type"": 219, ""set_flags"": 0, ""runtime_index"": 1821, ""file_offset"": 16980, ""floor_field"": 5, ""entity_id_field"": 18375, ""group"": 0, ""room"": 40, ""unknown_a3"": 0, ""position"": [-25.89306640625, 0.0, 15.742950439453125], ""angles"": [0, -49152, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365152784}"
challenge-ep1/c88104-bb-e,7,127,"{""base_type"": 219, ""set_flags"": 2, ""runtime_index"": 733, ""file_offset"": 27060, ""floor_field"": 5, ""entity_id_field"": 17117, ""group"": 0, ""room"": 51, ""unknown_a3"": 0, ""position"": [204.99998474121094, 0.0, -75.0], ""angles"": [0, -32768, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365279440}"
challenge-ep1/c88104-bb-j,6,30,"{""base_type"": 219, ""set_flags"": 0, ""runtime_index"": 1818, ""file_offset"": 16776, ""floor_field"": 5, ""entity_id_field"": 18372, ""group"": 0, ""room"": 40, ""unknown_a3"": 0, ""position"": [-11.740081787109375, 0.0, 29.5111083984375], ""angles"": [0, -24576, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365147024}"
challenge-ep1/c88104-bb-j,6,31,"{""base_type"": 219, ""set_flags"": 0, ""runtime_index"": 1819, ""file_offset"": 16844, ""floor_field"": 5, ""entity_id_field"": 18373, ""group"": 0, ""room"": 40, ""unknown_a3"": 0, ""position"": [-104.85775756835938, 0.0, -38.236419677734375], ""angles"": [0, -28672, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365147280}"
challenge-ep1/c88104-bb-j,6,32,"{""base_type"": 219, ""set_flags"": 0, ""runtime_index"": 1820, ""file_offset"": 16912, ""floor_field"": 5, ""entity_id_field"": 18374, ""group"": 0, ""room"": 40, ""unknown_a3"": 0, ""position"": [1.561004638671875, 0.0, 47.537841796875], ""angles"": [0, -28672, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365152528}"
challenge-ep1/c88104-bb-j,6,33,"{""base_type"": 219, ""set_flags"": 0, ""runtime_index"": 1821, ""file_offset"": 16980, ""floor_field"": 5, ""entity_id_field"": 18375, ""group"": 0, ""room"": 40, ""unknown_a3"": 0, ""position"": [-25.89306640625, 0.0, 15.742950439453125], ""angles"": [0, -49152, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365152784}"
challenge-ep1/c88104-bb-j,7,127,"{""base_type"": 219, ""set_flags"": 2, ""runtime_index"": 733, ""file_offset"": 27060, ""floor_field"": 5, ""entity_id_field"": 17117, ""group"": 0, ""room"": 51, ""unknown_a3"": 0, ""position"": [204.99998474121094, 0.0, -75.0], ""angles"": [0, -32768, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365279440}"
events-ep1/q073-bb-e,5,2,"{""base_type"": 219, ""set_flags"": 0, ""runtime_index"": 1985, ""file_offset"": 8208, ""floor_field"": 5, ""entity_id_field"": 18655, ""group"": 0, ""room"": 20, ""unknown_a3"": 0, ""position"": [30.01507568359375, 0.0, 198.00196838378906], ""angles"": [0, 20481, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365260416}"
events-ep1/q073-bb-e,5,7,"{""base_type"": 219, ""set_flags"": 0, ""runtime_index"": 1993, ""file_offset"": 8548, ""floor_field"": 5, ""entity_id_field"": 18713, ""group"": 0, ""room"": 20, ""unknown_a3"": 0, ""position"": [1.52587890625e-05, 2.500041961669922, 9.5367431640625e-07], ""angles"": [0, -16383, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365259824}"
