quest,floor,index,full_DAT_fields
challenge-ep1/c88104-bb-e,6,26,"{""base_type"": 220, ""set_flags"": 0, ""runtime_index"": 1861, ""file_offset"": 16504, ""floor_field"": 5, ""entity_id_field"": 18368, ""group"": 0, ""room"": 40, ""unknown_a3"": 0, ""position"": [-23.96734619140625, 0.0, 43.99554443359375], ""angles"": [0, -65536, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365139728}"
challenge-ep1/c88104-bb-e,6,29,"{""base_type"": 220, ""set_flags"": 0, ""runtime_index"": 1859, ""file_offset"": 16708, ""floor_field"": 5, ""entity_id_field"": 18371, ""group"": 0, ""room"": 40, ""unknown_a3"": 0, ""position"": [-100.88250732421875, 0.0, -5.914886474609375], ""angles"": [0, -65536, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365146768}"
challenge-ep1/c88104-bb-e,7,98,"{""base_type"": 220, ""set_flags"": 0, ""runtime_index"": 1934, ""file_offset"": 25088, ""floor_field"": 5, ""entity_id_field"": 19587, ""group"": 0, ""room"": 40, ""unknown_a3"": 0, ""position"": [0.0, 0.0, 0.0], ""angles"": [0, -32768, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365291184}"
challenge-ep1/c88104-bb-e,7,99,"{""base_type"": 220, ""set_flags"": 0, ""runtime_index"": 1935, ""file_offset"": 25156, ""floor_field"": 5, ""entity_id_field"": 19588, ""group"": 0, ""room"": 40, ""unknown_a3"": 0, ""position"": [40.0, 0.0, 0.0], ""angles"": [0, -20480, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365266256}"
challenge-ep1/c88104-bb-e,7,100,"{""base_type"": 220, ""set_flags"": 0, ""runtime_index"": 1936, ""file_offset"": 25224, ""floor_field"": 5, ""entity_id_field"": 19589, ""group"": 0, ""room"": 40, ""unknown_a3"": 0, ""position"": [-30.00000762939453, 0.0, 0.0], ""angles"": [0, -12288, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365293680}"
challenge-ep1/c88104-bb-j,6,26,"{""base_type"": 220, ""set_flags"": 0, ""runtime_index"": 1861, ""file_offset"": 16504, ""floor_field"": 5, ""entity_id_field"": 18368, ""group"": 0, ""room"": 40, ""unknown_a3"": 0, ""position"": [-23.96734619140625, 0.0, 43.99554443359375], ""angles"": [0, -65536, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365139728}"
challenge-ep1/c88104-bb-j,6,29,"{""base_type"": 220, ""set_flags"": 0, ""runtime_index"": 1859, ""file_offset"": 16708, ""floor_field"": 5, ""entity_id_field"": 18371, ""group"": 0, ""room"": 40, ""unknown_a3"": 0, ""position"": [-100.88250732421875, 0.0, -5.914886474609375], ""angles"": [0, -65536, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365146768}"
challenge-ep1/c88104-bb-j,7,98,"{""base_type"": 220, ""set_flags"": 0, ""runtime_index"": 1934, ""file_offset"": 25088, ""floor_field"": 5, ""entity_id_field"": 19587, ""group"": 0, ""room"": 40, ""unknown_a3"": 0, ""position"": [0.0, 0.0, 0.0], ""angles"": [0, -32768, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365291184}"
challenge-ep1/c88104-bb-j,7,99,"{""base_type"": 220, ""set_flags"": 0, ""runtime_index"": 1935, ""file_offset"": 25156, ""floor_field"": 5, ""entity_id_field"": 19588, ""group"": 0, ""room"": 40, ""unknown_a3"": 0, ""position"": [40.0, 0.0, 0.0], ""angles"": [0, -20480, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365266256}"
challenge-ep1/c88104-bb-j,7,100,"{""base_type"": 220, ""set_flags"": 0, ""runtime_index"": 1936, ""file_offset"": 25224, ""floor_field"": 5, ""entity_id_field"": 19589, ""group"": 0, ""room"": 40, ""unknown_a3"": 0, ""position"": [-30.00000762939453, 0.0, 0.0], ""angles"": [0, -12288, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365293680}"
events-ep1/q073-bb-e,5,3,"{""base_type"": 220, ""set_flags"": 0, ""runtime_index"": 1984, ""file_offset"": 8276, ""floor_field"": 5, ""entity_id_field"": 18652, ""group"": 0, ""room"": 20, ""unknown_a3"": 0, ""position"": [-29.97625732421875, 1.0, 245.00408935546875], ""angles"": [0, -16383, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365269472}"
