quest,floor,index,full_DAT_fields
battle/b88002-bb-e,17,36,"{""base_type"": 222, ""set_flags"": 0, ""runtime_index"": 1977, ""file_offset"": 2464, ""floor_field"": 17, ""entity_id_field"": 18488, ""group"": 0, ""room"": 30, ""unknown_a3"": 0, ""position"": [0.0, 45.000022888183594, -110.0], ""angles"": [16384, 0, 0], ""params"": [0.5000001192092896, 1.000000238418579, 0.5000001192092896, 100, 0, 1], ""unused_pointer"": 2365160480}"
battle/b88002-bb-j,17,36,"{""base_type"": 222, ""set_flags"": 0, ""runtime_index"": 1977, ""file_offset"": 2464, ""floor_field"": 17, ""entity_id_field"": 18488, ""group"": 0, ""room"": 30, ""unknown_a3"": 0, ""position"": [0.0, 45.000022888183594, -110.0], ""angles"": [16384, 0, 0], ""params"": [0.5000001192092896, 1.000000238418579, 0.5000001192092896, 100, 0, 1], ""unused_pointer"": 2365160480}"
battle/b88004-bb-e,17,28,"{""base_type"": 222, ""set_flags"": 0, ""runtime_index"": 1962, ""file_offset"": 1920, ""floor_field"": 17, ""entity_id_field"": 18711, ""group"": 0, ""room"": 20, ""unknown_a3"": 0, ""position"": [0.0, 25.0, 0.0], ""angles"": [0, 4096, 0], ""params"": [1.100000023841858, 1.0, 1.100000023841858, 20, 1, 65537], ""unused_pointer"": 2365263392}"
battle/b88004-bb-e,17,89,"{""base_type"": 222, ""set_flags"": 0, ""runtime_index"": 1978, ""file_offset"": 6068, ""floor_field"": 17, ""entity_id_field"": 18770, ""group"": 0, ""room"": 41, ""unknown_a3"": 0, ""position"": [0.0, 0.0, -150.0], ""angles"": [0, 4096, 0], ""params"": [1.100000023841858, 1.0, 1.100000023841858, 13, 1, 65537], ""unused_pointer"": 2365309184}"
battle/b88004-bb-e,17,97,"{""base_type"": 222, ""set_flags"": 0, ""runtime_index"": 1821, ""file_offset"": 6612, ""floor_field"": 17, ""entity_id_field"": 18779, ""group"": 0, ""room"": 41, ""unknown_a3"": 0, ""position"": [40.00001907348633, 0.0, 120.0], ""angles"": [0, 4096, 0], ""params"": [1.100000023841858, 1.0, 1.100000023841858, 7, 1, 65537], ""unused_pointer"": 2365314272}"
battle/b88004-bb-e,17,132,"{""base_type"": 222, ""set_flags"": 0, ""runtime_index"": 2009, ""file_offset"": 8992, ""floor_field"": 17, ""entity_id_field"": 18814, ""group"": 0, ""room"": 61, ""unknown_a3"": 0, ""position"": [210.0, 0.0, -130.0], ""angles"": [0, -28672, 0], ""params"": [0.6999999284744263, 1.0, 0.6999999284744263, 9, 1, 65537], ""unused_pointer"": 2365339088}"
battle/b88004-bb-j,17,28,"{""base_type"": 222, ""set_flags"": 0, ""runtime_index"": 1962, ""file_offset"": 1920, ""floor_field"": 17, ""entity_id_field"": 18711, ""group"": 0, ""room"": 20, ""unknown_a3"": 0, ""position"": [0.0, 25.0, 0.0], ""angles"": [0, 4096, 0], ""params"": [1.100000023841858, 1.0, 1.100000023841858, 20, 1, 65537], ""unused_pointer"": 2365263392}"
battle/b88004-bb-j,17,89,"{""base_type"": 222, ""set_flags"": 0, ""runtime_index"": 1978, ""file_offset"": 6068, ""floor_field"": 17, ""entity_id_field"": 18770, ""group"": 0, ""room"": 41, ""unknown_a3"": 0, ""position"": [0.0, 0.0, -150.0], ""angles"": [0, 4096, 0], ""params"": [1.100000023841858, 1.0, 1.100000023841858, 13, 1, 65537], ""unused_pointer"": 2365309184}"
battle/b88004-bb-j,17,97,"{""base_type"": 222, ""set_flags"": 0, ""runtime_index"": 1821, ""file_offset"": 6612, ""floor_field"": 17, ""entity_id_field"": 18779, ""group"": 0, ""room"": 41, ""unknown_a3"": 0, ""position"": [40.00001907348633, 0.0, 120.0], ""angles"": [0, 4096, 0], ""params"": [1.100000023841858, 1.0, 1.100000023841858, 7, 1, 65537], ""unused_pointer"": 2365314272}"
battle/b88004-bb-j,17,132,"{""base_type"": 222, ""set_flags"": 0, ""runtime_index"": 2009, ""file_offset"": 8992, ""floor_field"": 17, ""entity_id_field"": 18814, ""group"": 0, ""room"": 61, ""unknown_a3"": 0, ""position"": [210.0, 0.0, -130.0], ""angles"": [0, -28672, 0], ""params"": [0.6999999284744263, 1.0, 0.6999999284744263, 9, 1, 65537], ""unused_pointer"": 2365339088}"
battle/b88007-bb-e,16,7,"{""base_type"": 222, ""set_flags"": 0, ""runtime_index"": 2217, ""file_offset"": 492, ""floor_field"": 16, ""entity_id_field"": 18288, ""group"": 6, ""room"": 10, ""unknown_a3"": 0, ""position"": [-79.00003814697266, 12.0, 25.0], ""angles"": [10496, 16384, 0], ""params"": [0.44999992847442627, 1.0, 0.44999992847442627, 104, 0, 65538], ""unused_pointer"": 2365243728}"
battle/b88007-bb-e,16,8,"{""base_type"": 222, ""set_flags"": 0, ""runtime_index"": 2221, ""file_offset"": 560, ""floor_field"": 16, ""entity_id_field"": 18289, ""group"": 6, ""room"": 10, ""unknown_a3"": 0, ""position"": [-79.00003814697266, 12.0, -25.0], ""angles"": [10496, 16384, 0], ""params"": [0.44999992847442627, 1.0, 0.44999992847442627, 103, 0, 65537], ""unused_pointer"": 2365243952}"
battle/b88007-bb-e,16,13,"{""base_type"": 222, ""set_flags"": 0, ""runtime_index"": 1447, ""file_offset"": 900, ""floor_field"": 16, ""entity_id_field"": 18338, ""group"": 7, ""room"": 10, ""unknown_a3"": 0, ""position"": [-79.00003814697266, 12.0, -25.0], ""angles"": [10496, 16384, 0], ""params"": [0.44999992847442627, 1.0, 0.44999992847442627, 104, 0, 65538], ""unused_pointer"": 2365243536}"
battle/b88007-bb-e,16,14,"{""base_type"": 222, ""set_flags"": 0, ""runtime_index"": 1445, ""file_offset"": 968, ""floor_field"": 16, ""entity_id_field"": 18339, ""group"": 7, ""room"": 10, ""unknown_a3"": 0, ""position"": [-79.00003814697266, 12.0, 25.0], ""angles"": [10496, 16384, 0], ""params"": [0.44999992847442627, 1.0, 0.44999992847442627, 103, 0, 65537], ""unused_pointer"": 2365244160}"
battle/b88007-bb-e,16,24,"{""base_type"": 222, ""set_flags"": 0, ""runtime_index"": 2233, ""file_offset"": 1648, ""floor_field"": 16, ""entity_id_field"": 18567, ""group"": 0, ""room"": 10, ""unknown_a3"": 0, ""position"": [0.0, -10.000003814697266, 0.0], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 105, 0, 65537], ""unused_pointer"": 2365244464}"
battle/b88007-bb-e,16,25,"{""base_type"": 222, ""set_flags"": 0, ""runtime_index"": 2234, ""file_offset"": 1716, ""floor_field"": 16, ""entity_id_field"": 18568, ""group"": 0, ""room"": 10, ""unknown_a3"": 0, ""position"": [0.0, -20.00000762939453, 0.0], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 106, 0, 65538], ""unused_pointer"": 2365244688}"
battle/b88007-bb-e,16,29,"{""base_type"": 222, ""set_flags"": 0, ""runtime_index"": 1976, ""file_offset"": 1988, ""floor_field"": 16, ""entity_id_field"": 18654, ""group"": 10, ""room"": 20, ""unknown_a3"": 0, ""position"": [79.0, 10.000003814697266, -25.0], ""angles"": [11008, 49152, 0], ""params"": [0.44999992847442627, 1.0, 0.44999992847442627, 26, 0, 1], ""unused_pointer"": 2365255184}"
battle/b88007-bb-e,16,30,"{""base_type"": 222, ""set_flags"": 0, ""runtime_index"": 1977, ""file_offset"": 2056, ""floor_field"": 16, ""entity_id_field"": 18655, ""group"": 10, ""room"": 20, ""unknown_a3"": 0, ""position"": [79.0, 10.000003814697266, 25.0], ""angles"": [11008, 49152, 0], ""params"": [0.44999992847442627, 1.0, 0.44999992847442627, 108, 0, 2], ""unused_pointer"": 2365255408}"
battle/b88007-bb-e,16,33,"{""base_type"": 222, ""set_flags"": 0, ""runtime_index"": 1987, ""file_offset"": 2260, ""floor_field"": 16, ""entity_id_field"": 18701, ""group"": 11, ""room"": 20, ""unknown_a3"": 0, ""position"": [79.0, 10.000003814697266, 25.0], ""angles"": [11008, 49152, 0], ""params"": [0.44999992847442627, 1.0, 0.44999992847442627, 26, 0, 1], ""unused_pointer"": 2365255632}"
battle/b88007-bb-e,16,34,"{""base_type"": 222, ""set_flags"": 0, ""runtime_index"": 1985, ""file_offset"": 2328, ""floor_field"": 16, ""entity_id_field"": 18697, ""group"": 11, ""room"": 20, ""unknown_a3"": 0, ""position"": [79.0, 10.000003814697266, -25.0], ""angles"": [11008, 49152, 0], ""params"": [0.44999992847442627, 1.0, 0.44999992847442627, 108, 0, 2], ""unused_pointer"": 2365255408}"
battle/b88007-bb-e,16,62,"{""base_type"": 222, ""set_flags"": 0, ""runtime_index"": 2091, ""file_offset"": 4232, ""floor_field"": 16, ""entity_id_field"": 18392, ""group"": 0, ""room"": 31, ""unknown_a3"": 0, ""position"": [0.0, -10.000004768371582, 0.0], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 100, 0, 65537], ""unused_pointer"": 2365268416}"
battle/b88007-bb-e,16,80,"{""base_type"": 222, ""set_flags"": 0, ""runtime_index"": 1973, ""file_offset"": 5456, ""floor_field"": 16, ""entity_id_field"": 18601, ""group"": 8, ""room"": 40, ""unknown_a3"": 0, ""position"": [-20.0, 0.0, 70.0], ""angles"": [0, 4096, 0], ""params"": [1.0, 1.0, 1.0, 107, 0, 65538], ""unused_pointer"": 2365282080}"
battle/b88007-bb-e,16,83,"{""base_type"": 222, ""set_flags"": 0, ""runtime_index"": 1968, ""file_offset"": 5660, ""floor_field"": 16, ""entity_id_field"": 18579, ""group"": 9, ""room"": 40, ""unknown_a3"": 0, ""position"": [-20.0, 0.0, 170.0], ""angles"": [0, 4096, 0], ""params"": [1.0, 1.0, 1.0, 107, 0, 65538], ""unused_pointer"": 2365282080}"
battle/b88007-bb-e,16,166,"{""base_type"": 222, ""set_flags"": 0, ""runtime_index"": 2147, ""file_offset"": 11304, ""floor_field"": 16, ""entity_id_field"": 18503, ""group"": 0, ""room"": 53, ""unknown_a3"": 0, ""position"": [78.0, 10.000003814697266, -145.0], ""angles"": [11008, 49152, 0], ""params"": [0.44999992847442627, 1.0, 0.44999992847442627, 102, 0, 1], ""unused_pointer"": 2365332032}"
battle/b88007-bb-e,16,168,"{""base_type"": 222, ""set_flags"": 0, ""runtime_index"": 2149, ""file_offset"": 11440, ""floor_field"": 16, ""entity_id_field"": 18505, ""group"": 0, ""room"": 53, ""unknown_a3"": 0, ""position"": [135.00250244140625, -5.0, -120.00271606445312], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 101, 0, 65537], ""unused_pointer"": 2365333152}"
battle/b88007-bb-j,16,7,"{""base_type"": 222, ""set_flags"": 0, ""runtime_index"": 2217, ""file_offset"": 492, ""floor_field"": 16, ""entity_id_field"": 18288, ""group"": 6, ""room"": 10, ""unknown_a3"": 0, ""position"": [-79.00003814697266, 12.0, 25.0], ""angles"": [10496, 16384, 0], ""params"": [0.44999992847442627, 1.0, 0.44999992847442627, 104, 0, 65538], ""unused_pointer"": 2365243728}"
battle/b88007-bb-j,16,8,"{""base_type"": 222, ""set_flags"": 0, ""runtime_index"": 2221, ""file_offset"": 560, ""floor_field"": 16, ""entity_id_field"": 18289, ""group"": 6, ""room"": 10, ""unknown_a3"": 0, ""position"": [-79.00003814697266, 12.0, -25.0], ""angles"": [10496, 16384, 0], ""params"": [0.44999992847442627, 1.0, 0.44999992847442627, 103, 0, 65537], ""unused_pointer"": 2365243952}"
battle/b88007-bb-j,16,13,"{""base_type"": 222, ""set_flags"": 0, ""runtime_index"": 1447, ""file_offset"": 900, ""floor_field"": 16, ""entity_id_field"": 18338, ""group"": 7, ""room"": 10, ""unknown_a3"": 0, ""position"": [-79.00003814697266, 12.0, -25.0], ""angles"": [10496, 16384, 0], ""params"": [0.44999992847442627, 1.0, 0.44999992847442627, 104, 0, 65538], ""unused_pointer"": 2365243536}"
battle/b88007-bb-j,16,14,"{""base_type"": 222, ""set_flags"": 0, ""runtime_index"": 1445, ""file_offset"": 968, ""floor_field"": 16, ""entity_id_field"": 18339, ""group"": 7, ""room"": 10, ""unknown_a3"": 0, ""position"": [-79.00003814697266, 12.0, 25.0], ""angles"": [10496, 16384, 0], ""params"": [0.44999992847442627, 1.0, 0.44999992847442627, 103, 0, 65537], ""unused_pointer"": 2365244160}"
battle/b88007-bb-j,16,24,"{""base_type"": 222, ""set_flags"": 0, ""runtime_index"": 2233, ""file_offset"": 1648, ""floor_field"": 16, ""entity_id_field"": 18567, ""group"": 0, ""room"": 10, ""unknown_a3"": 0, ""position"": [0.0, -10.000003814697266, 0.0], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 105, 0, 65537], ""unused_pointer"": 2365244464}"
battle/b88007-bb-j,16,25,"{""base_type"": 222, ""set_flags"": 0, ""runtime_index"": 2234, ""file_offset"": 1716, ""floor_field"": 16, ""entity_id_field"": 18568, ""group"": 0, ""room"": 10, ""unknown_a3"": 0, ""position"": [0.0, -20.00000762939453, 0.0], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 106, 0, 65538], ""unused_pointer"": 2365244688}"
battle/b88007-bb-j,16,29,"{""base_type"": 222, ""set_flags"": 0, ""runtime_index"": 1976, ""file_offset"": 1988, ""floor_field"": 16, ""entity_id_field"": 18654, ""group"": 10, ""room"": 20, ""unknown_a3"": 0, ""position"": [79.0, 10.000003814697266, -25.0], ""angles"": [11008, 49152, 0], ""params"": [0.44999992847442627, 1.0, 0.44999992847442627, 26, 0, 1], ""unused_pointer"": 2365255184}"
