quest,floor,index,full_DAT_fields
challenge-ep1/c88102-bb-e,3,33,"{""base_type"": 223, ""set_flags"": 8, ""runtime_index"": 308, ""file_offset"": 3704, ""floor_field"": 3, ""entity_id_field"": 16692, ""group"": 0, ""room"": 6, ""unknown_a3"": 0, ""position"": [0.31708598136901855, 0.0, 43.04515838623047], ""angles"": [0, 12288, 0], ""params"": [1.0, 1.0, 1.0, 81, 0, 0], ""unused_pointer"": 2365223440}"
challenge-ep1/c88102-bb-e,3,41,"{""base_type"": 223, ""set_flags"": 0, ""runtime_index"": 2028, ""file_offset"": 4248, ""floor_field"": 3, ""entity_id_field"": 18465, ""group"": 0, ""room"": 7, ""unknown_a3"": 0, ""position"": [-10.003829956054688, 0.0, -39.998992919921875], ""angles"": [16384, -16383, 0], ""params"": [3.0000007152557373, 12.000000953674316, 3.0000007152557373, 84, 0, 0], ""unused_pointer"": 2365237472}"
challenge-ep1/c88102-bb-e,3,42,"{""base_type"": 223, ""set_flags"": 0, ""runtime_index"": 2027, ""file_offset"": 4316, ""floor_field"": 3, ""entity_id_field"": 18466, ""group"": 0, ""room"": 7, ""unknown_a3"": 0, ""position"": [9.996170043945312, 0.0, -40.00091552734375], ""angles"": [16384, -8191, 0], ""params"": [3.0000007152557373, 12.000000953674316, 3.0000007152557373, 84, 0, 0], ""unused_pointer"": 2365237792}"
challenge-ep1/c88102-bb-e,3,106,"{""base_type"": 223, ""set_flags"": 2, ""runtime_index"": 395, ""file_offset"": 8668, ""floor_field"": 3, ""entity_id_field"": 18629, ""group"": 0, ""room"": 31, ""unknown_a3"": 0, ""position"": [103.53955078125, 0.0, 46.190765380859375], ""angles"": [0, 90112, 0], ""params"": [1.0, 1.0, 1.0, 83, 0, 0], ""unused_pointer"": 2365240560}"
challenge-ep1/c88102-bb-e,3,119,"{""base_type"": 223, ""set_flags"": 0, ""runtime_index"": 1959, ""file_offset"": 9552, ""floor_field"": 3, ""entity_id_field"": 18775, ""group"": 0, ""room"": 32, ""unknown_a3"": 0, ""position"": [-13.460017204284668, 0.0, -191.25106811523438], ""angles"": [0, 20480, 0], ""params"": [1.0, 1.0, 1.0, 80, 0, 0], ""unused_pointer"": 2365304096}"
challenge-ep1/c88102-bb-e,3,120,"{""base_type"": 223, ""set_flags"": 0, ""runtime_index"": 1960, ""file_offset"": 9620, ""floor_field"": 3, ""entity_id_field"": 18776, ""group"": 0, ""room"": 32, ""unknown_a3"": 0, ""position"": [9.261428833007812, 0.0, -187.81707763671875], ""angles"": [0, 12288, 0], ""params"": [1.0, 1.0, 1.0, 80, 0, 0], ""unused_pointer"": 2365304416}"
challenge-ep1/c88102-bb-e,4,15,"{""base_type"": 223, ""set_flags"": 0, ""runtime_index"": 1922, ""file_offset"": 12424, ""floor_field"": 3, ""entity_id_field"": 18682, ""group"": 0, ""room"": 5, ""unknown_a3"": 0, ""position"": [-0.006712436676025391, 0.0, -70.00001525878906], ""angles"": [0, 8193, 0], ""params"": [1.0, 1.0, 1.0, 60, 0, 0], ""unused_pointer"": 2365180224}"
challenge-ep1/c88102-bb-e,5,97,"{""base_type"": 223, ""set_flags"": 0, ""runtime_index"": 2006, ""file_offset"": 23184, ""floor_field"": 3, ""entity_id_field"": 18606, ""group"": 0, ""room"": 20, ""unknown_a3"": 0, ""position"": [-2.5859375, 0.10000038146972656, -93.12265014648438], ""angles"": [0, 45056, 0], ""params"": [1.0, 1.0, 1.0, 252, 0, 0], ""unused_pointer"": 2365210048}"
challenge-ep1/c88102-bb-e,5,130,"{""base_type"": 223, ""set_flags"": 0, ""runtime_index"": 2011, ""file_offset"": 25428, ""floor_field"": 3, ""entity_id_field"": 18635, ""group"": 0, ""room"": 32, ""unknown_a3"": 0, ""position"": [138.3270263671875, 3.9621376991271973, -144.36119079589844], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 110, 0, 0], ""unused_pointer"": 2365260768}"
challenge-ep1/c88102-bb-e,5,131,"{""base_type"": 223, ""set_flags"": 0, ""runtime_index"": 2012, ""file_offset"": 25496, ""floor_field"": 3, ""entity_id_field"": 18636, ""group"": 0, ""room"": 32, ""unknown_a3"": 0, ""position"": [154.4224853515625, 3.9621376991271973, 152.90350341796875], ""angles"": [0, 20480, 0], ""params"": [1.0, 1.0, 1.0, 111, 0, 0], ""unused_pointer"": 2365261024}"
challenge-ep1/c88102-bb-e,5,132,"{""base_type"": 223, ""set_flags"": 0, ""runtime_index"": 2014, ""file_offset"": 25564, ""floor_field"": 3, ""entity_id_field"": 18637, ""group"": 0, ""room"": 32, ""unknown_a3"": 0, ""position"": [-152.37255859375, 3.9621376991271973, 147.8341064453125], ""angles"": [0, 65536, 0], ""params"": [1.0, 1.0, 1.0, 112, 0, 0], ""unused_pointer"": 2365261280}"
challenge-ep1/c88102-bb-e,5,133,"{""base_type"": 223, ""set_flags"": 0, ""runtime_index"": 2017, ""file_offset"": 25632, ""floor_field"": 3, ""entity_id_field"": 18638, ""group"": 0, ""room"": 32, ""unknown_a3"": 0, ""position"": [-144.2247314453125, 3.9621376991271973, -144.4109649658203], ""angles"": [0, 49152, 0], ""params"": [1.0, 1.0, 1.0, 113, 0, 0], ""unused_pointer"": 2365261536}"
challenge-ep1/c88102-bb-e,6,65,"{""base_type"": 223, ""set_flags"": 0, ""runtime_index"": 1943, ""file_offset"": 31292, ""floor_field"": 3, ""entity_id_field"": 18842, ""group"": 0, ""room"": 11, ""unknown_a3"": 0, ""position"": [182.3184814453125, 0.0, 0.099365234375], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 92, 0, 0], ""unused_pointer"": 2365167904}"
challenge-ep1/c88102-bb-e,6,68,"{""base_type"": 223, ""set_flags"": 0, ""runtime_index"": 1946, ""file_offset"": 31496, ""floor_field"": 3, ""entity_id_field"": 18853, ""group"": 0, ""room"": 11, ""unknown_a3"": 0, ""position"": [2.759002685546875, 0.0, -178.4666748046875], ""angles"": [0, -8192, 0], ""params"": [1.0, 1.0, 1.0, 93, 0, 0], ""unused_pointer"": 2365168160}"
challenge-ep1/c88102-bb-e,6,78,"{""base_type"": 223, ""set_flags"": 8, ""runtime_index"": 1878, ""file_offset"": 32176, ""floor_field"": 3, ""entity_id_field"": 18370, ""group"": 0, ""room"": 12, ""unknown_a3"": 0, ""position"": [38.87788391113281, 0.0, -110.52398681640625], ""angles"": [0, 24576, 0], ""params"": [1.0, 1.0, 1.0, 90, 0, 0], ""unused_pointer"": 2365225104}"
challenge-ep1/c88102-bb-e,6,90,"{""base_type"": 223, ""set_flags"": 8, ""runtime_index"": 1879, ""file_offset"": 32992, ""floor_field"": 3, ""entity_id_field"": 18382, ""group"": 0, ""room"": 12, ""unknown_a3"": 0, ""position"": [38.5660400390625, 0.0, -85.4404296875], ""angles"": [0, 32768, 0], ""params"": [1.0, 1.0, 1.0, 90, 0, 0], ""unused_pointer"": 2365228928}"
challenge-ep1/c88102-bb-e,6,92,"{""base_type"": 223, ""set_flags"": 0, ""runtime_index"": 1882, ""file_offset"": 33128, ""floor_field"": 3, ""entity_id_field"": 18384, ""group"": 0, ""room"": 12, ""unknown_a3"": 0, ""position"": [40.940948486328125, 0.0, 90.773193359375], ""angles"": [0, 32768, 0], ""params"": [1.0, 1.0, 1.0, 91, 0, 0], ""unused_pointer"": 2365229504}"
challenge-ep1/c88102-bb-e,6,93,"{""base_type"": 223, ""set_flags"": 0, ""runtime_index"": 1883, ""file_offset"": 33196, ""floor_field"": 3, ""entity_id_field"": 18385, ""group"": 0, ""room"": 12, ""unknown_a3"": 0, ""position"": [48.25007629394531, 0.0, 115.5303955078125], ""angles"": [0, 61440, 0], ""params"": [1.0, 1.0, 1.0, 91, 0, 0], ""unused_pointer"": 2365229760}"
challenge-ep1/c88102-bb-e,7,52,"{""base_type"": 223, ""set_flags"": 0, ""runtime_index"": 2125, ""file_offset"": 37700, ""floor_field"": 3, ""entity_id_field"": 21009, ""group"": 0, ""room"": 5, ""unknown_a3"": 0, ""position"": [11.7564697265625, 0.9999980926513672, -74.7734375], ""angles"": [0, -49152, 0], ""params"": [1.0, 1.0, 1.0, 161, 0, 0], ""unused_pointer"": 2365147088}"
challenge-ep1/c88102-bb-e,7,53,"{""base_type"": 223, ""set_flags"": 0, ""runtime_index"": 2126, ""file_offset"": 37768, ""floor_field"": 3, ""entity_id_field"": 21011, ""group"": 0, ""room"": 5, ""unknown_a3"": 0, ""position"": [-9.6697998046875, 0.9999980926513672, -72.732421875], ""angles"": [0, -57344, 0], ""params"": [1.0, 1.0, 1.0, 161, 0, 0], ""unused_pointer"": 2365143680}"
challenge-ep1/c88102-bb-e,7,65,"{""base_type"": 223, ""set_flags"": 0, ""runtime_index"": 2003, ""file_offset"": 38584, ""floor_field"": 3, ""entity_id_field"": 18513, ""group"": 0, ""room"": 8, ""unknown_a3"": 0, ""position"": [11.7564697265625, 0.9999980926513672, -74.77349853515625], ""angles"": [0, -49152, 0], ""params"": [1.0, 1.0, 1.0, 121, 0, 0], ""unused_pointer"": 2365179136}"
challenge-ep1/c88102-bb-e,7,66,"{""base_type"": 223, ""set_flags"": 0, ""runtime_index"": 2002, ""file_offset"": 38652, ""floor_field"": 3, ""entity_id_field"": 18514, ""group"": 0, ""room"": 8, ""unknown_a3"": 0, ""position"": [-9.6697998046875, 0.9999980926513672, -72.7325439453125], ""angles"": [0, -57344, 0], ""params"": [1.0, 1.0, 1.0, 121, 0, 0], ""unused_pointer"": 2365179392}"
challenge-ep1/c88102-bb-e,7,103,"{""base_type"": 223, ""set_flags"": 2, ""runtime_index"": 385, ""file_offset"": 41168, ""floor_field"": 3, ""entity_id_field"": 16769, ""group"": 0, ""room"": 12, ""unknown_a3"": 0, ""position"": [61.37928009033203, 0.009999999776482582, 9.6337890625], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 122, 0, 0], ""unused_pointer"": 2365255664}"
challenge-ep1/c88102-bb-e,7,104,"{""base_type"": 223, ""set_flags"": 2, ""runtime_index"": 386, ""file_offset"": 41236, ""floor_field"": 3, ""entity_id_field"": 16770, ""group"": 0, ""room"": 12, ""unknown_a3"": 0, ""position"": [57.294517517089844, 0.009999999776482582, -16.7645263671875], ""angles"": [0, 4096, 0], ""params"": [1.0, 1.0, 1.0, 122, 0, 0], ""unused_pointer"": 2365255920}"
challenge-ep1/c88102-bb-e,7,157,"{""base_type"": 223, ""set_flags"": 8, ""runtime_index"": 2100, ""file_offset"": 44840, ""floor_field"": 3, ""entity_id_field"": 18607, ""group"": 0, ""room"": 20, ""unknown_a3"": 0, ""position"": [171.41357421875, -8.040032386779785, -9.2598876953125], ""angles"": [0, 4096, 0], ""params"": [1.0, 1.0, 1.0, 154, 0, 0], ""unused_pointer"": 2365243616}"
challenge-ep1/c88102-bb-e,7,158,"{""base_type"": 223, ""set_flags"": 8, ""runtime_index"": 2101, ""file_offset"": 44908, ""floor_field"": 3, ""entity_id_field"": 18608, ""group"": 0, ""room"": 20, ""unknown_a3"": 0, ""position"": [179.60986328125, -8.040032386779785, 7.0699462890625], ""angles"": [0, -4096, 0], ""params"": [1.0, 1.0, 1.0, 154, 0, 0], ""unused_pointer"": 2365243872}"
challenge-ep1/c88102-bb-j,3,33,"{""base_type"": 223, ""set_flags"": 8, ""runtime_index"": 308, ""file_offset"": 3704, ""floor_field"": 3, ""entity_id_field"": 16692, ""group"": 0, ""room"": 6, ""unknown_a3"": 0, ""position"": [0.31708598136901855, 0.0, 43.04515838623047], ""angles"": [0, 12288, 0], ""params"": [1.0, 1.0, 1.0, 81, 0, 0], ""unused_pointer"": 2365223440}"
challenge-ep1/c88102-bb-j,3,41,"{""base_type"": 223, ""set_flags"": 0, ""runtime_index"": 2028, ""file_offset"": 4248, ""floor_field"": 3, ""entity_id_field"": 18465, ""group"": 0, ""room"": 7, ""unknown_a3"": 0, ""position"": [-10.003829956054688, 0.0, -39.998992919921875], ""angles"": [16384, -16383, 0], ""params"": [3.0000007152557373, 12.000000953674316, 3.0000007152557373, 84, 0, 0], ""unused_pointer"": 2365237472}"
challenge-ep1/c88102-bb-j,3,42,"{""base_type"": 223, ""set_flags"": 0, ""runtime_index"": 2027, ""file_offset"": 4316, ""floor_field"": 3, ""entity_id_field"": 18466, ""group"": 0, ""room"": 7, ""unknown_a3"": 0, ""position"": [9.996170043945312, 0.0, -40.00091552734375], ""angles"": [16384, -8191, 0], ""params"": [3.0000007152557373, 12.000000953674316, 3.0000007152557373, 84, 0, 0], ""unused_pointer"": 2365237792}"
challenge-ep1/c88102-bb-j,3,106,"{""base_type"": 223, ""set_flags"": 2, ""runtime_index"": 395, ""file_offset"": 8668, ""floor_field"": 3, ""entity_id_field"": 18629, ""group"": 0, ""room"": 31, ""unknown_a3"": 0, ""position"": [103.53955078125, 0.0, 46.190765380859375], ""angles"": [0, 90112, 0], ""params"": [1.0, 1.0, 1.0, 83, 0, 0], ""unused_pointer"": 2365240560}"
challenge-ep1/c88102-bb-j,3,119,"{""base_type"": 223, ""set_flags"": 0, ""runtime_index"": 1959, ""file_offset"": 9552, ""floor_field"": 3, ""entity_id_field"": 18775, ""group"": 0, ""room"": 32, ""unknown_a3"": 0, ""position"": [-13.460017204284668, 0.0, -191.25106811523438], ""angles"": [0, 20480, 0], ""params"": [1.0, 1.0, 1.0, 80, 0, 0], ""unused_pointer"": 2365304096}"
challenge-ep1/c88102-bb-j,3,120,"{""base_type"": 223, ""set_flags"": 0, ""runtime_index"": 1960, ""file_offset"": 9620, ""floor_field"": 3, ""entity_id_field"": 18776, ""group"": 0, ""room"": 32, ""unknown_a3"": 0, ""position"": [9.261428833007812, 0.0, -187.81707763671875], ""angles"": [0, 12288, 0], ""params"": [1.0, 1.0, 1.0, 80, 0, 0], ""unused_pointer"": 2365304416}"
challenge-ep1/c88102-bb-j,4,15,"{""base_type"": 223, ""set_flags"": 0, ""runtime_index"": 1922, ""file_offset"": 12424, ""floor_field"": 3, ""entity_id_field"": 18682, ""group"": 0, ""room"": 5, ""unknown_a3"": 0, ""position"": [-0.006712436676025391, 0.0, -70.00001525878906], ""angles"": [0, 8193, 0], ""params"": [1.0, 1.0, 1.0, 60, 0, 0], ""unused_pointer"": 2365180224}"
