quest,floor,index,full_DAT_fields
challenge-ep1/c88104-bb-e,5,95,"{""base_type"": 225, ""set_flags"": 0, ""runtime_index"": 1979, ""file_offset"": 7920, ""floor_field"": 5, ""entity_id_field"": 18637, ""group"": 0, ""room"": 40, ""unknown_a3"": 0, ""position"": [-90.0, 0.0, 5.0], ""angles"": [0, -32768, 0], ""params"": [1.0, 1.0, 1.0, 206, 0, 0], ""unused_pointer"": 2365347280}"
challenge-ep1/c88104-bb-e,5,96,"{""base_type"": 225, ""set_flags"": 0, ""runtime_index"": 1974, ""file_offset"": 7988, ""floor_field"": 5, ""entity_id_field"": 18621, ""group"": 0, ""room"": 40, ""unknown_a3"": 0, ""position"": [90.0, 0.0, 10.0], ""angles"": [0, -16384, 0], ""params"": [1.0, 1.0, 1.0, 131, 0, 0], ""unused_pointer"": 2365336480}"
challenge-ep1/c88104-bb-e,6,27,"{""base_type"": 225, ""set_flags"": 0, ""runtime_index"": 1839, ""file_offset"": 16572, ""floor_field"": 5, ""entity_id_field"": 18369, ""group"": 0, ""room"": 40, ""unknown_a3"": 0, ""position"": [-47.766571044921875, 0.0, 25.2388916015625], ""angles"": [0, 24576, 0], ""params"": [1.0, 1.0, 1.0, 40, 0, 0], ""unused_pointer"": 2365139984}"
challenge-ep1/c88104-bb-e,6,28,"{""base_type"": 225, ""set_flags"": 0, ""runtime_index"": 1840, ""file_offset"": 16640, ""floor_field"": 5, ""entity_id_field"": 18370, ""group"": 0, ""room"": 40, ""unknown_a3"": 0, ""position"": [-74.43780517578125, 0.0, 7.486846923828125], ""angles"": [0, 24576, 0], ""params"": [1.0, 1.0, 1.0, 40, 0, 0], ""unused_pointer"": 2365146512}"
challenge-ep1/c88104-bb-e,9,62,"{""base_type"": 225, ""set_flags"": 8, ""runtime_index"": 678, ""file_offset"": 41304, ""floor_field"": 5, ""entity_id_field"": 17062, ""group"": 0, ""room"": 22, ""unknown_a3"": 0, ""position"": [-0.0999755859375, 0.10000038146972656, -70.02001953125], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 207, 0, 0], ""unused_pointer"": 2365211888}"
challenge-ep1/c88104-bb-j,5,95,"{""base_type"": 225, ""set_flags"": 0, ""runtime_index"": 1979, ""file_offset"": 7920, ""floor_field"": 5, ""entity_id_field"": 18637, ""group"": 0, ""room"": 40, ""unknown_a3"": 0, ""position"": [-90.0, 0.0, 5.0], ""angles"": [0, -32768, 0], ""params"": [1.0, 1.0, 1.0, 206, 0, 0], ""unused_pointer"": 2365347280}"
challenge-ep1/c88104-bb-j,5,96,"{""base_type"": 225, ""set_flags"": 0, ""runtime_index"": 1974, ""file_offset"": 7988, ""floor_field"": 5, ""entity_id_field"": 18621, ""group"": 0, ""room"": 40, ""unknown_a3"": 0, ""position"": [90.0, 0.0, 10.0], ""angles"": [0, -16384, 0], ""params"": [1.0, 1.0, 1.0, 131, 0, 0], ""unused_pointer"": 2365336480}"
challenge-ep1/c88104-bb-j,6,27,"{""base_type"": 225, ""set_flags"": 0, ""runtime_index"": 1839, ""file_offset"": 16572, ""floor_field"": 5, ""entity_id_field"": 18369, ""group"": 0, ""room"": 40, ""unknown_a3"": 0, ""position"": [-47.766571044921875, 0.0, 25.2388916015625], ""angles"": [0, 24576, 0], ""params"": [1.0, 1.0, 1.0, 40, 0, 0], ""unused_pointer"": 2365139984}"
challenge-ep1/c88104-bb-j,6,28,"{""base_type"": 225, ""set_flags"": 0, ""runtime_index"": 1840, ""file_offset"": 16640, ""floor_field"": 5, ""entity_id_field"": 18370, ""group"": 0, ""room"": 40, ""unknown_a3"": 0, ""position"": [-74.43780517578125, 0.0, 7.486846923828125], ""angles"": [0, 24576, 0], ""params"": [1.0, 1.0, 1.0, 40, 0, 0], ""unused_pointer"": 2365146512}"
challenge-ep1/c88104-bb-j,9,62,"{""base_type"": 225, ""set_flags"": 8, ""runtime_index"": 678, ""file_offset"": 41304, ""floor_field"": 5, ""entity_id_field"": 17062, ""group"": 0, ""room"": 22, ""unknown_a3"": 0, ""position"": [-0.0999755859375, 0.10000038146972656, -70.02001953125], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 207, 0, 0], ""unused_pointer"": 2365211888}"
