quest,floor,index,full_DAT_fields
challenge-ep1/c88107-bb-e,8,87,"{""base_type"": 331, ""set_flags"": 0, ""runtime_index"": 1909, ""file_offset"": 7376, ""floor_field"": 8, ""entity_id_field"": 19010, ""group"": 0, ""room"": 23, ""unknown_a3"": 0, ""position"": [0.0, 0.0, 176.599853515625], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 104, 0, 0], ""unused_pointer"": 2365233152}"
challenge-ep1/c88107-bb-e,8,124,"{""base_type"": 331, ""set_flags"": 0, ""runtime_index"": 2245, ""file_offset"": 9892, ""floor_field"": 8, ""entity_id_field"": 22172, ""group"": 0, ""room"": 31, ""unknown_a3"": 0, ""position"": [75.0, 0.0, 176.599853515625], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 90, 0, 0], ""unused_pointer"": 2365289472}"
challenge-ep1/c88107-bb-e,8,132,"{""base_type"": 331, ""set_flags"": 0, ""runtime_index"": 2248, ""file_offset"": 10436, ""floor_field"": 8, ""entity_id_field"": 22183, ""group"": 0, ""room"": 40, ""unknown_a3"": 0, ""position"": [176.60006713867188, 0.0, -75.0], ""angles"": [0, -16384, 0], ""params"": [1.0, 1.0, 1.0, 90, 0, 0], ""unused_pointer"": 2365289776}"
challenge-ep1/c88107-bb-e,8,196,"{""base_type"": 331, ""set_flags"": 0, ""runtime_index"": 1925, ""file_offset"": 14788, ""floor_field"": 8, ""entity_id_field"": 18398, ""group"": 0, ""room"": 65, ""unknown_a3"": 0, ""position"": [176.60009765625, 0.0, 75.0], ""angles"": [0, 49152, 0], ""params"": [1.0, 1.0, 1.0, 120, 0, -1], ""unused_pointer"": 2365259328}"
challenge-ep1/c88107-bb-e,10,59,"{""base_type"": 331, ""set_flags"": 0, ""runtime_index"": 2123, ""file_offset"": 27672, ""floor_field"": 8, ""entity_id_field"": 18352, ""group"": 0, ""room"": 12, ""unknown_a3"": 0, ""position"": [0.0, 0.0, -126.60009765625], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 242, 0, -1], ""unused_pointer"": 2365171200}"
challenge-ep1/c88107-bb-e,10,72,"{""base_type"": 331, ""set_flags"": 2, ""runtime_index"": 1244, ""file_offset"": 28556, ""floor_field"": 8, ""entity_id_field"": 18338, ""group"": 0, ""room"": 21, ""unknown_a3"": 0, ""position"": [126.5999755859375, 0.0, 0.0], ""angles"": [0, 49152, 0], ""params"": [1.0, 1.0, 1.0, 248, 0, -1], ""unused_pointer"": 2365278352}"
challenge-ep1/c88107-bb-e,10,73,"{""base_type"": 331, ""set_flags"": 2, ""runtime_index"": 1245, ""file_offset"": 28624, ""floor_field"": 8, ""entity_id_field"": 18339, ""group"": 0, ""room"": 21, ""unknown_a3"": 0, ""position"": [0.0, 0.0, -176.60003662109375], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 246, 0, -1], ""unused_pointer"": 2365278656}"
challenge-ep1/c88107-bb-e,10,126,"{""base_type"": 331, ""set_flags"": 0, ""runtime_index"": 2049, ""file_offset"": 32228, ""floor_field"": 8, ""entity_id_field"": 21439, ""group"": 0, ""room"": 31, ""unknown_a3"": 0, ""position"": [-75.0, 0.0, 176.5999755859375], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 244, 0, -1], ""unused_pointer"": 2365163744}"
challenge-ep1/c88107-bb-e,10,142,"{""base_type"": 331, ""set_flags"": 0, ""runtime_index"": 2129, ""file_offset"": 33316, ""floor_field"": 8, ""entity_id_field"": 23823, ""group"": 0, ""room"": 45, ""unknown_a3"": 0, ""position"": [-75.0, 0.0, -176.60009765625], ""angles"": [0, -32768, 0], ""params"": [1.0, 1.0, 1.0, 242, 0, -1], ""unused_pointer"": 2365286816}"
challenge-ep1/c88107-bb-e,12,43,"{""base_type"": 331, ""set_flags"": 0, ""runtime_index"": 1983, ""file_offset"": 47968, ""floor_field"": 8, ""entity_id_field"": 18881, ""group"": 0, ""room"": 6, ""unknown_a3"": 0, ""position"": [-76.5999755859375, 0.0, 0.0], ""angles"": [0, -16384, 0], ""params"": [1.0, 1.0, 1.0, 104, 0, 0], ""unused_pointer"": 2365145520}"
