quest,floor,index,full_DAT_fields
events-ep1/q070-bb-e,9,180,"{""base_type"": 334, ""set_flags"": 0, ""runtime_index"": 1644, ""file_offset"": 54004, ""floor_field"": 9, ""entity_id_field"": 18206, ""group"": 0, ""room"": 80, ""unknown_a3"": 0, ""position"": [-100.48481750488281, 0.0, 69.26510620117188], ""angles"": [0, -16383, 0], ""params"": [1.000000238418579, 1.000000238418579, 1.000000238418579, 121, 1, 0], ""unused_pointer"": 2365331888}"
events-ep1/q070-bb-e,9,181,"{""base_type"": 334, ""set_flags"": 0, ""runtime_index"": 1638, ""file_offset"": 54072, ""floor_field"": 9, ""entity_id_field"": 18207, ""group"": 0, ""room"": 80, ""unknown_a3"": 0, ""position"": [100.18414306640625, 0.0, -139.34423828125], ""angles"": [0, -16383, 0], ""params"": [1.000000238418579, 1.000000238418579, 1.000000238418579, 120, 3, 0], ""unused_pointer"": 2365332176}"
events-ep1/q070-bb-j,9,180,"{""base_type"": 334, ""set_flags"": 0, ""runtime_index"": 1644, ""file_offset"": 54004, ""floor_field"": 9, ""entity_id_field"": 18206, ""group"": 0, ""room"": 80, ""unknown_a3"": 0, ""position"": [-100.48481750488281, 0.0, 69.26510620117188], ""angles"": [0, -16383, 0], ""params"": [1.000000238418579, 1.000000238418579, 1.000000238418579, 121, 1, 0], ""unused_pointer"": 2365331888}"
events-ep1/q070-bb-j,9,181,"{""base_type"": 334, ""set_flags"": 0, ""runtime_index"": 1638, ""file_offset"": 54072, ""floor_field"": 9, ""entity_id_field"": 18207, ""group"": 0, ""room"": 80, ""unknown_a3"": 0, ""position"": [100.18414306640625, 0.0, -139.34423828125], ""angles"": [0, -16383, 0], ""params"": [1.000000238418579, 1.000000238418579, 1.000000238418579, 120, 3, 0], ""unused_pointer"": 2365332176}"
events-ep1/q113-bb-e,9,194,"{""base_type"": 334, ""set_flags"": 0, ""runtime_index"": 1637, ""file_offset"": 60276, ""floor_field"": 9, ""entity_id_field"": 18507, ""group"": 0, ""room"": 356, ""unknown_a3"": 0, ""position"": [-0.21453452110290527, 0.0, -21.705825805664062], ""angles"": [0, 0, 0], ""params"": [1.000000238418579, 1.000000238418579, 1.000000238418579, 95, 1, 0], ""unused_pointer"": 2365352624}"
events-ep1/q113-bb-e,9,207,"{""base_type"": 334, ""set_flags"": 0, ""runtime_index"": 1644, ""file_offset"": 61160, ""floor_field"": 9, ""entity_id_field"": 18980, ""group"": 0, ""room"": 80, ""unknown_a3"": 0, ""position"": [-100.48481750488281, 0.0, 69.26510620117188], ""angles"": [0, -16383, 0], ""params"": [1.000000238418579, 1.000000238418579, 1.000000238418579, 121, 1, 0], ""unused_pointer"": 2365164848}"
events-ep1/q113-bb-e,9,208,"{""base_type"": 334, ""set_flags"": 0, ""runtime_index"": 1638, ""file_offset"": 61228, ""floor_field"": 9, ""entity_id_field"": 18981, ""group"": 0, ""room"": 80, ""unknown_a3"": 0, ""position"": [100.18414306640625, 0.0, -139.34423828125], ""angles"": [0, -16383, 0], ""params"": [1.000000238418579, 1.000000238418579, 1.000000238418579, 120, 3, 0], ""unused_pointer"": 2365165408}"
events-ep1/q113-bb-j,9,194,"{""base_type"": 334, ""set_flags"": 0, ""runtime_index"": 1637, ""file_offset"": 60276, ""floor_field"": 9, ""entity_id_field"": 18507, ""group"": 0, ""room"": 356, ""unknown_a3"": 0, ""position"": [-0.21453452110290527, 0.0, -21.705825805664062], ""angles"": [0, 0, 0], ""params"": [1.000000238418579, 1.000000238418579, 1.000000238418579, 95, 1, 0], ""unused_pointer"": 2365352624}"
events-ep1/q113-bb-j,9,207,"{""base_type"": 334, ""set_flags"": 0, ""runtime_index"": 1644, ""file_offset"": 61160, ""floor_field"": 9, ""entity_id_field"": 18980, ""group"": 0, ""room"": 80, ""unknown_a3"": 0, ""position"": [-100.48481750488281, 0.0, 69.26510620117188], ""angles"": [0, -16383, 0], ""params"": [1.000000238418579, 1.000000238418579, 1.000000238418579, 121, 1, 0], ""unused_pointer"": 2365164848}"
events-ep1/q113-bb-j,9,208,"{""base_type"": 334, ""set_flags"": 0, ""runtime_index"": 1638, ""file_offset"": 61228, ""floor_field"": 9, ""entity_id_field"": 18981, ""group"": 0, ""room"": 80, ""unknown_a3"": 0, ""position"": [100.18414306640625, 0.0, -139.34423828125], ""angles"": [0, -16383, 0], ""params"": [1.000000238418579, 1.000000238418579, 1.000000238418579, 120, 3, 0], ""unused_pointer"": 2365165408}"
