quest,floor,index,full_DAT_fields
challenge-ep1/c88107-bb-e,8,205,"{""base_type"": 346, ""set_flags"": 0, ""runtime_index"": 2069, ""file_offset"": 15400, ""floor_field"": 8, ""entity_id_field"": 18383, ""group"": 0, ""room"": 65, ""unknown_a3"": 0, ""position"": [155.24951171875, 0.0, -52.68791198730469], ""angles"": [0, -12800, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365252736}"
challenge-ep1/c88107-bb-e,9,92,"{""base_type"": 346, ""set_flags"": 2, ""runtime_index"": 1263, ""file_offset"": 22896, ""floor_field"": 8, ""entity_id_field"": 17647, ""group"": 0, ""room"": 40, ""unknown_a3"": 0, ""position"": [140.00767517089844, 0.5262908935546875, 79.98660278320312], ""angles"": [0, 28673, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365289024}"
challenge-ep1/c88107-bb-j,8,205,"{""base_type"": 346, ""set_flags"": 0, ""runtime_index"": 2069, ""file_offset"": 15400, ""floor_field"": 8, ""entity_id_field"": 18383, ""group"": 0, ""room"": 65, ""unknown_a3"": 0, ""position"": [155.24951171875, 0.0, -52.68791198730469], ""angles"": [0, -12800, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365252736}"
challenge-ep1/c88107-bb-j,9,92,"{""base_type"": 346, ""set_flags"": 2, ""runtime_index"": 1263, ""file_offset"": 22896, ""floor_field"": 8, ""entity_id_field"": 17647, ""group"": 0, ""room"": 40, ""unknown_a3"": 0, ""position"": [140.00767517089844, 0.5262908935546875, 79.98660278320312], ""angles"": [0, 28673, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365289024}"
challenge-ep1/c88108-bb-e,13,109,"{""base_type"": 346, ""set_flags"": 0, ""runtime_index"": 1998, ""file_offset"": 53000, ""floor_field"": 9, ""entity_id_field"": 19100, ""group"": 0, ""room"": 21, ""unknown_a3"": 0, ""position"": [30.0, 0.0, -110.0], ""angles"": [0, 12288, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365150320}"
challenge-ep1/c88108-bb-e,13,111,"{""base_type"": 346, ""set_flags"": 0, ""runtime_index"": 2001, ""file_offset"": 53136, ""floor_field"": 9, ""entity_id_field"": 19117, ""group"": 0, ""room"": 21, ""unknown_a3"": 0, ""position"": [-28.212646484375, 0.0, 110.10693359375], ""angles"": [0, -20480, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365151936}"
challenge-ep1/c88108-bb-j,13,109,"{""base_type"": 346, ""set_flags"": 0, ""runtime_index"": 1998, ""file_offset"": 53000, ""floor_field"": 9, ""entity_id_field"": 19100, ""group"": 0, ""room"": 21, ""unknown_a3"": 0, ""position"": [30.0, 0.0, -110.0], ""angles"": [0, 12288, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365150320}"
challenge-ep1/c88108-bb-j,13,111,"{""base_type"": 346, ""set_flags"": 0, ""runtime_index"": 2001, ""file_offset"": 53136, ""floor_field"": 9, ""entity_id_field"": 19117, ""group"": 0, ""room"": 21, ""unknown_a3"": 0, ""position"": [-28.212646484375, 0.0, 110.10693359375], ""angles"": [0, -20480, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365151936}"
challenge-ep1/c88109-bb-e,1,144,"{""base_type"": 346, ""set_flags"": 2, ""runtime_index"": 1748, ""file_offset"": 11252, ""floor_field"": 10, ""entity_id_field"": 18132, ""group"": 0, ""room"": 70, ""unknown_a3"": 0, ""position"": [217.3048095703125, 0.0, 73.13720703125], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365313968}"
challenge-ep1/c88109-bb-e,1,167,"{""base_type"": 346, ""set_flags"": 2, ""runtime_index"": 1771, ""file_offset"": 12816, ""floor_field"": 10, ""entity_id_field"": 18155, ""group"": 0, ""room"": 70, ""unknown_a3"": 0, ""position"": [-247.9423828125, -0.2601890563964844, 169.213134765625], ""angles"": [0, -4096, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365326272}"
challenge-ep1/c88109-bb-e,1,168,"{""base_type"": 346, ""set_flags"": 2, ""runtime_index"": 1772, ""file_offset"": 12884, ""floor_field"": 10, ""entity_id_field"": 18156, ""group"": 0, ""room"": 70, ""unknown_a3"": 0, ""position"": [-309.5537109375, -0.2601890563964844, 172.4398193359375], ""angles"": [0, -32768, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365326528}"
challenge-ep1/c88109-bb-e,5,163,"{""base_type"": 346, ""set_flags"": 2, ""runtime_index"": 1771, ""file_offset"": 59868, ""floor_field"": 10, ""entity_id_field"": 18847, ""group"": 0, ""room"": 41, ""unknown_a3"": 0, ""position"": [101.83158111572266, 0.0, -144.822021484375], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365309616}"
challenge-ep1/c88109-bb-e,5,164,"{""base_type"": 346, ""set_flags"": 2, ""runtime_index"": 1772, ""file_offset"": 59936, ""floor_field"": 10, ""entity_id_field"": 18848, ""group"": 0, ""room"": 41, ""unknown_a3"": 0, ""position"": [62.928550720214844, 0.0, -147.7987060546875], ""angles"": [0, 16384, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365309872}"
challenge-ep1/c88109-bb-j,1,144,"{""base_type"": 346, ""set_flags"": 2, ""runtime_index"": 1748, ""file_offset"": 11252, ""floor_field"": 10, ""entity_id_field"": 18132, ""group"": 0, ""room"": 70, ""unknown_a3"": 0, ""position"": [217.3048095703125, 0.0, 73.13720703125], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365313968}"
challenge-ep1/c88109-bb-j,1,167,"{""base_type"": 346, ""set_flags"": 2, ""runtime_index"": 1771, ""file_offset"": 12816, ""floor_field"": 10, ""entity_id_field"": 18155, ""group"": 0, ""room"": 70, ""unknown_a3"": 0, ""position"": [-247.9423828125, -0.2601890563964844, 169.213134765625], ""angles"": [0, -4096, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365326272}"
challenge-ep1/c88109-bb-j,1,168,"{""base_type"": 346, ""set_flags"": 2, ""runtime_index"": 1772, ""file_offset"": 12884, ""floor_field"": 10, ""entity_id_field"": 18156, ""group"": 0, ""room"": 70, ""unknown_a3"": 0, ""position"": [-309.5537109375, -0.2601890563964844, 172.4398193359375], ""angles"": [0, -32768, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365326528}"
