quest,floor,index,full_DAT_fields
challenge-ep1/c88107-bb-e,8,203,"{""base_type"": 358, ""set_flags"": 0, ""runtime_index"": 2071, ""file_offset"": 15264, ""floor_field"": 8, ""entity_id_field"": 18381, ""group"": 0, ""room"": 65, ""unknown_a3"": 0, ""position"": [175.04852294921875, 0.0, -88.98344421386719], ""angles"": [0, 8192, 0], ""params"": [1.0, 1.0, 1.0, 67, 0, 0], ""unused_pointer"": 2365252224}"
challenge-ep1/c88107-bb-e,8,204,"{""base_type"": 358, ""set_flags"": 0, ""runtime_index"": 2072, ""file_offset"": 15332, ""floor_field"": 8, ""entity_id_field"": 18382, ""group"": 0, ""room"": 65, ""unknown_a3"": 0, ""position"": [166.8131103515625, 0.0, -64.73089599609375], ""angles"": [0, 24576, 0], ""params"": [1.0, 1.0, 1.0, 67, 0, 0], ""unused_pointer"": 2365252480}"
challenge-ep1/c88107-bb-e,9,62,"{""base_type"": 358, ""set_flags"": 2, ""runtime_index"": 1233, ""file_offset"": 20856, ""floor_field"": 8, ""entity_id_field"": 17617, ""group"": 0, ""room"": 40, ""unknown_a3"": 0, ""position"": [-80.0077133178711, 0.0, -79.99229431152344], ""angles"": [0, -8191, 0], ""params"": [1.0, 1.0, 1.0, 51, 0, 0], ""unused_pointer"": 2365271264}"
challenge-ep1/c88107-bb-e,10,44,"{""base_type"": 358, ""set_flags"": 2, ""runtime_index"": 1216, ""file_offset"": 26652, ""floor_field"": 8, ""entity_id_field"": 17600, ""group"": 0, ""room"": 8, ""unknown_a3"": 0, ""position"": [-75.98928833007812, 0.0, 6.288055419921875], ""angles"": [0, 4096, 0], ""params"": [1.0, 1.0, 1.0, 92, 0, 0], ""unused_pointer"": 2365264848}"
challenge-ep1/c88107-bb-e,10,45,"{""base_type"": 358, ""set_flags"": 2, ""runtime_index"": 1217, ""file_offset"": 26720, ""floor_field"": 8, ""entity_id_field"": 17601, ""group"": 0, ""room"": 8, ""unknown_a3"": 0, ""position"": [-79.45816040039062, 0.0, -11.7208251953125], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 92, 0, 0], ""unused_pointer"": 2365265104}"
challenge-ep1/c88107-bb-e,11,107,"{""base_type"": 358, ""set_flags"": 0, ""runtime_index"": 1835, ""file_offset"": 44892, ""floor_field"": 8, ""entity_id_field"": 18292, ""group"": 0, ""room"": 70, ""unknown_a3"": 0, ""position"": [-167.9686737060547, -29.900001525878906, 328.0162048339844], ""angles"": [0, -16383, 0], ""params"": [1.0, 1.0, 1.0, 60, 0, 0], ""unused_pointer"": 2365281008}"
challenge-ep1/c88107-bb-e,12,73,"{""base_type"": 358, ""set_flags"": 0, ""runtime_index"": 2020, ""file_offset"": 50008, ""floor_field"": 8, ""entity_id_field"": 19489, ""group"": 0, ""room"": 11, ""unknown_a3"": 0, ""position"": [-75.198486328125, 0.0, -80.72567749023438], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 141, 0, 0], ""unused_pointer"": 2365150784}"
challenge-ep1/c88107-bb-e,12,76,"{""base_type"": 358, ""set_flags"": 0, ""runtime_index"": 2025, ""file_offset"": 50212, ""floor_field"": 8, ""entity_id_field"": 19492, ""group"": 0, ""room"": 11, ""unknown_a3"": 0, ""position"": [-84.56143188476562, 0.0, -66.50747680664062], ""angles"": [0, -16384, 0], ""params"": [1.0, 1.0, 1.0, 141, 0, 0], ""unused_pointer"": 2365152432}"
challenge-ep1/c88107-bb-e,12,77,"{""base_type"": 358, ""set_flags"": 0, ""runtime_index"": 2023, ""file_offset"": 50280, ""floor_field"": 8, ""entity_id_field"": 19493, ""group"": 0, ""room"": 11, ""unknown_a3"": 0, ""position"": [-89.64419555664062, 0.0, 67.37841796875], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 142, 0, 0], ""unused_pointer"": 2365153088}"
challenge-ep1/c88107-bb-e,12,78,"{""base_type"": 358, ""set_flags"": 0, ""runtime_index"": 2024, ""file_offset"": 50348, ""floor_field"": 8, ""entity_id_field"": 19494, ""group"": 0, ""room"": 11, ""unknown_a3"": 0, ""position"": [-75.98992919921875, 0.0, 88.9388427734375], ""angles"": [0, 20480, 0], ""params"": [1.0, 1.0, 1.0, 142, 0, 0], ""unused_pointer"": 2365154784}"
