quest,floor,index,full_DAT_fields
battle/b88002-bb-e,17,23,"{""base_type"": 419, ""set_flags"": 0, ""runtime_index"": 1990, ""file_offset"": 1580, ""floor_field"": 17, ""entity_id_field"": 18474, ""group"": 0, ""room"": 30, ""unknown_a3"": 0, ""position"": [10.0, 0.0, 210.0], ""angles"": [0, -32768, 0], ""params"": [1.000000238418579, 1.0, 1.000000238418579, 0, 0, 0], ""unused_pointer"": 2365159936}"
battle/b88002-bb-e,17,24,"{""base_type"": 419, ""set_flags"": 0, ""runtime_index"": 1993, ""file_offset"": 1648, ""floor_field"": 17, ""entity_id_field"": 18475, ""group"": 0, ""room"": 30, ""unknown_a3"": 0, ""position"": [10.0, 0.0, 320.0], ""angles"": [0, -32768, 0], ""params"": [1.000000238418579, 1.0, 1.000000238418579, 0, 0, 0], ""unused_pointer"": 2365160208}"
battle/b88002-bb-e,17,25,"{""base_type"": 419, ""set_flags"": 0, ""runtime_index"": 1989, ""file_offset"": 1716, ""floor_field"": 17, ""entity_id_field"": 18476, ""group"": 0, ""room"": 30, ""unknown_a3"": 0, ""position"": [-10.0, 0.0, 270.0], ""angles"": [0, -16384, 0], ""params"": [1.000000238418579, 1.0, 1.000000238418579, 0, 0, 0], ""unused_pointer"": 2365160752}"
battle/b88002-bb-e,17,26,"{""base_type"": 419, ""set_flags"": 0, ""runtime_index"": 1992, ""file_offset"": 1784, ""floor_field"": 17, ""entity_id_field"": 18477, ""group"": 0, ""room"": 30, ""unknown_a3"": 0, ""position"": [-10.0, 0.0, 160.0], ""angles"": [0, 4096, 0], ""params"": [1.000000238418579, 1.0, 1.000000238418579, 0, 0, 0], ""unused_pointer"": 2365161712}"
battle/b88002-bb-e,17,41,"{""base_type"": 419, ""set_flags"": 0, ""runtime_index"": 1991, ""file_offset"": 2804, ""floor_field"": 17, ""entity_id_field"": 13897, ""group"": 0, ""room"": 41, ""unknown_a3"": 0, ""position"": [96.99995422363281, 0.0, 128.9990234375], ""angles"": [0, 57344, 0], ""params"": [1.000000238418579, 1.0, 1.000000238418579, 0, 0, 0], ""unused_pointer"": 3769950592}"
battle/b88002-bb-j,17,23,"{""base_type"": 419, ""set_flags"": 0, ""runtime_index"": 1990, ""file_offset"": 1580, ""floor_field"": 17, ""entity_id_field"": 18474, ""group"": 0, ""room"": 30, ""unknown_a3"": 0, ""position"": [10.0, 0.0, 210.0], ""angles"": [0, -32768, 0], ""params"": [1.000000238418579, 1.0, 1.000000238418579, 0, 0, 0], ""unused_pointer"": 2365159936}"
battle/b88002-bb-j,17,24,"{""base_type"": 419, ""set_flags"": 0, ""runtime_index"": 1993, ""file_offset"": 1648, ""floor_field"": 17, ""entity_id_field"": 18475, ""group"": 0, ""room"": 30, ""unknown_a3"": 0, ""position"": [10.0, 0.0, 320.0], ""angles"": [0, -32768, 0], ""params"": [1.000000238418579, 1.0, 1.000000238418579, 0, 0, 0], ""unused_pointer"": 2365160208}"
battle/b88002-bb-j,17,25,"{""base_type"": 419, ""set_flags"": 0, ""runtime_index"": 1989, ""file_offset"": 1716, ""floor_field"": 17, ""entity_id_field"": 18476, ""group"": 0, ""room"": 30, ""unknown_a3"": 0, ""position"": [-10.0, 0.0, 270.0], ""angles"": [0, -16384, 0], ""params"": [1.000000238418579, 1.0, 1.000000238418579, 0, 0, 0], ""unused_pointer"": 2365160752}"
battle/b88002-bb-j,17,26,"{""base_type"": 419, ""set_flags"": 0, ""runtime_index"": 1992, ""file_offset"": 1784, ""floor_field"": 17, ""entity_id_field"": 18477, ""group"": 0, ""room"": 30, ""unknown_a3"": 0, ""position"": [-10.0, 0.0, 160.0], ""angles"": [0, 4096, 0], ""params"": [1.000000238418579, 1.0, 1.000000238418579, 0, 0, 0], ""unused_pointer"": 2365161712}"
battle/b88002-bb-j,17,41,"{""base_type"": 419, ""set_flags"": 0, ""runtime_index"": 1991, ""file_offset"": 2804, ""floor_field"": 17, ""entity_id_field"": 13897, ""group"": 0, ""room"": 41, ""unknown_a3"": 0, ""position"": [96.99995422363281, 0.0, 128.9990234375], ""angles"": [0, 57344, 0], ""params"": [1.000000238418579, 1.0, 1.000000238418579, 0, 0, 0], ""unused_pointer"": 3769950592}"
battle/b88004-bb-e,17,53,"{""base_type"": 419, ""set_flags"": 0, ""runtime_index"": 1965, ""file_offset"": 3620, ""floor_field"": 17, ""entity_id_field"": 18879, ""group"": 0, ""room"": 40, ""unknown_a3"": 0, ""position"": [-399.01055908203125, 0.0, -109.96177673339844], ""angles"": [0, 12289, 0], ""params"": [1.000000238418579, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365290912}"
battle/b88004-bb-e,17,54,"{""base_type"": 419, ""set_flags"": 0, ""runtime_index"": 1964, ""file_offset"": 3688, ""floor_field"": 17, ""entity_id_field"": 18880, ""group"": 0, ""room"": 40, ""unknown_a3"": 0, ""position"": [-455.0101318359375, 0.0, -104.95641326904297], ""angles"": [0, 32769, 0], ""params"": [1.000000238418579, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 2365292000}"
