quest,floor,index,full_DAT_fields
battle/b88004-bb-e,17,99,"{""base_type"": 426, ""set_flags"": 0, ""runtime_index"": 1965, ""file_offset"": 6748, ""floor_field"": 17, ""entity_id_field"": 18453, ""group"": 0, ""room"": 50, ""unknown_a3"": 0, ""position"": [0.0, 0.0, 0.0], ""angles"": [0, 0, 0], ""params"": [1.000000238418579, 1.0, 1.0, 99, 0, 0], ""unused_pointer"": 2365191056}"
battle/b88004-bb-j,17,99,"{""base_type"": 426, ""set_flags"": 0, ""runtime_index"": 1965, ""file_offset"": 6748, ""floor_field"": 17, ""entity_id_field"": 18453, ""group"": 0, ""room"": 50, ""unknown_a3"": 0, ""position"": [0.0, 0.0, 0.0], ""angles"": [0, 0, 0], ""params"": [1.000000238418579, 1.0, 1.0, 99, 0, 0], ""unused_pointer"": 2365191056}"
battle/b88005-bb-e,17,49,"{""base_type"": 426, ""set_flags"": 0, ""runtime_index"": 1972, ""file_offset"": 3348, ""floor_field"": 17, ""entity_id_field"": 18397, ""group"": 0, ""room"": 50, ""unknown_a3"": 0, ""position"": [0.0, 0.0, 0.0], ""angles"": [0, 0, 0], ""params"": [1.000000238418579, 1.0, 1.000000238418579, 101, 0, 0], ""unused_pointer"": 2365175440}"
battle/b88005-bb-j,17,49,"{""base_type"": 426, ""set_flags"": 0, ""runtime_index"": 1972, ""file_offset"": 3348, ""floor_field"": 17, ""entity_id_field"": 18397, ""group"": 0, ""room"": 50, ""unknown_a3"": 0, ""position"": [0.0, 0.0, 0.0], ""angles"": [0, 0, 0], ""params"": [1.000000238418579, 1.0, 1.000000238418579, 101, 0, 0], ""unused_pointer"": 2365175440}"
challenge-ep2/d88201-bb-e,1,123,"{""base_type"": 426, ""set_flags"": 0, ""runtime_index"": 32264, ""file_offset"": 11116, ""floor_field"": 1, ""entity_id_field"": 57416, ""group"": 0, ""room"": 50, ""unknown_a3"": 0, ""position"": [0.0, 0.0, 0.0], ""angles"": [0, 0, 0], ""params"": [0.29999998211860657, 0.29999998211860657, 1.0, 107, 0, 0], ""unused_pointer"": 4029735808}"
challenge-ep2/d88201-bb-e,3,107,"{""base_type"": 426, ""set_flags"": 0, ""runtime_index"": 57608, ""file_offset"": 30052, ""floor_field"": 1, ""entity_id_field"": 47944, ""group"": 0, ""room"": 50, ""unknown_a3"": 0, ""position"": [0.0, 0.0, 0.0], ""angles"": [0, 1, 0], ""params"": [0.04999999701976776, 0.04999999701976776, 1.0, 116, 0, 0], ""unused_pointer"": 1883169664}"
challenge-ep2/d88201-bb-e,4,85,"{""base_type"": 426, ""set_flags"": 0, ""runtime_index"": 23304, ""file_offset"": 45640, ""floor_field"": 2, ""entity_id_field"": 38217, ""group"": 0, ""room"": 50, ""unknown_a3"": 0, ""position"": [0.0, 0.0, 0.0], ""angles"": [0, 0, 0], ""params"": [0.5, 0.5, 1.0, 117, 0, 0], ""unused_pointer"": 2689131392}"
challenge-ep2/d88201-bb-e,5,45,"{""base_type"": 426, ""set_flags"": 0, ""runtime_index"": 38151, ""file_offset"": 57896, ""floor_field"": 2, ""entity_id_field"": 43847, ""group"": 0, ""room"": 50, ""unknown_a3"": 0, ""position"": [0.0, 0.0, 0.0], ""angles"": [0, 0, 0], ""params"": [0.5, 0.5, 1.0, 104, 0, 0], ""unused_pointer"": 2690379648}"
challenge-ep2/d88201-bb-e,6,89,"{""base_type"": 426, ""set_flags"": 0, ""runtime_index"": 25608, ""file_offset"": 67296, ""floor_field"": 2, ""entity_id_field"": 40776, ""group"": 0, ""room"": 50, ""unknown_a3"": 0, ""position"": [0.0, 0.0, 0.0], ""angles"": [0, 0, 0], ""params"": [0.5, 0.5, 1.0, 110, 0, 0], ""unused_pointer"": 3222659968}"
challenge-ep2/d88201-bb-j,1,123,"{""base_type"": 426, ""set_flags"": 0, ""runtime_index"": 32264, ""file_offset"": 11116, ""floor_field"": 1, ""entity_id_field"": 57416, ""group"": 0, ""room"": 50, ""unknown_a3"": 0, ""position"": [0.0, 0.0, 0.0], ""angles"": [0, 0, 0], ""params"": [0.29999998211860657, 0.29999998211860657, 1.0, 107, 0, 0], ""unused_pointer"": 4029735808}"
challenge-ep2/d88201-bb-j,3,107,"{""base_type"": 426, ""set_flags"": 0, ""runtime_index"": 57608, ""file_offset"": 30052, ""floor_field"": 1, ""entity_id_field"": 47944, ""group"": 0, ""room"": 50, ""unknown_a3"": 0, ""position"": [0.0, 0.0, 0.0], ""angles"": [0, 1, 0], ""params"": [0.04999999701976776, 0.04999999701976776, 1.0, 116, 0, 0], ""unused_pointer"": 1883169664}"
challenge-ep2/d88201-bb-j,4,85,"{""base_type"": 426, ""set_flags"": 0, ""runtime_index"": 23304, ""file_offset"": 45640, ""floor_field"": 2, ""entity_id_field"": 38217, ""group"": 0, ""room"": 50, ""unknown_a3"": 0, ""position"": [0.0, 0.0, 0.0], ""angles"": [0, 0, 0], ""params"": [0.5, 0.5, 1.0, 117, 0, 0], ""unused_pointer"": 2689131392}"
challenge-ep2/d88201-bb-j,5,45,"{""base_type"": 426, ""set_flags"": 0, ""runtime_index"": 38151, ""file_offset"": 57896, ""floor_field"": 2, ""entity_id_field"": 43847, ""group"": 0, ""room"": 50, ""unknown_a3"": 0, ""position"": [0.0, 0.0, 0.0], ""angles"": [0, 0, 0], ""params"": [0.5, 0.5, 1.0, 104, 0, 0], ""unused_pointer"": 2690379648}"
challenge-ep2/d88201-bb-j,6,89,"{""base_type"": 426, ""set_flags"": 0, ""runtime_index"": 25608, ""file_offset"": 67296, ""floor_field"": 2, ""entity_id_field"": 40776, ""group"": 0, ""room"": 50, ""unknown_a3"": 0, ""position"": [0.0, 0.0, 0.0], ""angles"": [0, 0, 0], ""params"": [0.5, 0.5, 1.0, 110, 0, 0], ""unused_pointer"": 3222659968}"
events-ep2/q91-bb-e,2,47,"{""base_type"": 426, ""set_flags"": 512, ""runtime_index"": 28928, ""file_offset"": 7716, ""floor_field"": 2, ""entity_id_field"": 28992, ""group"": 0, ""room"": 50, ""unknown_a3"": 0, ""position"": [0.0, -9.5367431640625e-07, 0.0], ""angles"": [0, 0, 0], ""params"": [1.0, 0.29999998211860657, 1.0, 101, 0, 0], ""unused_pointer"": 1503360}"
events-ep2/q91-bb-e,3,126,"{""base_type"": 426, ""set_flags"": 0, ""runtime_index"": 45576, ""file_offset"": 18748, ""floor_field"": 1, ""entity_id_field"": 47945, ""group"": 0, ""room"": 50, ""unknown_a3"": 0, ""position"": [0.0, 0.0, 0.0], ""angles"": [0, 0, 0], ""params"": [1.0, 0.29999998211860657, 1.0, 100, 0, 0], ""unused_pointer"": 2423841408}"
events-ep2/q91-bb-e,4,64,"{""base_type"": 426, ""set_flags"": 512, ""runtime_index"": 27649, ""file_offset"": 26720, ""floor_field"": 1, ""entity_id_field"": 23881, ""group"": 0, ""room"": 50, ""unknown_a3"": 0, ""position"": [0.0, -9.5367431640625e-07, 0.0], ""angles"": [0, 0, 0], ""params"": [1.0, 0.29999998211860657, 1.0, 101, 0, 0], ""unused_pointer"": 3493913472}"
events-ep2/q91-bb-j,2,47,"{""base_type"": 426, ""set_flags"": 512, ""runtime_index"": 28928, ""file_offset"": 7716, ""floor_field"": 2, ""entity_id_field"": 28992, ""group"": 0, ""room"": 50, ""unknown_a3"": 0, ""position"": [0.0, -9.5367431640625e-07, 0.0], ""angles"": [0, 0, 0], ""params"": [1.0, 0.29999998211860657, 1.0, 101, 0, 0], ""unused_pointer"": 1503360}"
