quest,floor,index,full_DAT_fields
challenge-ep2/d88201-bb-e,3,113,"{""base_type"": 427, ""set_flags"": 0, ""runtime_index"": 1289, ""file_offset"": 30460, ""floor_field"": 1, ""entity_id_field"": 51016, ""group"": 0, ""room"": 60, ""unknown_a3"": 0, ""position"": [-118.99990844726562, 0.0, 120.00006103515625], ""angles"": [0, -16384, 0], ""params"": [1.0, 1.0, 1.0, 117, 1, 0], ""unused_pointer"": 4040286848}"
challenge-ep2/d88201-bb-e,3,185,"{""base_type"": 427, ""set_flags"": 0, ""runtime_index"": 23304, ""file_offset"": 35356, ""floor_field"": 1, ""entity_id_field"": 23369, ""group"": 0, ""room"": 90, ""unknown_a3"": 0, ""position"": [-122.0, 0.0, 0.0], ""angles"": [0, 16384, 0], ""params"": [1.0, 1.0, 1.0, 102, 1, 0], ""unused_pointer"": 3772113280}"
challenge-ep2/d88201-bb-e,3,200,"{""base_type"": 427, ""set_flags"": 0, ""runtime_index"": 24328, ""file_offset"": 36376, ""floor_field"": 1, ""entity_id_field"": 44105, ""group"": 0, ""room"": 91, ""unknown_a3"": 0, ""position"": [-120.0, 2.2351743567128324e-08, 0.0], ""angles"": [0, 16384, 0], ""params"": [1.0, 1.0, 1.0, 103, 4, 0], ""unused_pointer"": 14279040}"
challenge-ep2/d88201-bb-e,3,235,"{""base_type"": 427, ""set_flags"": 0, ""runtime_index"": 43528, ""file_offset"": 38756, ""floor_field"": 1, ""entity_id_field"": 8524, ""group"": 0, ""room"": 94, ""unknown_a3"": 0, ""position"": [-0.001556396484375, 0.0, -120.0], ""angles"": [0, 1, 0], ""params"": [1.0, 1.0, 1.0, 109, 2, 0], ""unused_pointer"": 275047040}"
challenge-ep2/d88201-bb-e,4,160,"{""base_type"": 427, ""set_flags"": 0, ""runtime_index"": 34056, ""file_offset"": 50740, ""floor_field"": 2, ""entity_id_field"": 48456, ""group"": 0, ""room"": 95, ""unknown_a3"": 0, ""position"": [0.0, 2.2351743567128324e-08, -121.99981689453125], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 104, 4, 0], ""unused_pointer"": 3225281152}"
challenge-ep2/d88201-bb-e,5,83,"{""base_type"": 427, ""set_flags"": 0, ""runtime_index"": 34823, ""file_offset"": 60480, ""floor_field"": 2, ""entity_id_field"": 53319, ""group"": 0, ""room"": 91, ""unknown_a3"": 0, ""position"": [-120.0, 0.0, 0.0001220703125], ""angles"": [0, -49152, 0], ""params"": [1.0, 1.0, 1.0, 102, 2, -1], ""unused_pointer"": 1086189440}"
challenge-ep2/d88201-bb-e,6,37,"{""base_type"": 427, ""set_flags"": 0, ""runtime_index"": 22280, ""file_offset"": 63760, ""floor_field"": 2, ""entity_id_field"": 35914, ""group"": 0, ""room"": 6, ""unknown_a3"": 0, ""position"": [0.0060577392578125, 0.0, 63.0], ""angles"": [0, 1, 0], ""params"": [1.0, 1.0, 1.0, 105, 1, 0], ""unused_pointer"": 280682880}"
challenge-ep2/d88201-bb-e,6,57,"{""base_type"": 427, ""set_flags"": 0, ""runtime_index"": 21768, ""file_offset"": 65120, ""floor_field"": 2, ""entity_id_field"": 32072, ""group"": 0, ""room"": 30, ""unknown_a3"": 0, ""position"": [-119.0, 0.0, 0.0], ""angles"": [0, 16384, 0], ""params"": [1.0, 1.0, 1.0, 105, 1, 0], ""unused_pointer"": 2158813824}"
challenge-ep2/d88201-bb-j,3,113,"{""base_type"": 427, ""set_flags"": 0, ""runtime_index"": 1289, ""file_offset"": 30460, ""floor_field"": 1, ""entity_id_field"": 51016, ""group"": 0, ""room"": 60, ""unknown_a3"": 0, ""position"": [-118.99990844726562, 0.0, 120.00006103515625], ""angles"": [0, -16384, 0], ""params"": [1.0, 1.0, 1.0, 117, 1, 0], ""unused_pointer"": 4040286848}"
challenge-ep2/d88201-bb-j,3,185,"{""base_type"": 427, ""set_flags"": 0, ""runtime_index"": 23304, ""file_offset"": 35356, ""floor_field"": 1, ""entity_id_field"": 23369, ""group"": 0, ""room"": 90, ""unknown_a3"": 0, ""position"": [-122.0, 0.0, 0.0], ""angles"": [0, 16384, 0], ""params"": [1.0, 1.0, 1.0, 102, 1, 0], ""unused_pointer"": 3772113280}"
