quest,floor,index,full_DAT_fields
events-ep2/q83-bb-e,0,36,"{""base_type"": 690, ""set_flags"": 0, ""runtime_index"": 0, ""file_offset"": 2464, ""floor_field"": 0, ""entity_id_field"": 0, ""group"": 0, ""room"": 80, ""unknown_a3"": 0, ""position"": [-73.0, 0.0, 0.0], ""angles"": [0, 16384, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 0}"
events-ep2/q83-bb-e,0,37,"{""base_type"": 690, ""set_flags"": 0, ""runtime_index"": 0, ""file_offset"": 2532, ""floor_field"": 0, ""entity_id_field"": 0, ""group"": 0, ""room"": 80, ""unknown_a3"": 0, ""position"": [-73.0, 0.0, -18.0], ""angles"": [0, 16384, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 0}"
events-ep2/q83-bb-e,0,38,"{""base_type"": 690, ""set_flags"": 0, ""runtime_index"": 0, ""file_offset"": 2600, ""floor_field"": 0, ""entity_id_field"": 0, ""group"": 0, ""room"": 80, ""unknown_a3"": 0, ""position"": [-73.0, 0.0, 18.0], ""angles"": [0, 16384, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 0}"
events-ep2/q83-bb-e,0,39,"{""base_type"": 690, ""set_flags"": 0, ""runtime_index"": 0, ""file_offset"": 2668, ""floor_field"": 0, ""entity_id_field"": 0, ""group"": 0, ""room"": 80, ""unknown_a3"": 0, ""position"": [-75.0, 14.0, 0.0], ""angles"": [0, 16384, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 0}"
events-ep2/q83-bb-e,0,40,"{""base_type"": 690, ""set_flags"": 0, ""runtime_index"": 0, ""file_offset"": 2736, ""floor_field"": 0, ""entity_id_field"": 0, ""group"": 0, ""room"": 80, ""unknown_a3"": 0, ""position"": [-75.0, 14.0, -18.0], ""angles"": [0, 16384, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 0}"
events-ep2/q83-bb-e,0,41,"{""base_type"": 690, ""set_flags"": 0, ""runtime_index"": 0, ""file_offset"": 2804, ""floor_field"": 0, ""entity_id_field"": 0, ""group"": 0, ""room"": 80, ""unknown_a3"": 0, ""position"": [-75.0, 14.0, 18.0], ""angles"": [0, 16384, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 0}"
events-ep2/q83-bb-e,0,42,"{""base_type"": 690, ""set_flags"": 0, ""runtime_index"": 0, ""file_offset"": 2872, ""floor_field"": 0, ""entity_id_field"": 0, ""group"": 0, ""room"": 80, ""unknown_a3"": 0, ""position"": [-73.0, 0.0, -36.0], ""angles"": [0, 16384, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 0}"
events-ep2/q83-bb-e,0,43,"{""base_type"": 690, ""set_flags"": 0, ""runtime_index"": 0, ""file_offset"": 2940, ""floor_field"": 0, ""entity_id_field"": 0, ""group"": 0, ""room"": 80, ""unknown_a3"": 0, ""position"": [-75.0, 14.0, -36.0], ""angles"": [0, 16384, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 0}"
events-ep2/q83-bb-e,0,44,"{""base_type"": 690, ""set_flags"": 0, ""runtime_index"": 0, ""file_offset"": 3008, ""floor_field"": 0, ""entity_id_field"": 0, ""group"": 0, ""room"": 80, ""unknown_a3"": 0, ""position"": [-73.0, 0.0, 36.0], ""angles"": [0, 16384, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 0}"
events-ep2/q83-bb-e,0,45,"{""base_type"": 690, ""set_flags"": 0, ""runtime_index"": 0, ""file_offset"": 3076, ""floor_field"": 0, ""entity_id_field"": 0, ""group"": 0, ""room"": 80, ""unknown_a3"": 0, ""position"": [-75.0, 14.0, 36.0], ""angles"": [0, 16384, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 0}"
