quest,floor,index,full_DAT_fields
challenge-ep2/d88201-bb-e,0,6,"{""base_type"": 698, ""set_flags"": 512, ""runtime_index"": 1536, ""file_offset"": 424, ""floor_field"": 0, ""entity_id_field"": 27208, ""group"": 0, ""room"": 10, ""unknown_a3"": 0, ""position"": [-70.0, 0.0, 40.0], ""angles"": [0, 0, 0], ""params"": [35.0, 1.0, 1.0, 5, 1, 0], ""unused_pointer"": 1611394944}"
challenge-ep2/d88201-bb-e,0,22,"{""base_type"": 698, ""set_flags"": 0, ""runtime_index"": 14088, ""file_offset"": 1512, ""floor_field"": 0, ""entity_id_field"": 31304, ""group"": 0, ""room"": 30, ""unknown_a3"": 0, ""position"": [200.0, -30.0, -130.0], ""angles"": [0, 0, 0], ""params"": [100.0, 1.0, 1.0, 5, 1, 0], ""unused_pointer"": 4028362624}"
challenge-ep2/d88201-bb-e,0,23,"{""base_type"": 698, ""set_flags"": 0, ""runtime_index"": 11528, ""file_offset"": 1580, ""floor_field"": 0, ""entity_id_field"": 31560, ""group"": 0, ""room"": 30, ""unknown_a3"": 0, ""position"": [-90.0, 0.0, -120.0], ""angles"": [0, 0, 0], ""params"": [40.0, 1.0, 1.0, 5, 1, 0], ""unused_pointer"": 3491557248}"
challenge-ep2/d88201-bb-e,0,36,"{""base_type"": 698, ""set_flags"": 512, ""runtime_index"": 11776, ""file_offset"": 2464, ""floor_field"": 0, ""entity_id_field"": 35656, ""group"": 0, ""room"": 42, ""unknown_a3"": 0, ""position"": [0.0, -1.7601996660232544e-07, 40.0], ""angles"": [0, 0, 0], ""params"": [50.0, 1.0, 1.0, 5, 1, 0], ""unused_pointer"": 2687561600}"
challenge-ep2/d88201-bb-e,0,37,"{""base_type"": 698, ""set_flags"": 512, ""runtime_index"": 12032, ""file_offset"": 2532, ""floor_field"": 0, ""entity_id_field"": 35912, ""group"": 0, ""room"": 42, ""unknown_a3"": 0, ""position"": [0.0, 30.0, -190.0], ""angles"": [0, 0, 0], ""params"": [50.0, 1.0, 1.0, 5, 1, 0], ""unused_pointer"": 2150756224}"
challenge-ep2/d88201-bb-j,0,6,"{""base_type"": 698, ""set_flags"": 512, ""runtime_index"": 1536, ""file_offset"": 424, ""floor_field"": 0, ""entity_id_field"": 27208, ""group"": 0, ""room"": 10, ""unknown_a3"": 0, ""position"": [-70.0, 0.0, 40.0], ""angles"": [0, 0, 0], ""params"": [35.0, 1.0, 1.0, 5, 1, 0], ""unused_pointer"": 1611394944}"
challenge-ep2/d88201-bb-j,0,22,"{""base_type"": 698, ""set_flags"": 0, ""runtime_index"": 14088, ""file_offset"": 1512, ""floor_field"": 0, ""entity_id_field"": 31304, ""group"": 0, ""room"": 30, ""unknown_a3"": 0, ""position"": [200.0, -30.0, -130.0], ""angles"": [0, 0, 0], ""params"": [100.0, 1.0, 1.0, 5, 1, 0], ""unused_pointer"": 4028362624}"
challenge-ep2/d88201-bb-j,0,23,"{""base_type"": 698, ""set_flags"": 0, ""runtime_index"": 11528, ""file_offset"": 1580, ""floor_field"": 0, ""entity_id_field"": 31560, ""group"": 0, ""room"": 30, ""unknown_a3"": 0, ""position"": [-90.0, 0.0, -120.0], ""angles"": [0, 0, 0], ""params"": [40.0, 1.0, 1.0, 5, 1, 0], ""unused_pointer"": 3491557248}"
challenge-ep2/d88201-bb-j,0,36,"{""base_type"": 698, ""set_flags"": 512, ""runtime_index"": 11776, ""file_offset"": 2464, ""floor_field"": 0, ""entity_id_field"": 35656, ""group"": 0, ""room"": 42, ""unknown_a3"": 0, ""position"": [0.0, -1.7601996660232544e-07, 40.0], ""angles"": [0, 0, 0], ""params"": [50.0, 1.0, 1.0, 5, 1, 0], ""unused_pointer"": 2687561600}"
challenge-ep2/d88201-bb-j,0,37,"{""base_type"": 698, ""set_flags"": 512, ""runtime_index"": 12032, ""file_offset"": 2532, ""floor_field"": 0, ""entity_id_field"": 35912, ""group"": 0, ""room"": 42, ""unknown_a3"": 0, ""position"": [0.0, 30.0, -190.0], ""angles"": [0, 0, 0], ""params"": [50.0, 1.0, 1.0, 5, 1, 0], ""unused_pointer"": 2150756224}"
challenge-ep2/d88202-bb-e,0,6,"{""base_type"": 698, ""set_flags"": 512, ""runtime_index"": 1536, ""file_offset"": 424, ""floor_field"": 0, ""entity_id_field"": 27208, ""group"": 0, ""room"": 10, ""unknown_a3"": 0, ""position"": [-70.0, 0.0, 40.0], ""angles"": [0, 0, 0], ""params"": [35.0, 1.0, 1.0, 5, 1, 0], ""unused_pointer"": 1611394944}"
challenge-ep2/d88202-bb-e,0,22,"{""base_type"": 698, ""set_flags"": 0, ""runtime_index"": 14088, ""file_offset"": 1512, ""floor_field"": 0, ""entity_id_field"": 31304, ""group"": 0, ""room"": 30, ""unknown_a3"": 0, ""position"": [200.0, -30.0, -130.0], ""angles"": [0, 0, 0], ""params"": [100.0, 1.0, 1.0, 5, 1, 0], ""unused_pointer"": 4028362624}"
challenge-ep2/d88202-bb-e,0,23,"{""base_type"": 698, ""set_flags"": 0, ""runtime_index"": 11528, ""file_offset"": 1580, ""floor_field"": 0, ""entity_id_field"": 31560, ""group"": 0, ""room"": 30, ""unknown_a3"": 0, ""position"": [-90.0, 0.0, -120.0], ""angles"": [0, 0, 0], ""params"": [40.0, 1.0, 1.0, 5, 1, 0], ""unused_pointer"": 3491557248}"
challenge-ep2/d88202-bb-e,0,36,"{""base_type"": 698, ""set_flags"": 512, ""runtime_index"": 11776, ""file_offset"": 2464, ""floor_field"": 0, ""entity_id_field"": 35656, ""group"": 0, ""room"": 42, ""unknown_a3"": 0, ""position"": [0.0, -1.7601996660232544e-07, 40.0], ""angles"": [0, 0, 0], ""params"": [50.0, 1.0, 1.0, 5, 1, 0], ""unused_pointer"": 2687561600}"
challenge-ep2/d88202-bb-e,0,37,"{""base_type"": 698, ""set_flags"": 512, ""runtime_index"": 12032, ""file_offset"": 2532, ""floor_field"": 0, ""entity_id_field"": 35912, ""group"": 0, ""room"": 42, ""unknown_a3"": 0, ""position"": [0.0, 30.0, -190.0], ""angles"": [0, 0, 0], ""params"": [50.0, 1.0, 1.0, 5, 1, 0], ""unused_pointer"": 2150756224}"
challenge-ep2/d88202-bb-j,0,6,"{""base_type"": 698, ""set_flags"": 512, ""runtime_index"": 1536, ""file_offset"": 424, ""floor_field"": 0, ""entity_id_field"": 27208, ""group"": 0, ""room"": 10, ""unknown_a3"": 0, ""position"": [-70.0, 0.0, 40.0], ""angles"": [0, 0, 0], ""params"": [35.0, 1.0, 1.0, 5, 1, 0], ""unused_pointer"": 1611394944}"
challenge-ep2/d88202-bb-j,0,22,"{""base_type"": 698, ""set_flags"": 0, ""runtime_index"": 14088, ""file_offset"": 1512, ""floor_field"": 0, ""entity_id_field"": 31304, ""group"": 0, ""room"": 30, ""unknown_a3"": 0, ""position"": [200.0, -30.0, -130.0], ""angles"": [0, 0, 0], ""params"": [100.0, 1.0, 1.0, 5, 1, 0], ""unused_pointer"": 4028362624}"
challenge-ep2/d88202-bb-j,0,23,"{""base_type"": 698, ""set_flags"": 0, ""runtime_index"": 11528, ""file_offset"": 1580, ""floor_field"": 0, ""entity_id_field"": 31560, ""group"": 0, ""room"": 30, ""unknown_a3"": 0, ""position"": [-90.0, 0.0, -120.0], ""angles"": [0, 0, 0], ""params"": [40.0, 1.0, 1.0, 5, 1, 0], ""unused_pointer"": 3491557248}"
challenge-ep2/d88202-bb-j,0,36,"{""base_type"": 698, ""set_flags"": 512, ""runtime_index"": 11776, ""file_offset"": 2464, ""floor_field"": 0, ""entity_id_field"": 35656, ""group"": 0, ""room"": 42, ""unknown_a3"": 0, ""position"": [0.0, -1.7601996660232544e-07, 40.0], ""angles"": [0, 0, 0], ""params"": [50.0, 1.0, 1.0, 5, 1, 0], ""unused_pointer"": 2687561600}"
challenge-ep2/d88202-bb-j,0,37,"{""base_type"": 698, ""set_flags"": 512, ""runtime_index"": 12032, ""file_offset"": 2532, ""floor_field"": 0, ""entity_id_field"": 35912, ""group"": 0, ""room"": 42, ""unknown_a3"": 0, ""position"": [0.0, 30.0, -190.0], ""angles"": [0, 0, 0], ""params"": [50.0, 1.0, 1.0, 5, 1, 0], ""unused_pointer"": 2150756224}"
challenge-ep2/d88203-bb-e,0,6,"{""base_type"": 698, ""set_flags"": 512, ""runtime_index"": 1536, ""file_offset"": 424, ""floor_field"": 0, ""entity_id_field"": 27208, ""group"": 0, ""room"": 10, ""unknown_a3"": 0, ""position"": [-70.0, 0.0, 40.0], ""angles"": [0, 0, 0], ""params"": [35.0, 1.0, 1.0, 5, 1, 0], ""unused_pointer"": 1611394944}"
challenge-ep2/d88203-bb-e,0,22,"{""base_type"": 698, ""set_flags"": 0, ""runtime_index"": 14088, ""file_offset"": 1512, ""floor_field"": 0, ""entity_id_field"": 31304, ""group"": 0, ""room"": 30, ""unknown_a3"": 0, ""position"": [200.0, -30.0, -130.0], ""angles"": [0, 0, 0], ""params"": [100.0, 1.0, 1.0, 5, 1, 0], ""unused_pointer"": 4028362624}"
challenge-ep2/d88203-bb-e,0,23,"{""base_type"": 698, ""set_flags"": 0, ""runtime_index"": 11528, ""file_offset"": 1580, ""floor_field"": 0, ""entity_id_field"": 31560, ""group"": 0, ""room"": 30, ""unknown_a3"": 0, ""position"": [-90.0, 0.0, -120.0], ""angles"": [0, 0, 0], ""params"": [40.0, 1.0, 1.0, 5, 1, 0], ""unused_pointer"": 3491557248}"
challenge-ep2/d88203-bb-e,0,36,"{""base_type"": 698, ""set_flags"": 512, ""runtime_index"": 11776, ""file_offset"": 2464, ""floor_field"": 0, ""entity_id_field"": 35656, ""group"": 0, ""room"": 42, ""unknown_a3"": 0, ""position"": [0.0, -1.7601996660232544e-07, 40.0], ""angles"": [0, 0, 0], ""params"": [50.0, 1.0, 1.0, 5, 1, 0], ""unused_pointer"": 2687561600}"
challenge-ep2/d88203-bb-e,0,37,"{""base_type"": 698, ""set_flags"": 512, ""runtime_index"": 12032, ""file_offset"": 2532, ""floor_field"": 0, ""entity_id_field"": 35912, ""group"": 0, ""room"": 42, ""unknown_a3"": 0, ""position"": [0.0, 30.0, -190.0], ""angles"": [0, 0, 0], ""params"": [50.0, 1.0, 1.0, 5, 1, 0], ""unused_pointer"": 2150756224}"
challenge-ep2/d88203-bb-j,0,6,"{""base_type"": 698, ""set_flags"": 512, ""runtime_index"": 1536, ""file_offset"": 424, ""floor_field"": 0, ""entity_id_field"": 27208, ""group"": 0, ""room"": 10, ""unknown_a3"": 0, ""position"": [-70.0, 0.0, 40.0], ""angles"": [0, 0, 0], ""params"": [35.0, 1.0, 1.0, 5, 1, 0], ""unused_pointer"": 1611394944}"
challenge-ep2/d88203-bb-j,0,22,"{""base_type"": 698, ""set_flags"": 0, ""runtime_index"": 14088, ""file_offset"": 1512, ""floor_field"": 0, ""entity_id_field"": 31304, ""group"": 0, ""room"": 30, ""unknown_a3"": 0, ""position"": [200.0, -30.0, -130.0], ""angles"": [0, 0, 0], ""params"": [100.0, 1.0, 1.0, 5, 1, 0], ""unused_pointer"": 4028362624}"
challenge-ep2/d88203-bb-j,0,23,"{""base_type"": 698, ""set_flags"": 0, ""runtime_index"": 11528, ""file_offset"": 1580, ""floor_field"": 0, ""entity_id_field"": 31560, ""group"": 0, ""room"": 30, ""unknown_a3"": 0, ""position"": [-90.0, 0.0, -120.0], ""angles"": [0, 0, 0], ""params"": [40.0, 1.0, 1.0, 5, 1, 0], ""unused_pointer"": 3491557248}"
challenge-ep2/d88203-bb-j,0,36,"{""base_type"": 698, ""set_flags"": 512, ""runtime_index"": 11776, ""file_offset"": 2464, ""floor_field"": 0, ""entity_id_field"": 35656, ""group"": 0, ""room"": 42, ""unknown_a3"": 0, ""position"": [0.0, -1.7601996660232544e-07, 40.0], ""angles"": [0, 0, 0], ""params"": [50.0, 1.0, 1.0, 5, 1, 0], ""unused_pointer"": 2687561600}"
challenge-ep2/d88203-bb-j,0,37,"{""base_type"": 698, ""set_flags"": 512, ""runtime_index"": 12032, ""file_offset"": 2532, ""floor_field"": 0, ""entity_id_field"": 35912, ""group"": 0, ""room"": 42, ""unknown_a3"": 0, ""position"": [0.0, 30.0, -190.0], ""angles"": [0, 0, 0], ""params"": [50.0, 1.0, 1.0, 5, 1, 0], ""unused_pointer"": 2150756224}"
challenge-ep2/d88204-bb-e,0,6,"{""base_type"": 698, ""set_flags"": 512, ""runtime_index"": 1536, ""file_offset"": 424, ""floor_field"": 0, ""entity_id_field"": 27208, ""group"": 0, ""room"": 10, ""unknown_a3"": 0, ""position"": [-70.0, 0.0, 40.0], ""angles"": [0, 0, 0], ""params"": [35.0, 1.0, 1.0, 5, 1, 0], ""unused_pointer"": 1611394944}"
challenge-ep2/d88204-bb-e,0,22,"{""base_type"": 698, ""set_flags"": 0, ""runtime_index"": 14088, ""file_offset"": 1512, ""floor_field"": 0, ""entity_id_field"": 31304, ""group"": 0, ""room"": 30, ""unknown_a3"": 0, ""position"": [200.0, -30.0, -130.0], ""angles"": [0, 0, 0], ""params"": [100.0, 1.0, 1.0, 5, 1, 0], ""unused_pointer"": 4028362624}"
