quest,floor,index,full_DAT_fields
challenge-ep2/d88201-bb-e,0,13,"{""base_type"": 699, ""set_flags"": 0, ""runtime_index"": 23048, ""file_offset"": 900, ""floor_field"": 0, ""entity_id_field"": 38472, ""group"": 0, ""room"": 20, ""unknown_a3"": 0, ""position"": [-80.0, 0.0, 120.0], ""angles"": [0, 16384, 0], ""params"": [1.0, 1.0, 1.0, 99, 0, 0], ""unused_pointer"": 272035712}"
challenge-ep2/d88201-bb-e,0,14,"{""base_type"": 699, ""set_flags"": 0, ""runtime_index"": 24328, ""file_offset"": 968, ""floor_field"": 0, ""entity_id_field"": 29256, ""group"": 0, ""room"": 40, ""unknown_a3"": 0, ""position"": [80.0, 0.0, 120.0], ""angles"": [0, 16384, 0], ""params"": [1.0, 1.0, 1.0, 2, 0, 0], ""unused_pointer"": 3490836352}"
challenge-ep2/d88201-bb-e,0,15,"{""base_type"": 699, ""set_flags"": 0, ""runtime_index"": 15880, ""file_offset"": 1036, ""floor_field"": 0, ""entity_id_field"": 29512, ""group"": 0, ""room"": 20, ""unknown_a3"": 0, ""position"": [-80.0, 0.0, 0.0], ""angles"": [0, 16384, 0], ""params"": [1.0, 1.0, 1.0, 99, 0, 0], ""unused_pointer"": 1372032}"
challenge-ep2/d88201-bb-e,0,20,"{""base_type"": 699, ""set_flags"": 0, ""runtime_index"": 23048, ""file_offset"": 1376, ""floor_field"": 0, ""entity_id_field"": 30792, ""group"": 0, ""room"": 40, ""unknown_a3"": 0, ""position"": [65.0, 0.0, -100.0], ""angles"": [0, 16384, 0], ""params"": [1.0, 1.0, 1.0, 2, 0, 0], ""unused_pointer"": 3491295104}"
challenge-ep2/d88201-bb-e,0,21,"{""base_type"": 699, ""set_flags"": 0, ""runtime_index"": 23304, ""file_offset"": 1444, ""floor_field"": 0, ""entity_id_field"": 31048, ""group"": 0, ""room"": 40, ""unknown_a3"": 0, ""position"": [65.0, 0.0, -200.0], ""angles"": [0, 16384, 0], ""params"": [1.0, 1.0, 1.0, 2, 0, 0], ""unused_pointer"": 1612377984}"
challenge-ep2/d88201-bb-e,0,24,"{""base_type"": 699, ""set_flags"": 0, ""runtime_index"": 13576, ""file_offset"": 1648, ""floor_field"": 0, ""entity_id_field"": 31816, ""group"": 0, ""room"": 40, ""unknown_a3"": 0, ""position"": [80.0, 0.0, 0.0], ""angles"": [0, 16384, 0], ""params"": [1.0, 1.0, 1.0, 2, 0, 0], ""unused_pointer"": 2954751872}"
challenge-ep2/d88201-bb-j,0,13,"{""base_type"": 699, ""set_flags"": 0, ""runtime_index"": 23048, ""file_offset"": 900, ""floor_field"": 0, ""entity_id_field"": 38472, ""group"": 0, ""room"": 20, ""unknown_a3"": 0, ""position"": [-80.0, 0.0, 120.0], ""angles"": [0, 16384, 0], ""params"": [1.0, 1.0, 1.0, 99, 0, 0], ""unused_pointer"": 272035712}"
challenge-ep2/d88201-bb-j,0,14,"{""base_type"": 699, ""set_flags"": 0, ""runtime_index"": 24328, ""file_offset"": 968, ""floor_field"": 0, ""entity_id_field"": 29256, ""group"": 0, ""room"": 40, ""unknown_a3"": 0, ""position"": [80.0, 0.0, 120.0], ""angles"": [0, 16384, 0], ""params"": [1.0, 1.0, 1.0, 2, 0, 0], ""unused_pointer"": 3490836352}"
challenge-ep2/d88201-bb-j,0,15,"{""base_type"": 699, ""set_flags"": 0, ""runtime_index"": 15880, ""file_offset"": 1036, ""floor_field"": 0, ""entity_id_field"": 29512, ""group"": 0, ""room"": 20, ""unknown_a3"": 0, ""position"": [-80.0, 0.0, 0.0], ""angles"": [0, 16384, 0], ""params"": [1.0, 1.0, 1.0, 99, 0, 0], ""unused_pointer"": 1372032}"
challenge-ep2/d88201-bb-j,0,20,"{""base_type"": 699, ""set_flags"": 0, ""runtime_index"": 23048, ""file_offset"": 1376, ""floor_field"": 0, ""entity_id_field"": 30792, ""group"": 0, ""room"": 40, ""unknown_a3"": 0, ""position"": [65.0, 0.0, -100.0], ""angles"": [0, 16384, 0], ""params"": [1.0, 1.0, 1.0, 2, 0, 0], ""unused_pointer"": 3491295104}"
