quest,floor,index,full_DAT_fields
events-ep2/q42-bb-e,0,17,"{""base_type"": 701, ""set_flags"": 512, ""runtime_index"": 4352, ""file_offset"": 1172, ""floor_field"": 0, ""entity_id_field"": 4416, ""group"": 0, ""room"": 20, ""unknown_a3"": 0, ""position"": [20.0, -2.0, 0.0], ""angles"": [0, 13824, 0], ""params"": [-9990.0, 1.0, 60.0, 32768, 0, 2], ""unused_pointer"": 1346039936}"
events-ep2/q42-bb-j,0,17,"{""base_type"": 701, ""set_flags"": 512, ""runtime_index"": 4352, ""file_offset"": 1172, ""floor_field"": 0, ""entity_id_field"": 4416, ""group"": 0, ""room"": 20, ""unknown_a3"": 0, ""position"": [20.0, -2.0, 0.0], ""angles"": [0, 13824, 0], ""params"": [-9990.0, 1.0, 60.0, 32768, 0, 2], ""unused_pointer"": 1346039936}"
events-ep2/q56-bb-e,0,16,"{""base_type"": 701, ""set_flags"": 2, ""runtime_index"": 24, ""file_offset"": 1104, ""floor_field"": 0, ""entity_id_field"": 18470, ""group"": 0, ""room"": 20, ""unknown_a3"": 0, ""position"": [20.0, -2.0, 0.0], ""angles"": [0, 13824, 0], ""params"": [-9990.0, 1.0, 60.0, 32768, 0, 2], ""unused_pointer"": 36089104}"
events-ep2/q56-bb-j,0,16,"{""base_type"": 701, ""set_flags"": 2, ""runtime_index"": 24, ""file_offset"": 1104, ""floor_field"": 0, ""entity_id_field"": 18470, ""group"": 0, ""room"": 20, ""unknown_a3"": 0, ""position"": [20.0, -2.0, 0.0], ""angles"": [0, 13824, 0], ""params"": [-9990.0, 1.0, 60.0, 32768, 0, 2], ""unused_pointer"": 36089104}"
events-ep2/q83-bb-e,0,8,"{""base_type"": 701, ""set_flags"": 2, ""runtime_index"": 24, ""file_offset"": 560, ""floor_field"": 0, ""entity_id_field"": 16408, ""group"": 0, ""room"": 20, ""unknown_a3"": 0, ""position"": [20.0, -2.0, 0.0], ""angles"": [0, 13824, 0], ""params"": [-9990.0, 1.0, 60.0, 32768, 0, 2], ""unused_pointer"": 118266224}"
events-ep2/q83-bb-j,0,8,"{""base_type"": 701, ""set_flags"": 2, ""runtime_index"": 24, ""file_offset"": 560, ""floor_field"": 0, ""entity_id_field"": 16408, ""group"": 0, ""room"": 20, ""unknown_a3"": 0, ""position"": [20.0, -2.0, 0.0], ""angles"": [0, 13824, 0], ""params"": [-9990.0, 1.0, 60.0, 32768, 0, 2], ""unused_pointer"": 118266224}"
events-ep2/q89-bb-e,0,8,"{""base_type"": 701, ""set_flags"": 512, ""runtime_index"": 4864, ""file_offset"": 560, ""floor_field"": 0, ""entity_id_field"": 19658, ""group"": 0, ""room"": 20, ""unknown_a3"": 0, ""position"": [20.0, -2.0, 0.0], ""angles"": [0, 13824, 0], ""params"": [-9990.0, 1.0, 60.0, 32768, 0, 2], ""unused_pointer"": 77031488}"
events-ep2/q89-bb-j,0,8,"{""base_type"": 701, ""set_flags"": 512, ""runtime_index"": 4864, ""file_offset"": 560, ""floor_field"": 0, ""entity_id_field"": 19658, ""group"": 0, ""room"": 20, ""unknown_a3"": 0, ""position"": [20.0, -2.0, 0.0], ""angles"": [0, 13824, 0], ""params"": [-9990.0, 1.0, 60.0, 32768, 0, 2], ""unused_pointer"": 77031488}"
events-ep2/q91-bb-e,0,16,"{""base_type"": 701, ""set_flags"": 512, ""runtime_index"": 4096, ""file_offset"": 1104, ""floor_field"": 0, ""entity_id_field"": 4160, ""group"": 0, ""room"": 20, ""unknown_a3"": 0, ""position"": [20.0, -2.0, 0.0], ""angles"": [0, 13824, 0], ""params"": [-9990.0, 1.0, 60.0, 32768, 0, 2], ""unused_pointer"": 2431250304}"
events-ep2/q91-bb-j,0,16,"{""base_type"": 701, ""set_flags"": 512, ""runtime_index"": 4096, ""file_offset"": 1104, ""floor_field"": 0, ""entity_id_field"": 4160, ""group"": 0, ""room"": 20, ""unknown_a3"": 0, ""position"": [20.0, -2.0, 0.0], ""angles"": [0, 13824, 0], ""params"": [-9990.0, 1.0, 60.0, 32768, 0, 2], ""unused_pointer"": 2431250304}"
events-ep2/q92-bb-e,0,18,"{""base_type"": 701, ""set_flags"": 512, ""runtime_index"": 6144, ""file_offset"": 1240, ""floor_field"": 0, ""entity_id_field"": 47944, ""group"": 0, ""room"": 20, ""unknown_a3"": 0, ""position"": [20.0, -2.0, 0.0], ""angles"": [0, 13824, 0], ""params"": [-9990.0, 1.0, 60.0, 32768, 0, 2], ""unused_pointer"": 2416635776}"
events-ep2/q92-bb-j,0,18,"{""base_type"": 701, ""set_flags"": 512, ""runtime_index"": 6144, ""file_offset"": 1240, ""floor_field"": 0, ""entity_id_field"": 47944, ""group"": 0, ""room"": 20, ""unknown_a3"": 0, ""position"": [20.0, -2.0, 0.0], ""angles"": [0, 13824, 0], ""params"": [-9990.0, 1.0, 60.0, 32768, 0, 2], ""unused_pointer"": 2416635776}"
events-ep2/q134-bb-e,0,16,"{""base_type"": 701, ""set_flags"": 2, ""runtime_index"": 24, ""file_offset"": 1104, ""floor_field"": 0, ""entity_id_field"": 18470, ""group"": 0, ""room"": 20, ""unknown_a3"": 0, ""position"": [20.0, -2.0, 0.0], ""angles"": [0, 13824, 0], ""params"": [-9990.0, 1.0, 60.0, 32768, 0, 2], ""unused_pointer"": 36089104}"
events-ep2/q134-bb-j,0,16,"{""base_type"": 701, ""set_flags"": 2, ""runtime_index"": 24, ""file_offset"": 1104, ""floor_field"": 0, ""entity_id_field"": 18470, ""group"": 0, ""room"": 20, ""unknown_a3"": 0, ""position"": [20.0, -2.0, 0.0], ""angles"": [0, 13824, 0], ""params"": [-9990.0, 1.0, 60.0, 32768, 0, 2], ""unused_pointer"": 36089104}"
events-ep2/q216-bb-e,0,15,"{""base_type"": 701, ""set_flags"": 512, ""runtime_index"": 3840, ""file_offset"": 1036, ""floor_field"": 0, ""entity_id_field"": 3904, ""group"": 0, ""room"": 20, ""unknown_a3"": 0, ""position"": [20.0, -2.0, 0.0], ""angles"": [0, 13824, 0], ""params"": [-9990.0, 1.0, 60.0, 32768, 0, 2], ""unused_pointer"": 3769101696}"
events-ep2/q232-bb-e,0,17,"{""base_type"": 701, ""set_flags"": 512, ""runtime_index"": 4352, ""file_offset"": 1172, ""floor_field"": 0, ""entity_id_field"": 4416, ""group"": 0, ""room"": 20, ""unknown_a3"": 0, ""position"": [20.0, -2.0, 0.0], ""angles"": [0, 13824, 0], ""params"": [-9990.0, 1.0, 60.0, 32768, 0, 2], ""unused_pointer"": 1346039936}"
events-ep2/q232-bb-j,0,17,"{""base_type"": 701, ""set_flags"": 512, ""runtime_index"": 4352, ""file_offset"": 1172, ""floor_field"": 0, ""entity_id_field"": 4416, ""group"": 0, ""room"": 20, ""unknown_a3"": 0, ""position"": [20.0, -2.0, 0.0], ""angles"": [0, 13824, 0], ""params"": [-9990.0, 1.0, 60.0, 32768, 0, 2], ""unused_pointer"": 1346039936}"
