quest,floor,index,full_DAT_fields
extermination-ep4/q815-bb-e,8,46,"{""base_type"": 909, ""set_flags"": 0, ""runtime_index"": 1480, ""file_offset"": 4928, ""floor_field"": 8, ""entity_id_field"": 17941, ""group"": 0, ""room"": 40, ""unknown_a3"": 0, ""position"": [-70.30055236816406, 0.0, 122.7147216796875], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 34444512}"
extermination-ep4/q815-bb-e,8,47,"{""base_type"": 909, ""set_flags"": 0, ""runtime_index"": 1481, ""file_offset"": 4996, ""floor_field"": 8, ""entity_id_field"": 17942, ""group"": 0, ""room"": 40, ""unknown_a3"": 0, ""position"": [-104.73251342773438, 0.0, 114.841552734375], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 34445424}"
extermination-ep4/q815-bb-e,8,48,"{""base_type"": 909, ""set_flags"": 0, ""runtime_index"": 1482, ""file_offset"": 5064, ""floor_field"": 8, ""entity_id_field"": 17944, ""group"": 0, ""room"": 40, ""unknown_a3"": 0, ""position"": [-34.971710205078125, 0.0, 119.5045166015625], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 34446336}"
extermination-ep4/q815-bb-e,8,49,"{""base_type"": 909, ""set_flags"": 0, ""runtime_index"": 1483, ""file_offset"": 5132, ""floor_field"": 8, ""entity_id_field"": 17945, ""group"": 0, ""room"": 40, ""unknown_a3"": 0, ""position"": [-129.79989624023438, 0.0, 85.666259765625], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 34447248}"
extermination-ep4/q815-bb-e,8,62,"{""base_type"": 909, ""set_flags"": 0, ""runtime_index"": 1484, ""file_offset"": 6016, ""floor_field"": 8, ""entity_id_field"": 17948, ""group"": 0, ""room"": 42, ""unknown_a3"": 0, ""position"": [-119.060546875, 0.0, 88.97236633300781], ""angles"": [0, 32767, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 34448160}"
extermination-ep4/q815-bb-e,8,63,"{""base_type"": 909, ""set_flags"": 0, ""runtime_index"": 1485, ""file_offset"": 6084, ""floor_field"": 8, ""entity_id_field"": 17949, ""group"": 0, ""room"": 42, ""unknown_a3"": 0, ""position"": [-105.001708984375, 0.0, 106.36598205566406], ""angles"": [0, 32767, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 34449072}"
extermination-ep4/q815-bb-e,8,64,"{""base_type"": 909, ""set_flags"": 0, ""runtime_index"": 1486, ""file_offset"": 6152, ""floor_field"": 8, ""entity_id_field"": 17950, ""group"": 0, ""room"": 42, ""unknown_a3"": 0, ""position"": [-137.570556640625, 0.0, 67.91459655761719], ""angles"": [0, 32767, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 34449984}"
extermination-ep4/q815-bb-e,8,65,"{""base_type"": 909, ""set_flags"": 0, ""runtime_index"": 1487, ""file_offset"": 6220, ""floor_field"": 8, ""entity_id_field"": 17951, ""group"": 0, ""room"": 42, ""unknown_a3"": 0, ""position"": [-103.609619140625, 0.0, 75.91300964355469], ""angles"": [0, 32767, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 34450896}"
extermination-ep4/q815-bb-e,8,168,"{""base_type"": 909, ""set_flags"": 0, ""runtime_index"": 1252, ""file_offset"": 13224, ""floor_field"": 8, ""entity_id_field"": 17674, ""group"": 0, ""room"": 120, ""unknown_a3"": 0, ""position"": [1.3499755859375, 0.0, -48.54327392578125], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 26711056}"
extermination-ep4/q815-bb-e,8,169,"{""base_type"": 909, ""set_flags"": 0, ""runtime_index"": 1253, ""file_offset"": 13292, ""floor_field"": 8, ""entity_id_field"": 17675, ""group"": 0, ""room"": 120, ""unknown_a3"": 0, ""position"": [-64.3599853515625, 0.0, 0.79620361328125], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 26711968}"
extermination-ep4/q815-bb-e,8,170,"{""base_type"": 909, ""set_flags"": 0, ""runtime_index"": 1254, ""file_offset"": 13360, ""floor_field"": 8, ""entity_id_field"": 17676, ""group"": 0, ""room"": 120, ""unknown_a3"": 0, ""position"": [58.919921875, 0.0, 0.74822998046875], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 26712880}"
extermination-ep4/q815-bb-j,8,46,"{""base_type"": 909, ""set_flags"": 0, ""runtime_index"": 1480, ""file_offset"": 4928, ""floor_field"": 8, ""entity_id_field"": 17941, ""group"": 0, ""room"": 40, ""unknown_a3"": 0, ""position"": [-70.30055236816406, 0.0, 122.7147216796875], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 34444512}"
extermination-ep4/q815-bb-j,8,47,"{""base_type"": 909, ""set_flags"": 0, ""runtime_index"": 1481, ""file_offset"": 4996, ""floor_field"": 8, ""entity_id_field"": 17942, ""group"": 0, ""room"": 40, ""unknown_a3"": 0, ""position"": [-104.73251342773438, 0.0, 114.841552734375], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 34445424}"
extermination-ep4/q815-bb-j,8,48,"{""base_type"": 909, ""set_flags"": 0, ""runtime_index"": 1482, ""file_offset"": 5064, ""floor_field"": 8, ""entity_id_field"": 17944, ""group"": 0, ""room"": 40, ""unknown_a3"": 0, ""position"": [-34.971710205078125, 0.0, 119.5045166015625], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 34446336}"
extermination-ep4/q815-bb-j,8,49,"{""base_type"": 909, ""set_flags"": 0, ""runtime_index"": 1483, ""file_offset"": 5132, ""floor_field"": 8, ""entity_id_field"": 17945, ""group"": 0, ""room"": 40, ""unknown_a3"": 0, ""position"": [-129.79989624023438, 0.0, 85.666259765625], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 34447248}"
extermination-ep4/q815-bb-j,8,62,"{""base_type"": 909, ""set_flags"": 0, ""runtime_index"": 1484, ""file_offset"": 6016, ""floor_field"": 8, ""entity_id_field"": 17948, ""group"": 0, ""room"": 42, ""unknown_a3"": 0, ""position"": [-119.060546875, 0.0, 88.97236633300781], ""angles"": [0, 32767, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 34448160}"
extermination-ep4/q815-bb-j,8,63,"{""base_type"": 909, ""set_flags"": 0, ""runtime_index"": 1485, ""file_offset"": 6084, ""floor_field"": 8, ""entity_id_field"": 17949, ""group"": 0, ""room"": 42, ""unknown_a3"": 0, ""position"": [-105.001708984375, 0.0, 106.36598205566406], ""angles"": [0, 32767, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 34449072}"
extermination-ep4/q815-bb-j,8,64,"{""base_type"": 909, ""set_flags"": 0, ""runtime_index"": 1486, ""file_offset"": 6152, ""floor_field"": 8, ""entity_id_field"": 17950, ""group"": 0, ""room"": 42, ""unknown_a3"": 0, ""position"": [-137.570556640625, 0.0, 67.91459655761719], ""angles"": [0, 32767, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 34449984}"
extermination-ep4/q815-bb-j,8,65,"{""base_type"": 909, ""set_flags"": 0, ""runtime_index"": 1487, ""file_offset"": 6220, ""floor_field"": 8, ""entity_id_field"": 17951, ""group"": 0, ""room"": 42, ""unknown_a3"": 0, ""position"": [-103.609619140625, 0.0, 75.91300964355469], ""angles"": [0, 32767, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 34450896}"
extermination-ep4/q815-bb-j,8,168,"{""base_type"": 909, ""set_flags"": 0, ""runtime_index"": 1252, ""file_offset"": 13224, ""floor_field"": 8, ""entity_id_field"": 17674, ""group"": 0, ""room"": 120, ""unknown_a3"": 0, ""position"": [1.3499755859375, 0.0, -48.54327392578125], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 26711056}"
extermination-ep4/q815-bb-j,8,169,"{""base_type"": 909, ""set_flags"": 0, ""runtime_index"": 1253, ""file_offset"": 13292, ""floor_field"": 8, ""entity_id_field"": 17675, ""group"": 0, ""room"": 120, ""unknown_a3"": 0, ""position"": [-64.3599853515625, 0.0, 0.79620361328125], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 26711968}"
extermination-ep4/q815-bb-j,8,170,"{""base_type"": 909, ""set_flags"": 0, ""runtime_index"": 1254, ""file_offset"": 13360, ""floor_field"": 8, ""entity_id_field"": 17676, ""group"": 0, ""room"": 120, ""unknown_a3"": 0, ""position"": [58.919921875, 0.0, 0.74822998046875], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 26712880}"
extermination-ep4/q819-bb-e,7,84,"{""base_type"": 909, ""set_flags"": 0, ""runtime_index"": 1252, ""file_offset"": 7512, ""floor_field"": 7, ""entity_id_field"": 17854, ""group"": 0, ""room"": 10, ""unknown_a3"": 0, ""position"": [332.0, 0.0, 340.9866027832031], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 28752992}"
extermination-ep4/q819-bb-e,7,85,"{""base_type"": 909, ""set_flags"": 0, ""runtime_index"": 1253, ""file_offset"": 7580, ""floor_field"": 7, ""entity_id_field"": 17855, ""group"": 0, ""room"": 10, ""unknown_a3"": 0, ""position"": [385.6000061035156, 0.0, 411.03814697265625], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 28753904}"
extermination-ep4/q819-bb-e,7,86,"{""base_type"": 909, ""set_flags"": 0, ""runtime_index"": 1254, ""file_offset"": 7648, ""floor_field"": 7, ""entity_id_field"": 17856, ""group"": 0, ""room"": 10, ""unknown_a3"": 0, ""position"": [153.19000244140625, 0.0, 415.9786376953125], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 28754816}"
extermination-ep4/q819-bb-e,7,87,"{""base_type"": 909, ""set_flags"": 0, ""runtime_index"": 1255, ""file_offset"": 7716, ""floor_field"": 7, ""entity_id_field"": 17857, ""group"": 0, ""room"": 10, ""unknown_a3"": 0, ""position"": [-81.20999908447266, 0.0, 101.34275817871094], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 28755728}"
extermination-ep4/q819-bb-e,7,88,"{""base_type"": 909, ""set_flags"": 0, ""runtime_index"": 1256, ""file_offset"": 7784, ""floor_field"": 7, ""entity_id_field"": 17858, ""group"": 0, ""room"": 10, ""unknown_a3"": 0, ""position"": [-100.52999877929688, 0.0, 85.66422271728516], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 28756640}"
extermination-ep4/q819-bb-e,7,89,"{""base_type"": 909, ""set_flags"": 0, ""runtime_index"": 1257, ""file_offset"": 7852, ""floor_field"": 7, ""entity_id_field"": 17859, ""group"": 0, ""room"": 10, ""unknown_a3"": 0, ""position"": [-398.1300048828125, 0.027160294353961945, -438.7530212402344], ""angles"": [0, 0, 0], ""params"": [1.0, 1.0, 1.0, 0, 0, 0], ""unused_pointer"": 28757552}"
