source,opcode,target,line
start,set_floor_handler,label0001,21
label0001,thread_stg,label0190,130
label0001,thread_stg,label0193,131
label0001,set_quest_board_handler,label0002,135
label0001,set_quest_board_handler,label0003,140
label0190,jmpi_eq,label0195,170
label0190,jmpi_gt,label0191,171
label0191,jmpi_eq,label0195,176
label0191,jmpi_lt,label0191,178
label0191,jmpi_gt,label0192,182
label0191,jmp,label0191,183
label0192,jmpi_eq,label0195,187
label0193,jmpi_eq,label0195,195
label0193,jmpi_eq,label0193,196
