label,line,opcode,args
start,21,set_floor_handler,"... 0x11 /* 17 */, label0001"
label0001,51,ba_set_meseta_drop_mode,... 0x2 /* 2 */
label0001,62,ba_set_time_limit,... 0xA /* 10 */
label0001,105,ba_meseta_score,r100-r102
label0001,141,set_quest_board_handler,"... 0x0 /* 0 */, label0002, ""\""rule 1\"""""
label0001,146,set_quest_board_handler,"... 0x1 /* 1 */, label0003, ""\""rule 2\"""""
label0190,172,gettime,r200
label0191,180,gettime,r202
label0192,191,sync_register2,"... r203, 0x1 /* 1 */"
label0193,199,sync_register2,"... r204, 0x1 /* 1 */"
