label,line,instructions
start,16,16
label0001,34,121
label0002,157,12
label0003,171,6
label0190,179,5
label0191,186,13
label0192,201,6
label0193,209,6
label0194,217,6
label0195,225,6
label019A,233,16
label019B,251,9
label019C,262,13
label019D,277,9
label01A5,288,5
label01A6,295,5
label01A7,302,5
label01A8,309,5
label01A9,316,5
label01AA,323,5
label01AE,330,7
label01AF,339,15
label01B0,356,15
label01B1,373,7
label01B2,382,7
label01B3,391,7
label01B4,400,7
label01A4,409,4
label0320,415,0
label0322,418,0
label0323,421,0
