floor,index,type,room,wave,wave2,children,x,y,z,p1,p2,p3,p4,p5,p6,p7
16,0,0x0063,40,0,0,0,-40.76953125,0.0,153.9691162109375,0.0,0.0,0.0,0.0,0.0,0,0
16,1,0x0063,45,0,0,0,10.12103271484375,0.0,113.8892822265625,0.0,0.0,0.0,0.0,0.0,0,0
16,2,0x0063,40,0,0,0,-46.08624267578125,0.0,86.39642333984375,0.0,0.0,0.0,0.0,0.0,0,0
16,3,0x0063,40,0,0,0,193.89605712890625,0.0,118.98358154296875,0.0,0.0,0.0,0.0,0.0,0,0
16,4,0x0063,40,0,0,0,57.41259765625,0.0,-107.680908203125,0.0,0.0,0.0,0.0,0.0,0,0
16,5,0x0063,40,0,0,0,5.30731201171875,0.0,-52.4840087890625,0.0,0.0,0.0,0.0,0.0,0,0
16,6,0x0063,41,0,0,0,-40.76953125,0.0,153.9691162109375,0.0,0.0,0.0,0.0,0.0,0,0
16,7,0x0063,41,0,0,0,-46.08624267578125,0.0,86.39642333984375,0.0,0.0,0.0,0.0,0.0,0,0
16,8,0x0063,51,0,0,0,37.00677490234375,0.0,-145.44180297851562,0.0,0.0,0.0,0.0,0.0,0,0
16,9,0x0063,51,0,0,0,36.024169921875,0.0,-85.1446533203125,0.0,0.0,0.0,0.0,0.0,0,0
