label,line,instructions
start,16,16
label0001,34,121
label0002,157,10
label0003,169,6
label0190,177,5
label0191,184,13
label0192,199,6
label0193,207,6
label0194,215,6
label0195,223,6
label019A,231,16
label019B,249,9
label019C,260,13
label019D,275,9
label01A5,286,5
label01A6,293,5
label01A7,300,5
label01A8,307,5
label01A9,314,5
label01AA,321,5
label01AE,328,7
label01AF,337,15
label01B0,354,15
label01B1,371,7
label01B2,380,7
label01B3,389,7
label01B4,398,7
label01A4,407,2
label0320,411,0
label0322,414,0
label0323,417,0
