label,line,opcode,args
start,40,set_floor_handler,"... 0x10 /* 16 */, label0001"
label0001,70,ba_set_meseta_drop_mode,... 0x1 /* 1 */
label0001,81,ba_set_time_limit,... 0xA /* 10 */
label0001,124,ba_meseta_score,r100-r102
label0001,158,set_quest_board_handler,"... 0x0 /* 0 */, label0002, ""「ルール詳細」"""
label0001,163,set_quest_board_handler,"... 0x1 /* 1 */, label0003, ""「得点詳細」"""
label0190,193,gettime,r200
label0191,203,gettime,r202
label0192,215,sync_register2,"... r203, 0x1 /* 1 */"
label0193,223,sync_register2,"... r204, 0x1 /* 1 */"
label0194,231,sync_register2,"... r205, 0x1 /* 1 */"
