source,opcode,target,line
start,set_floor_handler,label0096,48
start,set_floor_handler,label009A,51
start,set_floor_handler,label009B,54
start,set_floor_handler,label009C,57
start,set_floor_handler,label009D,60
start,set_floor_handler,label009E,63
start,set_qt_success,label00B4,64
start,set_qt_failure,label00FB,65
start,call,label0096,74
start,call,label0004,75
label0009,jmpi_eq,label0009,108
label0009,jmpi_eq,label0063,109
label0096,call,label00C8,115
label0096,jmpi_eq,label012C,116
label0096,jmpi_eq,label012D,117
label012C,call,label00B5,121
label012C,thread_stg,label0131,122
label012D,call,label00B5,126
label0131,switch_jmp,label0131,132
label0131,switch_jmp,label0132,132
label0131,switch_jmp,label0133,132
label00B5,switch_jmp,label00B6,151
label00B5,switch_jmp,label00B7,151
label00B5,switch_jmp,label00B8,151
label00B5,switch_jmp,label00B9,151
label00B4,jmpi_le,label0137,204
label00B4,switch_jmp,label0066,206
label00B4,switch_jmp,label0067,206
label00B4,switch_jmp,label0068,206
label00B4,switch_jmp,label0069,206
label00B4,switch_jmp,label006A,206
label00B4,switch_jmp,label006B,206
label00B4,switch_jmp,label006C,206
label0068,jmpi_eq,label0068,242
label00C8,call,label0105,272
label00C8,call,label0106,273
label00C8,call,label0107,274
label00C8,call,label0108,275
label00C8,call,label0109,276
label0105,jmpi_eq,label0001,280
label0106,jmpi_eq,label0001,285
label0107,jmpi_eq,label0001,290
label0108,jmpi_eq,label0001,295
label0109,jmpi_eq,label0001,300
label012E,jmpi_eq,label0001,311
label012E,jmpi_eq,label0130,313
label012E,jmp,label012E,314
label012F,jmpi_eq,label0001,318
label012F,jmpi_eq,label012F,323
label012F,jmp,label0130,327
label0130,jmpi_ge,label00D3,334
label0136,jmpi_le,label0136,341
label009A,thread_stg,label0009,348
label009A,thread_stg,label00D2,353
label009A,thread_stg,label00DC,354
label009A,thread_stg,label00E6,355
label009A,thread_stg,label012E,356
label009B,thread_stg,label0009,365
label009B,thread_stg,label00D2,369
label009B,thread_stg,label00DC,370
label009B,thread_stg,label00E6,371
label009B,thread_stg,label012E,372
label009C,thread_stg,label0009,381
label009C,thread_stg,label00D2,385
label009C,thread_stg,label00DC,386
label009C,thread_stg,label00E6,387
label009C,thread_stg,label012E,388
label009D,thread_stg,label0009,397
label009D,thread_stg,label00D2,401
label009D,thread_stg,label00DC,402
label009D,thread_stg,label00E6,403
label009D,thread_stg,label012E,404
label009E,thread_stg,label012E,414
label009E,thread_stg,label0009,415
label009E,thread_stg,label00D2,419
label009E,thread_stg,label00DC,420
label009E,thread_stg,label00E6,421
label009E,thread_stg,label012F,422
label00D2,jmpi_eq,label0001,429
label00D2,jmpi_ge,label0001,433
label00D2,jmpi_eq,label00D2,435
label00D3,jmp,label0136,443
label00DC,jmpi_eq,label0001,448
label00DC,jmpi_ge,label0001,451
label00DC,jmpi_eq,label00DC,452
label00E6,jmpi_eq,label0001,457
label00E6,jmpi_gt,label00E6,462
label00E6,jmpi_lt,label00E6,466
label00E6,jmp,label0063,477
label0137,switch_jmp,label0066,492
label0137,switch_jmp,label0067,492
label0137,switch_jmp,label0068,492
label0137,switch_jmp,label0069,492
label0137,switch_jmp,label006A,492
label0137,switch_jmp,label006B,492
label0137,switch_jmp,label006C,492
