source,opcode,target,line
start,set_floor_handler,label0096,49
start,set_floor_handler,label009B,52
start,set_floor_handler,label009C,55
start,set_floor_handler,label009D,58
start,set_floor_handler,label009E,61
start,set_floor_handler,label009F,64
start,set_floor_handler,label00A2,67
start,set_qt_success,label00B4,68
start,set_qt_failure,label00FB,69
start,call,label0096,79
start,call,label0004,80
label0009,jmpi_eq,label0009,113
label0009,jmpi_eq,label0063,114
label0096,call,label00C8,120
label0096,jmpi_eq,label012C,121
label0096,jmpi_eq,label012D,122
label012C,call,label00B5,126
label012C,thread_stg,label0131,127
label012D,call,label00B5,131
label0131,switch_jmp,label0131,137
label0131,switch_jmp,label0132,137
label0131,switch_jmp,label0133,137
label00B5,switch_jmp,label00B6,157
label00B5,switch_jmp,label00B7,157
label00B5,switch_jmp,label00B8,157
label00B5,switch_jmp,label00B9,157
label00B4,jmpi_le,label0137,210
label00B4,switch_jmp,label0066,212
label00B4,switch_jmp,label0067,212
label00B4,switch_jmp,label0068,212
label00B4,switch_jmp,label0069,212
label00B4,switch_jmp,label006A,212
label00B4,switch_jmp,label006B,212
label00B4,switch_jmp,label006C,212
label0068,jmpi_eq,label0068,248
label00C8,call,label0105,278
label00C8,call,label0106,279
label00C8,call,label0107,280
label00C8,call,label0108,281
label00C8,call,label0109,282
label00C8,call,label010A,283
label0105,jmpi_eq,label0001,287
label0106,jmpi_eq,label0001,292
label0107,jmpi_eq,label0001,297
label0108,jmpi_eq,label0001,302
label0109,jmpi_eq,label0001,307
label010A,jmpi_eq,label0001,312
label012F,jmpi_eq,label0001,323
label012F,jmpi_eq,label012F,328
label012F,jmp,label0130,329
label0130,jmpi_ge,label00D3,336
label0136,jmpi_le,label0136,343
label009B,thread_stg,label0009,350
label009B,thread_stg,label00D2,355
label009B,thread_stg,label00DC,356
label009B,thread_stg,label00E6,357
label009C,thread_stg,label0009,366
label009C,thread_stg,label00D2,370
label009C,thread_stg,label00DC,371
label009C,thread_stg,label00E6,372
label009D,thread_stg,label0009,381
label009D,thread_stg,label00D2,385
label009D,thread_stg,label00DC,386
label009D,thread_stg,label00E6,387
label009E,thread_stg,label0009,396
label009E,thread_stg,label00D2,400
label009E,thread_stg,label00DC,401
label009E,thread_stg,label00E6,402
label009F,thread_stg,label0009,411
label009F,thread_stg,label00D2,415
label009F,thread_stg,label00DC,416
label009F,thread_stg,label00E6,417
label00A2,thread_stg,label0009,427
label00A2,thread_stg,label00D2,431
label00A2,thread_stg,label00DC,432
label00A2,thread_stg,label00E6,433
label00A2,thread_stg,label012F,434
label00D2,jmpi_eq,label0001,441
label00D2,jmpi_ge,label0001,445
label00D2,jmpi_eq,label00D2,447
label00D3,jmp,label0136,455
label00DC,jmpi_eq,label0001,460
label00DC,jmpi_ge,label0001,463
label00DC,jmpi_eq,label00DC,464
label00E6,jmpi_eq,label0001,469
label00E6,jmpi_gt,label00E6,474
label00E6,jmpi_lt,label00E6,478
label00E6,jmp,label0063,489
label0137,switch_jmp,label0066,504
label0137,switch_jmp,label0067,504
label0137,switch_jmp,label0068,504
label0137,switch_jmp,label0069,504
label0137,switch_jmp,label006A,504
label0137,switch_jmp,label006B,504
label0137,switch_jmp,label006C,504
