label,line,opcode,args
start,52,set_floor_handler,"... 0x0 /* 0 */, label0096"
start,55,set_floor_handler,"... 0x6 /* 6 */, label009C"
start,58,set_floor_handler,"... 0x7 /* 7 */, label009D"
start,61,set_floor_handler,"... 0x8 /* 8 */, label009E"
start,64,set_floor_handler,"... 0x9 /* 9 */, label009F"
start,67,set_floor_handler,"... 0xA /* 10 */, label00A0"
start,68,set_qt_success,label00B4
start,69,set_qt_failure,label00FB
label0096,120,jmpi_eq,"r253, 0x00000001, label012C"
label0131,136,switch_jmp,"r11, [label0131, label0132, label0133]"
label00B5,155,switch_jmp,"r30, [label00B6, label00B7, label00B8, label00B9]"
label00B4,209,check_rank_time,"r201, r101"
label00B4,210,switch_jmp,"r101, [label0066, label0067, label0068, label0069, label006A, label006B, label006C]"
label0066,223,item_create_cmode,"r100-r105, r106"
label0067,236,item_create_cmode,"r100-r105, r106"
label0068,243,award_item_select,
label0068,244,award_item_name,
label0068,245,award_item_ok,r50
label0068,247,award_item_give,r100
label012F,322,jmpi_eq,"r255, 0x00000001, label0001"
label012F,330,sync_register2,"... r240, 0x1 /* 1 */"
label0130,336,set,r255
label0130,339,chl_set_timerecord,"r201, r200"
label0136,344,chl_get_timerecord,r201
label0136,346,disp_time_cmode,r201
label009C,353,gettime,r202
label00D2,438,gettime,r201
label00D2,441,disp_time_cmode,r201
label00D2,442,jmpi_eq,"r255, 0x00000000, label00D2"
label00D3,448,chl_set_timerecord,"r201, r200"
label00DC,459,jmpi_eq,"r255, 0x00000000, label00DC"
label00E6,467,gettime,r10
label0063,488,set,r253
label0137,498,check_rank_time,"r203, r101"
label0137,499,switch_jmp,"r101, [label0066, label0067, label0068, label0069, label006A, label006B, label006C]"
